<title>冬夜吟</title>,<text>月釣前溪夜。風鍾古木冬。</text>
<title>鄭右尹 來成 輓</title>,<text>亦樂陶齋緖業承。丈人儀範玉壺冰。棲遲任爾殊竽瑟。恬憺堅吾守準繩。大嶺尊名三達具。聖朝華秩貳卿陞。仙家小劫公何憾。寶樹猶應福履增。軒屛陪誨尙依依。多愧踈慵曠歲違。伊日少年今朽質。奈難扶曳拜靈幃。</text>
<title>挽李豐基 龜星</title>,<text>文華敷燁行爲根。當世推公謂義門。桃李河陽非俗吏。笙簧闕里有賢孫。鳳簫回巹優淸福。猩帶紆恩儼達尊。大嶺風霜凋落盡。剩留蘭玉滿芳園。鞭弭中原附尾蠅。湖樓明月泮齋燈。開箱淚入同遊帖。玄觀桃香濕古藤。依依芳躅九龍巖。好事遊人播美談。最是淸凉新講塾。案書搖落掩空庵。</text>
<title>挽權懿甫</title>,<text>走馬之南。鶴駕之北。若有人兮星南翁。翁少而遊李杜之圃。傑然爲詩壇旗鼓之雄。中而㴑賈董之源。燦然如玉之縝栗。金之磨礱。晩而嗜閩洛之書。藹然絶外慕兮近裏工。識箇中超然處。之數者可以想見乎公。儼然爲鄕里之師。數行墨兮發羣蒙。詵詵多佳子孫兮。碧沼芙蓉挺發乎蘭玉之叢。日享淸福兮猗達尊。齒德之俱隆。四太平兮邵安樂。五介福兮箕壽終。一夜悠然駕靑鶴。馬山西望一半空。雲巖侍御又繼逝。也應先後御仙風。自顧蓮花山北老。與子同年臭味同。同老居然先送歸。却憐無路曳殘躬。躬未餞兮替以詞。詞有盡兮意無窮。</text>
<title>挽金瑞以 龍紀</title>,<text>風度頎然處事牢。對君疑是飮醇醪。翠堂松菊遺芬古。赤壁烟霞晩景豪。每歲花辰蘇病健。一朝桑㥘馭雲高。長歸忍別庭闈去。稍慰園林卜一臯。</text>
<title>挽金進士 煕紹</title>,<text>頎然玉立澹淸襟。濁界纖塵不敢侵。送弟曾鳴奎閣佩。課孫新舞桂花簪。四攸好以天釐溢。三達尊惟地望深。巹席重斟霞液罷。鳳隨凰去奏仙琴。文酒高筵剩襲馨。舊遊回首盡晨星。公歸太白山無主。病伏遙瞻涕泗零。</text>
<title>輓柳燁如 晦文</title>,<text>薑辛桂辢得於天。盟主吾林占上筵。妙歲摳衣湖學士。明時獻策泮宮賢。波中砥柱還成激。雲外氷輪自在圓。整理斯文多未了。蘭庭留付好家傳。</text>
<title>挽金參奉德涵 鎭國</title>,<text>先正賢孫有典刑。軒昂疑是鵠鸞停。四攸好以淸優福。百不憂惟綵滿庭。身入泮庠縻薦罽。兒登瀛舘侍橫經。板輿未及仙輧到。鶴峀遙瞻晦德星。前年乘月訪荒濱。半世心交到老新。大嶺晨星知己少。病翁頹卧獨傷神。</text>
<title>輓宋叔敬</title>,<text>襄陽奇士客星坡。忽報征驂駕鶴過。梅老遺芬氷月圃。竹溪新寓水雲窠。豊城吐納晴虹氣。郢市徘徊白雪歌。玉蘊精華縝且栗。金堅操守淬而磨。汪洋陸海潘江是。搖落郊寒島瘦何。歲暮棲遲花樹里。夜來飜轉海桑波。嗟哉董逝無韓傅。已矣荊咻泣卞和。哭弟悲酸餘老醜。與君酬酢許洋峨。春歸黌舍飛花席。風撼書巢某樹柯。病裏不堪禪宿涕。爲題哀輓自滂沱。</text>
<title>輓李際可 秉運</title>,<text>海內朋知次第淪。弊箱華墨宿芳塵。廬江講義推儒匠。湖嶺分憂頌吏循。衣鉢一家傳至訣。塤篪當世重希珍。藹然泉石高山塾。許大經綸付後人。</text>
<title>挽金進士 煕鏞</title>,<text>海內推詞伯。天將介福輸。文章超二陸。門戶許三蘇。欝氣干牛斗。鞱光握瑾瑜。紹遊如昨夢。病伏起長吁。</text>
<title>輓柳參判士鉉</title>,<text>鳶魚聖世振思皇。喬木雙抽桂佩煌。契會昭融虞出納。䂓摸綜密漢循良。芝蘭次第新司馬。花竹優游老侍郞。抱此三尊歸洞府。古來不朽是文章。</text>
<title>輓金君實 履秀</title>,<text>哭人祖子孫三世。尋常舊讀昌黎辭。古有禪宿至流涕。此語曾聞紫陽師。此皆感傷浮世事。不意於吾親見之。少友君實煞好人。斯人何遽至於斯。晩翠松陰藹遺芬。芳蘭移植陶坪芝。愛君儀度秀而丰。愛君衿懷坦而夷。愛君揮毫逼眞格。愛君綴賦鳴雄詞。馳騁黌堂文酒會。謂君高步登雲逵。身經大小百餘戰。李廣無功緣數奇。由是蹉跎一措大。居然桼髮皓如絲。夫何一病人事非。上元明月屋樑悲。鄕無善士多浙恠。洞失賢師曠董帷。况是鄰居八耋翁。失此佳友空漣洏。昔君携笈從我遊。自愧無術交提撕。君推先誼頻顧問。且與兒輩相追隨。栗里烟霞赤壁月。從此蕭然主張誰。君歸不忍無我言。伏枕和淚草輓詩。</text>
<title>挽金仲成 永集</title>,<text>兩家先誼篤。君我侍傍知。風樹餘生對。金蘭歲暮期。江樓炎晷永。蓬嶼柳陰移。向哭龜亭老。如何又此悲。</text>
<title>挽李愼可</title>,<text>玉枝溫栗藹靑襟。磨礪重如百鍊金。復得賢孫夫子宅。單傳要訣紫陽箴。文詞鏗戛華因密。經義硏窮奧必尋。蔭道棲遲齊抱瑟。梅衙淸靜宓鳴琴。尤川學政方回古。葉縣仙鳧忽見今。枳棘蕭條鸞遠翥。棣花零落鴈孤吟。高山縟禮何時擧。大嶺文星近夜沉。泮水從遊如昨夢。病翁無語獨傷心。</text>
<title>挽金孟元 永學</title>,<text>癯鶴淸儀逈出羣。故家儒雅許吾君。持心謹拙規摸正。接物溫柔氣味醺。往歲倏歸樞令駕。苦心方鋟斗翁文。殘年又哭同聲友。病裏長吁倚落曛。</text>
<title>挽金內兄振如 萬鍾</title>,<text>維我渭陽賢從氏。曰有閑渚老處士。家世甁山先正孫。生涯衡泌隱君子。孝友承家守靑氈。謹拙持身堅素履。敎子業就遊場屋。往往得雋執鞭弭。臘天風雪閉門深。村秀少兒課書史。課之數遍猶未了。忽自翛然隱小几。柴門前對蓬萊嶼。蓬萊羽客應招俟。與我同堂又同庚。長我數月兄呼以。愛公冲淡堅木訥。憫公搖落甘蔬水。我羡公健便起居。公憐我病艱動止。忽聞公逝我懷惡。使我添病頹不起。固知不悲無幾時。姑此泫然寫我誄。</text>
<title>挽金義兼 瑩</title>,<text>晩翠堂前松欝欝。簪纓詩禮好家閥。昔我同年員外公。郞潛幾年中道蹶。稍慰同堂賢叔在。若公才器鄕之傑。五經腹笥便便大。龍池一躍鵬路濶。內省豹直嚴管鑰。霜臺鶚薦峨簪笏。棲遲晩作南郵吏。愛民奉公做樸實。歸來剩得書史富。滿架黃卷堆新秩。謂公淸嘏冠吾儕。吾所自附婚姻末。張負孫郞荀彧佳。玉潤蘭抽遽摧折。缺界難圓終古然。使君福履圓而缺。固我衰朽宜多病。以公強健胡貞疾。所恃惟公天賦厚。豈意乘化居然忽。海內朋知凋零盡。去年已哭金叔一。卧病誰言不相送。生別猶然况死別。不悲無幾猶自悲。強題輀辭替相紼。</text>
<title>輓金景中 永貞</title>,<text>龜鶴亭南畔。蕭然草屋淸。其中若有士。太上貴無名。眉不憂貧皺。眸惟見字明。詞華窮且富。身世遯而亨。坦蕩元無芥。幽芬獨佩蘅。風流五十載。湖海一書生。雅度閒仍曠。詩工晩益精。酒餘無故泣。秋後不平鳴。灞淚君何戚。河洋我昔驚。鄕鄰拚舊誼。詩社結新盟。嘯詠緣無事。團欒覺有情。每逢聞郢調。那意隔緱笙。鷗渚三春暮。龜臺一半傾。蒼葭孤立鷺。喬木斷歸鸎。海內無知己。宗兄昔此庚。臨風何限淚。不忍送丹㫌。</text>
<title>輓從叔父處士公 師立</title>,<text>夏寒亭古宅。重新我伯祖。伯祖第三房。實維我叔父。叔父肖典刑。庶乎繩其武。孝友詩禮學。斤斤幹先蠱。天和發言笑。秀色濃眉宇。出遊鄕社間。進退遵䂓矩。居然成耆老。過稀纔二數。齒德達尊三。壽康景福五。膂力猶不愆。神色尙華膴。人皆謂我公。期頤享純祜。昨臈凰先逝。新堋未乾土。夫何康健姿。忽此嬰二竪。間日時往診。稍喜若小愈。那知一夕間。倐忽轉風炷。遂令苟全人。形影益凉踽。宗宅昔滄桑。賴公持門戶。周旋板蕩際。屹爲先亭主。梨楸香火資。齊心拮据聚。庶殫數年勞。莎改石又樹。此議未就緖。公歸奈跛𥌒。憶曾同隊魚。蓮溪又鸛浦。到老仍爲友。棊酒峨洋譜。社會偕藜杖。農談問桑圃。一往復一來。南陌又東塢。萬事今已矣。姑此保殘縷。前痾近又添。頹卧困炎午。公歸曠漠鄕。骨肉會仙府。陪吾先祖禰。塵界倘臨俯。不悲無幾時。何必淚如雨。</text>
<title>輓金季文 鼎燦</title>,<text>蒼然古色老成風。君去吾榮一半空。家世鶴峯夫子裔。生涯馬麓主人翁。共庚三日差先後。知己百年無異同。衰病不堪良友別。義齋霜月輟枯桐。</text>
<title>挽朴進士德章</title>,<text>明時司馬曰升諸。儒雅多君餙舊廬。對客日斟文擧酒。携孫常讀邵南書。滄桑可奈天無定。寶樹猶應慶有餘。篤友當於存歿見。弟兄先後共雲車。</text>
<title>輓金聖尋</title>,<text>論議軒昂氣節高。許君湖海一時豪。黌庠課學䂓模整。忠烈扶綱秉執牢。蘭砌芳年登魯頖。竹磯隨處玩莊濠。風流末席從遊友。况也長吁病思挑。公健常憐我病衰。那知我病哭公爲。人固有情悲不勝。不悲無幾不須悲。</text>
<title>輓宋道純 弘洙</title>,<text>兩家聯世接隣芳。髫黑相携到髮黃。文酒風流多浩蕩。溪山氣色獨軒昂。憐吾病蟄頻來訪。與子形骸淡欲忘。最是傷心初夏月。送歸林路日斜陽。</text>
<title>輓宋宗文 學程</title>,<text>晩對亭西一草堂。主人如玉葆幽光。公車潦倒憐奇數。書榻優游喜闇章。老去只堪聾世事。病來那意服仙方。白頭悄坐同庚友。文酒前遊宛劫桑。</text>
<title>輓詞[金羲壽]</title>,<text>嘯翁門戶襲遺風。輿誦南州士友中。經術元從踐履得。文章遂與地望隆。棲遲薄宦平生迹。炳燭殘編歲暮功。歎息月湖衣舃遠。祗今耆德孰如公。老洫猶能記昔遊。與君傾盖卄經秋。未曾盤谷膏韓轄。爲向陶湖泛剡舟。鬢髮遙憐共衰暮。詩尊那得好倡酬。三千一握吾何信。獨立人間淚不收。</text>
<title>輓詞[姜必孝]</title>,<text>潘南名閥嘯翁孫。才行輩流獨擧幡。少日承明簪筆侍。晩年鄕邑去思存。城南合眼遲明復。山北同庚失誨論。搖落晨星公忽去。哀章欲寫淚先昏。</text>
<title>輓詞[李羲發]</title>,<text>山南文獻嘯翁家。十世增光舊德華。黼黻明時誰不若。絃歌小邑豈云多。遐籌竚看銀緋降。積慶長留寶樹嘉。傑氣崢嶸消未盡。白山遙望紫蒸霞。皷角騷壇憶少時。湖樓一見許心知。淸朝薄宦從遊久。末路交情古道期。雲樹天長勞遠夢。峨洋絃絶有餘悲。空留寶唾盈箱篋。牛斗精光夜夜垂。</text>
<title>輓詞[金在仁]</title>,<text>有友居盤谷。無人製玉樓。微官多未達。老赴修文儔。</text>
<title>輓詞[李家淳]</title>,<text>嘯翁詩禮有眞傳。蓮桂聯芳八世氊。一路南床空自枳。誰將公議問花甎。臺憲三朝久歷敭。儒風國計試恢張。恩漏重泉天不愛。憾公猶欠引年觴。九龍巖會幾成仙。却羡聦明尙少年。松湖秋鱖寒泉酒。一夢尋常鶴上緣。</text>
<title>輓詞[權載大]</title>,<text>經術文章本不歧。壯元聲價振京師。重華韶樂參差鳳。八秩林泉五総龜。諫議何官終逸圃。菑畬是事繼長麗。追隨冷井還如夢。露曲聞來漫涕洟。泮水秋淸四十年。先天雨露墨雲鮮。鳳棲樓上陽春曲。墮淚碑成却泫然。</text>
<title>輓詞[黃中敏]</title>,<text>巨擘嶠南一。達尊天下三。以玆廊廟器。不盡江湖心。鄕里夥成就。簡編足泳涵。十年談笑夢。撥病強悲吟。</text>
<title>輓詞[李彙寧]</title>,<text>昔遊陶院又榮衙。隨處春風座上多。山水百年蟠谷社。文章八代嘯臯家。循良歷試諸州可。潦倒生逢末世何。却憶迎薰三老會。那堪孤露唱薤歌。</text>
<title>輓詞[李衡相]</title>,<text>人間七十有九秋。諫院大夫晩圃休。氈業留傳蟠谷社。絃歌猶在鳳城樓。東班儀表千人動。南國文章一代優。公去公來關氣數。百年迷路夕陽愁。</text>
<title>輓詞[鄭光植]</title>,<text>高卧鶴山積氣前。案頭常有紫霞烟。閒披舊帙三千卷。好了完名八十年。歲晏園林多隱約。霜深桃竹倍勍堅。南中耆舊今誰在。寂寞蟠溪涕潸然。</text>
<title>輓詞[金騏獻]</title>,<text>南望蓮華降璧躔。團春和氣八旬年。健陵日月文明會。元祐風波地望全。月下重尋雙古劒。人間未遇六神仙。後生吾黨今安仰。梅雨靑山咽夕蟬。</text>
<title>輓詞[琴詩述]</title>,<text>尙記兒時獲拜嘉。炯然眉矚動精華。陳荀故國皆賢士。董馬西京獨大家。柏府萬言傾悃愊。鳳城三載聽絃歌。南州耆德今誰在。吾黨相逢涕淚多。</text>
<title>輓詞[權載鈺]</title>,<text>文垣聲價冠羣英。嘉會初年際聖明。萬事涒灘空泣劒。八旬臺憲竟題旌。藍田種玉裕餘慶。玄草知雲待後生。耆德鄕隣瞻仰地。虞詞越吊愧微誠。</text>
<title>輓詞[金相鏞]</title>,<text>南州人物聖明知。畢竟升沉不展騏。皓首薇垣同寂寞。丹砂句漏更棲遲。文章庇子應千帙。和氣醺人坐四時。好谷中蟠薖軸地。古梅踈柳獨飜披。</text>
<title>輓詞[金輝鍾]</title>,<text>奎璧耀南躔。淑氣泊山陽。公時稟精華。髫齔咏鳳凰。長嘯視宇宙。鵬圖不可量。屹然竪朱幟。所向擅騷塲。風儀振衰季。文章下帝傍。泮沼折蓮花。蟾宮拚桂香。菀爲華國手。多士競瞻望。棘棲屈仇長。花縣跼潘郞。才命不相符。自古嘆賢良。睠彼先人廬。桑麻水鏡莊。黌老讓皋比。溪友供壺觴。已矣歸去來。優游而徜徉。天固報不食。三蘭燁有光。眚眼卽无妄。古有水部張。世無錢虞山。孰爲潤甫揚。白雞奄告期。吾黨痛云亡。八耋欠一籌。隙駒理何忙。緬思先君好。孤露倍感傷。頹波倚砥柱。冤海慰烈孀。襟期晩益篤。病枕各悲凉。我遭梁山痛。公有輓誄章。點犀照泉路。一字一涕滂。窮僑故人子。餘恨阻龐床。辜負違執紼。窮宙徒茫茫。</text>
<title>輓詞[李容敏]</title>,<text>山南木稼正堪悲。八十年今一夢疑。正廟朝廷知遇士。九原何日復來期。自在髫齡已沐薰。先生詡我逈超羣。經冬一拜仍千古。南望緘辭立暮雲。</text>
<title>輓詞[權寅壽]</title>,<text>蓮花峯下杏槐村。中有先生行義門。正廟朝廷興學士。嘯翁詩禮稱家孫。平居接物渾和氣。諫院封章揔格言。新野軒空公又逝。嶠南丈席更誰存。</text>
<title>輓詞[李龜言]</title>,<text>猥托潘楊契。薰然拜好顔。三朝餘白首。一壑有靑山。詩酒耆英畫。聲名元祐完。漳濱違相紼。小子涕潸潸。</text>
<title>輓詞[金樂崇]</title>,<text>淸世有遺逸。藻華動玅英。王掄忘寵辱。龔勝夭香明。誰促黃梅雨。空聞白鶴聲。先修零落盡。今又負平生。</text>
<title>輓詞[金鏗壽]</title>,<text>耉德於吾幸見親。嘯爺家學認傳眞。臺司白簡風稜儼。鄕社靑莪敎育新。四壁圖書優活契。滿庭珠樹裕餘春。後生疑問從何質。回首軒屛倍愴神。</text>
