<title>送人作南郡。用李季眞 稹 韻。</title>,<text>小吏發長安。風光行正好。寒梅開未落。春早江南道。</text>
<title>雨中起之掉舟而至。次酬日昨示韻。</title>,<text>榮落都輸命矣哉。百年豪氣倚層臺。好風穩送尋幽舫。佳雨宜傳志喜杯。只隔山溪歸莫促。且爭棋奕興方催。自憐暮境才全退。追和新詩亦懶裁。</text>
<title>睡起漫賦。錄寄起之促會。</title>,<text>湖上淸和午景遲。柳風輕颺麴塵絲。倚樓逸興知君旺。攲枕酣眠笑我衰。想遣家僮頻擧網。應呼隣友更敲棋。詩腸皷吹流鸎在。似促閉人一會期。</text>
<title>次弼卿韻示起之</title>,<text>酒賦衰年興未殘。尙堪風雨過蘇端。門關白日眠烏几。簾捲靑山岸鶡冠。且任繁花經爛熳。獨憐幽竹報平安。江湖一病緣憂國。消瘦東陽帶漸寬。</text>
<title>次酬弼卿，起之。</title>,<text>睡起唯聞黃栗留。世人誰識水西幽。披襟岳色常褰箔。照眼花枝故近樓。且任江湖隨處住。本來天地此生浮。猶餘宿習耽佳句。况有同聲和輒求。</text>
<title>寄仲美</title>,<text>一讀君詩一散愁。正聲千載未全休。光增鄴水朱華筆。氣壓滄溟白雪樓。自顧汗宜流籍湜。應知目已短曹劉。小巫便覺心先沮。河伯寧追海若遊。</text>
<title>爲別趙嶷望。會石村。翌日。次起之示韻。</title>,<text>江深五月爽疑秋。送客兼宜避暑遊。瞑後順流回小艇。醒來隨意倚高樓。身名潦倒從吾分。酒賦留連有底愁。幸賴同聲二三子。相過百遍不知休。</text>
<title>起之來訪。示舟中所賦。走次。</title>,<text>敲棋把酒句仍聯。連日佳遊豈偶然。看處江山堪可畫。買來風月不須錢。披襟快閣微凉度。騁望平蕪落景懸。一棹沿洄相訪地。剡溪乘興較誰偏。</text>
<title>起之又與弼卿來訪。疊前韻共賦。</title>,<text>眞長安石枉車聯。揮麈淸譚覺爽然。共振直聲風憲席。俱辭榮祿水衡錢。身如落葉江干聚。心逐傾葵日下懸。同病同隣湘岸客。窮途披寫對君偏。起之，弼卿。是姻兄弟。俱以憲職言事屛逐。故起句及上聯及之。</text>
<title>三疊。酬起之，弼卿。</title>,<text>佳作重投拱璧聯。喚吾當午睡頹然。懶休楊子譚玄草。貧乏嚴君賣卜錢。風榻客歸江籟滿。夜樓詩就月輪懸。東屯西瀼元相近。團會還因內弟偏。</text>
<title>四疊</title>,<text>袁楊世胄共蟬聯。劉謝姻親更爛然。美彩價同雙白璧。瓌材選自萬靑錢。江湖豪氣樓臺逈。詞賦牢騷日月懸。榮辱試看都御史。向來爭道寵光偏。</text>
<title>走次弼卿，起之喜雨一律。</title>,<text>一雨良由祐自天。三農相與抃於田。誠宜有格休徵速。聖不爲功巽旨宣。志喜可無詩迭和。蘇枯渾似病兼痊。端居杜老年豐願。村社深杯賀共傳。</text>
<title>再疊</title>,<text>槐柳陰濃雨後天。芳洲極目荇田田。習池對酒唯山簡。御史休官是鮑宣。鬢雪已緣憂國滿。頭風多賴枉詩痊。江湖十日高樓會。誰倩龍眠畫裏傳。</text>
<title>次雨聲亭題板韻。以副李君 彦紀 之索。</title>,<text>百年榮落揔浮雲。晩計將追學稼樊。笑我平居無別墅。羡君先業有華軒。雨聲秋後凉侵寺。江色春來綠映村。宿昔登臨餘興在。會須乘月更敲門。</text>
<title>贈綾州牧尹仲麟 趾善</title>,<text>蕭條吏部宦情踈。湖外還乘刺史車。綠幕黃簾少公事。白梅蒼竹繞官居。新秋別緖蟬吟樹。故國歸心鴈帶書。此是內兄曾莅地。向來存沒更沾裾。</text>
<title>江樓月夜。次贈沈甥。</title>,<text>滿樽新釀酌蒲城。醉倚高樓月轉明。年事雪添雙鬢換。世緣秋共一毫輕。蛩音亂向吟邊集。江籟偏從話裏淸。己分此生成漫浪。莫將身計問君平。</text>
<title>挽李承旨 夏</title>,<text>二十登科四十殂。銀臺玉署揔須臾。可憐名早何終嗇。堪惜才多亦暫需。兒是典刑俱秀發。親如宿昔重嗚呼。泉途埋却精明士。江漢秋風淚滿鬚。</text>
<title>對使走次梧灘示韻</title>,<text>多君妙語發天慳。忙展詩牋爲解顔。遵渚鴈飛㵳𣲽外。倚樓人在畫圖間。秋來水色添杯綠。老去霜毛滿鏡斑。惆悵仲宣纔赴幕。與誰乘興溯灘還。一作玄亭空憶夜舟還。</text>
<title>再疊</title>,<text>病來詩酒興偏慳。枯槁相驚楚地顔。碧樹凉颸生檻外。白雲秋色滿江間。新棲奈乏田三畒。舊學慚窺豹一斑。少壯幾時頭已雪。仙方無計鍊丹還。</text>
<title>會石村翌朝。適得一壺。且約漁者覔魚。邀起之，仲翊不至。走賦一律促之。</title>,<text>我往君來只小舟。何妨連日作遨遊。江潮初上雨迷渚。海燕齊飛風滿樓。約束釣徒魚或覔。招呼從事酒還謀。閑居興味俱堪詑。佳會差池最是愁。</text>
<title>臘月十七。終夜大雪。江樓朝起。四望一色。有一漁翁披蓑垂釣。宛是柳州詩上語也。口號記所見。</title>,<text>臘前初雪忽紛繽。曉起江干一望新。髭變滄浪山亦老。花開爛熳樹先春。閑情坐想尋梅處。豐兆行看有麥辰。堪笑耐寒蓑笠叟。晩來多事試垂綸。</text>
<title>贈別長興金使君 世鼎</title>,<text>君騎紫馬佩靑緺。告別江南路正賖。稗海魚鰕饒物產。橘林籬落遍人家。炎鄕將攝身須健。暮景分離鬢各華。何遜春來詩興足。幾回東閣賦梅花。</text>
<title>題竹里舘。示主人具同樞 鎰。</title>,<text>君居幽勝離塵紛。竹里爲名古亦聞。中允輞川重闢舘。將軍何氏早能文。欒家瀨畔人烟似。華子岡前物色分。休道角巾歸第晩。佇酬恩渥立奇勳。</text>
<title>與仲美，起之對酌聯句。翌朝用其韻錄寄。</title>,<text>相携勝友俯滄洲。杯酒何須共五侯。白日遲遲棋上了。淸江衮衮席邊流。嵇公懶慢仍成習。蒙叟逍遙已辦遊。醉後送君渾不省。依俙沙岸記停舟。</text>
<title>對使。走酬起之示韻。</title>,<text>竹樓晴景映書巢。歎息殘年志業拋。美價君同和氏璧。散材吾似魏王匏。沙沉對榻經新雨。路熟緣江俯晩郊。乍阻却敎詩替面。不然何以慰窮交。</text>
<title>述日昨玄江之會。示金廣文仲翊 萬翼。</title>,<text>昨過玄亭幽興長。野梅結子山榴香。浮瓜沉李揔時物。行酒賦詩仍夕陽。官冷鄭虔益踈放。途窮阮籍猶淸狂。醉來忽憶少年事。衰白秪今神內傷。</text>
<title>次起之韻</title>,<text>雲出無心鳥倦歸。二年棲息一枝依。分甘江海餘生足。資乏田園十口饑。老子每扶桃竹杖。故人同着芰荷衣。平居佩服前修訓。歲暮襟期兩不違。</text>
<title>次酬弼卿</title>,<text>江上高樓每共登。沙頭小艇迭相乘。兒童或道是狂客。我輩卽知非俗朋。飮興何妨尋酒店。歸時正合伴漁燈。敲棋覓句揔閑事。夢斷南柯尋莫憑。</text>
<title>起之，仲翊來訪。示舟中聯句。走次。</title>,<text>西樓佳約二君同。幾度扁舟自瀼東。談屑正霏犀麈外。心期相照玉壺中。片雲欲落催詩雨。高柳微吹醒酒風。幽興未闌先酩酊。憐吾衰態已成翁。</text>
<title>又次起之韻</title>,<text>暮途棲止此相依。微爾吾今誰與歸。郭外澄江元占勝。村中好客莫言稀。徐移坐榻靑槐蔭。閑送吟眸白鷺飛。取醉不愁樽易罄。散臣端合典朝衣。</text>
<title>申寅伯解西藩。來住江榭。約與仲美起之同訪。先寄一律。</title>,<text>賜環吾尙卧滄洲。納節君仍隨白鷗。且待雪堂携二客。差遲剡曲掉孤舟。紛紛浮世無窮事。衮衮長江不盡流。悄坐懷人良晤阻。獨留明月滿高樓。</text>
<title>次弼卿寄贈寅伯韻</title>,<text>枉詩佳絶逼高岑。欲和陽春我豈任。按使遐情鴻的的。散人幽致竹深深。湖邊舊會應追憶。峯頂新棲可共尋。石瀨梧灘閑繫艇。待君乘興引朋簪。</text>
<title>次酬仲美</title>,<text>簾捲西山爽入樽。新秋晴景媚高軒。霜前落鴈遵沙渚。月下鳴榔溯海門。晩境素心終不改。窮途靑眼更誰存。凉宵稍可親燈火。案上南華討寓言。</text>
<title>臨書賦寄權至叔</title>,<text>秋色江臯暮景斜。叫霜賓鴈下平沙。含杯政屬重陽近。吹帽還嫌兩鬢華。每憶故人淹嶺外。何來遠札到湘涯。王弘好事誰能會。惆悵無錢對菊花。</text>
<title>重陽前二日。任文仲，沈仲美會龍山。寄示席上所賦。次韻却寄。</title>,<text>漳濱衰病日侵尋。蕭瑟詩騷亦楚音。吹帽龍山聞勝會。探珠驪穴想豪吟。淸新沈約高樓句。磊落任公大釣心。悵望秋天懷二妙。夕陽無限下遙岑。</text>
<title>重陽日。與隣社數人會話。醉次唐律韻。</title>,<text>不用登高素滻源。偶携隣友好開樽。江干木落秋涵影。磯畔潮回石露痕。揷菊揔非衰境事。賜萸追憶邇班恩。玄亭舊侶還乘興。幕府餘閑遠叩門。起之亦自城中來會。</text>
<title>重陽後一日。會灘醉賦。</title>,<text>灘樓竹舘近相望。分日遨遊老興長。後約更留三五月。佳辰可作兩重陽。驚秋華髮羞吹帽。向客寒花勸泛觴。已覺浮名都是幻。唯將痛飮信行藏。</text>
<title>酬弼卿。兼示仲美。</title>,<text>憶會龍山醉帽斜。滿籬佳菊有黃華。放來南浦乘流鷁。歸趁東城返照鴉。遶渚瘦岑秋似畫。蔭磯踈柳老成査。主人健筆凌陶謝。題品偏宜詠鶩霞。</text>
<title>次文仲韻。寄仲美。</title>,<text>急景窮陰歲暮天。病夫終日閉窓眠。酒樽久卧荒年後。梅萼先開臘月前。幾向稽山尋賀老。重遊赤壁負蘇仙。江湖舊跡成追憶。唯待他時畫裏傳。</text>
<title>次弼卿韻。寄仲美。</title>,<text>江干棲息與心違。城郭經過識者稀。潘令早衰驚鬢換。隱侯多病减腰圍。田園晩計何當就。酒賦歡悰亦漸微。悵望滄洲懷舊侶。春來佳約在漁磯。</text>
<title>酬仲美再疊</title>,<text>何妨世與我相違。郭外僑棲勝槩稀。繞閣竹林淸作韻。倚江柟樹老成圍。輞川居士塵緣少。錦里先生活計微。愧殺滄洲容易別。幾回歸夢水西磯。</text>
<title>走次文仲韻</title>,<text>千船 一作酸醎 世味飽曾 一作閱來 皆。牢落殘年素志乖。任性不妨踈禮法。爲文自笑類俳諧。擁書萬卷家逾窘。通道三杯境便佳。卧穩弊廬朝懶起。簪裾夢斷曉鐘街。</text>
<title>客歲重陽。與文仲，弼卿，起之會于灘樓。酒賦而罷。今又與三君訪灘。適是上元日也。灘弟道明自南縣來。起之將赴端州。兼識其事。屬座上求和。</title>,<text>重陽之會上元期。令節灘樓訪輒宜。四座誰非前度客。百篇爭續舊題詩。不知錦石秋花艶。何似冰江夜月奇。秪惜歡悰兼別緖。使君南北送迎時。</text>
<title>酬灘翁再疊。兼示道明。</title>,<text>灘頭聯榻幾相期。城裏關門百不宜。出郭偶成佳節會。臨江同賦早春詩。園梅殿臘開猶澁。渚雪迎暄皺亦奇。堪恨卯君逢却別。未敎鳧舃駐多時。</text>
<title>贈柳起之出宰端川</title>,<text>矗矗雲天二嶺橫。嶺中間是福州城。吾多已閱關心役。爾亦今非得意行。道合展禽三黜直。官宜伯起四知淸。獨憐南北頻成別。撫跡西湖一倍情。</text>
<title>爲別起之。會灘樓。走次主人韻。</title>,<text>麴塵垂柳颺江村。魚躍春漪閃閃翻。良晤每從佳境辦。幽懷難與俗人論。平臨極浦樽罍逈。近集圓沙鴈鶩喧。末至喜逢驚座客。還嗟關塞攪離魂。弼卿追至。</text>
<title>奉寄文谷金相公 壽恒。用淸陰集中韻。</title>,<text>晩卜西湖作散人。向來東閤隔芳塵。萊公受玦雷州日。賈傅投書楚水春。髭髮涪南應復勝。文章夔後轉能神。誠忠不道要荒遠。夢入延英奏事頻。</text>
<title>仲玉兄赴赤城。翌日大雨終夕。率賦却寄。</title>,<text>千絲烟柳綰離愁。一闋驪駒雜棹謳。病劇擬分城外袂。情深追及渡頭舟。臨江別席今朝隔。滯雨行㫌底處留。從此閉門窮巷裏。有誰來訪與誰遊。</text>
<title>灘翁寄一律。要成初度之會。走次以酬。</title>,<text>桃華敷臉柳舒眉。惆悵芳辰病起遲。君健促成初度會。吾衰懶和再投詩。春疑染峀濃爲畫。雨足沾沙細若絲。添箇江居風味好。河豚政屬上灘時。</text>
<title>走次弼卿韻。寄仲美配所。</title>,<text>乍輟玄亭舊草經。江蘺新扈綠千莖。朝端下惠曾三黜。澤畔靈均又獨行。瞻望白雲遊子戀。別離淸漢故人情。何當更續灘樓會。秀句樽前得細評。</text>
<title>暮春書懷寄仲美。兼示弼卿。</title>,<text>謝事風塵卧舊棲。天時又屬亂鸎啼。詩因爾謫評無伴。飮爲吾衰諫有妻。長日抵年身漸懶。殘春如夢意都迷。書懷與報東屯客。惆悵佳期阻水西。</text>
<title>送春日。寄梧灘。</title>,<text>閑愁黯黯聽流鸎。爲餞東皇強一觥。樂事老來隨日减。芳辰此去隔年迎。依微雨柳渾如夢。輕薄風花太不情。自有靑蓮先獲感。惜餘春賦待君評。</text>
<title>灘翁居謫一旬。蒙宥還灘。詩以賀之。</title>,<text>孝理殊恩特賜環。湘潭逐客一旬還。山陰倚棹催吾興。濠上觀魚保子閑。白首江湖歌聖德。斑衣晨夕慰慈顔。暫時憂樂猶如許。何事曾非造化關。</text>
<title>贈弼卿出宰江陵</title>,<text>二刀益部夢初回。千里江陵別緖催。歷職已曾都御史。貶官猶是小蓬萊。行程遍踏鳴沙渚。到日先登鏡浦臺。莫道淮陽徒得重。吏因儒飾試君才。梧灘遷客賜環時。壺老同君領一麾。造物本來多戱劇。浮生何處少分離。西湖並馬今能否。東郭傳筒孰和之。獨有端居張仲蔚。閉門長夏病相隨。</text>
<title>贈任文仲出宰月城</title>,<text>分飛一鴈杳東瀛。又送雙鳧向月城。暮景駸駸俱已老。晨星落落自難幷。征途節序黃梅雨。祖席風光綠樹鸎。獨有休文同抱病。與誰聯騎訪灘行。</text>
<title>挽李季玄 知白</title>,<text>枚臯荀鶴以文稱。何地無才驗已曾。久識相門餘訓襲。先鳴詞苑特恩承。貂冠進秩元來早。鳧舃治民到底能。酒賦秦樓渾似夢。那堪又失一詩朋。</text>
<title>次李甥瀅四友堂韻 松，梅，桂，竹。</title>,<text>根移泰華氣干雲。魂返羅浮艶絶羣。摩詰問來方識爾。子猷看處可無君。幽期四友交皆淡。大道三杯對輒醺。好是月明人不寐。寒香淸籟揔堪聞。</text>
<title>贈孟休徵出宰安東</title>,<text>山蟠小太白相望。淸洛江光接淼茫。羅界一方玆最勝。漢朝千石卽惟良。永嘉地號同今昔。康樂風流較短長。應訪歸來亭上躅。可能容易解腰章。新秋凉雨滴高梧。蟬噪都亭別意孤。從此盍簪乖北巷。與誰聯騎會西湖。朋親漸覺晨星散。年事俱憐暮景徂。自是衡陽飛鴈到。素書頻寄索居無。</text>
<title>贈文化李使君 廷龍</title>,<text>久識陳家有季方。摶鵬壯志滯潛郞。之官鳧引王喬舃。爲政琴橫宓子堂。靜對松林書可讀。閑收秫畒釀堪嘗。山名九月多秋色。拄笏詩成滿錦囊。</text>
<title>劈蠏佐酒</title>,<text>盤中劈蠏紫盈匡。恰佐霜寒卯酒觴。應鮮俗人知有味。故輕公子號無膓。侯鯖飫似屠門嚼。禁臠珍非野客嘗。左手秪宜持此飮。蓴鱸淸興較誰長。</text>
<title>重陽日。得弼卿二律。臨書走次。</title>,<text>閉門重九到西暉。孤負携壺上翠微。度嶺鴈書今夕至。朝天鳧舃幾時飛。凄淸節物三秋盡。牢落心期萬事非。且待投簪彭澤日。與君同返遂初衣。灘樓纔訪沈休文。白雪新聲醉後聞。捲箔共看湖上月。停杯却望海東雲。道州遠札來何自。夔府淸詩思不羣。獨對重陽籬下菊。敬亭秋葉奈相分。</text>
<title>權悅卿來訪。抽簡齋韻共賦。</title>,<text>秋日荒荒秋序闌。繁霜落木近初寒。推敲屬我孤吟就。剝啄迎君一笑看。幾訪戴逵曾溯剡。還從李愿欲歸盤。呼杯共對東籬菊。忘却閑愁集萬端。</text>
<title>贈金夏卿 禹錫 赴燕</title>,<text>名祖家聲玉雪姿。訓傳忠信使乎宜。王程節序催新臘。帝里山河異昔時。禹貢包茅人事變。殷墟詠麥客懷悲。天翻三十餘年感。揔入烏蠻舘裏詩。</text>
<title>贈江界柳使君 尙運</title>,<text>陰山三丈雪崢嶸。都護豐貂可詑榮。塞外范韓新按鎭。禁中頗牧早知名。沙驚絶漠邊風迅。鵰沒寒空落照明。試向受降亭上望。男兒耻作一書生。</text>
<title>除夜。賦寄仲美。</title>,<text>雙鬢蕭騷百感生。獨憐燈火向人明。衰翁愧後屠蘇飮。舊歲驚除爆竹聲。行樂可能追少日。無眠亦自到深更。知君兄弟團圓處。春滿高堂上壽觥。</text>
<title>贈兪晦伯出宰茂朱</title>,<text>病妨仙漏午門朝。强折南州傲吏腰。葛令藥成丹竈術。興公霞賦赤城標。篁梅勝境誰相對。琴鶴閑情獨自謠。客歲內兄飛舃地。別魂重爲送君銷。</text>
<title>送族叔柳蒼老 松齊 督郵魚川</title>,<text>西陬宿債幾時終。四拜除書十載中。此去官曹重似馬。向來臺閣暫乘騘。移舟浿岸陳蹤遍。理屐香山勝賞窮。眷屬摶沙傷別恨。况今衰謝各成翁。柳叔四拜外任。皆是西關。而再爲督郵。</text>
<title>次奉仲美。兼寄弼卿使君。</title>,<text>灘頭烟柳已依依。雨漲春波近竹扉。夢裏陳徐聯榻數。病來元白遞筒稀。書從謝眺宣城府。詩自嚴陵七里磯。簪盍且期花發後。朝天鳧舃幾時歸。</text>
<title>灘樓慶壽宴賀章</title>,<text>良辰勝集水西頭。檻外春波泯泯流。南極老星明喜席。曲江仙舫近高樓。笙歌響徹驪龍宅。綵舞光翻白鷺洲。知是謝庭餘慶遠。賀章相屬座中酬。</text>
<title>酬灘翁再疊</title>,<text>西湖人倚曲欄頭。泛泛輕鷗逐水流。幾處柳風吹酒幔。一番梅雨潤書樓。傳筒仲蔚蓬蒿宅。散策靈均杜若洲。知我邇來憂病狀。枉留佳句久稽酬。</text>
<title>夏日述懷</title>,<text>梅子初肥榴吐姸。黃鸝紫燕共翩翩。此翁睡足無餘事。仲夏日長如少年。到老漸敎拋 一作除 宿習。投閑轉覺省諸緣。病來酒賦今還廢。坐讀南華第一篇。</text>
<title>挽沈靈光久玉 玖</title>,<text>螢榻同吾二仲兄。憶從童丱慣逢迎。亡琴子敬天倫痛。聞笛山陽日暮情。把酒每思西郭會。緘詞又送北印行。前秋贈別湖州作。點檢今朝淚滿纓。</text>
<title>次酬灘翁</title>,<text>芳隣良友昔相從。乖闕緣吾近放慵。緩酌也應成酩酊。大篇能復詑 一作騁 舂容。西湖爽籟開簾引。北巷蒼苔滿逕封。白雪樓題誰和得。令人却憶李攀龍。</text>
<title>贈順天安使君 後泰</title>,<text>昇平府號小江南。官况吾能未到諳。好是秋來持紫蠏。偏宜霜後劈黃柑。富村自昔繁華盛。荒歲須君政惠覃。燕寢蘇州吟嘯興。全勝臺省倦朝參。</text>
<title>秋夕前一日。出往松楸。行過二陵。馬上口占。</title>,<text>二陵秋色白雲生。逕路深幽信馬行。雜果垂林多細瑣。恠禽穿樹遞飛鳴。閑情每喜逢泉石。晩計何當返釣耕。入望松楸知不遠。微聞蕭寺暮鐘聲。</text>
<title>暮得灘翁述興促會之作。走次附回使。</title>,<text>擬叩中秋月下門。幾回佳約在湖村。輞川莊上邀裵迪。丁卯橋頭憶許渾。良晤漸驚時晼晩。新詩又到日黃昏。蘋風倚棹沿洄興。我病猶堪醉綠樽。</text>
<title>次弼卿示韻</title>,<text>遠別關心恰一朞。憶從江檻共憑危。坡翁赤壁曾題賦。謝眺宣城卽寄詩。處世漫存叢桂想。懷人又屬菊花時。秪今晩計思量熟。除却歸田百不宜。</text>
<title>贈趙勉卿 遠期 乞養洪陽之行</title>,<text>記昔春州爲養榮。大家隨子賦東征。板輿又送安仁喜。楓陛纔陳令伯情。揔荷聖朝新孝理。非關禁直厭承明。詩篇想得江山助。行見宣城一集成。</text>
<title>次酬灘翁</title>,<text>鬢絲垂白眼花漫。衰相從他俗冷看。宿習尙於詩律細。浮名早已宦情闌。含杯興在秋籬菊。高枕眠宜夏簟玕。此道非君誰更會。琴中山水賞音難。</text>
<title>贈趙嶷望之任固城</title>,<text>江村酒賦送君行。記昔雙鳧向赤城。湖左歸來猶隔面。天涯離別又關情。樓船海濶隨楊僕。棨戟門高近柳營。傲吏不妨時束帶。肯將榮落較身名。</text>
<title>贈李仲羽出宰仁同</title>,<text>曾持玉節按南維。潦倒玆行困一麾。素位不關榮落處。暮途非復別離時。召公棠化留餘頌。何遜梅開賦幾詩。西瀼耦耕兄弟樂。春來歸思子䂓知。</text>
<title>贈別尹泰升 堦 出宰晉陽</title>,<text>重溟出守大荒遷。慣送君行遠別筵。離緖秪今偏作惡。險途難盡轉堪憐。炎州豈是淸凉地。衰相都非少壯年。一壑臨湍棲息計。嶠南千里夢依然。泰升曾牧濟州。又謫鏡城。故起句云。</text>
<title>東里兄病後。弼卿自臨瀛來壽。走次席上韻。</title>,<text>霏微好雨政知時。春滿華筵晝刻遲。秦地早花迎遠客。謝池芳草照深巵。歡娛恰慰年來別。筋力休言病後衰。志會已聯坡潁作。退才還愧續題詩。</text>
<title>次東里餞弼卿韻</title>,<text>花動秦城雨送寒。一樽那盡對君歡。吳歌轉助離懷苦。郢曲元知和語難。壽席纔開荊樹下。行㫌又指海雲端。春殘鏡水波如練。歸泛蘭舟興未闌。</text>
<title>花事滿城。有懷灘翁。</title>,<text>花時把酒輒思人。江閣知君曉嚔頻。穀雨侵磯新漲浪。河豚上瀨已磨唇。逢春亦少歡娛興。垂老唯餘見在身。稍待桃華方爛熳。擬將蓑笠伴玄眞。</text>
<title>三春已盡。花事全衰。只桃花未及開。偶閱坡集。有且看桃花好面皮之句。仍演惜春之意。錄寄灘翁。</title>,<text>浪道春光太較遲。梨花欲謝杏全衰。但將美酒澆胷次。猶待夭桃看面皮。人閱少年成老叟。天敎餘閏借芳時。直須火急催行樂。世事紛紛揔不知。是歲有閏三月。</text>
<title>走酬灘翁再疊</title>,<text>午枕尋常睡起遲。閉門春盡歎吾衰。休爲靑白嗣宗眼。尙有陽秋季野皮。布穀政當催種日。河豚已過上灘時。濠梁谷口漫相待。耿耿此懷君獨知。曾欲歸耕江上。近又有觀魚之約。而俱未得諧。故下聯及落句及之。</text>
<title>與灘翁有花時觀魚之約。約未成而花已謝。漫憶江山之勝。錄奉一律。</title>,<text>擧網西湖計墮空。韶芳一瞥亦怱怱。江流不改千年碧。花事元無十日紅。夜笛細搖漁市月。春衫輕颺酒旗風。秦城把臂懷疇昔。惆悵樽前共禿翁。</text>
<title>仲玉兄宅。醉贈琶師白周生。</title>,<text>明妃遺響在胡琴。哀怨千秋曲裏深。古調酌今知國手。商聲變羽感人心。鵾絃鐵撥坡翁句。鸎語泉流白傳吟。憐爾不曾逢二老。世間誰復賞希音。</text>
<title>苦熱</title>,<text>庚熱兼歊旱焰張。矮簷那得一分凉。慢膚可耐韓多汗。大叫幾成杜發狂。河朔巨觥排酷吏。潯陽高枕到羲皇。除非二策難逃暑。醉睡無妨迭作鄕。</text>
<title>秋夜聽雨。有懷梧灘。</title>,<text>梧桐葉上雨聲高。秋夜懷君詠楚騷。老去此身同縶驥。世間何事勝持螯。陶潛且採重陽菊。枚乘應觀八月濤。一笑樽前期不遠。天敎閑興屬吾曹。</text>
<title>重陽前一日。示隣友。約登高之會。</title>,<text>忽驚明日是佳辰。强欲登高老興新。好雨先催重九菊。芳隣恰有兩三人。華顚不必羞吹帽。小戶何妨醉吐茵。解道難逢開口笑。直須沽酒撥家貧。</text>
<title>重陽日。與社中三人登北麓。醉賦屬座上。兼寄灘翁。</title>,<text>九日登高學少年。四人乘興揔華顚。酣霜赤葉偏宜賞。冒雨寒花亦可憐。落帽孟嘉傳故事。携壺杜牧有新篇。樽前獨恨休文阻。江閣佳期待月圓。</text>
<title>重陽日。余及灘翁。各成隣會。翌朝得灘詩。次韻却寄。</title>,<text>重陽北麓榻頻移。惆悵西湖未赴期。屬我盍簪隣社夕。知君爭席野亭時。茱萸揷遍還嫌老。叢菊開遲政待誰。忽得新詩能會意。一回披讀一回思。余於社中。三處移席。起句記實。</text>
<title>贈李擇之 選 之任沃川</title>,<text>人皆欲買沃州山。君佩魚符向此間。久識升沉都是幻。卽看行止轉多艱。北堂萱映稱觴壽。東閣梅供覓句閑。搖落別懷當暮景。雪深淸臘掩柴關。</text>
<title>贈襄陽柳使君 椐</title>,<text>正月靑門柳已絲。銅鞮一曲送君詞。峴亭水綠沙如雲。洛寺雲紅海浴曦。逸躅試尋龐姓老。豪風應醉習家池。流芳不必羊公石。要使襄民口有碑。</text>
<title>霽月甚佳。病餘寓興。錄示伯姪。</title>,<text>東山月滿雨晴餘。北麓人閑病起初。身到暮年那復健。興因佳境未全踈。春醅斟冷憐浮蟻。時物嘗新愛淨蔬。阮宅韶芳應漸促。小桃消息問何如。</text>
<title>春眠晏起</title>,<text>瞢騰曉睡味偏眞。雷鼾從敎撼四隣。老態幾回愁永夜。昏魔今却惱殘春。三竿日影升簾幕。百囀鸎聲喚 一作繞 枕茵。鞴馬何如舒膝穩。閑情不博早朝人。</text>
<title>將赴堂姊初度會。墜馬呻卧。望夜花月甚佳。戱述病懷。</title>,<text>次公醒赴一樽期。墜馬先因欵段疲。快處杜陵曾暫蹶。醉來山簡亦能騎。兩翁豪健俱堪詑。此老摧殘最可嗤。猶幸持杯手無恙。忍孤花發月明時。</text>
<title>贈尹甥世紀佐幕關東</title>,<text>不見金剛鬢已絲。送人雙屐每題詩。蓬山屬我何無忌。蓮幕須君庾杲之。暘谷近臨滄海濶。晉城遙望白雲遲。奚囊千首歸應詑。也是衰翁刮目時。乃翁。時宰晉陽。</text>
<title>贈吳元徵 斗寅 赴燕</title>,<text>坡翁卷裏記朝天。季札觀周閱幾年。犯斗仙槎曾渤碣。承家使節又遼燕。傷心萬事渾非舊。刮目千篇可繼先。驛路新凉征邁穩。輶車好趁臘前旋。元徵先考天坡公。曾在皇明泛海朝天。</text>
<title>贈稷山李使君 寅熽</title>,<text>謝庭闌玉早知名。壯志圖南欝未成。仕或爲貧聊爾屈。養能伸孝亦云榮。小封自可鳴琴理。孔道休嫌束帶迎。先相觀風曾此地。官卑猶足繼芳聲。</text>
<title>宿草郊村舍</title>,<text>茅茨孤燭翳還明。卧聽村鷄第一鳴。歲歉憂民眠未穩。年衰作吏意難平。含杯漫憶閑居興。覓句唯舒遠客情。明日郡齋愁絶處。案頭依舊簿書盈。</text>
<title>九月山濟衆庵。口號。</title>,<text>絶頂肩籃日已斜。險途方盡是恒沙。祖師龕下燈如月。薝蔔林中雪作花。老守憂民詢穡事。高僧留客說蓮華。恠來何物棲雙樹。靑鴿飛歸趁暝霞。</text>
<title>走次李甥觀周示韻</title>,<text>眉顰鴈鶩抱文書。忽接君詩意豁如。千里遐心同海鶴。一春羇思似池魚。民憂漫切饑荒後。吏役何堪病懶餘。彭澤秫醪須興盡。片帆歸計未應踈。</text>
<title>次灘翁寄示韻</title>,<text>君患多才似陸機。暮途優逸世緣微。輞川別墅新春望。彭澤扁舟幾日歸。千里吏情良獨苦。百年吾道已全非。前期更約滄洲伴。從此風塵可拂衣。</text>
<title>大殿春帖字 癸卯。居首。</title>,<text>淑氣葱蘢禁苑東。春光先入大明宮。仙班乍定天方曙。法酒初宣日正中。禽語似知歌聖德。柳條如欲扇仁風。均涵衆象陽和遍。八域歡聲處處同。</text>
