<title>對庭梅 五言絶句</title>,<text>畵梅雖盡妙。不似活梅眞。一點生生意。猶含陋巷春。</text>
<title>次崔戚時見慶龍韻二首</title>,<text>諸天花雨偶然逢。瘦骨凌兢亂髮鬆。耽學君猶親老蠧。寡聞吾豈辨癡龍。病懷論處貧相似。詩壘開旹酒亦從。因與共爲方外客。支頤抱膝坐高舂。梨面逢春寒瑟縮。蓬頭對月影髼鬆。逍遙蒙叟籬邊鷃。來伴神僧鉢底龍。郢客高歌無與和。河翁同病有相從。平生不作魔王業。他日刀山免剉舂。</text>
<title>一人携聲妓到山房。做歡一塲。次時見韻。</title>,<text>上方元是異娼樓。寓客亦非同俗流。分外管絃誰勸沮。這中歌舞自行休。祗能盡爾千般態。那得消吾一點愁。直恐世尊好淸凈。不容紅粉恣歡遊。</text>
<title>自山歸家。憂虞滿目。</title>,<text>歸家無物可寬愁。滿目蕭然冷似秋。堗廢自穿塵土積。庭荒不掃草茅稠。小孫索飯啼方苦。老婦蒙衾病未瘳。客到但言公稅急。十分猶欠一分酬。</text>
<title>歎衰</title>,<text>事多忘失精神减。動輒疲勞氣力衰。脚下難尋前日步。胸中亦欠去年詩。杖黎欲出先生㤼。把筆沉吟只自悲。童子問書還倦卧。任敎傍坐笑憨癡。</text>
<title>府伯趙公 明鼎 辱臨溪庄。謹次杜草堂謝嚴中丞枉駕見過韻奉呈。</title>,<text>鄒管和風遍野坰。宓琴淸響繞溪亭。窮途病暍霑梅雨。浮世逢迎等水萍。賸慰塵床揮白拂。自憐枯竹困靑寧。衣冠士女傾村舍。奔走爭先覩慶星。</text>
<title>挽李君漢老</title>,<text>吾於賢胤視如子。公亦視吾如弟兄。同老同貧常眷念。一生一死詎忘情。花溪春月昔年會。蒿里秋風今日行。有故未能扳紼送。不堪流淚自霑纓。</text>
<title>出遊載病還家 時燦兒出去花溪。所製草軸。留在架上。故腰聯第一句及之。</title>,<text>衝雨蹋泥䭾病歸。竹籬茅屋到人稀。塵堆廢堗烟沉壁。草沒空庭晝掩扉。兒子有書留藳本。老妻無席坐苔衣。一盂麁麥欺腸後。借宿隣家夢翠微。</text>
<title>老僧漢英遇一蛇於佛殿側。歐傷之。是夜夢有一髡闖戶而語英曰。若歐我曷故。我守此許久。若後來。何相厄哉。若能獨無業報。今姑寬。若毋再辱也。英驚覺向余言之。且曰蛇必守殿僧後身。某今守此甚可憂怖。余戱作二首以贈英。一爲僧語責蛇。一代蛇答僧語。</title>,<text>業報難逃法海天。作何罪惡佛王前。衮裟脫去生鱗甲。色相空來變蜿蜒。無路說禪參凈社。有時求食近齋筵。被人傷害休相㤪。只合深藏懺宿愆。右僧責蛇前身我亦着袈裟。花裓多年講法華。學佛謾勞舟刻劒。求禪正苦飯蒸沙。蟲蛇難免輪迴道。鸚鵡還遲解脫科。寄語爾髡勤守戒。惡緣只在一心差。右蛇答僧</text>
<title>暮歸途中。偶思烏川倅申維翰韻。仍次之。</title>,<text>一路荒郊秋草萋。長亭望斷短亭迷。烟生遠樹日將暮。雲壓高山天欲低。踈影時時飛野鳥。寒聲處處動莎雞。投筇拂袂催歸去。家在新溪溪水西。</text>
<title>先塋遷移之計宿矣。歲儉家貧。辦措無路。今秋遍告親友。得略干糓感吟。</title>,<text>螢雪幾年費舌耕。到今還羡老田更。蘇公一字終難喫。石氏三喪亦未營。賦就逐貧空歎息。詩成乞米但哀鳴。始知經訓菑畬說。韓子分明誤後生。</text>
<title>索居有感一首</title>,<text>梧臺燕石本非珍。十襲藏之閱幾春。自詑平生無價寶。還忘竊笑有傍人。已知處世爲謀拙。更欲傳家不計貧。癡病百年依舊在。猶憑瘦骨費吟呻。</text>
<title>贈栗里翁</title>,<text>竆陰積雪錮柴門。貧士偏多喫苦寃。冷突坐來凌病骨。寒灰撥盡凍詩魂。弱蕉風急無完葉。衰櫟春殘欲蹶根。何處故人樽有酒。短帆難泝剡溪源。</text>
<title>壬申元朝 在龍寺</title>,<text>上方鍾動五更天。得一年光失一年。觳觫不知屠肆近。蜉蝣寧㤪夕陽遄。臘盡雪留頭上白。春來花着眼中玄。迎新送舊還無賴。借卧禪房爛熳眠。</text>
<title>衲徒拜年者。逢僧皆祝成佛。見士皆願登科。戲作一詩。</title>,<text>花雨諸天物色新。紛紛來往拜年人。爭言昨夜三灾滅。盡道今晨萬福臻。儒士登科當世願。釋徒成佛後生因。衰翁濱死無他望。但祝時平糓滿囷。</text>
<title>次韓友韻</title>,<text>髩添霜雪眼添花。新歲其如舊敱何。老去世情輕似羽。貧來交道薄於紗。幾年阮籍窮途哭。隨處馮驩長鋏歌。却羡寒泉明月夜。詩書講罷聽啼鴉。螢囊舊業等空花。童稚初心奈老何。弊弊一身同朽木。昏昏兩眼隔重紗。愛尋牕底成酣睡。羞向尊前作艶歌。多感故人勤厚意。強酬詩句字如鴉。</text>
<title>六月初二日。西河任公覽揆日。胤君和卿與門族諸人。設酌邀賓獻壽觴。公春秋時八十九。雙瞳熒然。酬酢無倦。眞地上仙。不佞忝在席末。愧無以爲壽。謹搆四韻律詩一首以侑觴。</title>,<text>鶴髮高堂坐儼然。懸弧樂事屬炎天。彭翁亦是人間客。吾丈寧非地上仙。他日壽觴仍此日。今年慶席又來年。張蒼滿百猶餘筭。衛武休誇懿戒篇。</text>
<title>府伯至梅月堂呼韻。押得二首。</title>,<text>山深境僻恠禽號。梅影婆娑月滿臯。丘壑遺墟人寂寞。杉松古廟像淸高。世雖已變地無變。跡則可逃名不逃。北向花開如皦日。千秋悵望幾風騷。春山寂寂絶囂號。叢桂幽幽芳草臯。洞裡丹霞無主管。梅梢明月爲誰高。開花北向心長在。飛錫南來跡早逃。題罷新詩人不見。廟前踈竹正蕭騷。</text>
<title>默坐</title>,<text>兀然癡坐老頑皮。眼月沉光髩雪垂。不笑不言龕下佛。半生半死簀中屍。筋衰無復尋前步。齒落何能嚼舊詩。時喚沙彌進茶椀。披襟猶喜好風吹。</text>
<title>聞新倅到任 新倅金公善行</title>,<text>今日新官入府云。窮閻病卧不相聞。文章得似黃司諫。政事何如趙使君。僚佐貪風宜掃斥。吏人奸習欲鋤耘。絃歌亦是當行事。汶水芝蘭有舊薰。</text>
<title>欲遆育英齋任名。三投刺而不得。遂成一詩。示齋任李器汝。</title>,<text>猥荷諸贒眷愛私。育英八載謬相推。周旋恐被傍觀笑。奬進慚無片言䂓。小學講時蒙未擊。程文課處弊還滋。愚慵衰老兼多病。强副輿情一死遲。</text>
<title>索居無聊</title>,<text>數間破屋僅容居。陋巷生涯澹泊如。愛酒貧難謀一醉。看書老不惜三餘。客無經過門長掩。庭任陳荒草未鋤。可笑此生何所樂。謾將詩句病懷攄。</text>
<title>讀易</title>,<text>竆巷獨居斷客輪。易編相對自怡神。誦言不是明經士。推卦元非賣卜人。竟日沉潛仍失病。有時蹈舞忽忘貧。此間至樂誰知道。六六宮中無限春。看易恰如捕影風。卦爻彖象揔虛空。程朱炳訓多疑阻。姬孔微辭詎易通。只欲破閒供老事。可能竆理着眞工。朝餐已進猶佔畢。讀罷文言意未終。</text>
<title>自笑</title>,<text>欲爲工賈拙難能。作苦田家力不勝。舊業殘基惟破硯。暮年生計但枯藤。自忘辛味常呑蓼。不識炎蒸只慣氷。文字因緣終未斷。死應魂魄對書燈。</text>
<title>待孫友 爾和 不來。仍韓友。</title>,<text>獨守寒齋坐敝茅。擁爐終日對書巢。鳥鳴求友林光晩。風動驚人竹影包。月巷抱痾仍久阻。栗隄留約亦虗拋。柴門長掩輪蹄斷。不待移文廣絶交。</text>
<title>風捲茅屋</title>,<text>一陣狂風捲屋茅。數椽蕭爽若櫓巢。塵飛蝸殼呈眞面。葉脫鷦林凡老梢。頹壁獨存依舊棟。亂苫爭去走前郊。主翁安坐猶看易。碩果方尋剝上爻。</text>
<title>人日對雪</title>,<text>百年勤苦欲何求。抵老生涯儘謬悠。悔把棗心畫蛇足。愧磨菱角作鷄頭。詩魔已去貧魔在。癡病雖除懶病留。春困賣來困逾甚。窮崖積雪秪堪愁。</text>
<title>歎貧病</title>,<text>麁糲屢空老抱痾。丈夫窮困命如何。無錐莫問卓錐地。有鋏羞爲彈鋏歌。忘彼室中愁戚戚。任他門外笑呵呵。平生長物但文字。搜出枯腸時自哦。</text>
<title>留花溪槖空將歸排憫</title>,<text>自笑虗生大丈夫。還慚飽死小侏儒。寒聲孟藁千篇在。涸轍莊波一斗無。將返弊廬徒立壁。欲留凈社亦空盂。𠴨𠴨山鳥啼相近。似爲吾人慰暮途。</text>
<title>又次放翁朝飢示子聿韻 陸詩聯有曰。八十到頭終強項。欲將衣鉢付吾兒。</title>,<text>命窮難得福如茨。甔石無儲未免飢。公道只饒頭上雪。歡情賴有腹中詩。自將儒業爲常事。人把稀年有慰辭。身後欲傳衣鉢在。吾兒何似放翁兒。</text>
<title>花溪病後戱題</title>,<text>病到死時死卽宜。強尋生道欲何爲。乾坤俯仰雙蓬髩。魍魎追隨一皺皮。牕下昵朋惟筆硯。門前使者但筇枝。此翁耐久終無用。只得花溪草木知。</text>
<title>病起遣懷</title>,<text>枕邊長聽夜蛩呻。牎外旋看曉露新。謀拙自安貧到骨。氣衰何恠病侵身。案拋書史爲閒客。門斷輪蹄作棄人。婚嫁子平猶未畢。一愁時上老眉顰。</text>
<title>送燦兒往樂育齋</title>,<text>送汝西遊樂育齋。三陽淑氣動天街。周王棫樸祥風轉。召伯甘棠化雨偕。篇學正須窮性理。作文何必效優俳。願資麗澤諸贒力。慰此區區老父懷。</text>
<title>燦兒自樂育齋歸示僉賢贈別之作。其韻卽老物送兒詩韻。多感不遐之意。復疊其韻。以言老物竆居之狀。</title>,<text>七十衰翁半畒齋。不敎雙脚走塵街。無眠夜榻燈相伴。乘興春郊杖與偕。貧計迂踈都是幻。醉言顚倒殆如俳。兒傳樂育諸賢事。三復琚瓊豁老懷。</text>
<title>連翹花開如嫩金。久而色漸淡。</title>,<text>連翹滿發嫩金黃。贏得竆閭寶彩煌。一色姚家同爛熳。異時陶徑各芬芳。花宜浮白供詩料。子合調丹備藥方。濃處漸看生淡態。暮年相對意逾長。</text>
<title>魚隊契會席上醉吟</title>,<text>魚游一隊我門前。此會年年不偶然。春暮殘花紅欲歇。雨過芳草綠爭姸。衰顔和色杯中得。窮巷歡情詩上傳。頹卧昏昏吾已醉。任敎羣少盡餘筵。</text>
<title>排憫</title>,<text>無處人間着此翁。迷藏世態閃西東。一身早被詩書誤。百事皆從甔石空。夜坐雲妨看好月。春遊花怕遇狂風。少時行樂不容瞬。老去窮愁只撫躬。</text>
<title>次聚友亭韻</title>,<text>亭在咸安。故進士朴德孫所搆也。其詩曰小堂蕭灑爽靈臺。俯瞰晴川百轉來。岸外尖峰文筆秀。原頭高樹綵旗回。樽因好客尋常滿。花被東風次第開。老我如今何事業。不妨相聚共銜杯。事在咸州誌。後裔不能保守。安生慶一買得之。燦兒遊樂齋遇安生。生以此詩示之。因囑求我詩。遂次。江上小堂傍釣臺。前人已去後人來。花明舊塢春風轉。雨洗新汀暮鳥回。興廢溪山應有數。團欒罇酒定常開。此翁安得更年少。一往憑欄共把杯。</text>
<title>謹和衙舍落成宴席韻 府伯洪益三先成四韻</title>,<text>成都太守作遨頭。况乃巴陵百廢修。華屋一朝新制度。勝筵三日舊風流。已令僚屬同酣樂。復與親賓共暢遊。公廨䂓模今始得。合稱吾慶是䧺州。</text>
<title>次孫友明甫斗窩韻</title>,<text>天地中間一小窩。洞然無外亦無涯。近山自愛隨麋鹿。臨水何妨翫蛭蝦。開牖簷垂拱北宿。出門筇作措南車。知君最得幽居趣。時有田翁帶月過。</text>
<title>回甲以後所作文字。別爲一軸。名曰後生集。回甲前所作。當爲前生集。</title>,<text>舊丁卯付前生事。當以新丁卯作頭。暮境生涯從此始。世間煩惱自今休。蠧編宿業雖全廢。蚓竅餘音未盡收。回甲以來多少作。期於絶筆盖棺秋。</text>
<title>遣懷</title>,<text>老來吾得有吾身。坐卧行休自任眞。三尺竹筇無事客。一盂粥飯太平民。吟風咏月渾閒興。對酒看山亦好因。從此餘年安過了。死生何必羡他人。</text>
<title>自笑 二首</title>,<text>遊衣遊食送奔曦。忽憶癡狂年少時。謾把詩書爲事業。不知耕織是生涯。卽今窮巷無人訪。從古儒冠不自持。浩浩歌成還一笑。榮期千載也吾師。百年身世太嶔崎。處處竆途事事。有璧投人人不信。無錢使鬼鬼還欺。磨來破硯難爲食。扶去枯筇失所之。依舊一生癡病在。兀然終日坐吟詩。</text>
<title>家事付兒。憐渠憂貧焦心。偶題一首。</title>,<text>家事老來已蕩然。小兒傳受勢難全。黃玄去後擔雙脚。蒼赤空旹握一拳。新黑牧丹作奇貨。舊靑氊業有殘編。乃翁不識傍人笑。欲問窮通紫閣禪。</text>
<title>除夜呼韻</title>,<text>甲戌年光只此宵。守庚同坐更無聊。鍾鳴梵閣聲初歇。燭跋禪龕影欲消。亥漏未終猶舊臘。子時過半是元朝。山家淡泊惟茶椀。安得屠蘇慰寂寥。</text>
<title>花溪書堂 五首</title>,<text>倚广披榛架小宮。白雲生壑水流東。仰看積翠三千尺。前挹平蕪五百弓。山鳥和人吟屋後。澗花迎客入牎中。工夫不必求他處。一路層臺上下通。書社䂓模異梵宮。竹牕開處向南東。春風和氣花千錦。秋夜淸襟月半弓。山水盡輸吟哢裡。姻霞常惹往來中。獨坐孤菴無一事。世間榮願付苓通。數級高臺一畞宮。淸溪之上碧山東。有時獨醉三盃酒。無事誰彎兩石弓。秋月春花詩句裏。白雲丹壑笑談中。蕭然四壁無餘物。聖訓賢箴揭一通。披雲斲石以爲宮。特地溪山嶺海東。倚伏無常同失馬。盈虛有道視張弓。携筇探勝春將半。對酒論文夜過中。自歎踈慵空白首。河汾敎授愧王通。幽居恰似梵王宮。雨後林塘語欵東。滴滴寒泉流玉髓。彎彎新月掛銀弓。天晴菴在雲霞上。花發山藏錦繡中。坐卧軒牎生灝氣。呼噓疑與九霄通。元韻 進士河瑞龍。尙州人。適到花溪。作書堂吟一首以贈主人。故依其韵和之。裝點風烟半畞宮。白雲蒼樹擁西東。千層絶壁參差玉。一道澄川屈曲弓。山郭夢迴霞色裡。海門秋盡月明中。春絃夏誦周旋地。循序漸看上面通。</text>
<title>正月十九日卯時在普門有感。今贈鵬路。</title>,<text>此日此時我降初。人間七十問何如。生涯蝸縮泥中殼。事業螢乾案上書。琴瑟舊聲空繞枕。蓼莪餘淚更沾裾。君家薄醴多情在。客裏猶堪懷抱攄。</text>
<title>次鳶谷書堂韻二首 堂在西岳。卽宜澤所居。</title>,<text>新成鳶谷小茅軒。俯瞰蚊川芳草原。幽鳥思遷有喬木。蒙泉將發得深源。人稱羅代淳狵俗。地說蘇娥羽化村。更有德隣觀感在。書堂門近道東門。爲牖羣蒙有是軒。一區烟月繞林原。將登太華初開步。欲噵江河始發源。秋日窓臨枌樹社。春風墻對杏花村。此翁亦老書堂者。乘興何妨數扣門。</text>
<title>餓隷多行胠穿。或犯斂襚。盖不耐絞腸。無所不至。</title>,<text>民窮百尺到竿危。涸轍魚喁待盡時。糠覈已空還藳末。葛根不足又松皮。藏中爲狗穿幽竇。郊外隨烏啄死屍。都失平心非汝罪。自投刑辟也堪悲。</text>
<title>農民飢困。不堪耕犂。</title>,<text>忽聞布糓喚林端。食力生涯力已殘。妻丐隣糠欺夜腹。兒收野菜供朝餐。枯腸時出雷聲吼。浮面春生草色寒。扶耒强尋南畞去。輟耕頹卧望靑巒。</text>
<title>苦飢</title>,<text>經訓菑畬謾見欺。更逢㐫歲益難支。洗鐺厨下坐羸婦。索飯門東啼小兒。謀食不關床上冊。救飢無賴腹中詩。如今始覺儒冠誤。錢虜應多笑汝癡。</text>
<title>寓中瀉哀 四月初十日。時出繼子婦黃氏。以疑患沒。</title>,<text>死生常事不須驚。最恨幽明兩阻情。病畏天行躬未問。殯嫌人忌服難成。老姑猶待林烏哺。𥠧子還遲旭鴈鳴。慈孝至情今寂寞。此翁那禁淚縱橫。</text>
<title>燦兒買得一犢。放野失之。</title>,<text>何來繭栗入寒牢。謾遣貧兒筭瓮勞。白石歌中思五牸。牡丹花下計纖毫。畫成自放陶弘野。舟刻難尋渤海刀。倚伏能推人事外。古今惟有塞翁高。</text>
<title>記所見</title>,<text>岸帳披襟坐小軒。山林變態異朝昏。忽看日氣射前戶。俄聽雨聲驅後園。輕霧南奔還北走。密雲高散復低屯。從知多少世間事。幾度眼前桑海翻。</text>
<title>宿鳶谷書堂。復次軒字韻。</title>,<text>今日始過鳶谷軒。果然眞得好林原。擁多高嶂如相揖。來遠淸川欲究源。日暮雲烟沉古院。夜深燈火見孤村。願言諸子益修飭。莫使逕荒茅塞門。</text>
<title>示宜澤</title>,<text>我作花溪書社主。汝爲鳶谷塾堂師。生涯破硯餘無物。事業殘編外不知。老去襟懷榮啓樂。閒來首尾邵翁詩。眼前逕路皆平坦。莫向荊榛險處隨。</text>
<title>投贈道泰上人 幷小序</title>,<text>聞師之名久矣。未之相見。家弟來傳其所次林字韻。淸雅有趣味。乃知名不虗傳也。吾老矣。恨不得從師雙樹下。聽法談經。以究其旨也。聊次其韻以寄意一首。聞有高僧支道林。幾年雙樹說玄心。精神猶想水中月。蹤跡難尋雲外岑。焦叟自投蝸屋下。遠公不過虎溪潯。迦陵仙鳥在何處。未見其形空聽音。</text>
<title>鵬路以新恩來到近地。以書慰其遭重制。仍投贈一詩。</title>,<text>白首靑衫興味踈。問君今日意何如。臯魚風樹抱恫後。大阮竹林乘化初。聞榜更誰欣倒屐。到門應自淚沾裾。此翁情事曾相似。欲賀無言有慰書。</text>
<title>十一月十三日往龜逸省墓。歸途中作。</title>,<text>弊裘藍縷遡凉風。髩髮蕭條七十翁。來展先塋霜露裡。行尋古道夕陽中。烏啼暮樹悲何極。燕覆遺巢恨不竆。此日此懷人莫識。墓門回首淚凝瞳。</text>
<title>丁丑立春 丙子十二月十五日亥時○二首</title>,<text>天時人事日遷移。感古傷今不耐悲。逢臘邑無開棘戶。立春廳有上芒兒。寒梅帶雪遲新萼。棲鳥驚風失舊枝。靜夜無人知此意。擁爐獨坐皺雙眉。七十猶稀又一春。成何事業作何人。只堪身化書中蠧。但得詩留案上塵。名忝國庠行受侮。跡孤鄕黨動遭嗔。花溪此日無聊甚。白衲還忘薦五辛。</text>
<title>遙哭韓水伯夢弼</title>,<text>邂逅襟期托一言。洛城分袂更消魂。秋風渭壘星初隕。落日延陵劒獨存。傾盖嶺雲燈下話。絶絃山水夢中論。孤吟末路吾誰與。悵望重泉淚眼昏。磊落風姿大丈夫。淡然冠服似寒儒。多君謙退依馮樹。憐我踈狂哭阮途。一路烟霞欣共得。百年襟韻許相孚。金天氣色還蕭索。明月南樓宿約孤。</text>
<title>李君若天 名象辰 不見久矣。歲初以司馬新恩過訪。已成白髮翁矣。悲感有贈。</title>,<text>忽看華旆到荊柴。倒屐欣迎老眼揩。舊日顔容驚雪髩。晩年行色照銀牌。惟將敝箒供歡笑。更把淸談討雅懷。惆悵後期難可得。自知泉路迫殘骸。</text>
<title>上都巡察使李相公 成中</title>,<text>未死東都舊老傖。長瞻北斗仰餘光。當年猥下陳蕃榻。今日還吟召伯棠。宣化有堂頻悵望。獻忱無路獨彷徨。窮途更覺知音少。白雪凄凄繞翳桑。</text>
<title>亡室蔡氏再朞日有感</title>,<text>那堪是日對神床。死別餘哀尙未忘。軆魄歸旹埋有土。靈魂去後返無香。忽驚夢裏三年過。更覺人間百歲忙。同往夜臺知不久。山門收淚任顚狂。</text>
<title>歲丁丑春。余在花溪。有二沙彌太憨演和自通度來。請學句讀。因留不去。分陰不虛過。通昔不交睫。可尙也。余猥據英齋臯比者十年。今老且病矣。蟄伏窮崖。朋徒不復往來。而此髡輩又以瀆蒙見溷。日與乙乙不已。不覺撫躬自笑。遂成近軆二篇以授之。</title>,<text>逐臭遠來雙白衲。爲尋蘭室水雲邊。求人入草還迷草。坐井觀天未盡天。欲上高山先自下。要窮大海始沿泉。秪應苕帚菴前路。披霧相看一粲然。我是乾坤一腐儒。爾爲滄海兩明珠。發蒙却愧無奇術。負笈空勞涉遠途。乍喜跫音響虗谷。更憐篝火繼陽烏。髡緇對坐開凾席。此事眞堪作畫圖。</text>
<title>自歎身世</title>,<text>垂白窮閭混衆黔。謾勞穿榻事呻佔。終身未得三年艾。乖用還同六日蟾。文字揔歸空外色。語言都是夢中譫。一生剩被儒冠誤。猶守溪菴對綠籤。</text>
<title>黃生伯陽示佔畢齋贈其先祖正言公 玎 詩四韻要和 二首○正言公爲本州儒學。訓導時。佔畢公以釋奠祭獻官來。罷齋後至公所居不倦軒。小酌有贈。</title>,<text>詞幄休風尙耿光。至今明月照方塘。德容藹藹函筵上。絃誦洋洋聖廟傍。矜式一邦明懿範。賓興多士奏嘉祥。東都文物於斯盛。恨不同時共擧觴。留得瓊琚百世光。昔賢遺蹟水盈塘。畢翁文彩如臨上。黃老風儀若在傍。鳴鳳岐山非聖瑞。作人棫樸是休祥。竆閻自恨吾生晩。不及華筵捧一觴。元韻鳶飛魚躍共天光。活水源源自滿塘。絳帳淸風槐市側。靑莪遺澤月城傍。螟蛉變化人知敎。騄駬超驤世謂祥。禮罷秋丁仍促膝。不妨看竹引壺觴。</text>
<title>旣效榮啓期三樂作五言三絶。又成七言一篇。爲人爲男得壽雖可樂。然人或同禽獸。男或不如女。壽或無一可稱。亦何樂哉。</title>,<text>不仁人是羽毛儔。無義男爲粉黛羞。若使一生蒙未脫。雖延百歲夭同流。榮期樂事人誰咎。花社閒情我自由。欲識琴歌無限趣。請看溪上百篇留。</text>
<title>花溪吟</title>,<text>性癖自耽水石居。數椽花社愛吾廬。靑山默默同閒意。幽鳥𠴨𠴨伴讀書。警寢不嫌眠有蝎。凈脾休歎食無魚。興來更上巖臺望。俯仰乾坤浩浩如。</text>
<title>季舅氏下世後。一未往哭。而三年已過。悲痛難耐。</title>,<text>渭陽當日母如存。幾望南天費夢魂。永訣百年曾不意。奄過三歲更何言。含哀未吐靈筵撤。有淚空垂老眼昏。景迫桑楡吾且死。九原倘得此懷論。</text>
<title>雪夜有感</title>,<text>雪漲溪山冷割膚。乾坤俯仰一長吁。夜深空谷麛呼母。風撼踈林鶴戀雛。無伴悄憑禪榻凈。不眠愁對佛燈孤。悠悠此意人誰識。仰屋沉吟坐擁爐。</text>
<title>立春日。拈放翁韻作一詩。</title>,<text>書社梅花托素盟。東風到處放詩情。寅回斗柄初移建。辛入盤蔬已薦生。約伴共尋灞橋路。迎春同至化人城。剔燈相對揩靑眼。氷泮前溪水有聲。</text>
<title>觀跋河戱</title>,<text>橫亘東西大索排。衣冠簇簇兩邊開。左屯欲挽崑崙至。右隊將移碣石來。爭地却疑平野裂。仰天惟覺斗樞迴。俄然力盡俱披靡。哄笑喧騰皷響雷。</text>
<title>書社卽事</title>,<text>幽居滋味我能專。閴靜孤菴斷俗緣。扶杖澗邊尋綠草。拓牎山外望靑天。曉林啼鳥催僧飯。夜壑鳴蛙警客眠。復有此中奇絶事。書堂今見讀書禪。</text>
<title>送憨衲歸故山</title>,<text>汝來從我一年餘。纔得工夫數卷書。步驟未閒尋路後。誠心可尙負墻初。不禁風撼寒林鳥。無計波沾涸轍魚。冬夜簡編堪照雪。也能重訪此溪居。</text>
<title>贈同遊諸人</title>,<text>江上秋風判袂遲。一塲團聚不曾期。酒餘滿面紅潮潑。獵罷揮刀白雪奇。當日勝遊今世罕。此翁心事故人知。歸來耿耿難忘意。楓葉蘆花入夢思。</text>
<title>夜卧無眠</title>,<text>欹枕無眠到夜深。雨中何事最關心。此旹多士荊圍赴。底處吾兒客店尋。徒步間關愁道險。單衣沾濕苦寒侵。若曹竆厄知誰咎。爲父情懷不自任。</text>
<title>朝見大水漲野</title>,<text>霖雨連旬無歇期。乾坤昏黑晝熹微。禾沉滿野黃雲滅。水漲平原白馬馳。遊子此時迷去路。旅炕何處燎征衣。老翁愁坐無聊甚。盡日憑牕獨咏詩。</text>
<title>追次孫友器重韻 名是椀</title>,<text>數年前。孫友器重投示其遊山詩伽倻十景韻及自挽詩一篇要和。而時余有重制。其後搆拙欲送而無便可因。仍又遺失。兼忘其韻。近於休紙軸中尋得來詩。遂復追次其韻。以爲相思之資。澄潭飛瀑繞臺巖。洞壑陰陰白日𩁺。仙境多奇從鬼秘。詩翁探勝出塵凡。孤筇踏破千山遍。一筆收來十景咸。瓊韻朗吟心眼豁。伽倻秀色照溪杉。右次伽倻十景韻才拙學蕪運値衰。世間萬事一無爲。盈虛氣數徵看月。生死機關驗闘碁。心上嚴師姬聖易。眼前親友杜翁詩。夜朝相代尋常事。乘化浮沉何足噫。右次自挽韻元韻望八殘年齒髮衰。此身於世更何爲。靑春好伴三杯酒。長夏惟消一局碁。性也愚慵違學禮。心乎魯莽未工詩。不才誰惜曾三刖。點檢平生只自噫。</text>
<title>次金參奉賚汝韻</title>,<text>幽蟄巖扃髩髮華。閉門無復客來過。樂貧常就山僧飯。乘興時尋野人家。心契斷金誰見許。詩成伐木自耽哦。感君不棄頻存問。爲報瓊琚拭眼花。</text>
<title>次巴山李贇望君兼三養齋韻 君兼所居。在茅谷里。</title>,<text>幽如道觀凈如黌。滿架詩書不世情。時命付天甘蠖屈。生涯隨分笑蠅營。一閒身事當平世。三養工夫屬暮齡。更有山間明月在。澹然夜氣十分淸。三養者。養拙養病養蒙也。茅谷深藏處士廬。行人指點老仙居。山中定少塵寰事。門外應多長者車。道眼開時無俗物。詩腸潤處有香蔬。安能縮地芳隣接。遙望高齋意惘如。</text>
<title>又自詠花溪情景</title>,<text>書蠧生涯老塾黌。晩於山水托幽情。數椽溪上誰爭所。萬事人間不復營。身後留皮無豹彩。塗中曳尾保龜齡。遙知三養藏修處。特地風光一味淸。</text>
<title>李弼善伯容赴大同任所。不得相見。偶閱放翁集。有送范西叔赴召詩曰。便恐從今長隔濶。舊交新貴例相忘。不覺掩卷太息。乃知人情自古如此。况伯容與吾。年歲不相當。吾雖强自忘年。而其交已踈矣。旣有老少之分。又有貴賤之殊。則其忘之固也。因發一笑。遂次放翁韻以自寬。</title>,<text>自憐蒲柳迫殘陽。鬢髮蕭蕭滿雪霜。屛跡林崖隨野鹿。無心雲路送仙郞。但知遠逐穎箕士。猶喜並生鄒魯鄕。紫綬金章非我事。不妨江海兩相忘。</text>
<title>寓龍寺。散步至西菴。黃生伯陽在菴讀書。暫留打話。因憶昔年與崔兄善有同寓是菴。已作故事。不耐悲感。歸路口占一詩。</title>,<text>步屧雲林訪蔚藍。散筇花雨到西菴。讀書人在開新榻。禮佛僧留拂舊龕。摧倒短松同我老。凄凉往事共誰談。悄然山下獨歸路。感慨悲懷自不堪。</text>
<title>梅月堂任戚進德來訪呼韻</title>,<text>疊嶂層巒深復深。數間蘭若秘雲林。自多過客尋眞事。誰識高人遯世心。此日得君靑眼拭。暮年同我白頭吟。西山薇蕨應長在。想見淸風直到今。</text>
<title>覽鏡有感 二首</title>,<text>老去顔容不自知。鏡中相對忽驚疑。凌兢嫌帶凍梨色。醜陋憎成怪鬼姿。氣力摧殘非舊我。形模變幻是今誰。雖然情性猶無皺。笑擲菱花獨詠詩。情性無皺。出楞嚴經。把鏡觀來感慨增。舊時容貌更難憑。鬚如魚鯁看堪怕。面似鳩盤對可憎。皮緩輔車皆已陷。肉消崑岳盡生稜。此身何恠成枯濩。自覺精神减百層。</text>
<title>挽鄭參議重器</title>,<text>早魁龍榜晩投紳。吾嶺如公復幾人。多士共推賢丈席。聖朝優奬老儒臣。菟裘烟月梅臯靜。衣鉢淵源玉磵眞。常抱蚓音思就正。忽驚奎彩已沈淪。</text>
