<title>謾成一絶</title>,<text>淡靄入眼明。晴嵐覺心洗。終年不厭對。蒼山是舊契。</text>
<title>山水軒重牢宴。四言賀詩。並序</title>,<text>回巹之禮。禮文無著。而東俗遇昏年。則爲子孫者具衣衾設樽俎。略倣昏禮而慶之。亦彜情之不容已者也。前歲甲辰之二月某干。卽我元兄前寢郞石坡翁曁大嫂恭人李氏回巹之日。而外內筋力。八耋強健。子若孫曾。兟兟滿庭。一門及知舊。皆以稀世之慶。望其指日賁餙者切矣。不幸適有服縗大慽。慶事遂寢。至乙巳五月。衆子民衷等追擧之。是乃伯之遺意也。余在從祖兄弟之親。自跨竹嬉戲。迄今老白首。元兄是依。不可無讚賀於是慶。遂撥昏強叙之曰。吾鄭自御史公以來。上下十七八世。未有壽而偕老。惟我立齋先生享七十有九齡。而抱簷溜之感已有年。則今元兄與嫂氏。無恙俱存。以至同牢之甲者。固先代所無之慶。但未能稱慶於當年。退而行之於今日者。雖甚缺界。然竊念天之所以降永年錫胡福於元兄者。不惟祖先積累之致。兄之平居秉心。忠厚寬平。深得攸好德之旨。則從今以往。百歲在前。而子孫爲職於眼前者。足以供滋况也。世間氣數之柰何不下者。一付之忘域。履順葆和。且進壽斝之物而已。惟弟不佞。亦以親愛之意。助發懽慶。拈周南桃夭之章。使侍兒歌之。又摭其實際而矢之詩。其詩曰。君子凝重。夫人淑愼。兩美允合。壽籌偕峻。尸我宗事。家道登坦。何彼造物。便忌圓滿。星戶詠粲。虛度前歲。懇懇諸子。追擧巹禮。欲無勞動。略其拜儀。依舊對座。浮世所稀。南山鬱鬱。南極煌煌。猗玆令德。壽考無彊。高軒深閫。以燕以庥。嘉爾後昆。式承慶流。</text>
<title>哭舅氏 五首</title>,<text>惻惻鉢阡會。忽忽在秋菊。誰知此一別。因成千古隔。公貌近瘦墨。我心履冰薄。超超南厓翁。驛樹迷川陸。堂夭復慽慽。無暇討信息。有客傳公病。厥明催叩角。我行纔及到。公病已臯復。慟哭復慟哭。紙閣護屍閉。撥衾見顔色。安聞一語惠。享齡雖近稀。情境殆夭逝。婉婉冲弱子。四廟爾主祭。季女涓穀朝。甲兒纔七歲。且無緦功親。相求原隰際。一門聚送終。二君 能仁可初 最勞勩。慟哭復慟哭。冬月爲昏曀。我聞上天仁。惟善福之昌。前聖豈余欺。驗公乃反常。澹澹古井心。風瀾自不揚。融融醇酒味。陽和飮人長。與物本無競。恢恢山藪藏。制行則有恒。坦坦履道康。遠跡名勢門。絶意得失塲。無僞赤子度。有斐古人章。鬱然忠厚德。令聞在一方。猗此仁善積。胡不膺百祥。仰首我號呼。九萬但蒼蒼。四日僅就木。萬事盡成虛。瓦盆弔梅兄。棐几泣先書。淸韻自玆絶。奴隷亦欷歔。文章傳有數。營梓費居諸。媿我非宅相。何以楊惲如。河隴隔千里。強宗欲占餘。哀憲力安防。鬼責或使沮。基業更無定。萍水繞荒廬。舅甥人孰無。公我兼知己。機心兩相忘。微事入顧指。有過輒垂警。有急爲出臂。依倚及此暮。大誼相守死。柰何屬纊前。未能床笫侍。但執遺札泣。餘生安得此。公於病中。手書付市人。中滯晩到。旣殯而歸。始得見。 源源四十年。俛仰昨日似。瓊琚與玉佩。璨然尙我笥。叢叢赫蹄束。行草皆手字。對牕閱未竟。五內如剉薙。珍重復藏弆。寓慕惟在是。兀然七尺身。宇宙廓無恃。</text>
<title>海纍云亡。心常惻惻。見其遷謫時舟次南浦韻。哀而有次。並小序</title>,<text>嗚呼蘂郭翁。淸節士也。年七十五。以臺憲抗疏觸忌。至於杖落枯脛。身竄海島。爲國捐生。雖素所蓄積。而適中其媢嫉者之心矣。余以嶺外晩契。忽聞是報。不覺愕然起立。遠無以往別謫行。爲之貽書致慨。書未及達。公已謝世於島中。公之孤扶櫬而返。塟諸先隴。嗚呼。天道人事。於是焉極矣。臨風釀涕。久而未已。近自墨井。得覽公謫行時南浦一律。素患行患之操。令人可敬。而反復吟諷。悲憐之懷。尤新矣。遂次其韻。演成七疊。送展於靈几之下。以代古人漬緜之爲。公之精爽有不昧者。尙或監之否耶。嗚呼已而。嗚呼已而。排雲直氣古元城。萬死孤臣泣玦程。龍墮都緣潛德用。鳳衰誰識向陽鳴。一生恬養心源瑩。千里羈懷志語精。金骨忽然收海瘴。始知天實命斯行。名韁咫尺防如城。淸素持身篤實程。勵我安貧依澗飮。恥他尋臭到鍾鳴。治心藥石贒箴訓。悅口豢蒭聖蘊精。好是謙謙君子德。不居邃學兩輪行。魂夢中宵到蘂城。覺來還是接天程。偶因白鴈傳書問。空羨黃鸝喚友鳴。大嶺重遮俱晩暮。點犀相照但神精。于今俛仰芳塵暗。追憶風姿步月行。竆山何處築佳城。草樹應枯孝子程。尙寐無訛當日事。抱寃惟待仰天鳴。巾箱馥馥吟哦氣。庭戶依依陟降精。無計殯門相握慟。虞詞緘淚替身行。</text>
<title>木齋洪先生遷塟時挽詞</title>,<text>少讀先生書。高仰先生志。堂堂抱直道。事來惟義比。棘棘不阿世。確哉貞金矢。所以崱屴徒。無端生媢忌。不容居不陋。羯俗馴化理。攀轅當日路。潮祠入民淚。屠維天降割。邦禮紊橫議。黨誤涉不敬。先生執微旨。金秤孰同心。孔巖扶大紀。時義在遯野。草示排雲士。筆鉞恐觸禍。勁氣輒笑喟。正論久乃伸。初服淹廢起。登崇最紫峯。㫌招曁夫子。云何不少須。朝野失重倚。雋望玉署長。哀贈只表隧。恭惟先生世。文獻自虛白。父子俱善道。節義貫金石。濯濯無住翁。直聲諫垣赫。先生爲胤子。衆美濟式穀。嶷嶷間氣姿。聰睿藉丱角。理先氣後問。吾祖許奇特。浸涵六經訓。言動由䂓矱。敬義獨覩原。行藏盡學力。斂却經濟手。東史閒筆削。彙麗且幷例。班軌煥木塾。兩家接鄕井。不待臨門好。珍重孔李契。先公最尊道。有儼山黌享。巖茅議竟蹈。矧又講院祖。道義與至老。竹逕蕭散趣。唱醻發興浩。撰蹟羣輔日。點竄爛手草。光氣尙滿篋。後人奉爲寶。</text>
<title>樊巖蔡相公遷塟時挽詞</title>,<text>山南詠罷袞衣詩。尙憶匀衡造化錘。庇濟宏䂓同馬范。文章遺範繼龍眉。浮雲萬變靑山靜。化日重明紫誥垂。聞說隴阡移卜兆。公私不盡昔年悲。</text>
<title>默軒李公 萬運 挽</title>,<text>赫承潭老緖。淸卧洛江廬。臺選健陵詔。籤珍武屹書。風姿梅的皪。心鏡井恬虛。大耋奄觀化。淚沾後輩裾。</text>
<title>江皋柳公 尋春 挽</title>,<text>此老兼三達。吾邦重嶺陲。淵源家學在。名行聖朝知。世溷飜憂道。江淸足樂飢。云何冰稼報。政是鳳藏時。雅想存幽壑。眞功凜薄冰。端嚴冠佩笏。寤寐退朱曾。四軆甘從令。寸心默自澄。乾乾今也已。儒學更安徵。丙子山頹後。先生標士林。臨黌行飮禮。秉拂講傳心。風雨巋靈殿。弦歌自古琴。那知天不憗。獨立涕空淫。</text>
<title>誠齋南公 漢皜 挽</title>,<text>府柏蕭森院漏丁。宜春家世赫承名。孤山孝義尤珍重。肧得醇儒是弟兄。公於損齋先生。爲從祖兄弟。先師門下首先登。名理醇醇默坐承。一片溪潭秋月色。至今猶帶兩虛澄。一自山頹屬望深。狂瀾橫潰又如今。尋常只爲斯文祝。南極星光杜曲臨。</text>
<title>葛川金公 煕周 挽</title>,<text>宏厚風容質愨心。卿班聲績雋望臨。湖門奧學薰陶早。奎閣恩評福澤深。歸樂琴書槃澗谷。會文黌社管儒林。韓荊一識浮生事。塵篋空悲滿幅音。</text>
<title>芝園姜公 世綸 挽</title>,<text>鸞翔鳳翥晉恩庭。絶代風容削玉成。已自英年懷抱器。暗中摸索早蜚英。三千大對健陵朝。菊老親孫令聞昭。奎閣爐錘陶鑄日。自天恩奬最同僚。平居內行篤天倫。雍穆家庭孝悌仁。白首猶爲孺子泣。每懷明發僾然眞。機雲聲價振南鄕。朝紙齊肩兩玉堂。歷歷鋪張幽竁志。坡翁眞活潁濱章。周旋軒几自童年。到老人情眷契偏。社席山房隨處樂。俚音猶許石鼎聯。先輩奎華擅白門。慕弦遺集表章勤。巾箱蠧帙終垂世。舅氏分明感九原。枵然鄕黨老成無。寂寞商顔一抹孤。後死人間多少恨。臨風哀送淚沾鬚。</text>
<title>豐安君柳公 相祚 挽</title>,<text>山南卿月百年來。有隕三朝地望巍。坐處沉凝名世器。用時遅重老成材。恬貞哲性高風襲。忠孝先謨厚德栽。鶴去龍亡相繼忽。江湖寂寞淺深哀。布衣心事宰摳身。談笑東華不受塵。仙景名亭天放趣。春容晦木內腴袖。槎還異國稱專對。畫入耆司驗壽仁。歎息滄洲寥落日。竆山何處送靈輴。</text>
<title>林下李公 敬儒 挽</title>,<text>靈芝威鳳物中祥。君子風容儼一方。山斗家聲芹博息。箕裘詞格漢隋唐。角巾人說仙舟老。尺疏名傳高寢郞。障柱忽摧瀾倒日。儒林氣色却凄凉。殘港猶知望海奔。片心無日不林園。金蘭五世看遺帖。樽俎三賓藉法門。洞邃滄洲扶道感。鍾淸興國奉言勤。如何在巳今年運。寂寞龍壇淚灑紛。</text>
<title>川齋李公 學培 挽</title>,<text>吾邦文獻誦愚蒼。盛際宣仁滿國光。道氣同心當日契。至今晴月碧潭央。溫雅天資愷悌儀。少年休譽是家宜。所守端然尊足處。吾州終見士望歸。元祐黨碑汚馬公。擧幡風節動天衷。從知上相穹銜復。實自夫公一疏功。猥托忘年四十秋。蘭言瓜誼動相求。那知曩日從容席。因作人間故事悠。</text>
<title>奮窩金公 虎燦 挽</title>,<text>俯笑沉冥獨奮興。早從黃卷得師能。貌凝古氣渾山澤。道述前光自矩繩。京闕聲名潛蘊著。巷瓢風味素心澄。如何魯俗斷斷日。又送夫君掩桼燈。</text>
<title>錦西朴公 光輔 挽</title>,<text>人物吾林紱冕多。布衣先數錦西家。貫穿載籍行書秘。攄發胷懷列宿羅。天道堪吁泡沫淚。世緣良苦實沉痾。更憐八耋歸眞夕。定力猶看數絶哦。楩楠虛老暮山阿。支廈宏材柰命何。琴酒風猷輕趙孟。丘園經濟長禾麻。神遊邃古還全樸。春入連枝不借華。底處深埋金骨瘦。繞墳應有異禽嗟。</text>
<title>姜司諫 世鷹 挽</title>,<text>州城薤唱俗離竆。鄕黨漣洏長老空。諫議官銜差晩下。名門年德顒知中。沉冥樽酒傷時意。介立人寰古直風。回憶曩時床下拜。寒松瘦竹是儀容。</text>
<title>趙上舍戚兄 彥儒 挽</title>,<text>日月山深老泮儒。古心醇愨氣愉愉。立門講理贒甥列。晩塾摛文哲匠徒。安分田園忘歲儉。頤神簡冊示孫謨。年來落落天涯望。紫府歸音不勝吁。</text>
<title>魯庵鄭公 必奎 挽</title>,<text>喬木鬱江干。淸飊猶未歇。皎皎魯庵老。芳聲自少日。家緖溯溪宗。師範從湖嫡。天質極溫恭。地步主堅愨。蕭條數間屋。疏糲時斷續。肩背竦爾坐。所味在吾學。鍾駟卽何物。良貴惟元德。瀅然方寸間。七情無所辟。迥立風波外。不被雌黃及。末路得完名。士類皆稱服。記余覿公德。粤自侍無適。時余尤蒙陋。廑免沉梁責。孔門親仁訓。轉覺吾身益。叨陪泉齋日。奉邀山庵夕。精微兩贒集。周旋掃塵役。鑑裁不差毫。仰驗由心繹。動容有常度。儘見律己篤。可愧麤厲石。安望溫潤玉。公則向余加。勉之以簡牘。此事易而難。擔夯非殘脊。虛當珍重期。耿耿徒感激。引領常願言。年來阻顔色。龍庠曩有會。隆師是公執。行當拜上座。旋悵聞愛褥。莽蒼江邨邊。船路凍以絶。但恃神明佑。不料人事忽。遂成千古負。痛矣無所說。常時百年祝。七耋云康謐。柰何天奪遽。吾黨益孤孑。顧瞻周道蕪。生蒭杳空谷。靈輴報一駕。聲容厚壤隔。自憐西虎畏。末田白馬哭。嗚呼魯庵老。何處今更得。題輓濕淸血。嶺路日色黑。</text>
<title>鄭弼善 僑 挽</title>,<text>風塵不上玉人眉。黃甲題名一布衣。靜坐澄心壺月近。竆居味道巷瓢希。當官定勵元城節。認命聊寬卜子悲。晩契瑤琴絃斷恨。竺山何處掩荒陂。</text>
<title>李公子木 秉鐸 挽</title>,<text>詩禮箕裘孝悌茶。偉然布博是名家。典型嶷嶷丹藏赤。常德循循玉斂華。蘭臭每懷三世好。薤歌忽送九原嗟。應知秀骨深埋處。大夕山光碧且峩。</text>
<title>修溪李公挽</title>,<text>皎皎寒梅樹。獨依浦邨開。如何風雪裏。淸豔絶纖埃。幽蘭在深谷。歲暮始見采。雖令空自萎。天香也不改。大鳥忽伸頸。病鶴悲失侶。安能奮殘翼。共哭靑山杵。憶昔相逢日。童觀我則小。執經君已弁。函筵說幽渺。芙蓉入手早。仙桂謂拾芥。藉藉輦轂下。文藝嶺彥最。竆達本有命。倦遊不如歸。琴書貯草屋。悠哉昔年希。寸腔恬古井。羣物許共照。莫敎塵務溷。方期徹裏表。先生垂絳帳。名理日星揭。往質繼以書。每令身心軆。盎然一團和。靜裏自生春。善學如斯已。螟誨詎無神。山樑慟不盡。微言在遺書。傳後恐易差。斤斤爲洗梳。世患駭不測。非罪兒嬰絏。爲是玉成汝。不須憤齒切。情鍾抱再三。肺膓易受剝。達哉東門觀。不作西河目。一命從天隕。循墻是處義。於君豈輕重。世間有公議。簪纓纔表恩。床褥便收膂。珍重玄晏托。慟哭更無所。論交四十春。癡頑愧非益。但異拍肩徒。風波起頃刻。兩心俱淡淡。坦然無疑歧。所以耐久契。不負歲寒期。未見我則思。旣覯君則喜。一朝歸各天。夢寐倘有寄。人死云冥會。無因可得知。死而信有從。非君更是誰。凉凉愼日至。倀倀坐白頭。不堪吾道孤。輸恨相紼謳。</text>
<title>雨坪黃公 麟老 挽</title>,<text>愛君心地絶機關。朴茂眉容出俗寰。祝子尤看承順節。割田從識睦婣端。天和自動醇醪味。風致常恬古井瀾。歎息如今何處得。更憐遐福化翁慳。雲行水逝淡然文。古氣凝成浩博源。騁覽誰拘吳季迹。英遊終恨漢遷轅。生前滯鬱非成病。身後芳馨益覺寃。不朽斯人收拾事。藐孤何識在全門。</text>
<title>河西朴公 光錫 挽</title>,<text>前年爲哭錦西翁。今日重悲右翊公。吾黨蕭條湛棣謝。名門寥落古琴空。平生操履無瑕玉。末路榮名不愧穹。晩契依依成一夢。曙天南望淚盈瞳。</text>
<title>李淸安 秉運 挽</title>,<text>鬱然沉厚典型存。夫子家庭式肖孫。好是丹藏師訓領。早將膏澤主憂分。風流文物行窩耀。馥郁芝蘭老圃繁。堪恨天翁如少假。緋袍定復荷殊恩。</text>
<title>李高城 在正 挽</title>,<text>東海醇風得氣完。天眞談笑丈夫寬。法門繩墨常尊足。蔭路緇塵不上顔。治績爭稱留郡犢。科聲兼賀滿庭蘭。誰知倚伏還如許。吾黨年來哭二難。</text>
<title>李正言 旭馨 挽</title>,<text>龍榜騰來鮎上竿。閒司暫帶紫薇垣。黃昏不踏侯門路。無愧山陽處士孫。孤月雲間也自橫。寸心無累證同明。數尺壤封那得掩。谷蘭幽馥是淸名。晩契相親兩素心。傷心世道轉昏沉。異時雌甲壚峯會。倘報先楸復舊陰。</text>
<title>姜參奉 長欽 挽</title>,<text>皓老階庭玉樹翹。了然才品等倫超。南陔善養遂辭祿。東嶽詩醒却解嘲。定遇盤根游刃利。常開康色得春饒。回首夙昔從遊地。惻愴人間耐久交。</text>
<title>張知縣 錫愚 挽</title>,<text>道德家聲海內嵬。鬱然人物典型來。醫時蘊抱多文業。做處沉凝大受材。弱年家難凜然蒙。隻手能容辨理功。再造門闌光復日。自天恩霈至誠通。一擧搴蓮薦書恢。茂材遺蔭兩爲階。試聽大麓民謠袴。惜不齊甿惠政懷。大集餘芳尙滿箱。力謀剞劂掃塵强。了知東洛鉛朱席。爭恨聾泉手澤章。信厚風容老眼森。傾心期許最吾林。從來戚誼兼苽葛。近日懸情枕席吟。</text>
<title>李姨叔 東裕 挽</title>,<text>偉然儀幹丈夫眞。端木經綸不厭辛。萬福方臻家道泰。天翁何不餉無垠。</text>
<title>弦窩尹公 東埜 挽</title>,<text>淸廟朱絃嶧陽桐。天閑上駟冀北騘。寶珠時遺滄海洪。芳蘭歲晏荊棘䕺。孰主張是物理中。有萬不齊命竆通。嗚呼我觀弦窩翁。天胡嗇畀降之豐。燭照丘墳過人聦。鶴立雞羣是風容。衝星劒氣倚崆峒。支廈良材聳壑松。少時螢雪業專攻。老去詞律造語工。日用文字說橫縱。學海深源左右逢。使翁早登金榜龍。蓮館蘭臺步武虹。尺階可陳禦冦戎。百里要做治黃龔。蘊抱旣富生稟雄。柰何虛老坐蓽蓬。歲儉糟糠或不充。出門驢馬其誰供。六隨計吏渡漢篷。一路終迍折芙蓉。自古妙音草野竆。首首琳琅燦盈筒。心穌亭子足洗胷。無限山月與江風。願公眉壽明德崇。表率鄕鄰羣顓蒙。忽感盃蛇未解弓。人間七十太怱怱。寂寞玄經布衣終。起土何山寒雨濛。精爽應歸列星空。不隨金骨翳泉宮。跡公平生可紀功。堂堂合入外史彤。崇禎大老文簡公。白雲黃花緬孝忠。建齋芬苾敬展衷。復白印券快洗兇。編年一書訂異同。喙喙爭詆彼盲聾。譬如麤石玉磨礱。在公無愧反諸躳。顧數十年獲相從。地步敢肩鵠與蟲。祗爲師事我儒宗。門下周旋共愚憃。闡幽先碑懇血悰。請記心齋俛溫恭。龍泉節目執謙矇。一一卞禀薦配醲。巨細全集重璜琮。豈作雪泥飛去鴻。世變忽起黃塋封。想公沫飮一般儂。王法只許竄邊墉。安得梵巢盪爲烽。常恨形骸阻宿舂。如今還隔九泉重。臨風哽愴視蒼穹。造物何意費陶鎔。塵土空埋楊州銅。水陸未試靑萍鋒。批抹遺箱墨猶濃。信有傑句鳴渢渢。無官猶得誦兒童。貞曜誰諡今孟東。欲奠雞緜瀉悲恫。無柰竆山匏系蹤。寄吊蛾林諸掖縫。嗚呼便折天柱峯。</text>
<title>再從弟谷口處士 象觀 挽</title>,<text>谷口幽花發。伊人抱疾卧。我推分痛心。不暇花下坐。人與花俱落。風雨滿四野。鬱鬱豫章材。靜立白雲隴。匠師睨不取。空抱棟樑用。雖不作棟樑。何損淸節聳。天南有丹穴。威鳳養奇毛。高岡遲一鳴。不復文王遭。羞與啁啾羣。頡頏下蓬蒿。泠泠懷遠琴。當日遇山水。此曲世無愛。傳之一家裏。七世君又作。遺韻欲復理。緬憶春風座。常侍最白眉。我亦備冠童。沂雩詠而隨。桑海已變遷。此樂今懷悲。煌煌載道器。巾衍尙亂雅。錯本易胡氏。傳後在編摩。非君隻眼明。誰能證舛訛。不料朝露晞。只信泰山牢。忽焉謬所期。獨立世滔滔。十日無一語。遺恨貫卑高。文塚寧非讖。墨庄從此荒。欲將吾黨寃。訴彼眞宰傍。竟日哭無數。視天但蒼蒼。誰伐文梓樹。繡出雲錦文。硏精玄經草。棲塵四壁曛。秪應明月夜。光怪亘河濱。</text>
<title>姜過巖 世誾 挽</title>,<text>商洛衣冠秀出姿。一方眉眼一辭推。蕭條忽斂淸揚色。百身難贖後生悲。文章古軌力能追。霆擊山停各盡奇。最是東詩評品語。天機先得諦微思。陵署官銜自至身。十年甄造窒皇新。縟禮忱誠惟擧職。別恩知奬荷宣仁。朝論咸歸上第宜。修文旋隷玉京司。歎息三千禮樂字。人間無路對丹墀。先亭物色待君新。當日藏修極煥輪。嘯詠風流今寂寞。主人誰復躡淸塵。壤蟲雲鵠縱非倫。淡契平生耐久眞。君心白直吾心拙。不是沾沾執袂人。三夜龍門聽雨聲。縱談今古暢詩情。留證熊山明月在。年年此地擬逢迎。老柏剛金氣質勍。世緣胡不卦籌盈。堂堂倚仗歸虛想。強恨天翁命不贏。</text>
<title>申持憲 慶會 挽</title>,<text>箕雅采崧高。寅齋當廟食。葵老繼鍾鼎。黨人不敢側。文章有遺氊。百年君復作。解褐纔獻身。戹運値喬舃。名器舛柄用。誰憐馮鬢白。雅性恬古井。耻爲要津客。我道同鮎竹。人子恨毛檄。棲棲湖嶺徼。淺突飜似翟。因緣山陰舟。乘興愚溪石。松鶴結新好。亭臺躡芳躅。由來孔李契。晩忝䨓陳託。携我綠綺琴。聽君白雪曲。參商忽成闊。嚶鳥愁空谷。牀笫宛入夢。勃窣幸見復。前年轉堤峽。纍然持孝服。蕭條百口生。莫我聚同族。离明普四照。一藝彈冠得。期君外除日。贒路指館閣。眽眽千里外。蘭報驚一夕。痛哭弔所嬌。萬事歸幻域。錦肝與星胷。柰與腐壤泐。子厚未掌制。聖兪違鳴國。造物自古猜。空使知者惜。也應此山箒。光氣獨不蝕。遲遲故山。遑遑哀二棘。雞絮安得奠。畏跡潛深伏。虞詞遠緘淚。秋雨暗殘菊。</text>
<title>宋持憲 奎弼 挽</title>,<text>淡淡論交五十年。豔君端直且溫然。金泥題帖臺銜重。蘭玉盈庭福力全。簡面時憑髭髮色。崦暉久閡笑談筵。斯門一䟽委秋草。衰淚空悲遠送泉。</text>
<title>友巖主人蔡公 悳東 挽</title>,<text>白露晞秋草。輀音動悽愴。衣冠集路左。哭送友巖丈。就中愚峽生。涕泗增俛仰。不惟奉姻好。豔服自疇曩。齷齪衰世裏。淳厚古人樣。質行敦孝友。襟度太夷廣。顯允襄靖公。訒翁又令望。先芬此未沫。好善公所養。棟梁於家門。小大靡不仗。雅趣在林壑。卜築臨溪嶂。奉袂嘗再登。翛然苕霅像。招邀近局人。樽酒日酬唱。海屋公家物。淸福宜長享。豈知未卦周。屋臯驚吾黨。嗇此胡考休。天報亦云爽。去臘敷腴色。依依入夢想。萬事嗚呼已。靑山善人塟。風月自遺亭。何處尋影響。</text>
<title>李公 以健 挽</title>,<text>默老淸修世共贒。長公優得典型傳。燒香鍊魄神通志。啖朮安身帝與年。江外浮雲歸瓮蜹。隴頭乾土付薪燃。誰知松蔦新緜日。來哭琴書象設前。</text>
<title>蔡彜叙 範禹 挽</title>,<text>梧墅秋深一夢飜。好人當世更無君。心如澹水胷無滯。容帶春飈座有薰。少日程功隨計吏。晩年閒趣偃衡門。茫茫厚夜薤歌送。衰淚空瞻潁北雲。</text>
<title>李士益 人峻 挽</title>,<text>皎皎碧珍子。冠冕世旎旖。詩書聞有軌。慈孝秉是懿。平生范公志。亦自屢折臂。一落漢城裏。鬱鬱南土寄。塲屋試不利。峽田計轉匱。君居與我里。上下淸溪水。人生重交誼。臭味莫云異。借書爲逐睡。班荊瀉阻思。襟度素樂易。披露豈一二。烟雲互入媚。歲月無限指。誰知一朝寐。還忙隙駒駛。望六非夭耳。獨柰極人理。鶴髮寃血漬。弱蘭嚴霜墜。哀哀三從義。生烈韙金氏。縱復割股餌。其於大命止。悲君恨鐫髓。不瞑入九地。蒼天仁且庇。乖盭竟何事。子淵未受祉。盜跖反增齒。倚伏隨所値。於君愈信此。凄風吹祲至。不月已閉隧。愧此無從淚。兼恨未診視。題輓欲罄意。落日翳山翠。</text>
<title>黃徵之 獻老 挽</title>,<text>澹味醇姿七尺頎。暗摸猶識古家儀。周通事物咸能幬。宏立身心不出䂓。觀國英名終抱屈。師門遺烈慨藏輝。剛憐七世交情誼。暮道飜懷失侶悲。</text>
<title>黃士亨 履鉉 挽</title>,<text>蘭醴根源自不差。可人承襲審翁家。高情雅足玄經趣。妙語時能白雪歌。倒壁孤松寒有格。涵天絶澗淨無渣。回頭二十年來事。衰淚茫茫灑北坡。</text>
<title>姜上舍 肱欽 挽</title>,<text>軒然草野不羈人。游刃恢恢斂在身。璧沼纔登優步武。田園聊試小經綸。尋常倚仗崇文日。造次調恢滿座春。忽感盃蛇稀壽缺。傷心浮世一風輪。</text>
<title>金上舍 在恭 挽</title>,<text>燀赫侍郞宅。蕭條上舍名。輿情尤世道。高處見平生。未止鴒原淚。何忙岱嶽行。秋堂半餉晤。如夢一蘧驚。</text>
<title>宋星徵 奎奭 挽</title>,<text>眉宇淸揚是玉人。靑山底處厭混塵。源流早服河南宅。眼目先開太史倫。空負寸心春草短。未終壎唱墨花新。晩來一哭平生憾。何不當君卧漳濱。</text>
<title>盧友 光瑞 挽</title>,<text>野老堂中肯構孫。自天醇愨典型存。竆親賴有幈幪地。舊俗猶稱弈舃門。社席相逢靑眼幾。牙琴閒罷素心敦。一朝化縣爲虛巷。忍見他年十景園。</text>
<title>權聖能挽</title>,<text>年來酉谷可人亡。艮叟圃翁已北邙。君在此時巋靈殿。我於今日感滄桑。那知卦數終爲恨。幸有諸孤亦足張。白馬無緣筋力赴。空將淸血寄虞章。</text>
<title>權美仲 載彥 挽</title>,<text>十年葭誼聞之詳。簡牘兼醺氣味芳。淨似寒梅凌雪意。恬如古井瀅天光。琴書舊業憐春峽。心近遺謨話酉陽。交臂人間乖一面。屋樑殘月但凄凉。</text>
<title>權鳴彥挽</title>,<text>酉陽紙閣澹凝香。燕坐琴書趣味長。大祖貽謨忠厚在。闔門稱德孝恭將。田園謹守遺安業。花樹同歡說禮塲。福履方期無限享。那知人事遽滄桑。</text>
<title>李上舍 能玄 挽 並小序</title>,<text>大化驅人。脩短不齊。古今一也。而若夫東都李君之喪。天奪之乖且遽甚矣。顧朝夕俟符者。安得不以平日倚仗之心。加與人慟惜之懷哉。遂綴虞殯之詞。竊冀明靈之鑒。文元主鬯服儒林。泮舍聲名海澨沉。公道修文惟設座。法門䂓制孰承任。百身可贖人應願。三世愈寃理莫諶。滿目凄凉無忝宅。阿莘要慰九原心。</text>
<title>內塟後識哀</title>,<text>與子同裯五十年。一朝冥漠付荒阡。治家生受渾成夢。入地平安荷得天。簷溜隙風其已矣。弊縫垢襪尙依然。玄煤自識穿歸處。他日泉門倘笑延。</text>
<title>悼蔡文瑞 周鳳</title>,<text>嗟嗟文瑞爾何之。爾德醇恭受福宜。天道反常高莫測。鬼情猜福秘誰知。承承孝義風猷重。孑孑孀孤路陌悲。萬事君家今寂寞。巖亭肯構更何時。</text>
<title>哭柳壻 喜祚</title>,<text>歲在辛冬迎爾舘。百年期望一章止。縱令爾年不得壽。向來若保中殤子。繼爾之孝代爾幹。爾家不至墊淵水。柰何朴茂寬厚人。一朝便與風燈似。噫吁戲親老在堂兒在髧。冥冥泉下煩寃魂不死。右哀死昔爾送門戒丁寧。望爾偕老壽康多寧馨。及爾泣菌慰爾語。夫妻茂如松柏靑。弋鳧未終朝露晞。滄海盪潏天地冥。皓天監臨曷不仁。一夢緣盡哭崩城。布髽擗踊常在眼。耳邊如聞寃號聲。噫嘻舅老子穉家事茫無畔。未亡殘質焉得負荷勍。千哀萬恨惻惻不忍詳。若爾之生安足謂之生。右哀生</text>
<title>悼三從孫光愚</title>,<text>嗟嗟乎幼述。厭世何倏忽。生纔二十二。薪火遽盡滅。韓公警服藥。宋代嚴醫律。已矣無及悔。慘慘含不說。憶當爾生初。天賦信良質。顔貌豐而瑩。才性聰而豁。不煩長者督。劬書工不撤。涉獵諸家粹。旁通前輩蹟。試習程文字。詩椎響蘭室。且有擬古作。句法森大斲。老我視之奇。倚仗諸孫別。搴騰乃餘事。世業定紹述。間以酬唱語。丁寧勉付密。坦坦萬里道。無限方進日。讎哉彼二竪。忽如風生穴。獰嗽深自胷。鬱氣不調血。輾轉閱三序。精華漸耗脫。尙能強起居。不是症危急。一朝奄凘盡。專由療治失。是謂命也夫。天高鬼甚惡。觸目光景亂。人世更無毒。叫猿卽斷膓。孤鸞惟死覓。掩抑衆悲此。慟惜我所獨。猗歟詩禮學。七世傳授赫。山頹云幾載。谷口寒烟羃。所恃翹翹汝。柰何奄夭折。泛海如失棹。立昏如失燭。念玆門戶關。百身猶可贖。逼骨但長號。孟秋成凜烈。豈知迢影駒。無端騈槽櫪。豈知漑根禾。空爲秀不實。泚淚寫悲腔。呑聲難再讀。</text>
