<title>敬次愚山丈席韻 戊申</title>,<text>自憐就道晩。始覺讀書閒。眞工何處見。前面最高山。</text>
<title>輓黃正齋 巖老</title>,<text>華嶽蒼然淑氣環。吾州文獻半中山。先庭問學槃幾後。一室文章伯仲間。十策公車違素志。四科函席展腴顔。悠悠宇宙商量事。斂却深泉髮未斑。當代師門幾箇英。聡明辨博莫能京。爲文平地猶高步。析理纖毫更透精。削立神峯肩自竦。淸凝秋水內含明。泉林舊契空寥落。留與賢昆道素情。</text>
<title>輓鄭嘉山 蓍</title>,<text>巨靈蟠祝融。元氣宿斗牛。隱隱雲裏脉。焜耀伽倻州。有岡文明秀。維嶽英靈收。禮樂今東魯。彝倫再箕疇。斡旋無停機。磅礴媚山湫。百梅霜心脴。千竹鐵腔抽。傑然龍虎姿。兩世業箕裘。鸞棘刷翮俄。牛刀發硎秋。醜猶潢弄。猰㺄敢嘯啾。眴結鳥語吏。呴濡烏集酋。凶鋒簇一身。郡獷極咆咻。父曰死可矣。子曰死乃休。可斫吾有手。可喪吾有頭。手斫頭復喪。我符不可求。直氣干蒼旻。忠言泣幽虬。俄聞常山罵。復覩綿竹彪。彝性天所賦。奴妓義各酬。風聲壯八紘。後死亦足羞。南斗傾紳笏。北極動冕旒。長夏褒黃封。柏亞多彤騶。偉哉鄭相公。一家三綱優。忠義塡骨髓。道理貫頭髏。萬丈吾嶺光。百世先師庥。常恨老腐生。未蒙一執鞦。殘燈想英風。擊節淚還流。南望寄短誄。風霆護行輈。</text>
<title>輓李判書 益運號鶴麓</title>,<text>正廟千淸會。樊門一代英。君臣大義理。師友擧平生。晩境能終譽。重泉未了情。山南沒世思。又涕范文銘。</text>
<title>輓韓判書 致應</title>,<text>獨立英賢後。常爲義類先。先朝經幄重。元老典型全。玉雪平生事。風雲進退仙。山南多巷涕。吾黨有誰焉。</text>
<title>輓柳江皋 三首○甲午</title>,<text>豐原猶大岳。積氣鍾神霛。兩世南臺後。三朝桂坊榮。湖山文載石。江院士橫經。吾黨晨星望。餘生涕謾零。昔共愚山席。從公仰所存。深潛良玉潤。珍重廟金純。坐久生腰直。身安符采溫。如今篤行士。何處得來拚。謬許交遊末。相逢吐露情。不言言當理。無意意則誠。七葉來先契。三尊屬老成。衰痾違相紼。西望侑新塋。</text>
<title>輓姜兢庵 癸巳</title>,<text>大嶽華宗世降英。兢翁南國又挺生。官留諫院身常泰。道在師門識愈明。少日矜持猶勉强。晩來融釋極醇平。西林耆舊晨星望。邈若山河後死情。</text>
<title>輓南誠齋 漢皜○辛巳</title>,<text>仁里衣冠不乏賢。杜陵花竹媚山泉。同堂有若樗翁在。四座咸推立老傳。華髮元催高士早。單瓢長伴善人偏。古家㙜府餘風味。勤語螟兒付簡篇。函丈頻稱篤志人。深思力踐世無倫。竆尋昭曠心方豁。細入毫芒味轉新。竦直生腰黃矢正。溫恭符采白珩純。安豐行義空埋沒。滄海遺珠自古因。</text>
<title>輓蔡芸齋 蓍疇</title>,<text>十月天氣肅。潁水淸如雪。鮮鮮霜中菊。旣晩何用悅。曄曄巖下蘭。不珮誰能擷。懷哉芸齋老。淸冰映玉屑。讀書衡茅下。到老忘飢渴。經訓當菑畬。理義常裘葛。寤寐朱子書。矻矻探旨訣。犂然外聲利。到頭如截鐵。竦直生腰坐。衣帶整復結。一門良子弟。隨材各告說。立爺頻贊詡。迤邐幾停轍。賢哲日已遠。不肖之所呾。古來萬萬人。彙征當店楔。深深璞裏蘊。言者又堪刖。大耋龍鱗數。遺篇鳳毛潔。令子雖不祿。賢彧更成列。而余昔進謁。德器動映徹。世事多離違。流光迅一瞥。天寒蘭菊悴。潁水空幽咽。</text>
<title>輓金滄江</title>,<text>江水東流日夜鳴。主人去後有孤亭。雄詞踔厲橫排奡。傑氣磊嵬直掣鯨。芸石餘徽留寶樹。山川古宅獨崇楹。大慚惜未傳庠鉢。𩿨鷺明沙也識名。</text>
<title>輓姜南厓 鳳欽</title>,<text>䇄䇄南厓洛下村。弦翁令子慕翁孫。大羹和味瓦中貯。深玉文章璞裏存。詞富常爲儕友憚。行高應使後生尊。名山畢覽違初計。何幸螟兒典鬯樽。</text>
<title>輓鄭谷口叔顒 庚辰</title>,<text>文莊後七代。立老第三郞。逸氣秋天杳。雄辭鉅海惶。今韓擬方駕。先漢厭望洋。浸浸歸醇正。如何遽斂光。昔我從函丈。而君卽竗齡。廣眉陪鯉席。開口說麟經。滿座竦然異。先生莞爾聽。尙懷蟲鵠嘆。隣笛詎堪聆。嗟嗟谷口子。而止於斯耶。雅頌違鳴國。冠簪未世家。兒孫猶北海。尊府在西河。更念山頹後。遺書定孰摩。</text>
<title>輓沈侯 能述○幷序</title>,<text>歲己卯四月日。地主沈侯以疾觀化于州之東閣。鄕之大夫士擧奔走往吊。曁閭里襏襫之徒。至罷市哭失聲。噫。公之蒞官未及朞。州民之愛惜而傷慟之者。如此其至。其故何也。余雖無飮讀之便。得承賢侯之顔色。而時從自邑來者。竊聞其一二。皆曰侯有仁人之心。其發於聲色者。藹然有惻怛溫厚之意云。信乎斯言之不誣也。使天暇之年。能推是心則其利之博。又奚止於一州耶。可悲也已。侯之胤子將以是月。返塟于龍仁之故原。於其行也。爲數行誄。以代相紼之役。寥落西城路。官梅渡口斜。吏胥攀畫柳。禽鳥咽淸笳。洪佛來何暮。葉仙去莫遮。千秋飛鳳下。仁聞在商衙。</text>
<title>輓處士宋丈 好心</title>,<text>愚谷賢孫有。商鄕耋老尊。卹竆非爲譽。厚德在無言。遐壽天來大。遺昆世濟敦。恭書順寧字。無媿賁幽原。</text>
<title>輓金妹壻 希相</title>,<text>先子曾推坦腹郞。淸標儒雅冠南鄕。中年解額隨人勉。晩歲生腰律己强。共被白眉空吊影。三條寶樹僅成行。齊竽獨未傳庠鉢。寂寞床書故宅藏。</text>
<title>輓盧周祿 二首</title>,<text>玉雪盧周祿。秋風返故原。去時裘馬婉。歸路畫㫌昏。日暮黃溪縣。天寒翠竹村。善人難復作。吾老與誰言。泰母平生語。吾兒孝友殊。筆翰由家體。詞賦伏時儒。溫溫氣質粹。白白容華腴。俾汝止於是。嗚呼命也夫。</text>
<title>輓柳景偃 光游</title>,<text>景偃大賢後。淸洛媚神精。持身若處子。發言已老成。東漢多名士。翩翩季偉聲。往在穆陵盛。文忠秉宰衡。星日輝旂常。絃歌在庠黌。吾祖拚臯比。河廬聖經橫。文擧世講好。叔度繼知名。秋鷹刷勁翮。駿馬銜繁纓。南關和鳴鹿。雪燈何靑熒。江山解嘯歌。烟柳入題評。荊陽笑一歸。洛舟飜相迎。得喪元不滯。胷天霽月明。家範雖已優。器宇本自淸。蜀星恒見少。灃蘭遽謝榮。寂寞錦陽宅。文藻空塵籝。志士悠悠恨。容易過平生。我欲稽蒼冥。䨓公何砰訇。牙絃未忍把。馬笛留不平。謾將數行文。慟哭宿草塋。</text>
<title>輓金殷卿 幷序</title>,<text>殷卿久庵先生之後也。少負氣。不屑爲家人業。余少往來于聘家。殷卿居又隣焉。余往殷卿未嘗不在座也。性踈曠不礙滯。謬以余爲知己。如蕭寺攻業。京鄕觀光。若驂之於靳。未或離焉。吾聘家移于江西。殷卿撤笈而來。來卽余同。余告歸則聘姑氏必使殷卿止之。殷卿微笑不答。若無聞焉。及至九水嶺。則從後纓冠而呼。若迅飈之疾追。援馬鞚而下之曰云云。因拍手絶倒。笑謔一場。携手同入。嗚呼。今豈有是事耶。殷卿家甚貧。不免甑塵而釜魚。刻苦爲文。劌目鉥心。而屢黜於有司。一朝乃沉沒於蓬蓽之下。玆豈命也耶。於其疾也。余未往診。襄未聞期。亦闕臨訣。劉孝標絶交之論。可無作於今世耶。遂係之一絶。江水東流去。招招故人舟。故人不可見。惟有水東流。</text>
<title>輓川齋族兄 三首</title>,<text>從先祖有後。懿彼川齋兄。大嶺疏頭重。吾門廈棟擎。賢卿書致候。長德轍頻停。惜値彙征世。滄溟漏美珵。溫溫好氣味。藉藉古家聲。博雅徵文獻。聡明辨譜程。遐籌應錫羡。晩玉畢看成。古洞烟霞裏。雙㫌載胥行。七世鳴潛德。兪音下廟堂。百年未遑事。九曲結深腸。天霈寧終閟。雲孫獨抱傷。想應夜㙜裏。猶視竚巫陽。</text>
<title>輓族兄 寅培</title>,<text>白石淸溪村。霜葉半古木。獨憐疎籬邊。藹藹發新菊。緬焉思舊遊。舊遊今有孰。少小生幷閈。葱篠共徵逐。緫角公爲首。志氣如老宿。魚遊俄聚散。文譽動刮目。先府襟度寬。筆畫金繩束。寂寥三休宅。昌熾望後屬。海桑人間世。零落盡伯叔。相對兩衰髩。撥爐話昔夙。蕭寺伴經燈。漢京聯詩牘。公嘆我道否。我閔公才局。以玆慰晩暮。綽綽恢心腹。浪仙偏多竆。貞曜曷能淑。哭送楸原下。萬事未殫錄。</text>
<title>輓族兄 廣培</title>,<text>七葉今張藝。四昆獨魯靈。素心同好惡。持論每淸平。棟宇吾門重。琴棊友榻傾。如何賢長姪。文雅幷摧零。曖曖桑陰下。卜隣晩暮情。文多深處見。筆亦少時成。家訓䂓羣弟。門條奬後生。螟兒方典鬯。佳婦未伸誠。</text>
<title>輓族兄 直培</title>,<text>盤谷主人去。盤溪洞府虛。月林猿鶴散。雲壁薜蘿餘。葱竹吾宗舊。萍蓬暮境疎。應將首邱志。回望峴山墟。</text>
<title>輓族姪時應</title>,<text>驚代英豪間出鳴。山南家閥豈常生。列朝冠冕仍存道。中葉腰章乍有聲。天降乃身元不偶。聖褒名胄亦非輕。無端河嶽還收氣。爲問何時更闡亨。吁嗟時應此何辰。如爾吾宗有幾人。一騎黃塵鸞棘乍。兩司冰貫鮎竿因。周旋憂樂能仁族。辨論經文幸卜隣。白晳彯纓名士也。芝巖風樹惜埋湮。京國孤燈昔話情。勖余征邁若親兄。學因臯比知深奬。詩待龍遊約共成。老去經綸無着手。向來輪奐足殫精。龍亡故宅空文藻。寄語遺昆更勉誠。</text>
<title>輓宗姪光應 </title>,<text>四世憐身獨。三休倚小宗。先兄爰有子。後進自成童。廉介由家性。激揚愧我慵。往年東洛淚。於汝又無從。</text>
<title>輓宗姪泰應 ○二首</title>,<text>十世大宗子。同堂美少年。天資元近道。風骨望如屳。筆翰金繩劃。笑談玉磬編。先楸東洛上。歸去好翩然。先兄兩從氏。賢俊未能年。孑爾俄勝冠。哀哉再絶絃。偏親勞尸饋。穉子撫殘篇。老我傷今古。誰堪代草玄。</text>
<title>輓詞[黃皤老 白下]</title>,<text>月澗先生杖屨村。修翁挺出典刑存。矕龍巨手風騷薄。期鵠初心德性尊。大韛陶鎔成老宿。草萊遺佚貯名論。祀銜未肅君先逝。生死無涯感聖恩。靑鬂交情皓首冞。風流雅謔不相疵。恢疎愧我絲毛乏。晦默多君錦褧持。南院論經推丈席。西林衛道擬前綏。邇來兩地桑瀾事。羡子無知勝有知。</text>
<title>輓詞[李龜晦]</title>,<text>文章經術更淸修。大老吾南揖上頭。先德鴒原急難日。前遊鵬海捲歸秋。辭徵聖主恩徒眷。貽慽賢孫禍曷由。替面裁封葭玉誼。蘭書還把薤歌酬。</text>
<title>輓詞[李龜星]</title>,<text>商雒風流郢雪歌。同人文酒意如何。長杠吐氣靑霞菀。棐几驚霜白髮多。歲暮徵銜浮世物。古來逆慽善流家。尙看塵篋留書帶。和淚緘詩替素車。</text>
<title>輓詞[李家淳]</title>,<text>養拙牢關七十齡。商顔淵藪舊氊靑。家模不墜圭三復。天道終知鼎一銘。璧沼前塵花已謝。琴湖客路髮俱星。悠悠欣戚人間事。猿斷何山鶴海冥。</text>
<title>輓詞[金煕紹]</title>,<text>西山蒼蒼立。淸風百歲寒。急難鴒原古。保族雲仍賢。深深遠浦里。溫溫生芻束。孝友成裘葛。圖書爲飮啄。坐對風流樹。題作木居士。洗心讀經訓。吐口非俗累。蔚爲東南唱。一脉庶無墜。云何天奪速。吾徒日以孤。顧余嚮德淺。中晩始相識。結以婚姻好。期以蓬麻益。再叩衡門路。屢蒙石戴轍。對榻忘倦睡。臨風恨久別。衰門天不佑。中間事忍說。幼婦仲公冢。嬌女亡弟血。牛院一言約。念念長咄咄。前秋六十言。字字誠意竭。那知此一事。永作千古訣。浸淫歲月久。其奈各衰暮。一命纔通籍。重泉聞到符。拊躳長歎息。萬事無不有。嗚呼橫逆來。君子所謹避。李公欲問舍。王君喜卜隣。已矣泉原隔。無人更問津。强疾題輓語。却愧白馬人。</text>
<title>輓詞[鄭象履 制庵]</title>,<text>皎皎寒梅樹。獨依浦村開。如何風雪裏。淸豔絶纖埃。幽蘭在深谷。歲暮始見采。雖令空自萎。天香也不改。大鳥忽伸頸。病鶴悲失侶。安能奮殘翼。共哭靑山杵。憶曾相逢日。童觀我則少。執經君已弁。函筵說幽渺。芙蓉入手早。仙桂卽一芥。藉藉輦轂下。文藝嶺彥最。竆達本有命。倦遊不如歸。琴書貯草屋。悠哉昔賢希。寸腔如古井。羣物許共照。莫敎塵務溷。方期澈裏表。先生垂絳帳。名理日星揭。往質繼以書。每人身心體。盎然一團和。靜裏自生春。善學如斯已。螟誨詎無神。山梁痛不盡。微言在遺書。傳後恐易差。斤斤爲洗梳。情鍾抱再三。肺腸已受剝。達哉東門觀。不作西河目。一命從天隕。循墻是處義。於君豈輕重。世間有公議。簪纓纔表恩。牀褥便收膂。珍重玄晏托。慟矣更無所。兩心俱澹澹。坦然無疑歧。所以耐久契。不負歲寒期。未見我則思。旣覯君則喜。一朝歸各天。夢寐倘有寄。人死云冥會。無人可得知。死而信有從。非君更是誰。</text>
<title>輓詞[金弼敎]</title>,<text>舊日東牀伴。人間獨弟兄。海桑經浩劫。雲樹寄深情。每恨年俱老。那知病已嬰。生前一訣意。欲語淚先傾。已自髫齡日。才調出等夷。文章鳴盛世。問學就宗師。廊廟違初志。山林付晩期。七旬霑一命。天意欲何爲。一命愈於己。吾曹正倚期。高門當厄日。大嶺極衰時。益重儒林望。咸推後學師。吊賓隨賀至。天意更難知。</text>
<title>輓詞[金顯奎]</title>,<text>童角交情到老深。一鄕斯友許知心。曾遊璧沼羞衒玉。晩結林泉利斷金。可惜相分嵒院會。仍成永隔北邙岑。商顔耆德凋零盡。墜緖茫茫不復尋。早歲蜚英晩學優。今之修善取溪流。溫恭氣味慈良性。還顧吾鄕更無儔。伏櫪良驥老半生。晩來升聞九臯聲。孝陵參奉題㫌去。猶勝成均進士名。對山樓下雪飛飛。規步雍容拱立時。老去眞工恒秉燭。九原無愧拜先師。</text>
<title>輓詞[南漢普]</title>,<text>月蒼遺宅尙餘風。公襲前光志業崇。早擅文章餘外事。晩專經術近裏功。道存師席承明訓。響徹鳴臯入聖聡。舊日從遊零次第。餘生人世獨悲衷。</text>
<title>輓詞[趙慕洙]</title>,<text>七世同鄕契厚全。叨承長德許忘年。天資冰玉元無累。家學淵源的有傳。一代共歎名位嗇。九原堪惜子孫賢。江山文藻餘輝在。寒月修溪夜夜圓。</text>
<title>輓詞[朴駿寧]</title>,<text>華嶽儲精峻極天。月蒼遺範畫圖傳。一枝雲氣橫無際。復得賢孫二百年。立翁門下見而知。大韛鎔成好箇資。講授遺經珍重托。夜窓寒月炤幽期。早歲歸來上舍筵。弢名從此老林泉。縱然光氣終難閟。鳴鶴前臯會聞天。修養眞工老不休。新成茅屋枕溪流。蕭疎靜几爐薰轉。無愧人間七十秋。天理難諶種德家。不堪重哭過西河。腸雖易割髭還勝。愛刃其如定力何。阿嬌無似命道奇。萬事如今足一噫。泣誦舅庭如父膝。餘生看作未笄時。江臯餘淚送吾公。重歎斯文丈席空。已矣夤緣承誨絶。自慙依舊復吳蒙。</text>
<title>輓詞[鄭民穆]</title>,<text>昔吾王考門。擁箒幾君子。爐韛多薰陶。衿紳捴振起。眞醇元宿儒。沉靜許資美。答問當時言。追懷詎可已。嗟嗟鄕里老。次第奄騎箕。吾黨益無仰。先稿尙未釐。九原難可作。隻眼更云誰。緬憶山菴會。公私哭送輀。</text>
<title>輓詞[姜胄永]</title>,<text>疎木荒臺夕照分。西山白鶴去乘雲。後生衰世難追武。先輩當時菀有文。眉眼不存傷物意。衣冠皆染讀書薰。也非除旨巖間到。聖代恢張幾未聞。瀧岡春暮昊天呼。那意癯容此撫吾。萬劫經來竆道哭。一言難盡寸心紆。靑山黯黯今三歲。䕺竹蕭蕭對二孤。誰使含沙成薄俗。善流惟有起長吁。</text>
<title>輓詞[族姪𡋺]</title>,<text>修山何欝欝。淑氣儲中谷。有美生人傑。穎悟邁絶俗。長老誦佳句。曾是在舞勺。修水何湯湯。源委深且長。立雪山樓白。餘韻㴑月蒼。良玉加雕磨。展也備彩章。於歎修溪子。醇儒孰敢當。孝友承衣鉢。文雅擅輝光。愧我走且僵。誰知老驌驦。昔我西皋兄。謂公別與親。逮我從遊久。荷公謬許頻。卽今俱已矣。念玆獨傷神。我有文漆琴。爲君彈古操。今也和者少。歲晏增煩躁。酉齋撤臯比。素飈空吁吁。</text>
<title>輓詞[族姪睦]</title>,<text>山以修名水又修。先生杖屨此間留。周程古匣蟲網掃。李杜新篇鳳筆流。皓月方塘料得味。浮雲剡峀靜觀休。那知日暮滄洲路。黃榦諸徒泣素裘。</text>
