<title>次沈楚賢</title>,<text>養拙山深處。仍爲無事人。阿誰還錯認。謂我葆天眞。</text>
<title>江亭口號。示趙亨伯。</title>,<text>雲作藩籬山作園。竹林斜日倒金罇。高駕何須歸去早。待看秋月照江門。</text>
<title>八月十六夜。遊雲門菴。</title>,<text>洞壑深深細路微。水窮山盡倒禪扉。一年明月天壇上。不覺三更露滿衣。</text>
<title>客中</title>,<text>客裏光陰荏苒過。羈懷幾度短長哦。村酒溪魚風味好。故人多處卽吾家。</text>
<title>卽事</title>,<text>一筇隨意入煙雲。洞壑淸幽隔世紛。紅影滿溪霜葉晩。兩禪相對任曛曛。</text>
<title>至後見梅感懷復泉</title>,<text>一陽何處見胚胎。昨夜南枝數蘂開。無人更問春消息。回首荊江淚滿腮。</text>
<title>西鄰友佩酒夜會</title>,<text>歲暮孤懷鬱不開。喜君風韻訪寒梅。瓊葩也解樽前意。故送幽香蘸玉杯。</text>
<title>詠梅</title>,<text>氷斷溪流雪滿園。誰將鄒律起春溫。一樹琪花相暎發。山家別有小乾坤。</text>
<title>奉次季父盆梅韻</title>,<text>隨處園林耀雪霜。靑山如老竹松僵。一篇新什回春律。未臘牕梅已放香。</text>
<title>次權姪文饒</title>,<text>白首林廬抱苦心。不堪貧病競來侵。臘梅開落誰同賞。風雨山城別恨深。</text>
<title>代鄰人。呈沈方伯。</title>,<text>斗屋蕭蕭到骨貧。厨煙冷落甑生塵。可憐數畒靑靑麥。未及嘗新已糴人。又我侯爲政先窮民。若己飢之布至仁。誰知糴入隣家麥。還屬林間手種人。</text>
<title>北村道中。望佛寂菴。有懷。</title>,<text>松竹靑蒼柿葉紅。翠烟斜映小蓮宮。三宿尙多桑下戀。隔溪回首夕陽中。</text>
<title>玉鏡臺。春後卽事。</title>,<text>亂流東渡入山中。花盡千林不見紅。何許多情雙躑躅。獨留春色照靑叢。</text>
<title>歸山。寄南公允。</title>,<text>七十山翁猶愛酒。瓦罇陶盞便開眉。邇來自笑侈心長。更憶君家白玉巵。又老去生涯猶有酒。每逢風月一樽開。縱無珠匣靑銅鏡。莫惜深心鸚鵡杯。</text>
<title>謝公允寄杯</title>,<text>故交誰是夙心親。愛爾傳杯不愛珍。報道家人催釀黍。莫敎鸜鵡片時塵。又憐君忘老托知音。湖海十年開素襟。鸜鵡酌來如有語。就中深淺故人心。</text>
<title>過亡友舊宅有感</title>,<text>憶君何處最傷神。依舊園林寂寞濱。楓葉蕭蕭溪水咽。碧灣霜日照松筠。</text>
<title>送心禪夜往溪堂</title>,<text>月下林僧帶半醺。相逢一笑更相分。今夜不知何處宿。草堂花影碧溪濆。又吟筇乘月轉烟碕。夜宿花溪翠染衣。水色山光明刮眼。懶回風袂向禪扉。</text>
<title>題再從弟堯卿家壁上</title>,<text>方塘綠漲岸生苔。庭院風微點落梅。醉客欲歸猶索酒。杏花村外更遲回。</text>
<title>次英吉</title>,<text>瘦馬天寒訪弊居。故情披豁更無餘。何况淸詩洗昏睡。眼明奚啻十年書。</text>
<title>馬峙溪上</title>,<text>雲捲靑山宿雨晴。偶乘春興作閒行。溪流淸駛花如簇。隔樹啼禽處處情。</text>
<title>姜獻納京叔。買惠耳掩。</title>,<text>狐掩輕溫與老宜。故人遙寄苦寒時。着來斗覺泥丸煖。一任風刀掠鬢吹。</text>
<title>玉溪洞卽事</title>,<text>信宿山齋意未闌。玉溪花下更盤桓。臨分故故重携手。不覺千峰西日殘。</text>
<title>有感</title>,<text>荊江已隔論心處。東洛還違訪所思。愁絶古梅花下立。故人風韻照襟期。</text>
<title>偶吟</title>,<text>柴門晝靜鳴鳩懶。庭院花泥點綠紅。無人攪得幽人睡。一任斜陽下遠空。</text>
<title>詠梅</title>,<text>梅發南枝歲暮村。雪中孤艶占春溫。幽香不爲無人竭。獨立黃昏伴月魂。又雪裏幽窓窓下梅。陽春趁得臘前回。和煙和月藏淸艶。肯受風前半點埃。</text>
<title>感舊</title>,<text>依舊溪山人事非。夕陽凄冷照苔磯。遲回不覺頻惆悵。重把殘杯趁醉歸。</text>
<title>寄贈襄陽使君姜京叔</title>,<text>臨嶠登樓思豁然。雙鳧何處躡飛仙。習池取醉渾閒事。山簡風流不足傳。又世味如紗仙分多。前程穿入幾重霞。蓬山碧海追眞賞。肯使胡琴載後車。又夢想靈區到白頭。襄陽風景最東州。問君獨往吾衰老。恨未攀登洛寺樓。</text>
<title>雲門夜酌</title>,<text>暮入禪宮雨滿林。烟雲低重結層陰。半壁靑燈寒夜永。一杯相屬一長吟。又一杯相屬一長吟。月到西峰半壑陰。更漏頻傳僧語軟。隔牕微雨響疎林。</text>
<title>過沙浪洞趙脩竹塋下</title>,<text>醉裏經過擧眼驚。松楸疎冷繞佳城。一聲流痛西州哭。人道猖狂阮步兵。</text>
<title>龍巖</title>,<text>偶携筇屐上雲臺。水色山光滿眼開。竟日尋詩無好句。丹崖碧樹笑空廻。</text>
<title>敬次季父韻。解嘲。</title>,<text>心賞悠然非一端。偶乘閒興獨尋山。山上仙靈聊戱我。賸拚風雨洗塵冦。阿咸遊賞太無端。看盡龍巖巖上山。却恐天公慊獨往。故敎風雨濕衣冠。原韻</text>
<title>江行宿中道僧舍。翌日晩到江津。</title>,<text>百里分爲兩日程。短童羸馬到江城。兒孫艤待津亭下。扶上船窓酌酒迎。</text>
<title>候暮潮上江</title>,<text>潮頭初上解歸艎。江面風恬鏡樣平。一羣白鳥如相待。睡立煙沙也不驚。</text>
<title>船到江月亭前</title>,<text>輕風獵獵送帆行。沙步斜陽一半明。下船別有歡顔處。玉立孫曾次第迎。</text>
<title>訪黃友行源新居</title>,<text>幽人結屋山深處。山有蕨薇溪有魚。相逢一笑無餘語。共醉香醪春日西。</text>
<title>次送地主才子之三陟</title>,<text>夢想仙區第一樓。送君東去更回頭。登臨勝景將詩畫。寄與茅齋得卧遊。</text>
<title>酬地主</title>,<text>麗什飛從明月樓。吟來不覺拜低頭。竹堂自此生顔色。人道幽棲勝遠遊。</text>
<title>扶蘓使君送白魚</title>,<text>玉色寒江水底魚。使君風味到林廬。貧厨斗覺新羞潔。夢裏臟神訴蹴蔬。</text>
<title>次洪文擧</title>,<text>此身隨分老山居。松竹蒼凉映弊廬。千里情親靑眼處。滿堂心月共如如。</text>
<title>玉樓亭</title>,<text>洞裏烟嵐鎖遠岑。一溪淸淺繞靑林。山罇倒盡遊人去。隔葉空聞好鳥音。</text>
<title>歸路。因遊憇僧舍。</title>,<text>玉亭斜日歇笙歌。輕屧春風散似霞。分手不堪魂欲斷。一筇歸處又非家。</text>
<title>帝京金門待漏圖</title>,<text>半世聞人說上京。長嗟生作海東氓。誰將尺素開天闕。坐使遐方見常城。中極殿前銀燭晃。正陽門外玉珩淸。融心對此風雲會。簇立千官待漏聲。</text>
<title>題趙僉使 求仁 湖亭</title>,<text>將軍斑鬢卧江關。潛日龍鱗早一攀。北極樓臺渾似夢。西湖風月好開顔。布帆掠過桃花外。沙鳥斜飛蘭渚間。金鎖綠沉拋擲久。釣徒相伴自閒閒。</text>
<title>送趙僉使赴關西元戎幕下</title>,<text>塞上風沙正亂飛。兜鍪換却老萊衣。腰橫蓮劒猶衝斗。手握金戈可挽暉。豹幄參成元老筭。龍堆直掃虜騎圍。萱堂莫恨違溫凊。獻捷行看晝錦歸。</text>
<title>樗湖故亭書懷</title>,<text>長洲芳草正連茵。獨對江天思殺人。綠浪微茫漁艇遠。白鷗搖漾羽衣新。荒凉世業餘空榭。愁寂襟懷坐暮春。安得提携詩酒伴。罇前洗盡十年塵。又草堂孤寂絶知音。遲日風煙一壑深。萬里晴鷗舝逸興。數羣嬌鳥碎春心。沙灘水響和松韻。野女山花幷竹簪。惆悵斜陽猶倚柱。不知佳句與誰吟。</text>
<title>雪後湖亭朝景</title>,<text>西湖秋夜雪霏霏。朝日江山盡縞衣。荻岸連天添白色。楓林映水沒紅輝。楚鴻叫侶迷沙渚。釣叟携竿眩月磯。南望故園歸興遠。亂雲何處有柴扉。</text>
<title>寄金菊亭</title>,<text>寒氣頑癡掩埜暉。小堂岑寂往還稀。老來事業惟耽酒。靜裏工夫是息機。雲意耻隨溪水競。灰心肯惹雪花飛。江湖醉伴如相問。睡過三冬不啓扉。</text>
<title>贈南藥泉 九萬 雲路甫</title>,<text>溪上梅花昨夜開。玉人消息幾時來。柴門晩掩千峰雨。竹杖閒投兩岸苔。野興正隨煙景遠。詩情自與歲華催。輕陰漠漠春波濶。誰共探芳碧繡堆。</text>
<title>藥泉南君來訪</title>,<text>鳥聲嘐戛恠儒衣。微分還甘食蕨薇。山店閑花烟正惹。埜橋芳草露初晞。坐令高步忘村僻。自笑幽蹤出洞稀。白酒新詩靑眼處。半溪殘照帶荊扉。</text>
<title>步白洲兄弟贈南明府 二星 韻</title>,<text>老夫知己是溪山。白首幽居斷往還。迎翠窓開雲卷後。候仙臺靜月明間。醉來自笑身常拙。詩罷誰憐語更閒。也得金閨諸彥什。欲將枯筆爲君刪。</text>
<title>從舅趙校理。折簡遠問。</title>,<text>遠傳雙鯉問棲霞。爲謝仙官不我遐。瓦枕竹床供老病。藥爐詩卷寄生涯。窮通有命常知足。遊舊多情謾見嗟。高駕會能尋草逕。白雲深處卽吾家。</text>
<title>用黃公一皓韻。呈金陰竹老兄。</title>,<text>爲愛湖山最上層。閒將七友擬良朋。草堂蕭灑眞堪卧。天路幽深不可登。千日醉鄕君得意。百年浮世我無憑。相思莫道川原隔。鯤化風雲作海鵬。七友卽峰名。</text>
<title>以紫硯投贈閔掌令子美 光尹</title>,<text>老向騷壇懶作文。石交無分更投君。寒姿宿潤滄波氣。貞色新開紫電紋。對面眞堪供十手。淬鋒容易掃千軍。懸知展却靑雲器。携近螭頭瑞靄薰。</text>
<title>呈南明府</title>,<text>聲最湖南五十州。野人懷惠競吟謳。武城化理看今日。蜀郡淸風屬我侯。大度優容騎馬處。孤心感激酒醒秋。將何報答公恩紀。悵望元龍百尺樓。</text>
<title>偶吟</title>,<text>半頂烏巾睡眼昏。晩來閒步紫苔痕。雲藏雨意低平埜。煙拖溪聲散別村。槐陌綠深延夏令。桃林紅謝斷春魂。風光流轉詩心苦。句句奚囊幾許存。</text>
<title>地主尹公。發丁築就鳳林石埭。</title>,<text>二天當旱念民天。築石橫流控遠川。荷鍤油雲連鉅埜。决渠膏雨注平田。其耕澤澤分千耦。有喜欣欣願一廛。待得秋風收䆉稏。擬將朋酒賀豐年。</text>
<title>述懷</title>,<text>東皐深僻懶烏紗。坐睡行吟兩鬢髿。數畒山田供歲計。一床書卷問生涯。靜中獨覺天和妙。閒處都無俗物加。養拙久拚藏姓字。不緣心疾痼煙霞。</text>
<title>步東坡雪詩韻</title>,<text>寒氣頑癡噪暮鴉。雪雲排陣蔽曦車。林巒苒苒飄瓊屑。溪路濛濛映柳花。何處賞懷騎蹇客。箇中情味閉門家。欲將凍筆追坡老。愧乏詩人手入乂。</text>
<title>更拈曾茶山雪帖韻</title>,<text>老懶從來與慢成。閉門獅卧味無能。月沉林壑漫空雪。梅涷花壺徹底氷。授簡曾非梁苑客。安心却似趙州僧。茶山餘興依然在。夢入芙蓉最上層。</text>
<title>雲巖李玉果 興浡 設小酌邀余。仍醉吟 二首。</title>,<text>山家酒熟正湛湛。勝日招邀水北南。放達風流迨過七。昏冥天地類含三。詩盟宗主君無讓。文會推先我豈堪。莫道杯盤太寥寂。主人情味勝肥甘。又雲巖兄弟共和湛。時論爭歸斗以南。胷次橫呑夢藪九。風神凌厲海山三。文巍萬目誰能敵。酒凸千鍾老更堪。倚玉芳筵欣捧袂。濁醪溪蔌亦珍甘。</text>
<title>樗湖亭。次李都事子西。</title>,<text>野堂倚竹小如舟。窓檻臨波地勢浮。帆帶斜陽蓬島夕。烟添遠色佛巖洲。江流衮衮罇還竭。才子飄飄興未休。自是西湖比西子。澹粧濃抹要人留。</text>
<title>酬子西遣懷之什</title>,<text>煙郊柳綠雨初晴。多少閒愁草喚生。世事紛紛誰不老。風光苒苒更無情。尋花最愛東溪僻。把酒渾忘西日傾。爲報故人須肯顧。高談一發座中驚。</text>
<title>傳聞有人作詩。指斥當世已甚。似非感諷之體。故因用其韻。以寓傷時之懷。竊比古人所謂曉人不當如是之義。</title>,<text>漢南殘堞半摧傾。十二喬山慘不靑。莫道黎元投虎口。最憐明兩在龍庭。抱氷能復追句踐。蹈海還須繼魯生。北望天門雲日遠。白頭無路獻丹誠。又受降臺畔事危傾。龍衮天扶幸未靑。七廟塵埃新木主。千官金玉舊朝庭。阿誰慷慨憂當世。秪自昴莊過此生。獨立山河彈一劒。十年霜刃照孤誠。</text>
<title>雲巖懷兪萬里。復用前韻。</title>,<text>獨自登臨訪老師。龍華山外憶人獅。枕前飛瀑同誰聽。窓畔閒雲空復奇。水漲魚龍頻改窟。月明烏鵲更移枝。秋來儻結東峰戀。圓寂菴中淸夜期。與兪曾有同來遊賞之約。而兪不果。且兪屢遷厥居。棲屑道路。余適見川漲月明之景。因以此寫意寓諷云。</text>
<title>自江鄕歸山有感</title>,<text>數月江湖鬢雪紛。東歸重入故林雲。半箱芸帙添梅潤。滿砌苔花綴錦紋。生理頻煩關視聽。情懷戚草度朝曛。殷勤獨有堂前鷰。時向空窓喚主君。</text>
<title>雲巖卽事</title>,<text>白蓮未赴東林社。近寺來尋凈法師。波漲龍灘深沒馬。路緣蘿壁細如絲。凌霞自訝飛仙挾。臨瀑從知造物奇。雨後斜陽開眼界。碧天雲盡海無涯。</text>
<title>忍步洪庶尹 翼漢 上巳詩韻</title>,<text>誰把孤忠作𥚁胎。北庭投遣事堪哀。堂堂素節超前古。烈烈丹心照後來。關塞蒼茫魂莫返。乾坤冥默恨難開。到今忍忘平生誼。一唱遺篇淚兩腮。陽坡細草圻新胎。孤鳥樊籠意轉哀。荊俗踏靑身外事。錦城浮白夢中來。風飜夜石陰山動。雪入春澌月窟開。飢渴僅能延縷命。百年今日淚盈腮。原韻</text>
<title>贈友人</title>,<text>病來消息浪云云。今乃相逢仔細聞。床褥未曾連日卧。山田猶得及時耘。容顔似瘦神還實。生事雖貧志益勤。何况全家俱勿藥。莫將餘念擾心君。</text>
<title>趙參奉伯春。投惠韋蘇州集。</title>,<text>老讀蘓州數卷詩。風流淸曠味冲夷。朱絃廟瑟彈問頌。玄酒天漿在象犧。雅趨自多閒境思。幽吟偏愜靜中期。陶鎔情性歸和樂。除却蘇州更有誰。</text>
<title>觀漲</title>,<text>漲江波浪接遙空。萬壑千溪此會同。平楚已呑猪浦北。高原欲沒泗津東。雲帆輕櫓飛靑雀。霧嶼殘陽飮白虹。快意卽今誰似我。竹堂南畔倚長風。</text>
<title>寄趙伯春</title>,<text>君才橫放我空空。詩思豪慳自不同。觀漲徒知蓮浦口。遊心最憶漢江東。何殊河伯誇秋水。有似螢光擬日虹。從此騷壇逢壓倒。老夫無計較䧺風。趙詩有我憶漢江東之句故云。</text>
<title>憫時</title>,<text>漢城城闕煙塵後。只有山河昔日同。縱免龍輿廵朔北。誰將鶴駕渡江東。滿朝勳貴生何面。孤島忠魂氣作虹。惆悵東韓三百載。中天日月隔腥風。</text>
<title>復拈前韻。贈兪萬里。</title>,<text>柴門深閉鳳林陽。老去生涯杜草堂。身外未曾勞夢想。胷中元自乏馨香。登山臨水酒千斛。弄月吟風詩一床。賴有碧桃源上叟。肯來相對話羲皇。</text>
<title>酬李子西</title>,<text>亭下春江極望平。芳洲日煖戱鵁鶄。仲宣去國多鄕思。子美登臺惱客情。樗散猶爲松菊主。棲遲已隔帝王城。眼前綠酒如長滿。身外何須羡列卿。</text>
<title>呈友人</title>,<text>爲問西溪老處士。別來何事是生涯。水畦稻熟黃金穎。池榭蓮呈紅玉花。幾首新詩消夏日。滿懷淸興映秋霞。閒中剩有相思夢。不道荒林十里遮。</text>
<title>寄復泉老兄</title>,<text>古今風義一齊評。別有高人晦盛名。贒路幾回推舊學。禮羅終未致先生。銀山鐵壁身心定。玉雪金鴉蜀越驚。若向餘芳得消息。始知天爵勝塵榮。</text>
<title>呈觀雪許掌令</title>,<text>十載兵戈兩鬢皤。試看身世竟如何。生涯已失昇平樂。病裏無心對景哦。幾羡雲蹤超累遠。最憐風韻占閒多。花時擬訪仙源去。一曲陽春和雪歌。</text>
<title>追憶寒碧堂高會</title>,<text>仙妓凌波秋水香。畫船歌吹動高蒼。樓頭盡是長纓侶。座上還容短褐行。已任廵觥傳百罰。那妨問月笑千塲。丹梯一下雲重隔。回首奇遊更杳茫。乙亥九月十三夜。陪從舅趙大尹令公。登寒碧堂。坐次近北深處。未見月色。因問人月已出否。滿座笑其昏醉。通判請罰深盃。令公笑而頷之故云。</text>
<title>呈尹孤山</title>,<text>于郊居士本無名。五十年來學未成。愚拙難爲時世態。醇眞更覺古人情。山牕別後梅花落。溪塢吟餘水月明。守却殘書塵蠧甚。春風贏得雪鬚生。又抱拙藏身何用名。無能端合老無成。看書浪信今猶古。談道纔分性與情。豈有工夫臻邃密。從來聞見愧高明。移風定在眞儒者。莫數沉冥太學生。</text>
<title>贈黃參奉載伯 自厚</title>,<text>憐君小少占英名。世亂文塲志未成。淹速隨時何足道。悲歡有數可關情。分山遮莫伴眞隱。攀桂應須朝大明。護惜平生萬言手。鳳凰池上待鴻生。</text>
<title>寄濟牧伯沈公 演</title>,<text>好在耽羅老使君。音塵迢遞隔年聞。威聲壓海馴蛟鱷。爽氣凌空洗霧氛。幾度登樓思北闕。從來當宁重南垠。慇懃護惜經三考。銀信行看下五雲。又臨邑當年阻奉陪。炎維况復海環廻。書隨島舶經秋到。詩墜山窓帶月開。窮老自憐垂白髮。使君寧保駐丹腮。遠情珍重將何報。剩有相思夢往來。</text>
<title>步雲谷集東岳李公 安訥 跋詩韻</title>,<text>煙霞寥落古菴空。隻履西歸逝水東。身後詩篇多少語。生前吟詠淺深工。斑斕自是留文豹。泯沒元非斷影鴻。惆悵當時無岳叟。世間誰復識徽公。</text>
<title>題心僧詩帖</title>,<text>禪師風韻世無儔。霞外晴牕映晩秋。水月襟期常凈寂。野雲蹤跡任行休。鍊丹南嶽棲金刹。演法東林閉石樓。時向郊堂開笑語。夕陽筇杖更遲留。</text>
<title>秋遊雲巖寺。斯文某。酷愛佛學。至與山房法侶。同誦楞迦。遂作此以諷之。</title>,<text>秋草山蹊人跡稀。滿林嵐翠晝依微。藤纏恠石擎崖仄。雲傍孤松護鶴飛。僧在竹房吟半偈。客從塵界把三衣。中宵明月禪窓下。浪信微言悟道機。</text>
<title>述懷</title>,<text>蝸舍沉冥五十春。秪知安分且安身。少來疎懶從成癖。老去迂愚一任眞。花鳥多情爲好伴。溪山有素是芳隣。吟詩把酒平生樂。白首休休忘我貧。</text>
<title>贈金鳳谷 東準</title>,<text>年來杞菊數畦荒。白首棲霞鳳峀陽。擧世無人知姓字。一身隨分任行藏。鹿門剩欲追龎老。蓬島何須羡永郞。賴有高朋同臭味。時時訪我醉中鄕。</text>
<title>次宋瓢翁 英耉</title>,<text>十年蹤跡阻咸秦。門掩荒村白髮新。方外遍求知己士。世間誰是素心人。自憐鉛槧渾無用。却羡文章動有神。共把山杯歡笑處。梅花香動雪中春。香動。當作香暗。</text>
<title>次沈元之龍巖詩帖</title>,<text>偶携閒客傍溪行。玉溜琮琤雨後聲。滿壑雲嵐多意態。中林猿鶴不猜驚。看花苒苒春光暮。隔樹依依夕照傾。醉卧松陰猶記想。龍巖歸處路分明。</text>
<title>贈金暉吉</title>,<text>幽居岑寂絶追呼。歲暮空齋跡更孤。憂國傷時同老杜。立言垂範愧貧盧。紫雲心事元非異。白馬風期幸與俱。鴻鷰今朝相値處。山醪休道十分無。</text>
<title>次寄趙敎官君實</title>,<text>商飈隨夢落汀洲。湖外相思抱遠愁。窮鬼伴吾常倂迹。功名遲子少回頭。風塵荏苒人虛老。情思凄凉葉已秋。爲誦淸詩香滿頰。世間浮念儘悠悠。又雲物凄凄霜滿洲。荻花楓葉正堪愁。靑眸那得對紅友。黃菊猶應羞白頭。漁步三更誰送笛。江樓一夜客悲秋。歸來斗覺別懷惡。回首煙波魂夢悠。</text>
<title>又拈前韻。贈趙醉隱伯春。</title>,<text>笑傲江湖芳杜洲。歡華曾未解悲愁。雪霜肯許侵雙鬢。文苑行看讓一頭。雲雨嬋娟新入夢。香閨寂寞獨傷秋。靑絲白馬催歸意。不道長安道路悠。</text>
<title>與元之復遊龍巖</title>,<text>嫰綠陰中携手行。幅巾藜杖度松聲。溪山有素如相待。魚鳥忘機自不驚。春盡夏來風景別。日斜人醉酒罇傾。諸君且莫催歸去。留看龍湫半月明。</text>
<title>寄沈生</title>,<text>病後東陽應更瘦。炎天行李正如何。于郊堂畔誰相覔。習靜門前我獨過。舊學荒蕪時易逝。前期迢遞夢空多。新秋望望南來鴈。莫惜飛書問在阿。</text>
<title>自樗湖歸山別李子西</title>,<text>江亭客散閉荊扉。鄕思遙遙逐鳥歸。豈是窮山生事富。從來別地往還稀。蓴羹太冷空添滑。箭茁傷辛自不肥。爭似樗湖鱸膾樂。與君於此共苔磯。</text>
<title>與子西。約遊大屯山。而子西不果來。</title>,<text>大屯名勝冠吾東。翠壁丹崖映遠空。積雪樓頭人上鶴。白雲菴裏鉢藏龍。登臨自足胷襟豁。吟賞應須筆力䧺。蠟屐未能聯步去。知君百里夢憧憧。</text>
<title>大風歎</title>,<text>大風吹日日微明。雲氣奔忙不肯晴。北去㫌旗應掣倒。南來舟楫莫危傾。龍蛇尙未能安穴。鳥雀誰憐謾失驚。回首麒麟行地遠。鳳凰城外最零丁。</text>
<title>心禪移錫入雲門寺</title>,<text>雲門深在芙蓉北。洞府淸秋送爾還。香霧窟中龍倂睡。碧桃菴畔鶴同閒。從來野性耽靈境。幾向幽人問好山。擬結東林蓮社會。茶甌對啜天花間。又候仙臺上桃溪下。白道縈紆少往還。逸跡懶隨鷗鷺狎。隱情偏與水雲閒。經營秪有三間屋。生計猶憑一片山。從此更懷長往志。豈須名利老塵間。</text>
<title>季父自懷仁棄官歸第</title>,<text>枳棘棲鸞今幾月。牛刀游刃未終年。懸知赤子如歸母。可惜蒼生遽失天。肯帶纖塵過江外。獨鞭羸馬返雲邊。行裝灑灑無琴鶴。雪裏淸吟聳兩肩。懷仁境。有江外村。</text>
<title>贈成尙圭 璘</title>,<text>乖闕悠悠問幾時。芳蹤誰謂到茅茨。年來喪亂何堪說。老去生涯亦可噫。臘酒未篘梅意動。情言纔欵別懷悲。春風洛下趨庭日。道我相思鬢已絲。又路似羊膓山似攢。念君行李轉孤寒。雪深危棧前登㤼。氷塞回溪直渡難。誰識壯懷頻撫劒。定知愁什更盈鞶。男兒自有桑蓬志。隨處安身心亦寬。</text>
<title>次靈悟寄兪萬里韻。仍示萬里。</title>,<text>慣聽禪心無一塵。古書披讀到先秦。風哦月詠過千首。雲卧霞棲度幾春。剩欲追尋臨海嶠。若爲收斂整山巾。詩傳儻問吾何許。百丈潭西老倒人。</text>
<title>呈復泉大兄</title>,<text>紫雲臺畔卧英髦。文采風流老更豪。感興頻傾林下酌。傷時幾拂匣中刀。留將栗尾供揮灑。卽見詩篇發笑號。末路多君同臭味。降臨忘却歲年高。又才微歲晩愧羣髦。意氣闌珊少日豪。世事無心磨鐵硯。此身何用鈍鉛刀。誅茅不是甘長往。耕野惟知避永號。誰謂我公還許與。錯將迂拙擬淸高。</text>
<title>題靈悟詩軸</title>,<text>春晩尋花暫倚樓。別來時序已淸秋。溪山有約身難到。風月多情病未休。殘菊豈能供醉興。暗蛩惟解養閒愁。數篇佳句留題處。玉洞仙雲繞筆流。</text>
<title>贈洪師傅天光 宇定</title>,<text>老夫於事百無堪。不識東西與北南。半世知心雙雪鬢。暮年藏姓一茅菴。携藜只解尋丹壑。把筆惟能詠翠嵐。何處故人勞遠夢。欲恢詩律共秋酣。</text>
<title>伏枕偶起。用雍陶病中詩韻。</title>,<text>病裏閒門閉寂寥。卧聽山雀噪松梢。多愁己任詩章廢。無興寧論酒盞拋。晩菊經霜初破蘂。陽林留葉半藏巢。小春物色猶堪賞。奈此幽蹊滿草茅。</text>
<title>閒行雲臺卽事</title>,<text>穿林緣澗路幽幽。緩步微吟行自由。嵐壁秋高楓似錦。瓊潭潦盡水如油。呼僧松外白沙岸。引客煙中蒼石洲。景物醺人忘日夕。更將殘酒故遲留。</text>
<title>江月亭。步趙敎官君實韻。</title>,<text>佳篇一唱意差强。畫我江樓秋景凉。正好同臨眺遠楚。那堪孤賞過重陽。來鴻去鷰自相背。宿鷺眠鷗渾不忙。物色被君收拾盡。老夫從此括詩囊。</text>
<title>寄友人</title>,<text>蒼峰屛擁戴煙鬟。松影陰陰映碧灣。樂子幽居藏洞裏。引吾閒步到林間。綠罇暫借韶顔色。黃菊應羞短髮斑。景物留人人易散。醒來剩有恨千般。</text>
<title>呈主簿從叔</title>,<text>幾歲相思今夕逢。羡君髭鬢保春容。飮空樽重千鍾酒。舞似風前百尺松。自笑山居成老倒。應憐野性賦愚慵。驂騑儻許留旬月。紫蟹香醪逐日從。主簿善飮善舞。故詩中及之。</text>
<title>復用雍陶韻。歲暮書懷。</title>,<text>墐戶三冬味寂寥。任敎庭雪壓筠梢。半頭華髮吟邊長。滿案殘書睡裏拋。政類寒龜休老殼。更如棲鳥戀深巢。久知鈍拙渾無用。秪合終年卧草茅。又風瀨淙淙響寂寥。煙雲長鎖竹松梢。苔扉石徑無還往。草屨藤冠任擲拋。臘罷窓梅飄落蘂。冬溫庭鵲語新巢。吟詩把酒終殘歲。敢向三陽羡拔茅。</text>
<title>玉樓亭卽事</title>,<text>鄕風淳朴少塵紛。溪友園翁自一羣。美景良辰臨水石。舞筵歌席躡烟雲。山含落照人將散。月上高臺客正醺。樽酒未空歸未可。肯愁岐路夜難分。</text>
<title>冬至後。閣梅忽開。有懷江鄕親友。</title>,<text>漠漠江山屬暮天。想君何事度流年。湖亭幾把煖寒酒。蕭寺應題詠雪聯。白首離居空有夢。靑眸迎笑杳無緣。牕前一夜梅花發。欲寄相思誰爲傳。</text>
<title>寂滅菴詩帖</title>,<text>徽公寂滅舊蓮宮。十載禪扉夢未通。已謂烟霞無管領。却聞吟詠滿房櫳。剩欣詩社流風在。休歎騷壇古跡空。老眼縱昏猶辨玉。更將淸什汚塵中。</text>
<title>重九雨中卽事</title>,<text>陰雲漠漠雨翛翛。滿眼風光已晩秋。草沒黃花芳意少。鴉啼紅樹暮聲幽。湖亭遠負登高約。山舍誰知獨坐愁。何處煙村有橫笛。夕陽門外思悠悠。</text>
<title>湖亭。贈別扶蘇諸友。</title>,<text>古津潮上客將廻。更把離裾進一杯。後會難期悲最老。前程方遠羡羣才。年來哀樂傷心緖。歲暮江湖任沂洄。若向蒼洲成小築。短蓑同上釣魚臺。時欲買李昌平穆卜居處。圖之諸友。</text>
<title>歸山居。寄扶蘓諸友。</title>,<text>歸卧山村氣鬱蒸。松巖回首憶齊登。故人別後今何似。羸病寒來日漸增。聚散茫茫孤枕夢。生涯淡淡少林僧。北風不貸荷衣薄。雪夜扁舟豈易乘。</text>
<title>偶吟</title>,<text>形骸土木耐嘲譏。肯向喧中說是非。數畒山田理荒穢。一簞蔬食擬甘肥。安貧好學吾何敢。把酒吟詩或庶幾。才分揣量知已足。虛啣郞署任卑微。</text>
<title>人日感懷</title>,<text>鄰幷蕭條星散居。厨烟冷落小堂虛。六旬荏苒容顔改。百疾侵尋故舊疎。人日新詩誰寄贈。歲時殘酒已傾釃。茅簷獨對斜暉坐。滿鬢霜毛悶自梳。</text>
