<title>日 乙酉</title>,<text>太陽全體明。蓋有君人象。品彙莫逃形。恠奇森萬狀。</text>
<title>祇謁元陵。拈韻。命陪享諸臣。足成聯句之體。所以識是年是月感慕之懷也。陪享諸臣。領議政洪樂性，領府事蔡濟恭，判府事金鍾秀，朴宗岳，右議政金憙，提學鄭民始，檢校直提學徐有防，徐鼎修，原任直閣徐龍輔，尹行恁，檢校直閣南公轍，直閣金祖淳，承旨徐邁修，洪仁浩，金履成，兪漢寧，史官徐有聞，洪樂游，禮曹判書閔鍾顯，玉堂李東稷，鄭尙愚，尹致性。</title>,<text>孺慕偏增此歲來。况逢今月拜陵廻。御製。 羹墻復見宸情愴。弓劒如攀寶寢開。臣樂性。 趨走黲袍疑問寢。周旋天淚欲沾杯。臣濟恭。 晨晴羽衛爭瞻處。秋熟田家亦樂哉。臣鍾秀。 每歲非無霜露履。玆辰冞感仗旄陪。臣宗岳。 葱蘢瑞氣喬山擁。洋溢恩波御食推。臣憙。 黃帝百年瞻象設。漢原三酌浥龍罍。臣民始。 蒼生環海思曾燾。喬木盈庭仰舊培。臣鍾顯。 藹爾文王如復覿。履之君子重徘徊。臣有防。 感深宿露霑陵柏。誠拱祥雲護寢臺。臣鼎修。 遺化不忘風偃草。神遊如見雨滋苔。臣邁修。 龍驤萬騎環中野。鳳舞千峯接上台。臣龍輔。 孝感天垂甘露潤。祥符地擁彩雲恢。臣行恁。 廚傳供減持苞飯。宮胙香分泛菊醅。臣公轍。 石馬聲沉原草裏。玉鸞翔戛洞杉隈。臣祖淳。 感增九月宸誠皎。慶叶重离德表魁。臣履成。 採露誠深由上格。升香禮肅邁重陔。臣仁浩。 衣冠月出斟馨瓚。松柏秋深結露瑰。臣漢寧。 聖慕見羹偏是日。周髦助祼愧微才。臣東稷。 相傳心法追堯舜。拚和宸章愧朔枚。臣致性。 儀衛臣工追舊列。齊明服御仰新裁。臣尙愚。 繞陵佳氣晴霞滴。盈野秋雲晩稻堆。臣有聞。 繼述知爲維則孝。如今功化又嵬嵬。臣樂游。</text>
<title>季秋試抄啓文臣製射。得陽字拈句。使在筵諸臣聯進。在筵諸臣。提學鄭民始，檢校直提學徐有防，徐鼎修，原任直閣尹行恁，檢校直閣南公轍，金祖淳，承旨洪明浩，金履成，李冕膺，史官洪樂游，守禦使李文源，壯勇大將金持默，訓鍊大將趙心泰，新舊選抄啓文臣李勉兢，李翼晉，金啓洛，李錫夏，金煕朝，李儒修，韓致應，宋祥濂，安廷善，沈奎魯，徐有聞，申星模，宋知濂，朴鍾淳，韓用鐸，洪秀晩，朴宗京，尹行直，尹持訥，金煕華，李弘達，韓耆裕，沈鎜，閔致載，李肇源，林景鎭。</title>,<text>盈盈天氣過重陽。紅木黃花錦繡糚。御製。 雲捲霧收開瑞彩。文才武藝沐恩光。臣民始。 賓延晝席瞻天近。王在春臺覺日長。臣文源。 兩列鸞袍陪玉輦。一堂魚藻醉金觴。臣行恁。 華筵酒與君恩重。禁苑楓含御氣香。臣公轍。 閣揭觀豐徵大有。門開不老祝無疆。臣勉兢。 川增松茂祈天永。海潤星輝屬運昌。臣翼晉。 歲歲年年叨此會。煕煕皞皞頌休祥。臣有防。 晴光霜染千林赤。喜氣秋登四野黃。臣冕膺。 是日恩波宣法醞。自天瓊韻奉宸章。臣鼎修。 時回維九逢嘉會。運啓於千祝聖王。臣啓洛。 育物以時參造化。勑天之命喜明良。臣履成。 璇章擎手榮堪詫。玉液沾脣樂未央。臣祖淳。 治敎文明光日月。風謠洋溢邁虞唐。臣明浩。 秩筵盛際勤延訪。簪筆微誠祝壽康。臣有聞。 千一昌辰天北極。四重歌曲海東方。臣持默。 龍光密邇移仙仗。鸞珮委蛇自玉堂。臣持訥。 化洽鳶魚謠旱麓。才慚枚馬賦長楊。臣樂游。 周弨寶貺中心好。虞殿賡歌拜手颺。臣廷善。 一席法樽恩似海。千秋佳節祝如岡。臣錫夏。 仙韶鶴送三淸唳。繡勒龍騰八尺驤。臣鎜。 勝事堪誇叨式燕。令辰况復屬淸商。臣星模。 泰階休象歌雲爛鼎席訏謨贊日襄。臣耆裕。 宴倣釣魚知有樂。時同賦蟋戒無荒。臣煕朝。 期門壯士皆熊虎。鳴國詞臣是鳳凰。臣致載。 不醉無歸寬禮數。有才咸造集芬芳。臣用鐸。 香烟滿袖陪筵近。綺饌盈盤正席嘗。臣鍾淳。 日轉銅壺稀箭報。天晴瓊苑畫帿張。臣煕華。 秋容的歷千章樹。雲影徘徊一鑑塘。臣宗京。 苑菊迎風香冉冉。宮樽永夕露瀼瀼。臣行直。 亭臺選日叨鴻渥。紳笏趨朝學鳥蹌。臣肇源。 慶節花樓唐獻鏡。仙班萸珮漢頒囊。臣祥濂。 淪肌至澤方環海。鼓腹歡聲近滌場。臣奎魯。 暇日宸遊欣一豫。豐秊嘉頌慶千倉。臣景鎭。 詩成叉手誇才富。酒到酡顔見德將。臣秀晩。 賦雪新詞慚授𥳑。如雲至德仰垂裳。臣致應。 洪恩普洽天爲大。盛事長傳歲以常。臣知濂。 鳳輦天回雲蹕響。鵷班宵退火城煌。臣弘達。 聯題寶軸歸詞掖。擎出珍頒遍禁廂。臣儒修。 韎韐亦參笳鼓詠。新榮此日聳周行。臣心泰。</text>
<title>賜耆社諸臣 幷小序</title>,<text>記昔我先大王。嘗於考績之月。會耆社諸臣于便殿。書下殿最等第。臨靈壽閣。祇拜兩聖寶牒。諸耆臣進饌。饌用粥各品。禮成賜御詩。以粥字命韻。命小子及與筵者賡和。後二十年癸丑冬。元輔兩大臣在耆社。皆逮事先朝之人也。起感於盛事。俾於耆社考績如式。度支供煖飽之需。是日之會。議政府領議政洪樂性年七十六。領中樞府事原任議政府領議政蔡濟恭年七十四。綾恩君具允明年八十三。行判中樞府事兼水原府留守李命植年七十四。前兵曹判書洪檍年七十二。判敦寧府事任希曾年八十一。藝文館提學洪良浩年七十。知中樞府事尹坊年七十六。工曹判書邊得讓年七十一。議政府右參贊洪秀輔年七十一。前兵曹判書金尙集年七十一。前禮曹判書趙瑍年七十四。前刑曹判書鄭存中年七十三。知敦寧府事宋濟魯年八十三。羣老之年。統計爲一千四十有九歲。詩以寵之。兼寓祈祝之情。善養猗歟憶兩朝。玆年述事又頒粥。我家祈永於千休。錫福由來在斂福。</text>
<title>辛亥春。拜宮歸路。登楓溪北麓。有座間多皓髮。來歲又今樽之句。其後歲以爲例。今又踐約。拈同字以記之。甲寅</title>,<text>百尺臺高駐玉龍。滿城花氣一樽中。更喜遊人多壽老。官家餘慶與人同。與筵諸耆耇。顔髮步屧。較前勝似。下句及之。用重臣李敏輔言。復申茗熟之令。</text>
<title>內苑賞花釣魚 幷小序</title>,<text>設閣旣用天章故事。每春與閣臣賞花。昨歲領相 洪樂性 請以齒與是筵。許之。仍與約曰。明年有意。須更來。是春季望。閣臣會于宙合樓。展審御眞。予臨芙蓉亭。召諸人及其子若弟之曾與是遊者。惟原任提學蔡領樞 濟恭，原任直提學金判樞 憙，鄭致愚最愚 民始姪，徐有聲 鼎修從姪，南星耇 公轍從姪，金明淳 祖淳從兄，李田秀 福源姪，潞秀 性源姪，趙鎭球 璥子。 初與者也。待敎李存秀，新除。而與其父守禦使文源，其兄若弟在秀，友秀，奎秀與焉。李家煥，李勉兢，李益運。承旨也。吳泰曾，鄭文始，具得魯，柳遠鳴。史官也。鄭昌順以藥院提擧。金持默以壯營大將。亦參焉。又召領相與筵。踐宿約也。使其子義榮，大榮。姪世榮。孫奭周。扶腋以入。韶顔華髮。較前無損。重喜祝慶祈永之日。有此人瑞也。遂與諸臣修花釣之遊。酒行授𥳑。予先賦一篇。諸臣皆和之。乃屬蔡元輔。紀其實。此筵元氣會。今日一家春。花木重重合。池塘灩灩新。諸君皆地密。微醉亦天眞。小棹齊乘興。宮林待月輪。</text>
<title>夜登芙蓉亭小樓 幷小序</title>,<text>是夜月明。予謂諸臣曰。原韻有宮林待月輪之句。卿等泛舟太液可乎。重臣李文源應聲升舟。從之者十九人。乃給玉笛壺酒。沿洄于亭嶼之間。紗籠三十。對列樹池邊。與花光月色。上下輝暎。御芙蓉亭小樓以觀之。列侍者閣臣六史官一。其餘坐池岸。樓上人與舟中人相語。榮輔曰。船中雖佳。不如天上羣仙列侍香案。勉兢曰。春水船如天上坐。文源曰。橋上人行樓上坐。相看俱是畫圖中。行恁曰。舟中有酒否。文源曰。樽空矣不敢請。予命以小艇載酒以繼之。民始曰。錦帆得意。何時下岸。文源曰。此興何時已。有防曰。不可無我吟。樓上舟中岸邊。呼韻分軸。應口相和。須臾篇旣圓。鐫揭芙蓉亭眉。心臺花會又玆樓。爲是今春可樂遊。此夜君臣同祝意。萬年枝上月長留。</text>
<title>壽長洲回甲 幷小序</title>,<text>是歲重午前一日。卽長洲回晬。而閤內花甲。間五日又屆。甚稀异也。以詩識賀。聞楸駕未旋。乃馳牘山下。持贈菲具。竢返旆。始冀瓊報。仍要同堂羣戚侍聯和。緋衣星髮六旬翁。鼓瑟中堂樂與同。時回重晬偕德閤。慶占來歲頌慈宮。華筵繞膝兒孫隊。暮境怡神水石叢。外氏門闌完此福。介眉新什遞郵筒。</text>
<title>題贈判書金玏家宣賜大學卷首 幷小序</title>,<text>萬曆壬寅。贈判書金玏。奉使朝京。蒙賜大學衍義一部。至今珍藏於家。而豓稱於世。先朝丙寅。嘗聞其事。取見其書。而另賜芸閣本衍義一部。以光大其榮寵。則卽夫一書之二本。而匪風下泉之感。親賢樂利之思。於乎其不可忘矣。此豈獨一人一家之私寶哉。予於擎玩之餘。特宣新印大學一部。仍紀其故實如右以還之。命選曹訪玏之後補官。夫大學者。衍義之所由編。而讀衍義者。必先通大學。然後寸由尺。星由秤。可以知本末而則近道矣。繼述之義。敎學之序。尙於此可徵。謹又賡和御製詩韻。書于卷首。時予踐阼之十八年甲寅仲秋也。風泉舊感仰雲漢。歲換三寅 萬曆壬寅。欽賜衍義。先朝丙寅。又賜芸閣本。今甲寅賜新印大學。此句及之。 一篋中。衍義源頭曾傳在。欲明明德聖凡同。</text>
<title>皇帝登極六十年。進賀上价判樞朴宗岳之行。唫示。</title>,<text>十月星軺再踏燕。平安行李似前年。往參天子元朝會。歸趁我邦大慶筵。</text>
<title>皇帝登極六十年。進賀副价鄭大容之行。唫示。</title>,<text>不見遼東廣。焉知天下寬。星軺今副价。奎閣是仙官。風雅須專對。山河入壯觀。明春釣魚會。花事待君闌。</text>
<title>御定人瑞錄進箋日聯句 幷小序</title>,<text>人瑞錄之印進也。予與元子親受于便殿。蓋倣周禮有司獻民數於王。王再拜受之之禮也。凡民且然。况高年之爲三王所同尊也乎。又况恩推於殿宮。而事曠於𥳑策也乎。是日也。時維菊月戊申。而予生朝之越三日也。天氣淸朗。化景淨姸。耆耇臣與於校閱者二十人。各以其子孫曾玄。扶將而入。引翼傴僂。濟濟蹌蹌。甚盛觀也。禮旣成。予與元子。引諸耆耇臨見之。且勞而告之曰。今日之禮。祝慶也。祈永也。而敬老貴老之義。亦寓焉。咨乃耆耇諸老。長涵仁庥。同樂太平。總挈羣齒之億千萬齡。祇獻我殿宮曁予若元子。俾我東土爲華胥爲壽域也。於是諸臣。皆呼千歲。頃之慈宮宣饌。壽觴交擧。渥顔華髮。輝映樽俎。而又以其餘。逮於幼少。莫不歌旣醉之詩。頌湛露之恩。及退則簪花詫榮。雅樂塡街。觀者嘖嘖。往往有私自圖繪者。予謂是擧之不可無識也。先拈一韻以唱之。與筵者皆賡聯之。而耆臣賦古體。陞殿侍衛諸臣。賦近體。裒成一帖。命之曰人瑞聯韻詩。耆臣領議政洪樂性，領府事蔡濟恭，綾恩君具允明，判府事李命植，知事李敏輔，行司直洪檍，判府事洪良浩，判敦寧金持默，行司直趙瑍，知事邊得讓，左參贊洪秀輔，行副司直金尙集，漢城判尹申思運，行副司直鄭存中，申應顯，知事韓光綮，工曹判書柳戇。樂性子前參判義榮，前典簿大榮。從子幼學世榮，孫幼學奭周，童蒙吉周，耆周。外孫幼學金履祜。濟恭子司僕寺正弘遠，甥姪前承旨李儒慶。允明子兵曹判書庠，從子知敦寧㢞，幼學㢍，孫昌陵參奉悌元，從孫幼學陽元，曾孫權知承文院副正字得魯，幼學哲魯，玄孫童蒙玄壽。命植子開城留守冕膺，幼學晩膺，顯膺。敏輔子前正郞始源，應敎肇源，孫幼學龍秀，鳳秀，鶴秀，童蒙驥秀，彭鐵。檍子沔川郡守大應，兵曹正郞大協，進士大衡，孫幼學疇，從孫童蒙維城，外孫幼學朴齊顯，朴齊華，李止淵，李致淵，童蒙李永壽。良浩弟前參判明浩，子權知承文院副正字樂浚，從子前校理樂游，孫幼學祖榮，錫榮，甥姪前應敎鄭東榦，外孫幼學李源成。持默子谷山府使基厚，從子幼學基胤，基常，基拓。孫童蒙宅善。從孫參奉宗善。瑍從子司僕僉正鎭奎，幼學鎭翊。孫前正言得永，幼學徹永。得讓子幼學相岳孫童蒙曾吉。秀輔子前大司諫仁浩，承旨義浩。孫童蒙初陽，尙集子幼學裕鎭。孫幼學啓永甥姪進士李儒壽。外孫童蒙朴鳳慶。思運孫幼學光訓。從孫幼學光謹。存中子前參奉文綏。孫幼學世祐，世禎。甥姪幼學李光憲。光綮子權知承文院副正字耆裕。從子司僕判官大裕，顯陵令弘裕，幼學通裕。孫幼學用錡。從孫幼學用鏶，用鉉，用鍵。甥姪幼學尹恒鎭。戇子幼學鼎養。從孫宗廟署令謐。外孫童蒙李祖植，金炳益，李憲述，李奎植。○陞殿侍衛諸臣。檢校直提學徐有防，原任直提學徐鼎修，檢校直提學金載瓚，直提學徐龍輔，鄭大容，原任直閣尹行恁，檢校直閣徐榮輔，承旨沈煥之，沈晉賢，金履成，李羽晉，洪義浩，史官吳泰曾，具得魯，徐俊輔，別雲劒鄭昌順，鄭好仁，李𡊠，兵曹參判徐邁修，參議兪漢寧，讀箋官李相璜，通禮李廷顯，展箋官崔光泰，權晙。南極雙輝寶婺昌。錫敷人瑞頌重光。御製。 聖化普洽滄海左。天眷篤棐漢水陽。臣樂性。 泰運吾東開壽域。宮陛日永含飴餹。臣義榮。 上瑞春臺張大樂。野歌農夫塗舞商。臣大榮。 躋堂自同豳民誠。萬壽稱觥待築場。臣世榮。 作民壽考咸鼓舞。格天孝慈自閨房。臣履祜。 融融喜氣凝宸籞。渢渢歌頌匝村坊。臣奭周。 羣臣拜呼千千歲。獻壽爭擎北斗觴。臣吉周。 此日此慶千古稀。君臣同樂誦璇章。臣耆周。 天遣壽星主東海。夜夜光如日出暘。臣濟恭。 鳳芝非瑞人爲瑞。宸翰鋪張事益彰。臣弘遠。 鳩筇鶴髮煕煕民。抱歸華誥如奉璋。臣儒慶。 恩荐長欣頭戴日。年多何惜肘生楊。臣允明。 寶甲籌卲諸齡獻。需雲筵添雨露瀼。臣庠。 文子姿瞻天日異。列宿光護北辰張。臣悌元。 官耀闔門覃四代。慶由宮殿及遐方。臣得魯。 五世同居六歲兒。元子宮前獻瑞菖 臣玄壽 耇造本自由聖化。蒼斗爭斟祝無疆。臣㢞。 敢將西樓羣耆年。願祝九重日月長。臣㢍。 今日盛擧古亦罕。天佑東土歲又穰。臣陽元。 一室老少偏洪渥。儒服趨班寬禮防。臣哲魯。 席上犀金同賁飾。域中龜鶴盡搜揚。臣命植。 金丹施博延年遍。玉燭治成記瑞詳。臣冕膺。 優老恩深臨殿晩。覲光誠切趁班忙。臣晩膺。 爭送禎祥來不盡。旁流惠澤浩無障。臣顯膺。 化遍朝野日方舒。頌騰簾闈風微颺。臣敏輔。 禮備周冕兼三代。福凝虞袗爛七襄。臣始源。 願將兩編無窮曆。長作仙春駐御廂。臣肇源。 周苹式讌恩洋溢。漢帛宣頒色縹緗。臣龍秀。 舃芾登筵何煒燁。軒駟載路共騰驤。臣鳳秀。 編書纔完又受箋。寶床咫尺列紫箱。臣鶴秀。 白髮蒼顔卿士會。髧髫何幸亦相將。臣驥秀。 囊扇筆墨摠恩渥。紛擎珍錫喜若狂。臣彭鐵。 八埏同慶恩光遍。一庭咸簉頌聲洋。臣檍。 瑞日靑丘溢化膏。淸朝黃髮醉仙漿。臣大應。 匝地歡聲同殷雷。方秋佳氣轉句芒。臣大協。 珍羞飽德榮何極。縹帙傳家慶不忘。臣大衡。 頖宮燕毛眞盛事。康衢鮐背蔚相望。臣疇。 人人榮動高爵秩。家家恩侈老爺孃。臣齊顯。 靈光不老萬年春。瑞氣長繞五雲床。臣齊華。 無數甲子同絳縣。何限耄期塡康莊。臣止淵。 尺地祥雲杖几登。中天和旭劒佩裝。臣致淵。 一篇奎藻雲漢回。九秋宸楓錦繡糚。臣永壽。 定知明年來無盡。但願此宴比爲常。臣維城。 寶曆爭瞻嵩華大。奇祥奚啻羽毛翔。臣良浩。 茀祿任姒同思齊。大孝舜文可比伉。臣明浩。 岐宮壽祿歌玉瓚。薰殿光華仰黼裳。臣樂浚。 瑤陛榮生捧函趨。珍膳恩浹正席嘗。臣樂游。 匝域和氣騰歌詠。勻天仙樂動鏗鏘。臣祖榮。 堯衢擊壤雲日爛。虞庭鳴球鳥獸蹌。臣錫榮。 及老仙醪恩似海獻齡黃耇鬢皆霜。臣東榦。 桃顔雪頂扶醉返。滿城觀者如堵墻。臣源成。 歡均八垠逢昭代。願切千齡祝聖王。臣持默。 靈醁醅濃祈以斗。瑤池仙實獻于筐。臣基厚。 世登泰堦天所佑。人多壽耇國之祥。臣基胤。 煕皞化中流惠澤。不待夔龍聖德匡。臣基常。 九如載頌休無極。蹈舞村村樂未央。臣基拓。 化暢岐囿詠魚鹿。壽祝邠堂饗羔羊。臣宗善。 一筵耆英凡幾人。滿庭衿紳共歷敭。臣宅善。 重歌迭奏景籙新。慈化均沾恩波泱。臣瑍。 再造恩深庇帲幪。三祝誠懸望闔閶。臣得永。 詠播豳瓜祈緜緜。德配周璋頌卬卬。臣徹永。 齊丘獻年躋仁壽。箕疇叶吉頌康彊。臣鎭奎。 聖人斂福而養老。自天睿藻播珍芳。臣鎭翊。 洪福摠遒祈殿宮。聖恩覃洽養膠庠。臣得讓。 一千盛會逢堯舜。萬億諸耆邁漢唐。臣相岳。 頌播難老躋仁域。門闢延生近春塘。臣曾吉。 共將華封萬年祝。欣覩周家一人良。臣秀輔。 優恩特許子孫扶。卿月蟬貂洎星郞。臣仁浩。 酌以大斗旣醉飽。瀲灩恩醪漾一堂。臣義浩。 攢手山呼向丹扆。一時歡音動殿廊。臣初陽。 是日天晴老人見。滿闕祥靄繞畫樑。臣尙集。 生生活字集羣齡。拜獻瑤墀函以琅。臣裕鎭。 祥凝漢殿頌重曜。慶入周原詠千倉。臣啓永。 彼蚩豈識慈覆德。涵育陰功仰周姜。臣儒壽。 殿上祝壽同拜稽。髧毛猥隨鬚眉蒼。臣鳳慶。 魏庭賜菊霑壽酒。蜀溪採杞饒仙糧。臣思運。 穰穰降福日不足。以興以增祝如岡。臣光訓。 聖朝仁恩囿八表。大夫庶民咸爲綱。臣光謹。 盛恩覃遍域內老。御醞香排雨後凉。臣存中。 竝照离明臨玉筍。方升祥旭繫扶桑。臣文綏。 獻年麥老再斯見。斂福箕叙三曰康。臣世祐。 慶溢宗祊膺駿嘏。風煕化域闢鴻荒。臣世禎。 當筵酳酬禮意盛。濟濟羣耄何健剛。臣光憲。 絜齒五百八十萬。齊獻宮中喜無量。臣應顯。 年瑞滋臻敷五福。天心克享繼三皇。臣光綮。 東朝化日祥雲洽。長樂春暉壽曜煌。臣耆裕。 七萬齡多歸震邸。三千桃獻自仙鄕。臣大裕。 四重漢代歌呈瑞。二老周讌饗鼓簧。臣弘裕。 籌積萬春齊海屋。謠騰八域輳梯航。臣通裕。 已看盛澤涵鵷鷺。奚但高岡集鳳凰。臣用錡。 一世耆俊傳宋繪。千秋契合頌周璜。臣用鏶。 羣霑恩賜樽仍綠。共際昌辰髮已黃。臣用鉉。 倬彼雲漢賡載煥。有會元氣流澤滂。臣用鍵。 宛如祥麟覩爲快。爭引眉厖列作行。臣恒鎭。 我后錫福元何由。忠侔于夏質侔商。臣戇。 一從齒甲班先後。各率冠童舞頡頏。臣鼎養。 奉冊榮詫公自召。賜饌恩許受言藏。臣謐。 耿光獲覲香案下。優渥同霑老祖傍。臣祖植。 華衮及兒頒彩筆。尺衣來汝降斑囊。臣炳益。 國慶今年忻共樂。家聲他日勉偕臧。臣憲述。 天顔有喜爭先覩。太平萬歲字中當。臣奎植。右耆臣聯韻南極雙輝寶婺昌。錫敷人瑞頌重光。御製。 編書幸際流虹節。獻壽同歡稱兕堂。臣行恁。 祝百萬年知有喜。呼三千歲賀無疆。臣鼎修。 籌如巧曆應難數。慶叶箕疇摠是祥。臣有防。 法殿仙桃初獻碧。宮庭大酌以祈黃。臣榮輔。 準諸東海光宸孝。祝以南山捧御觴。臣大容。 皓髮登筵瞻壽曜。緗籤頒帙惹天香。臣龍輔。 慶從此日基千曆。恩浹高年遍八方。臣載瓚。 白髮參差從渭水。紅雲咫尺捧文王。臣煥之。 吉祥天作朋三壽。喜色春溫上九章。臣晉賢。 寶座和風天意好。扶桑晴日瑞輝長。臣履成。 宮筵日繞風雲會。苑樹晴醺錦繡糚。臣羽晉。 惠遍老臣頒綺饌。恩推童子錫香囊。臣義浩。 羣生匝域齊龜鶴。協氣盈庭下鳳凰。臣泰曾。 五世登筵恩語重。萬年躋壽聖人康。臣得魯。 詒謨萬世周豐水。躋社羣英宋洛陽。臣俊輔。 壽考作人沾雨露。需雲同席仰衣裳。臣昌順。 逢千一會同躋耇。於萬斯年共祝岡。臣好仁。 勝事恭知千載曠。純嘏齊頌一人良。臣𡊠。 盈盈法酒傳金斝。馥馥天香繞玉床。臣邁修。 寶扆呼嵩香霧合。瑤堦垂白珮聲鏘。臣漢寧。 宮囊萬壽添萸繡。法醞三行汎菊芳。臣相璜。 節過流虹纔獻壽。籌添海屋頌無量。臣廷顯。 縹黃宛帶龜麟瑞。髫白同成鵷鷺行。臣光泰。 禮義邦爲仁壽域。更敎歌壤頌陶唐。臣晙。右陞殿侍衛諸臣聯韻</text>
<title>定陵八回甲攝享日聯句 幷小序○乙卯</title>,<text>桓廟誕降八回甲乙卯春。遣大臣攝行酌獻禮于定陵。前二日。先告事由于咸興本宮。是日齋宿摛文院。以星臨華渚爲題。試多士。拈基字聯韻。以識長發其祥。啓佑萬年之慶。賡載者二十有九人。沈煥之，徐有防，徐龍輔，李晩秀，尹行恁，南公轍，徐有榘。閣臣也。趙尙鎭，李益運，任希存，蔡弘遠，李肇源。承旨也。吳泰曾，柳遠鳴，徐俊輔，具得魯。史官也。左議政兪彥鎬，行副司直李儒慶，兵曹參知吳泰賢，司僕正尹光普，副修撰金煕采。考官也。領議政洪樂性。以其孫奭周之純通登第。宣召與筵。右議政蔡濟恭，領敦寧金履素，判府事李秉模，行司直沈頤之，戶曹判書李時秀未與筵而追賡。判府事金憙。是日告由祭獻官也。傳驛寄韻。使之賡進。生員金處巖。是日應製。三試居魁者也。特賜及第。賡進尾聯。靈庥長發是年基。恭薦周家漆沮詩。御製。 瓜瓞萬千今宇宙。河淸五百此干支。臣樂性。 流虹瑞節欣重屆。詒燕洪謨仰永垂。臣彥鎬。 齋夜坐籌雙闕漏。彩雲留護萬年碑。臣濟恭。 禮隆仙寢明禋擧。喜溢宗祊哲命貽。臣履素。 一炷心香遙享假。千春寶籙永維持。臣憙。 自天五慶皆源沛。大地三韓摠祖岐。臣秉模。 太歲幾回稱兕讌。靈源夐溯被絃辭。臣頤之。 鴻基積絫重開鎬。龍德文明肇出羲。臣煥之。 如見羹墻臨在上。親傳香祝賁其儀。臣有防。 星周八甲時回泰。慶篤三宗聖作离。臣龍輔。 自我豐鄕開駿烈。歸之文母奏螽斯。臣晩秀。 民從邠化歸如市。日啓殷祥降不遲。臣行恁。 漢寢追原元曠典。華封祝聖又明時。臣公轍。 端門志慶雲開座。深殿齎誠月滿墀。臣有榘。 穆穆宸衷凝此夕。緜緜邦籙啓來玆。臣時秀。 休徵尙感商郊鳦。寶曆冞長洛邑龜。臣尙鎭。 軒紀膺祥千載會。箕疇斂福八方綏。臣益運。 遙將玉瓚推宸慕。敬和雲章愧魯姿。臣希存。 若待于今申用命。於乎不顯永言思。臣弘遠。 泰磐基業三千里。日月光華萬億期。臣肇源。 寰海謳歌傳奕葉。盤山氣勢列高旗。臣儒慶。 幸叨虞殿賡歌席。爭獻唐家解撰詞。臣泰賢。 景運當年貽武烈。洪休今日煥文治。臣光普。 衣冠月出興龍地。衿珮朝隨集鳳池。臣煕采。 千世源長流積慶。百祥川至頌重煕。臣遠鳴。 天於北極含元氣。時到中春湊吉祺。臣泰曾。 邰室鞏基延茀祿。樞躔叶瑞荷純釐。臣俊輔。 神承聖繼斯爲盛。天意人心大可知。臣得魯。 韋布獲陪同慶日。萬和方暢向陽枝。臣處巖。</text>
<title>賜領議政洪樂性 幷小序</title>,<text>領相小成回榜。唱名於新榜。放榜之日。特賜花一枝。仍命綾恩君具允明。行先進事。文而李弘稷。武而池日輝。司馬而權挻。亦以回榜與焉。眞希世之人瑞也。賦近體詩志喜。朝日曈曈繞禁垣。簪花春暎錦筵樽。一甲重回司馬榜。萬祥爭湊濯龍門。福星遍照中書久。元老初兼上舍尊。更有八旬人四館。將來文武頌新元。</text>
<title>華城將臺。親閱城操。有詩題于楣上。</title>,<text>拱護斯爲重。經營不費勞。城從平地迥。臺倚遠天高。萬垛䂓模壯。三軍意氣豪。大風歌一奏。紅日在鱗袍。</text>
<title>華城進饌日。口占。示與宴諸臣。以寓萬年祝岡之誠。</title>,<text>茀祿穰穰迓命新。鳳笙鸞吹駐靑春。地符觀華騰三祝。歲屆流虹躋六旬。內外賓仍芳樹會。東西班是勝花人。年年只願如今日。長樂堂中酒幾巡。</text>
<title>洛南軒。行養老宴。七十者曁六十一歲者與焉。拜用一坐再至之禮。羣老將就位。予爲羣老興。旣升堂。酒行三遍。唫示羣老求和。</title>,<text>鶴髮鳩筇簇後前。海東和氣洛南筵。願將羣老期頤壽。拜獻慈宮萬萬年。</text>
<title>洗心臺步靈城韻 幷小序</title>,<text>臺以洗心名。托思而志舊也。事詳宮園展省錄。 歲輒一臨以爲課。此擧豈爲偸閒。傍人詎識予心。疇昔乙卯靈城詩句。有云君歌我嘯上雲臺。李白桃紅萬樹開。如此風光如此樂。每年長醉太平杯。是歲是臺。誦其詩想其事。哽咽無以爲心。所祈祝而欣慶者。還自長樂奉壽之筵。頌騰千歲萬歲。玆步靈城韻。命諸臣賡載。春日遲遲上北臺。此行非是趁花開。新詩更續觀華曲。萬歲長斟萬壽杯。彌勒峴。爲華城初界。每歲省園還道。至峴上。瞻望久之。未便言旋。府之人環石而臺其地。今行見之。名其臺曰遲遲。起句及之。慈宮幸華城進饌日。樂章有觀華曲。下句亦及之。</text>
