<title>畫</title>,<text>梅梢老鶴立。顧眄意何如。萬里秋空闊。飄然逸翮舒。</text>
<title>挽南止淵</title>,<text>多士吾東都。自古稱冀北。最是汝南宗。文明異他族。寓老與活翁。世世傳名德。得君詩禮家。藍田果生玉。天然好箇姿。穎悟更超卓。一覽記有餘。五車書在腹。弱冠遊藝苑。宿儒已脅息。三十觀國光。摶風始展翮。謂宜瓊佩華。淸廟簠簋餙。用材無良工。楹棟還爲杙。子猷笑馬曹。馮唐厭郞直。名利已無心。山水素有癖。慳祕別一區。暗谷生明色。一鑑方池邊。蕭灑數閒屋。弘景饒煙霞。孟嘗富花竹。箇中無限趣。非爲景物役。同氣有良朋。怡怡上舍伯。風物入錦囊。唱和塤篪樂。淸朝柏府除。頭髮先皤白。天上玉樓招。巫陽何催促。榮枯付南柯。仙遊在廣漠。斯人不復見。今世誠罕覿。風味挹醇醪。詞藻猶糟粕。平生一片襟。淡淡止水若。孝弟行有源。學問推餘力。環堵乏甁儲。滿案皆經籍。俯讀仰而思。默契人誰識。眞率本無矯。行己自寬綽。迂拙亦何傷。生涯任淡泊。世事都無關。一念在奬學。鄕塾有主盟。鑑衡咸推服。年齡雖向衰。氣貌未甚爍。稀壽終未躋。誰謂仁者得。靈櫬自故庄。行路猶慽慽。暮庭啼孤螟。空牀怨寡鵠。巋然舊溪堂。物物傷心目。學子失仰望。迷路疇秉燭。鉛筆未了債。幾多案上積。訃出遠邇驚。有痛此老哭。兩家先人交。事契自宿昔。易世逮後生。排行好追逐。不慚駑蹄。與羣騏驥足。少壯情非疎。遲暮意冞篤。玉洞秋月夜。汶水春風夕。隨處好相觀。不是肩袂拍。有時款段行。乘興訪剡曲。伯氏在中堂。鼎坐參諸益。吟筒輒相傳。呼童書諸冊。山中故事留。君言怳如昨。此事俄往閒。果已故事作。那知二年來。棣華幷零落。况復今夏晤。在君宗姪宅。談笑宛如前。疑義亦相確。分手未一旬。蘧然聞皋復。亦我嚮從歸。與君數日隔。支離吾不死。涒灘此何戹。割半孔懷情。失侶永歎息。已斷伯牙絃。忍聽山陽篴。相對說凄凄。忍窩吾族叔。浮世一夢場。于今始大覺。先後不須論。畢竟同歸宿。知君亦達觀。逆旅無不足。身後亦何悲。肯堂有所託。文豹死有皮。不朽在巾櫝。</text>
<title>病後次李戚洛應見贈韻</title>,<text>虞琴彈罷邈薰風。二豎偏侵禿頭翁。十日鬼關猶不化。百年人世竟何功。回看萬事皆雲外。遮眼殘書亦霧中。多謝故情尋寂寞。有時詩話與之同。</text>
<title>次萬歸亭韻</title>,<text>簷後蒼厓檻外江。仙家亭子樂浪邦。名山可敬金兄案。畫閣應羞玉女牕。試頫萬川終有合。方知一理本無雙。九旬老子前遊處。夜夢依依渡石杠。</text>
<title>月城崔氏於其先祖八友亭遺墟竪短碑。是夕與鄕人共飮宴。仍行鄕飮禮。崔景至詠近體一首。要座客酬和。忘拙和呈。</title>,<text>八龍餘澤栽培新。桑梓百年物色彬。一榦分時知本本。千枝連處見親親。羹牆孝思遺墟石。揖讓淳風故國春。花樹韋宗非盛會。未聞酬酢與鄕人。</text>
<title>挽安琢之 璞重</title>,<text>可愛人如玉。琢之字不誣。連城無價寶。三刖有司辜。美質終埋土。幽冤曩失珠。他山一老石。獨立更誰須。</text>
<title>挽李丈 朝範</title>,<text>密邇先生院。蕭然處士廬。歌從擊壤和。嘯好登皋舒。遐壽仁從驗。多孫慶必餘。自今鄕黨裏。誰復古人歟。</text>
<title>挽李用晦</title>,<text>雲樹蒼茫十載思。忽驚華鶴上仙期。百家汎濫遺科學。千首風流逼古詩。誰遣磻溪藏僻處。等閒漁父老明時。山陽一曲吾無淚。笑指桑楡日影垂。</text>
<title>挽李汝敬 曾範</title>,<text>櫟翁爲遠祖。竹老有曾孫。家世遺風舊。鄕黌宿望尊。交情元自別。戚誼不須論。暮境相尋好。已矣送九原。</text>
<title>挽洪丈 載文○二首</title>,<text>厖眉黃髮貌淳淳。疑是洪荒上古人。惆悵古人今不見。老松瘦竹謾傷神。枌楡古社好相親。先隴同行十世鄰。厚誼將來應不替。小孫攜卷往來頻。</text>
<title>挽崔仲蘊</title>,<text>質庵天質素。文雅更添光。妙歲龍頭榜。淸朝雞舌行。殤䰟呼不得。仙馭去還忙。相弔東都士。止翁亦已亡。</text>
<title>挽李乃彬 宜煥</title>,<text>平地丹丘邃。誰知有逸民。杜門常守拙。環堵獨安貧。鐵畫心要直。霞觴味得醇。病牀曾厭聒。尻轄竟尋眞。裕後兒傳業。逾耆壽驗仁。肩隨同隊誼。心許一生親。幾望停雲暮。旋驚落月晨。荒詞替䪥露。遙送北邙窀。</text>
<title>次李參奉 野淳 寄贈良洞諸益韻</title>,<text>詩中一字苦難容。枉費敲椎手裏筇。豪士風流驚句句。高樓百尺臥元龍。</text>
<title>挽孫肅玉</title>,<text>雞川餘澤遠。玉滴有傳孫。十世愚翁宅。百年晦老村。風聲元是舊。天賦亦云敦。器宇殊沉靜。襟懷更敞軒。恰愉源百行。遲重愼庸言。文翰兼華實。工夫漑本源。匡山杵費鍊。荊璞玉生溫。爲重庭闈命。不辭場屋喧。沼蓮華已晩。風樹淚餘痕。閒歇桑楡境。逍遙水竹墩。雲根奇作峀。冬葉翠成藩。雅調琴三尺。豪情酒一樽。貧寒分素定。年德望俱尊。每忌西神逼。還遭二豎怨。稀年非怛化。惡境遽驚䰟。地下兒相對。家中長孰存。三時孤寡哭。千古幽明冤。可惜楩楠質。空埋草莽原。圖書餘舊壁。花卉任荒園。後死寧無痛。久要不可諠。交情如水淡。俗態恥雲飜。詞藝歸前戲。塵編好細論。尋常資直諒。萬一警愚惛。老去稀聯榻。年來各閉門。詩筒頻往返。書尺每寒暄。四老丁寧約。一遊雲水軒。不留重九節。虛度再三番。塵網苦難脫。仙輧忽已鶱。有誰靑眼對。無處白鬚掀。應逐止淵駕。周旋紫掖垣。相看老阮淚。忍向雪山蹲。先後丹旌發。慘悽白日昏。同歸也不遠。此別復何忳。悔禍他年慶。應知在後昆。</text>
<title>甲戌春。遘疥疾首尾三朔餘。苦不可言。及其稍間。沉吟得古風五十韻。以道其憫鬱之狀。</title>,<text>老人苦多病。如何又疥瘡。此疾主搔痒。人所不堪當。况復七十老。其苦何可量。原其所染來。必於他人傍。翁已廢蟄久。不與人徜徉。緣何得此爲。其故不可詳。從前行乞人。往往寄宿堂。此翁性素柔。不爲牢塞防。多與同寢席。或此致不祥。始發手指間。點點必成行。漸次遍一身。甚至目之眶。稍大如豆菽。微細如粟粱。厥或栗子大。濃爛似癰瘍。尋常不堪痒。手爪長爬揚。一刻未暫休。欲忘不能忘。有時燥火上。直欲發出狂。手容何能恭。色容何能莊。無以攝威儀。無以整冠裳。亦或痒少定。寂寞守空房。卻恐貽害人。不近鄰舍牀。有人間或來。起去還怱忙。方其恣意搔。快樂殊未央。搔極必見血。刺痛還自傷。果然昔贒語。快事必爲殃。問人試醫治。治藥百千方。隨問輒欲試。取舍迷短長。衆人大同言。都不如砒礵。砒礵亦至毒。誤用或致戕。人生萬病中。此何氣不臧。月令載是病。以寒暑乖常。近聞州里間。此症多劻勷。職緣時氣失。燮理孰主張。大運固如此。身戹那可禳。自分無可柰。到此誰怨望。乃知一忍字。第一藥之良。古人有定力。禍患恬钁湯。况此幺麽疾。何必生㥘恇。猶勝疫癘虐。比比多死亡。忍之復忍之。時久當出場。推之世間事。勤苦皆可嘗。如今吾所苦。亦已越關梁。莫愁人厭避。獨處也不妨。俚俗閒雜語。太半耳欲障。莫恨己莫出。老醜堪伏藏。門外一步地。世路多羊腸。靜裏好披覽。案上有書緗。卷中羣聖贒。至訓猶洋洋。灑然洗胷襟。不啻服淸凉。從玆尋坦道。餘日聽蒼蒼。技癢堪自笑。詩句且激昂。</text>
<title>竆居老病。又添疥疾。獨與梅兄爲伴。聊吟一絶。</title>,<text>老翁搔疥坐竆廬。門巷蕭然俗迹疎。獨有西湖淸瘦貌。朝朝相對故人如。</text>
<title>挽李修撰 元祥○三首</title>,<text>大雅名家範。宏詞禮部才。人間金馬待。天上玉樓催。仁壽蒼穹靳。聲譽造物猜。相逢多士弔。吾嶺運何頹。判非今俗士。眞是故家孫。先訓傳無忝。平居行有源。未終十世慶。何恨九泉冤。感激歸䰟淚。冥途亦曠恩。浮名猶外物。良貴自天眞。蓮桂人爭慕。芝蘭我所親。早知逢沴鬼。寧恥遁昌辰。垂淚白頭老。客冬廁賀茵。</text>
<title>自橫溪書社。送塤篪先生文集。欣感披玩。詠懷二絶。</title>,<text>河南伯叔又尼陽。一部塤篪寶匣藏。看取兩鍾更唱和。絶絃餘韻復洋洋。杜巷蕭然晝掩扃。誰尋白髮老儒生。書從太古窩中至。獨帶春風不世情。</text>
<title>懷鄭季常</title>,<text>止翁已去雪翁隨。浮世知音更有誰。只有煙霞谷口老。于今不見再周朞。</text>
<title>挽崔景至</title>,<text>冰蘗家聲玉樹姿。南州雅望月朝推。名場小得非長價。學社新糚儘好規。香案應驚同室老。絳帷還失一方師。此行若見止淵輩。爲說斯翁踽踽悲。</text>
<title>挽權虞卿 東卨</title>,<text>梅社遺芬遠。農窩隱德傳。儉勤安素履。書籍護靑氈。贒幹應支戶。稀齡可必天。從前事契厚。追憶倍潸然。</text>
<title>挽克難齋權士規 濟敬</title>,<text>先德曾薰有道門。百年家範見仍孫。循循認是蘇湖弟。昔我逢場問不煩。</text>
<title>荒歲歎</title>,<text>歎息復歎息。歲運何極否。嘗聞歲饑穰。十二一大至。禹湯尙不免。何代無災異。吾生今八耋。歉荒亦屢値。刱見今甲戌。大殺無與譬。太甚旱熯災。粤自壬申始。壬申及癸酉。荐飢兩年比。民生旣艱辛。天災亦可止。那知今年夏。大地無麥穗。三農十旬間。赤地方千里。稻秧半未移。移者亦半瘁。秋霖又浹月。田疇水瀰瀰。農民何所收。十百無一二。村村少炊煙。况復竆春匱。富人或難繼。可柰貧窶子。處處行乞人。連絡走街市。朝暮覓飯聲。喧聒亂人耳。千山葛根掘。萬落松皮剚。女衆搜菜茹。刮盡原野地。白晝大路中。行劫羣起恣。賣妻與鬻子。殃禍及墓隧。或有弱肉呑。人類爲虎豕。斗米過二百。未見前古史。酷寒兼毒癘。四境連殭屍。氏族不可分。無人來撿視。居民不勝墐。野獸爭相飼。朽穢觸處積。行人皆掩鼻。哀哀萬赤子。聖代胡有是。不意垂死年。遇此不淑矣。儒冠迂拙客。豐亦啼家累。老羸當此歲。糊口其何以。惟恃獨子養。奔走反哺食。每月一石糓。國恩無涯涘。自媿無用物。徒爲倉粟費。白屋任艱苦。漆室謾憂思。當今廟堂贒。誰復鄭俠似。畫此飢民狀。獻之九重裏。遠想三代盛。預爲水旱偫。常時三年食。必有一年置。九年餘三年。府庫常儲峙。所以當世民。無有溝壑棄。我朝留庫積。亦古聖王意。遵守四百年。邇來漸解弛。徵出罄蔀屋。操縱在逋吏。倉積可哀痛。太半是糠粃。一遇如此歲。捐瘠何可庇。或恐不軌徒。嘯呼羣黨萃。未論前古蹟。試觀西北事。西北數年前。凶荒政如此。果有城邑掠。畢竟王師出。乃知飢饉極。其禍致凶器。猶幸我嶠南。未聞枹鼓起。或言鄒魯俗。不同西北鄙。我知父母邇。盛澤浹民髓。蓋此聖世災。莫詰所以致。自古水旱遇。聖德非不摯。氣數或不齊。先儒有定議。生靈自無祿。戹會有難避。雖然古聖后。不曰時運痞。虞帝引警予。殷王切責己。固知吾王聖。前后同一揆。宵旰警戒意。從此益倍蓰。民食重邦本。輔相愼燮理。中和位兩儀。雨暘順五氣。轉災爲吉祥。天運可必耳。豐年百糓穰。將見萬億秭。節用昭儉德。儲積後患備。金石堅舊制。倉鼠無或肆。充溢紅腐積。文景豈專美。斗米三四錢。不獨貞觀治。環東億兆民。共躋仁壽址。野老獻𣌑誠。自有不容已。癃疾此一物。須臾願無死。康衢好煙月。含哺擊壤喜。無疆宗社福。千禩與萬禩。</text>
<title>次忍窩族父見贈韻 二首</title>,<text>辭歸今幾日。幾日如三秋。每對開靑眼。暫離搔白頭。最憎強鬼逼。謾戲老人遊。可惜東君節。先歸不我留。歲荒重以沴。春景凜如秋。大地無容足。深村故縮頭。溪依三會笑。川逝舊交遊。且待時憂霽。筇鞋任去留。時寓虎溪傍。此吾兩老與洪川權友所遊之地。而人事忽變故頷聯云。</text>
<title>虎溪寓所謾吟。示同棲權君文玉 瓚煥。</title>,<text>七旬浮世少開顔。三笑遺墟半月閒。苔磯日永觀魚戲。竹塢風淸聽鳥𠴨。忘年好對靑春伴。懷舊難追大夜還。溪山一半眞吾願。安得攜家老此間。古人懷亡友。有懷舊賦。此悼洪川權友。</text>
<title>次許貞𥳑公父子旌閭時韻</title>,<text>恭惟貞簡許先生。父子貞忠日月明。賀席無心啖肉味。危樓有淚聽鵑聲。黃麻渙渥須神聖。靑史榮名等朴成。桑梓舊墟連彩楔。何人不激秉彝情。</text>
<title>次忍窩族父韻</title>,<text>人間七十亦無多。吾輩行年况復加。公道不曾饒白髮。神方未必驗胡麻。康衢剩得昇平樂。昃日何須大耋嗟。抱月飛仙猶不羨。達觀終古有東坡。</text>
<title>乙亥秋。李進士士溫 鼎基 以玉院首席。招邀數十老伴。一宿于院。轉宿定惠寺。又宿龜岡院。暢叙而罷。士溫詠近體二首。李進士望道鼎儼 又拈韻詠二首以求和。士溫又詠望道韻寄示。故幷和以呈。</title>,<text>君招適我願。羸馬促治裝。八耋還忘倦。三庚便覺凉。逍遙無俗累。酬酢有詩章。眞率耆英會。何須羨洛陽。右和呈士溫 在玉院不盡溪堂興。筇鞋更理裝。元非尋寂默。直欲到淸凉。洗濯徵臺號。光輝想日章。偏憐人少一。鄰篴聽山陽。右更步前韻 在定惠寺千秋覿醉地。罇酒又移筵。時節西郊迓。風流洛社傳。團圝須竟夜。交契摠忘年。別後相思苦。知君亦復然。右和呈望道叵耐寂寥巷。難回笑語筵。有懷詩句和。無計酒盃傳。相別非多日。前期異少年。蒼顔與白髮。秋夜夢依然。右更步前韻三宵團討後。可耐別離筵。顔範難常對。音徽且續傳。忘吾先一日。得子伴餘年。歲暮相期處。壇杏翠菀然。右用望道韻。和呈士溫。</text>
<title>避沴氣寓處于大洞故從弟嚮五家。獨坐感念。詠二絶。</title>,<text>君其何逝我今來。架上塵篇不欲開。獨坐虛堂眞夢境。依然顔面百千回。孤胤連仍獐榜中。兒孫次第鳳毛奇。嗟君地下知耶未。獨我人間喜且悲。</text>
<title>次權義士遺事韻。義士名復興。享忠烈祠。</title>,<text>蒼蒼松柏歲寒時。烈士風聲憶險危。蹤跡不敎妻子識。精衷應使鬼神知。其行乃是蹣跚者。一死元非倉卒爲。欲識忠臣眞配偶。君看彩楔與豐碑。</text>
<title>客冬寓中。與忍窩族父有唱酬韻。族姪觀永次是韻以獻。而此姪適遭夭慽。語甚悲苦。吾於是姪。期待不少。而恐其意思索寞。有害於前程。以是韻寬譬之。</title>,<text>黃髮棃顔八耋翁。癡心欲與少年同。後生胡比殘齡老。先輩猶稱小學童。莫遣竆愁沮意向。且將經訓灌胷中。郕師亦數西河罪。蓋以殤哀失兩瞳。</text>
<title>李君 之翰 來訪。留近體一首。遂次其韻。</title>,<text>十日陰霖杜巷廬。故人相見喜何如。夕餐淡泊還忘肉。夜話從容勝讀書。愧我梧臺巾裏石。憐君草野璞中琚。白頭倘及明春暮。杏下輕風面上噓。</text>
<title>次李南廬望道贈鶴城李正郞 覲吾 韻 幷序</title>,<text>李上舍與諸同志作東南遊賞之行。尋正郞家。爲數日飮。及還。主人以酒贈行而盛以鐵甁。上舍笑而戲曰此甁吾當不還云。歸後爲詩。乃還其甁。亦一風流好事也。爲余道其事。要余次之。遂步以呈。從事靑州亦蔚州。鐵腸風味勝瓊舟。守時忍默仁人口。擊處長歌烈士喉。主老三酬情貺溢。南翁一笑戲言休。靑絲好結同心契。作伴詩筒取次投。古人以玉盃爲玉舟。而今以瓊字代用。蓋倣杜詩以金盌爲玉盌之體也。</text>
<title>挽鄭立齋 宗魯</title>,<text>嶠南賸得鍾文明。奕世名家又篤生。保養已從林下秀。光輝不待柏臺榮。江山自古多經濟。鄒魯如今失老成。賴有瑤琴藏寶匣。玉溪餘韻大其聲。</text>
<title>次龍山書院賜祭時會中韻</title>,<text>風霆烈烈是何年。名節遙思險水天。丹心未老龍蛇後。白首還忘虎豹前。遂令宇宙綱常重。不與皇王世界遷。九重興感重回甲。地主宣恩祭祀虔。是時風雨雷霆。連作十日故云。</text>
<title>次聖山祠奉安時會中韻</title>,<text>烏川夫子海之東。杖屨遺墟俎豆宮。義起陳徐尊祖禮。文從鄒魯尙贒風。先生斯可祭於社。鄕里非徒號曰公。自此靑衿添矜式。玉山西面紫霞中。</text>
<title>次李洛應韻</title>,<text>慇懃東郭老。竹杖訪苔庭。春暮期風詠。月朝恥俗評。畦畛君不設。囷廩我須傾。遙憶周卿士。求箴在耋齡。</text>
<title>忍窩族父有共會迎春之約。以余適有疾不赴。因吟示一絶。謹和呈 二首。</title>,<text>老病乘寒涉月留。佳期虛負菜盤遊。從今肺腑收春氣。且待元辰共迓休。八耋殘年意思新。自家靈腑亦回春。須從此日日新了。百歲和風滿一身。</text>
<title>挽孫漢五 星德○四首</title>,<text>去年寒食達田庵。七日連牀共笑談。叵柰今年寒食節。嗟君獨向達田南。簷前松樹舊庭培。孤直風標老不頹。畢竟同歸凡卉盡。雪蒼寒月獨徘徊。名家舊寶有靑氈。十世慈孫潤色鮮。了得一生尊祖事。也應無憾報重泉。白頭俱是故家兒。先世交情爾我知。一語無猜遺挽語。吾今又作送君詞。</text>
<title>挽孫進士天弼 星說</title>,<text>八耋吾知哭死癡。斯人非慟慟爲誰。彬彬翰墨君餘事。淡淡襟懷我素推。蓮籍曾看連代耀。棣華那意一時委。殘年此別應無幾。卻爲東都後進悲。</text>
<title>次孫乃遠 弘九 韻</title>,<text>竆廬忽到故人行。忙下匡牀倒屣迎。濁酒家貧慚未進。新詩老健謝先成。常時不見憧憧思。猝地相逢脉脉情。遲暮前期那易說。向來餘恨水雲亭。雪坡在時。屢有雲亭之約而未遂。翁已作古。今乃遠又有是約而未可必故云。</text>
<title>挽李聖應 鼎濟</title>,<text>安得長風駕。爲君訟玉京。膏肓必欲殺。聰敏若爲生。莫試宏詞策。終歸處士旌。忘年黃髮老。秋鞠倍傷情。</text>
<title>次安國寺會中韻</title>,<text>雲住山中雲淡天。靑衿十里綠陰穿。英材妙選東都士。耆老渾成別界仙。剩得浮生閒五日。不知塵世是何年。可憐杜巷一黃耇。香社同參未有緣。</text>
<title>次題雲住山韻</title>,<text>名山安國梵王都。慧眼何年指衆愚。嶺衛將軍誰敢侮。峯鄰道德不爲孤。中天偃蹇俱瞻爾。平地昂藏自笑吾。可惜英靈招異類。煙霞好處入浮圖。</text>
<title>次耆老會韻</title>,<text>文垣高設碧雲巖。座上耆英什二三。山䔩芳香非肉飽。石泉淸滑似酥甘。風情壓少詩先唱。雪鬢回春酒半酣。五日留連猶未足。仙筇又向德溪潭。</text>
<title>次雲谷會中韻</title>,<text>前遊雲住已超然。雲谷今遊穩勝前。名德揭虔新廟宇。大贒留詠舊林泉。佳辰雨霽黃梅月。別界風噓紫錦煙。三日團圝文酒會。他年故事自今先。</text>
<title>虎溪祠會中。次李望道韻 二首。</title>,<text>勝會曾聞洛社傳。風流今覩景齋筵。楡陰不畏三庚節。紅樹還忘八耋年。遺馥好尋梅舍裏。古圖休詫虎溪邊。玆堂好事從今始。來歲佳期且勿愆。文會溪堂滯雨時。老人無怪不言歸。殘年每歎離羣久。勝地還忘作客遲。入戶泉聲喧鼔吹。懸簷溜沫散珠璣。明朝各自歸家後。一夢依依長在斯。</text>
<title>虎溪文會。孫兄乃遠有行聲而竟不至。罷會後以詩遞贈。故次韻以謝。</title>,<text>華旆先聲有浪傳。欣然扶杖赴溪筵。徒勞企佇經三日。自覺齟齬伴少年。短髮空搔霖雨裏。片心長繞水雲邊。殘齡一會其徐緩。黃菊佳期且勿愆。</text>
<title>次李洛應韻</title>,<text>吾儕盛會太平年。少一罇前爲悵然。明日筇鞋移北院。可能淸旆賁文筵。</text>
<title>次蓮龜亭韻 忍窩公所居</title>,<text>平生康濟抱。遲暮小丘盤。軒敞宜迎月。牖寬好對山。雙龜常捧枕。六甲幾循環。大隱於斯足。何須洞壑間。公有雙龜枕</text>
<title>次東湖書社韻</title>,<text>鴈鴨湖亭半夜開。千年名奪鳳凰臺。浮草繁華何處去。孤雲風月有傳來。景以淸新多得句。會因眞率數傳盃。琴書最好江山裏。別有斯翁獨樂哉。</text>
<title>戊寅春。有中樞加資之恩。吟近體一首。示座中求和。</title>,<text>八十之年百不爲。人間一蠧太遲遲。先朝已荷非常寵。衰暮那堪又特資。緋紫榮光誇里閈。斑斕舞袖戲孫兒。滿觴春酒皆恩賜。遙祝南山萬壽期。</text>
<title>感恩歌</title>,<text>懸玉之日。有四句韻語。而未盡多少蘊蓄。遂復詠長短一篇。不拘格律。惟意所發。荒蕪之語。兼以昏耄。聊以自叙。聖上臨御十八年。杜巷老人年八十。老人生長太平老太平。康衢白日閒出入。人間榮寵夢已斷。只待閻家符牒朝暮到。忽於春王正月夕。丹鳳含來紫泥誥。蹶然而起忙下牀。雙手擎來伏而覩。糞土微臣姓名下。大書通政大夫者。蓋此聖世優老典。凡庶年限九十也。以吾曾忝一半級。比他凡庶先十載。微衷感激果如何。環顧其中不勝忸怩媿。生來性質極孱劣。木偶襟裾無半解。先朝宣召一命寵。在此愚臣猶分外。如何此生太支離。又煩恩數及老耄。老而無聞久不死是爲賊。聖師猶責原壤老。亦已久不死。今又添以爵。此物終歸名器盜。腰緋頂玉里閈間。恐被傍人拍手視。雖然傍人且莫笑。此爵自與他爵異。王家爵命何等重。多見靑雲人力致。紛紛東郭乞憐兒。白晝驕人誠可恥。人生壽夭在司命。非我求之天所賜。不出門外一步地。九重恩渥乃自至。飜嫌海上八十老。漁釣至周亦多事。而况是爵最淸閒。正合吾儂迂且懶。旣無一公事黜陟。何預治與亂。又無一斗祿。尸素誰譏在家食。在家惟孝友兄弟。素王爲政亦不在干祿。相當吾職此莫過。不換三公之貴寵。此語非誇聊自慰。更有孤露無竆痛。先人行德在公誦。餘事文華擅一代。壽不稱德名未遂。至今東都士夫慨。何圖不肖謬通籍。又以年高優寵渥。乃知先庭種德不食報。留與後來餘慶及。多謝鄕鄰同此慶。慇懃賀客屨相接。此夕不可無我酒。樂與親知同酬酢。貧家設饌任眞率。杯盤何必計豐薄。佳辰正値仲春殷。庭梅爛熳山花灼。中堂兀然坐金狄。四座親朋非疇昔。春天行鴈已歸盡。芳草池塘多感目。賴有座上同室老。棃顔鶴髮俱八耋。共閱滄桑無限變。長吟短唱悲喜溢。鄕閭二三情厚交。不妨年紀稍間隔。沾沾談笑坐忘形。不覺西山白日沒。從玆餘日問幾何。卽今歸化無攸恨。秖恨靑春黑頭日。虛送光陰垂大限。別有天爵高於此。德義之尊窺未得。比之衛武作箴日。此翁猶是少年客。在我誠心苟自盡。未死之前須努力。猶恐鸚鵡徒能言。不患桑楡餘景迫。荒詞蕪語作此歌。西望長安百拜祝。涓埃寸忱報無路。惟願聖壽千歲萬歲無竆極。</text>
<title>玉院會席。口占二絶示座中。</title>,<text>一生偏愛此溪山。乘興年年每往還。八十年來凡幾次。棃顔又此綠陰間。靑山不老水悠悠。物色無非舊日遊。今夕登臨誰故伴。滄桑人事使人愁。</text>
<title>次崔子成 玉 龍潭精舍韻</title>,<text>聞說龜山之北厓。故人亭子窈而佳。鬧中久厭爭先路。靜裏應尋向上階。題詠無非情性發。池臺不是等閒排。仙區似隔三千里。白露蒼蒹謾寄懷。</text>
<title>戊寅除夕詠懷 同忍窩餞歲</title>,<text>二老分明夙世因。一門生長九回旬。年年此夜同迎送。歸日應同百世春。</text>
<title>次李士仰 鼎搢 子舍聞喜宴韻</title>,<text>幽香不掩揭軒楣。擢桂榮光寶樹枝。具慶北堂康健日。重煕東國聖明時。十年經學行將試。奕世家聲定不虧。好是綠陰芳草節。觴歌爭和鹿鳴詩。</text>
<title>次孫君 翼謨 韻</title>,<text>槐翁不祕篋中琚。川鯉含傳巷老居。八十已忘名利釣。故人詩句敵璜書。</text>
<title>次孫乃遠重牢宴韻</title>,<text>南國夭桃際盛時。仙家伉儷舊佳期。天上夙緣雙吹篴。人間偕老再交巵。彩舞猶依靑鳥妙。珍羞不啻玉飴奇。浮世百年稀有慶。分明積德驗於斯。</text>
<title>挽鄭季常 四首</title>,<text>歲運長吁値白龍。鄭鄕千古大儒終。如今又哭公之逝。何似當年哭鄭公。雙峯爲祖魯庵昆。詩禮遺風學有源。追孝百年能事了。知君無媿故家孫。煙霞洞裏棟梁姿。蓮籍浮名姑舍爲。別有彙編書一部。晩年功業在於斯。遲暮交情倍少年。那堪衰病兩相纏。藍輿一會終虛負。從此前期指九泉。</text>
<title>次李進士仲謙 鼎益 龜巖精舍韻</title>,<text>幽深古院洞。蕭灑小亭宜。眞樂尋山水。虛名恥斗箕。甘華隨分劑。竆究到衰遲。爲賀林丘遇。斯翁乃取斯。</text>
<title>挽閔進士聖則 誾○二首</title>,<text>靑松白鶴古仙區。雅行君非叔世儒。隨分斕衫安淺淡。潛心黃卷玩膏腴。堪嗟故壑虛三秀。何計荒山奠束芻。種德由來餘慶遠。須看寶樹滿堂隅。論交卻憶少年時。傾蓋還同竹馬知。已覺心期先有脗。更看名跡輒相麗。殘齡久斷停雲望。浮世那堪逝水悲。冥路若無頭嶺隔。逢場握手未應遲。</text>
<title>贈李洛應徵五 奎鎭○幷小序</title>,<text>積年老蟄中。康村諸友頻頻辱訪。且要我慇懃。吾亦爲紓鬱計。以端午日扶筇往尋。以做數宵團圝。是亦殘年勝事也。臨別贈近體一首以識之。自笑風流及耄年。康衢步步太平煙。佳辰強記天中節。老醜休稱地上仙。幽抱暫開尋晩契。厚情多感設深筵。重來此後非吾料。只願諸君每賁然。</text>
<title>挽權晩洲无悔 以復</title>,<text>未及摳衣厚老門。故庭猶見典刑存。鶴松仙分無塵累。詩禮儒風有本源。璧沼採蓮非展抱。靑山埋玉尙餘冤。至今情貺長扶我。時復摩挲拭淚痕。</text>
<title>挽任持國 萬濟○二首</title>,<text>東都冀北士稱多。才俊如君復幾何。浮名得失非輕重。虛老良騏有足嗟。鰲背仙區有主人。風流詩酒任淸眞。遙憐鶴上昇雲處。寥落寒塘物色顰。</text>
<title>挽孫乃遠</title>,<text>山陽一曲淚無痕。此別榮君向九原。皓首重婚宜伉儷。靑氈遺業好兒孫。雲亭興盡三宵枕。閬苑行尋萬里轅。只惜東都無處士。暮年詩酒更誰論。</text>
<title>次忍窩族父韻 三首○歲前遇篤疾。沉綿月餘。暫有减勢。族父以詩寄賀。呻吟中僅僅和呈。</title>,<text>莫謂殘年病暫瘳。暫瘳還怕久遲留。鳩筇追後猶云幸。龜壽無疆敢望俱。兩老年皆八十餘。歸期莫問更何如。存亡姑舍他年事。離索那堪此世居。幾處重房幾累茵。園林只詠雪花新。多公白屋恬寒苦。一念先憂天下人。</text>
<title>挽崔翰汝 二首</title>,<text>孝友家聲翰墨俱。東都一代老成儒。可憐璞玉終埋沒。殘月凄凉弔石湖。兒女于歸不必隨。如何行色暮年爲。畢婚恰遂尙平願。碧水丹山去不遲。</text>
<title>挽詞[李憲錫]</title>,<text>宿德嶠南數我公。半生堅坐下眞工。剡章名徹上庠士。壽域恩添大耋翁。交道何須齒德稱。心源每許贒愚同。十年不見公先逝。獨立春川淚眼竆。</text>
<title>挽詞[李鼎益]</title>,<text>人間三達得兼稀。學力生平有所歸。始也其豐終也驗。資之彌博施之微。晩年徵士天恩重。華秩僉樞地望巍。觀化一廵今適去。雍容何處見依俙。</text>
