<title>石門歸路</title>,<text>繁陰生遠樹。芳草夕陽天。白鷺知閒趣。將詩落我邊。</text>
<title>夜初更。朴君瑞歸自南倉云。自此往本縣北倉。繞山城後東轉而逾一嶺曰月云峴。峴極驗峻。大石多當道。馬不能行。下馬徒步。攀木魚貫而上。沿溪到南倉。自此去彼道里不過二十五里而遠。白巖山之一支東北走而峙者。與山城相對而立。其西南指而走者。爲南倉案山。其下稍衍夷而爲平臯。臯去南倉僅五十步。乃井邑地界。一水自東峯之背山城之下而來。一水循西峯之脊而來。衣衿掩而合于平臯之下。平臯之上。有人家一區。其大僅如斗。而簷去地者纔數尺。前後積木疊石。以爲壁而不用土。視之如羊豕之圈。隘陋不忍見。獨其江山風景。灑落無比。如壺公之謫處天。循平臯而南百步許。得一故址。蘆山寺基也。臺砌完然猶存可考。而見盤石列鋪。溪水環拱。地多石少。土無林莽草樹之蓊翳。間有毛者莎草耳。水石相暎。淸瀅無塵。最是奇絶處。蓄眼以來。未之曾見云云。以君瑞之言而觀之。眞勝地也。不知造物者辦此奇勝之地。何不置諸通衢廣野之中。而置之竆荒寂寞之濱。何不畀諸奇人逸士。使之遊息玩賞。而付之山獠洞夷之手。使千古勝景。埋沒如是耶。抑山獠不知江山風景之爲好。則何苦而辛勤結屋于此。旣居于此。何仇於江山風景。而作此兔窟鼠穴。以殺風景也耶。皆不可知也。旣無家舍可以寄身。則不可以入去。當待發春。手築一室于蘆山基下而居之。造物者其能無攔助耶。姑書一律以寄興。</title>,<text>地闢天開瑞氣停。神慳鬼秘幾千齡。淸川白石明銀界。飛鳥閒雲度玉屛。萬古靈區山獠陋。四時眞景俗烟暝。春風準擬携筇去。九曲中間築小亭。</text>
<title>風雨頗擾。夕間尤盛。</title>,<text>朔風蕭瑟凍雲飛。門掩荒林雨更霏。接翅歸鴉迷暮樹。汲泉村女濕寒衣。乾坤氣候諸陽剝。客子竆愁兩鬂稀。人事天時那可料。一杯山酒不宜非。</text>
<title>風雪曉作。枕上有吟。</title>,<text>北風吹雪振林臯。風轉刀刀雪轉鏖。大地掀翻驚破裂。羣巒暝晦失危高。明年䬪飥誰盈椀。何處羔兒獨占豪。忽憶江南千萬戶。寒翁飢婦共悲號。</text>
<title>金賚叔送河西先生草書千字一部。銀鉤鐵索。煥焉溢目。豪放飛騰。卓厲遒邁。如龍蛇起陸。風雨驟至。而亦不出於規矩準繩之外。豈其藏於中者。有塞天地亘萬古。浩然而不屈者。所以發於外者。有邁金石明宇宙。凜然而不可犯者耶。其可敬也已。抑賚叔之送之。豈余之少好斯技。或能粗知其一班者耶。夫常人之情。狃於其所常見。而駭於其所未覩。明於其力量所及處。而暗於其高遠奇絶之事。余小子何能知此帖耶。試一披之。則余恍然失其中之所守。而茫然不知其所以爲法。不敢直視。而亦不敢捨諸手。賚叔之送之。其困我哉。雖然遷次孤寂之中。無與可以開懷者。而傍無嚴師友隨事警責之功。鄙吝之萌。已不勝其紛然。常切病之而不知所以藥石之矣。今得此帖。盥手焚香。危坐而觀之。則中心惕然。自爾起敬。因其惕然起敬者而思其所以惕然起敬之義。因其所以惕然起敬者而思其所以能使人惕然起敬之理。推之又推。反覆而思之。則先生之道貌德容。怳若親睹於函丈之間。而先生之至言眞論。怳若接於耳。其據梧掃灑。巧奪造化之狀。恍若在於目。不覺心神之爽朗。毛髮之竦堅。非僻之干。渙然若春風之點雪。不復作於心中。先生所以興起余者。豈淺淺。而余之所以得力於先生者。又豈可一二也哉。賚叔之送之。其愛我也哉。其愛我也哉。昔蘇子瞻謫嶺外。以陶淵明柳子厚二集自隨。謂之南遷二友。余於先生此帖。僭謂北學先生也。</title>,<text>盥手焚香勤再拜。敬看先生草書豪。銀鉤鐵索心情正。霽月光風氣像高。餘事亦能超世俗。淸芬猶復戒貪饕。慇懃持作嚴師友。坐滌塵心日戰鏖。</text>
<title>疊前飛字韻。酬友人。</title>,<text>不將雌伏羡雄飛。只恨時危雨雪霏。心似賈生吟鵩鳥。身如齊客泣牛衣。楚江蘭蕙風霜重。漢水烟波夢想稀。賴有故人勤問訊。從知吾道未全非。</text>
<title>對月偶吟</title>,<text>臘月中旬夜二更。頑雲掃盡月輪明。山河寂寞開銀界。桂殿凄凉露玉楹。吳質不眠徒脉脉。姮娥含怨政盈盈。回頭忽欲煩相問。幾處流人似我情。</text>
<title>次前日韻。付贈全墨豪。</title>,<text>萬事紛紛儘壒埃。十年今始得閒來。推擠未必緣多忌。淪逬還應坐少才。地接湖湘三嶺峻。天旋璇極一陽開。慇懃忽對情人話。黍谷春光此日回。此有三嶺。皆稱一蘆。</text>
<title>偶吟</title>,<text>寶曆千年第十載。天心七日一陽餘。楚山嚴雪檟林里。聖代流人吳子舒。安國死灰燃更溺。屈原惜誦吟成書。悠悠萬事孰能料。搔首寒風立小除。</text>
<title>余初欲得長沙而不得。今來于此。兩地地名。皆與昔賢遷謫之所同名。感而有吟。</title>,<text>不向長沙追賈傅。還來楚澤憶靈均。陋身敢自同前輩。苦思還應似故人。殘歲孤蘭摧雨雪。斜陽野鳥集城塵。恨無文字投江水。悵望千秋涕滿巾。</text>
<title>偶吟</title>,<text>斜陽荒凉下遠岫。郊墟寥落起炊烟。尋巢夕鳥依籬下。叫侶歸鴻下水邊。半世功名螻蟻國。二年心事鷓鴣天。君民宿計都成謬。獨倚空窓涕自懸。</text>
<title>寄謝野望堂</title>,<text>臘月曾傳東海魚。雪中壺酒復隨書。腥風滿座饞涎逬。和氣薰腸旅恨除。雍睦蚤知賢伯重。泥塗偏愧賤蹤踈。何時更握樽前手。垂老悲懽共一攄。</text>
<title>次李沛然丈寄贈韻 三首</title>,<text>離迾囚山擁小廬。暮途生理老僧如。一時文物千年會。萬里孤臣九死餘。身直自知頭亦直。心虛還喜室仍虛。丈人珍重勞相問。欲謝深情強手書。靜居頤養有眞味。熊掌駞峯豈此如。黃卷中間尋一理。靑燈側畔度三餘。古今逐逐人歸盡。榮落悠悠夢飽虛。顚倒始知先獲意。腰伸今日拜而書。峽裏春回景轉好。松篁墟落畫圖如。杖藜誰道身無偶。擧目還知興有餘。水似參乎一以貫。天猶回也實而虛。風花雪月邵翁樂。只在文王尼父書。</text>
<title>前次李沛然韻諸作。無悲傷惻怛之意。至如身直心虛眞味餘興等語。尤非惶恐頌罪之語。若使孫會宗輩見之。豈不喜其得間耶。更吟一律以見情。</title>,<text>罪大身輕古峽邃。數愆中夜自焚如。皇王帝霸心期盡。梟炙鶉蛙性命餘。鄕遠人愁奴更悍。年衰飯糲腹偏虛。邇來功業無多在。借得農方信手書。</text>
<title>夜坐次柳罄甫所寄翰院銀臺相和韻 四首</title>,<text>流落江湖日月馳。歲華羈恨似相期。幽蘭欲吐江南岸。冷蘂先垂竹外枝。鄕國幾思三逕靜。功名不恨十年遅。九歌空作湘中曲。回首西天寄向誰。春入堯天日月明。八方民物共輸情。觚稜瑞色低三殿。池苑韶光暎五城。千載一時文物盛。玉堂金馬侍臣榮。江潭逐客渾無事。手裏漁竿雨外橫。詞臣豪氣薄層空。平步靑雲路不竆。盛世恩榮淸禁裏。太平光景詠歌中。摏金撼玉篇章爛。皷銳乘奇角距雄。白雪調高誰更和。草間虫語愧難工。</text>
<title>又次觀試閱韻</title>,<text>城頭初日照旟旗。畫角吹高上將歸。鞱略初成雲鳥陣。聲名不愧嫖姚威。亂離追憶強圍歲。氛祲先昏采石磯。四海卽今征戰息。爾曹無事錦爲衣。</text>
<title>次曺濟卿韻</title>,<text>泣鬼新詞逈出倫。十年泥蠖志求伸。華牋逸興誰家酒。芳草閒情幾處春。楚客羈愁雙鬢短。故園山水入夢頻。何當拍手樽前醉。共樂東君雨露均。</text>
<title>又坳體</title>,<text>湓浦飄零誰與從。愁心江上山千重。香奩久廢鏡如月。寶瑟空傳風入松。粧夢凄凉濕旅枕。寒霜寂寞催愁容。逕知瓊苑舊時伴。時共雲英遊玉峯。</text>
<title>示安孔明 二首</title>,<text>盛世淸寒誰似我。或山而蕨或江蘺。松昉酒熟花添興。竹逕風微雨送詩。人事天時常滾滾。衰遲離合兩依依。陲筒忽遞瓊琚句。君憶吾時我亦思。高齋寥落野僧如。門掩深林夏景初。玄晏不堪吟舊瘵。虞卿無計著新書。百年天地孤筇在。萬事風塵兩鬢疎。京洛遊蹤渾似夢。濁醪聊復聚鄕閭。</text>
<title>輓玄姪 弘祖 上舍</title>,<text>妙質英資誰不惜。最憐郞罷白頭悲。猿腸斷盡明仍喪。魚索含來禍更奇。鬼惡天高那可問。人間地下永相離。靈魂定亦知斯恨。風雨寒林獨涕洟。</text>
<title>次趙春卿韻 二首</title>,<text>赦後累臣尙未回。楚山三見臘平來。江湖水凍魚龍蟄。崖壑風寒鳥雀哀。千里故人孤寺會。二年離思半宵開。却嗟深峽無相贈。僧酒傳心只一杯。凍天峯雪政崢嶸。此地誰知照德星。尊酒逢迎疑夢寐。詩篇點檢得平生。竆陰忽見呈三白。勝事仍成對兩靑。更有佳期書院在。小齋同掌半江明。</text>
<title>次金丈草堂韻</title>,<text>功名十載意全微。每向林泉逸興飛。偶到高人江上宅。閒看平野夕陽暉。漁翁網卷風生渚。村老筇揮蘇破衣。安得移家此中住。栽松植竹共因依。</text>
<title>羅子尙挽</title>,<text>雙鸞瑞羽降同時。一鶴冲霄事忽悲。完福向來爭數子。高才今日更稱誰。二郞風彩身非死。三縣仁慈口亦碑。悄悵半生從過地。白頭猶有涕垂垂。</text>
<title>挽尹上舍 鏶</title>,<text>急士親仁性則然。丈人風度世誰肩。元龍湖海饒豪氣。蔣詡林泉樂暮年。司馬豈酬騰蹇志。螟蛉還有子孫賢。臯招半夜催眞駕。唯遣親知涕淚懸。</text>
<title>挽李獻納沛然 二首</title>,<text>前後贒愚寵辱殊。百年天地一身孤。已從譏刺銷人骨。唯信胷襟得道腴。蹈海仲連淹玉貌。掛冠洪景背榮途。高風大節知難泯。留與千秋感盭夫。磊落襟期耿介操。雄文披錦辯河傾。淸朝敭歷蜚英譽。晩歲歸休養性靈。奇節定應同子順。高懷還復似逢萌。莫言造物欺仁壽。靑史長垂萬載名。</text>
<title>姜督郵挽 敬吾</title>,<text>揖白同棲一月強。幾將豪興到深觴。壬辰冬。余應擧入京。公時寓揖白。余與姜敬吾就而從。同捿月餘也。 蒙儒起鬧身還退。郵隷稱仁馬亦良。童蒙輩意外起閙。禮曹不察並罷公。庚子始拜督郵。驛卒洽然稱仁。 江舍過存纔五日。泉臺消息隔千霜。今年春。公過余江居。穩話叙懷而去。纔四五日。而幽音遽至。 山前攀櫬無竆淚。更向今朝濕盡裳。旅櫬之歸。余出迎于勇珍山前。哭而送之。</text>
<title>醉贈金生 錞</title>,<text>携酒來尋寂寞濱。相看忽憶舊時人。艱難益想平生意。衰老誰憐此日身。兒婢殘冬從子所。手傳新幭出尊親。感懷却與悲懷集。去歲今年揔愴神。</text>
<title>次趙春卿韻</title>,<text>紛紛知面豈云親。知己年來參隔辰。白璧揮淸珍是趙。靑眸談阻遠猶秦。政憐臘後梅將笑。推識樽前客自嚬。欲和郢歌才未逮。離騷還愧楚江臣。</text>
<title>拾遺</title>,<text>猖狂不數哭途竆。閒適惟思倚桂叢。點檢行藏無定力。安排句法欠專功。小川秋色菰蒲裏。落日淸懷杖屨中。却恨故人時遠隔。菊花佳興未能同。</text>
<title>挽曺僉正 二首</title>,<text>洪範疇分九五福。令公今古獨全之。華簪暎髮顔逾少。鳩杖拋階步不危。郡邑四三曾虎渡。兒孫五十總鸞姿。倐然乘化歸眞宅。贏得諸賢頌美辭。公是先人之執友。公歸小子不勝悲。先人下世三周癸。大老高年八十奇。五福在公兼且備。一哀於我慘難披。公如歸見吾先子。須道孤兒恨死遅。</text>
<title>次鄭混源怪石韻 二首</title>,<text>藥攔東頭曲檻下。崎巉崒嵂何爲者。謂石峯巒太似山。謂山胡爲來此也。晴窓靜對凝神悰。怳然飛登天姥峯。猿聲㵎響如在耳。是山是石淸興濃。崗巒嵂兀壓溪壑。仄望橫看景自殊。陳案小山爭骨相。蘇壺九華較錙銖。輕紅似欲粧楓桂。暗滴猶疑響貝珠。浮世何人能占此。紛紛車馬騖塵途。</text>
<title>方伯趙禹瑞曩遊雙溪。山僧有以木杯進呈者。歸以示余。余笑謂此乃山林寒士之器。非朱門貴客之所宜玩也。公笑曰吾將持去。造臺以送。新年元月。臺盃俱到。作詩以謝。</title>,<text>杯出山僧制度巧。臺因使相指揮奇。朱門持鑽眞堪笑。白屋投來始得宜。乍把已思成酩酊。傳看每訝鬧童兒。只歎寒婦無需酒。辜負風淸月白時。</text>
<title>酬守初大師</title>,<text>獨向空山禮世尊。豐干支遁與爲羣。時翻貝葉看花雨。却叩華鯨聽徹雲。疲劣自憐成醜物。襟期誰謂得吾君。虎溪若更開三笑。肯數人間麟閣勳。</text>
<title>聞內腫久瘡者。浴桑灰水得效。余以其法試之。戲題。</title>,<text>大槽神水氣霏微。投却殘身下弊幃。快似琴高游浩淼。閒如曾點浴淸沂。河源可到何從去。機石宜分幾日歸。乘興渺然思遠適。蓬萊深處五雲飛。</text>
<title>次贈黃台老 儁耉○六首</title>,<text>臺省郞君賦十離。數年南國任奔馳。葉縣鳧舃朝天遠。東閣官梅起興遲。莫恨祥鸞棲枳棘。且將琴鶴暫躕踟。近聞聖主求才士。規步應趨白玉墀。使君豪氣小嚴春。海外分符只爲親。仁德已霑千戶邑。恩榮兼極百年身。公庭吏散唯聞鳥。琴閣春晴好引賓。異日蜚英靑鎖闥。隆私應復拭龍巾。竭來京國路千千。五馬行裝政快然。祥擁北震雲五色。天低南極月三弦。平生學道多淸趣。餘事攻詩積幾篇。宣室承恩行有日。歸期且莫費筳篿。南國春殘久別離。一心長向使君馳。年光鼎鼎繁華遠。世事悠悠會合遅。孤枕淸宵勞夢想。晩林斜日獨躕踟。野夫已决幽栖志。付子楡楊白玉墀。暖遍溪山暗換春。索居寥落與誰親。百年貧病侵尋地。萬事乘除見在身。三疊漫成中散曲。一樽難待孔融賓。塵途永絶繁華想。山外斜陽岸角巾。箕城官紙價踰千。才子淸詩更灑然。政覺祥鸞飛逸響。誰知病鴈㥘虛弦。平生最愛徵君度。末路重看山谷篇。直欲揮鞭乘興去。佳期不必問筳篿。</text>
<title>百年多病獨登臺詩</title>,<text>飄泊逢秋恨未裁。風塵跂路自徘徊。五溪霜露長淹病。九月江湖獨上臺。世事茫茫聊倚杖。天機衮衮幾沾腮。終南渭北空回首。氛祲三年尙不開。</text>
<title>酒席。送舍兄嶺南之行。二首</title>,<text>脉脉相看語不成。漣漣雙涕自沾纓。分襟始覺陪遊樂。閱世方知骨肉情。榮辱百年鬚髩改。山河千里夢魂驚。最憐別後門長閉。寂寂離愁對短檠。匡床忽罷一衾夢。天末還成遠別離。萬事乘除眞宰在。百年榮辱此心知。春風馹騎江南路。落日鄕愁洛水湄。嶺外文章應更富。郵筒時復慰相思。</text>
<title>挽林承旨 堜 令丈</title>,<text>憶昔侯公登晩休。叨陪几杖共優遊。龍門勝事渾春夢。駒隙浮生等水漚。一代風流長寂寞。百年人世幾歡憂。祇今唯有西湖月。留照靑山舊謝樓。</text>
<title>次寄李一卿歸川齋 廷夔參判</title>,<text>特地長懷汗漫遊。百年淸興在滄州。自撑小艇尋眞境。閒倚危欄俯碧流。落日歸帆島嶼暝。春風香桂洞門幽。從君願借靑山半。着我踈蹤得小留。</text>
<title>睡隱先生 姜沆 挽</title>,<text>天出奇才天殺之。西江難洗古今悲。文章浩浩滄溟窄。節義堂堂夷夏知。黃媼豈能埋壯氣。玄堂忽復改靈基。先君當日陪遊久。往事追惟涕自垂。</text>
<title>走次林周卿留韻 二首</title>,<text>不見傍人送我別。但見日日人告別。歲暮竆陰能幾餘。一旬二別心何如。朔雪寒風助凄結。雞龍凍樹遙含情。我不能輸奇效能報明主。鋪張帝霸追羣英。我不能羸驂短鞭逐歸人。去賞孤山雪裏春。徒然塌翼風塵際。世上兒子咍而嗔。丈夫行藏竟如此。故人愛我還憐否。死生契濶不可問。富貴功名焉足求。月出山高高揷天。瀛海無風波似油。已辦荷衣與蕙帶。他日期君從我遊。古有蘇李河梁別。古有劉柳衡湘別。胡歌一曲怨有餘。嶺猿三叫心焚如。人生離別本如此。世間何者能忘情。矯矯西湖林處士。風流文彩人中英。高談驚動洛陽人。酒暈滿面微帶春。與我平生肝膽傾。不效俗子相嘲嗔。朔雪寒風告我別。君能知我傷心否。歲暮風塵無與偶。高山流水從誰求。使我晝立揮涕淚。令我夜坐焚膏油。行矣明年春爛熳。共向月出山中遊。</text>
<title>僧達山歌。走筆寄叔弼。</title>,<text>僧達之山高揷天。金沙凈界淸無塵。地靈丹砂不足當。僧寶南能傳鉢新。昔者曾同使君遊。政當九月之中旬。夜發綿城雙盖飄。金笳向月愁秋旻。上馬狂吟走荒坂。下馬鳴琴循磵濱。五更到寺月欲落。陞堂擊鼓羅衆賓。山盤新果多細瑣。傳杯老髡頗淸眞。俄然紅日湧於東。神開境換迷崖垠。翠娘前導朝雲後。走上法堂賞金身。楓葉酣霜紅爛熳。寒花絢日香氳氤。鯨魚響大振山椒。鍾磬聲淸醒客神。人間有累不可留。欲別名山回首頻。東登大嶺尺去天。坐看滄海波潾潾。歸來一堂太寂寞。衙罷獨坐眉長嚬。僧達山高高揷天。夢和殘月攀嶙峋。武陵仙境何處尋。桃花流水空自春。奇遊忽忽難可再。憶山還兼思玉人。僧達山僧僧達山。坐思金殿明冰輪。何時更與故人至。大醉高歌臥溪漘。</text>
<title>甘棠行</title>,<text>南國諸詩總可歌。盛德莫如甘棠詞。昔者召公分陝來。驅馳原濕摩瘡痍。一樹甘棠政蔽芾。弭節幾多來躕踟。召公一去不復來。甘棠獨自臨中逵。民思召公恩德深。共恨仙輧難可追。却來中逵尋舊迹。甘棠依舊淸陰垂。愛人不見愛其樹。恐敎兒童來剪枝。一歌二歌情更切。歌有盡兮情難移。噫噫何山何處無甘棠。只是無人繼聖治。所以千載召公思。</text>
<title>挽李正字 光廷</title>,<text>帝遣曇華一現時。芙蓉雲錦眩離披。靑錢萬選神逾旺。白璧雙淸貨益奇。古冊文深驚老匠。新篇語放困幺兒。丹消藥竈乖靈驗。玉作仙樓要雋詞。病較士安才較逸。年同衛玠死同羇。春萱慘絶荊花悴。鸞鏡悽酸鳳子悲。秋晩洛川旌翣遠。路長秦北鴈鴻嘶。元方交誼吾曾厚。痛惜何論舊日知。</text>
<title>庚寅復月二十日。風雪大作。近古所未有者。念北行諸人困苦之狀。因成一轉語。奉寄行邊。以博捧腹。</title>,<text>白虎之冬十一月。狂風半夜驚霹靂。勢似巨靈劈山岳。聲如萬馬轟跳趯。壯似白起踔武安。威如項籍鏖秦壁。山鳴谷號互呑吐。天柱地軸相傾蹙。大木摧折小木拔。東家傾仄西家覆。雪花飄拂颺空裏。勢急不敢成圭璧。萬姓慌忙潛伏縮。有如凍龜渾藏六。或言元會數已盡。陰閉陽藏將變易。又言上帝助天驕。陰威慘惔驅東域。我謂天道無終始。豈有闔闢如朝夕。况乃胡運無百年。穢德何能久充斥。向來造物眞戲劇。秖是要困西征客。西征客子是阿誰。南磵虎溪與藏谷。平生畏寒如畏虎。重裘襲帽坐如束。南國才名三十年。懶惰不窺門前閾。昨者偶隨計吏偕。蒙犯雪霜勞遠役。天心却欲拂亂之。故遣騰六隨巽七。錦水層冰寒擁舠。車山積雪深沒膝。風頭如刀面如割。墮指誰能攬鞭策。暮投空舘轉寒緊。風徹布衾氷生席。困心衡慮豈偶然。聲價終當動京國。石門散人何所求。濁醪寒燈坐昏默。繁華都付別人邊。野性長思好泉石。竆村閉戶三日雪。遠憶行人心不睾。孤懷吟罷不成詩。寄向天邊要捧腹。直待諸君得意歸。一壺吾當遠匍匐。</text>
<title>勸緣走筆</title>,<text>世言金沙凈界在兜率。眞仙上佛遊息于其中。此是古老欺人之嗃矢。殊邦絶域。安知獨能爲天宮。擧世貴耳反賤目。人間自有名勝境。人不知貧道半生役脛脚。東西南北無不之。楓嶽層層戴天白。萬二千峯。屛羅玉立騫鵬囑。景物雖奇大孤絶。自非絶食斷衣。羽人木客誰能久。妙香頑然穹窿一土山。地多松杉梗枏。其大蔽九牛。絶無丹崖翠壁現瓌怪。若欲選勝披奇撮其要。更僕而說無可遊。洛山元來遊冶地。階前蚌蜃手可取。幢幡絡繹醉歌舞。禪榻盡是油頭臭。太白小白固天所以限。東極夸父不能步。子長之遊不得到。頭流瑞石是家雞。其他瑣瑣培塿。何足開口道。南遊偶得一名區。怳若造物開神慳。滄浪下流古福州。毋喜奇峯矗矗參雲間。一支東走而南峙。儼如神人正士。峨冠玉佩披玄裳。龍挐而左。虎躍而右。襟袍兩相接。中間冥妙開明堂。城排赤壁鎭下口。甕列重俎釀大春。皓月玄風自朝夕。祥雲瑞氣紛氳氤。此間安可無一宇。幽人釋子。可憐來到空逡廵。山僧一生無長物。四大空身三尺杖。開出幽居。尙賴秖陀爲經始。誌公單錫。猶願君王金萬兩。有粟者粟。有布者布。衣也食也無不可。檀越三生杳不滅。萬古眼眼說冥果。堂成倘叩白雲關。三笑悠然邀溪左。</text>
<title>放言效山谷體</title>,<text>風至雨灑而通爽氣。朝倚暮坐而得其情。西南見乾坤之大。開闔知日月之明。昔天下而不容。今此間之伸脚。焚香而坐。頓覺世界之廣濶。右小牕翔而走峨然屹然。介然成羊腸虬曲。來牛去馬之顚覆。前者後者之相續。好憑險而凌危。玆乃取敗之道。豈知山下有折臂之客。岸幘坐視而呵呵獨笑。右小蘆嶺翠微上方下方之幽寂。僧臘蒼松翠栢之欝屈。雲確鳴以日夜。山風吹兮不絶。闍擊磬而坐焚香。豈知人間之有愁慽。右中菴一而歧而南北。至而迷者十九。或蒼茫依杖而獨立。或墑埴意東而西走。能由正而直指者鮮。况改轍而回輿者誰。爾看窓裏之老夫。是亦顚倒狼狽而至於斯。右窓外歧路</text>
<title>臥遊名山賦</title>,<text>噫吁戲達人之冥觀兮。收視而內照。大開眼而遠覷兮。顧冲漠而自恔。是乃心安而神會兮。殊異乎遑遑爲景物役者也。聞少文之高臥兮。訝眞遊之自得。之遊也不勞眼不役脚。不須靑藜竹杖之我扶。不待芒鞋草屨之我躡。無論頭戴遠遊之冠。無論帆破萬里之浪。乃招虎頭命龍眠。襍粉鉛陳紬絹。毛穎脫冠兮。墨子磨頂。使夸父而告厥歷兮。詔子長而陳所履。收奇聚精。選勝裒長。丹靑畫出。遠勢蒼茫。徒觀其窿然而峙兮。峨峨者山耶。悠然而逝兮。洋洋者水耶。落鴈峯兮岧峨。魚龍川兮漲綠。十二聯綿而相似兮。二妃之冤恨何托。七百浩淼而泓渟兮。魚腹之忠魂無恙。能驅山而走海兮。咫尺論於萬里。爾其援琴而命操兮。遣興而玩志。情沿洄而無盡兮。意綿邈而未已。取之左右而逢其原兮。山則在此而水在是。能以靜而禦動兮。不出戶而知天下。此乃君子之大遊兮。信乎能自得師者也。吾將一室岑寂。左右圖畫。茶鐺竹床。隱几大臥。客欲知吾神之所在兮。試求之綠水之上靑山之下。</text>
<title>拊几作箴賦 此篇鄕解所作而遂得高捷。先生時年十九。</title>,<text>相公拊几沉吟。若有不豫色。悄焉隱默。悵然太息。懷紆軫而不自聊。表中心於一章。其言也窈而深凄而切。似反顧而自傷。傍有小子進而問曰。何爲其然耶。方今主聖臣良。相得益章。風雲際會。千載一時。旣致庶明之厲翼。可見無爲之盛治。而公當朝碩德。盖世豐功。入則賡載王廷。出則順揚皇風。無傅燮之歎息。有漢家之寧謐。苦何爲而戚戚。類有求而弗獲。蒙切然疑。願聞其說。相公曰吁。小子聽之。我明告子。汲引忠良。大臣之事。同寅協恭。君子之志。不有贒才。國何能國。况余駑劣之資。猥膺鴻丕之責。思得賢而共理。致萬性之咸若。故人蘇雲卿。德卲傅霖。道高莘摯。王佐奇才。經綸大器。抱東海之宏材。習南郭之大隱。如欲平治天下。當今世捨此其誰。故余束帛加璧。善其辭命卜日。以授使者。造其廬而請之。庶幾東山之幡然。共濟中州之艱屯。何高尙之益堅。淹泄柳之閉門。纔書幣之入谷。已魏野之題壁。鳳飄飄而高逝。鶴自翔於丹霄。是固遯跡之難回。抑亦人事之未臻。盖其享不及物。已多儲子之失禮。徵辟後時。徒遣仲生之長往。旣弗明而弗誠。又弗早而弗力。追惟往愆。罪實在我。匪彼違我。我先絶彼。此所以反而求之。私訟其尤。恨旣往之難追。作箴辭而以自警者也。嗚呼。朱鳥翾翾。白駒難縶。靑山寂寞。玉人已遠。周階多罔功之輩。舜廷少贊襄之臣。中原之赤子鎖尾。誰與安之。故國之廟貌塵昏。誰與淸之。慨伊人之我遺。悲余求之不及。瞻望東湖。我心實勞。心之勞矣。我自貽矣。小子乃起而歎曰。嗚呼相公 缺三字。心存輔國。誠切求賢。求而不至。反而責之。公雖自責。人則賢公。小子狂簡。始迷不知。今乃大覺。請終身而誦之。</text>
<title>仁義半載賦 丙戌進士時所製</title>,<text>在昔張子之逃禍也。慟深瞻烏。嘆切藏羽。潛蹤窘步。天地網罟。追兵躡後。無處避身。分仁義而半載。知有救於芝焚。固聲氣之相感。眞死生之堪託。當其漢運欲訖。閹竪作孼。天子孤立。正人魚肉。西行無賴於解難。羣賢打盡於一網。桁楊相推。接槢相望。孟博何罪。元禮無辜。紛連頸而交臂。共桎梏而就牢。堂堂乎張也。君子者流。哀玉石之俱焚。懼炎火之將及。遂拔身而疾走。汩東奔而西蹶。陳留羈旅。外黃飄泊。藐是流離。至于東萊。幸知己之相値。吐舊日之繾綣。於我舘而藏蹤。憩跋涉之困頓。俄毛令之跡至。奄門外之戈戟。安危在卽。性命 缺二字。主人曰吁。子聽我說。爾無助天爲虐 缺七字 張子善類之一。脫身禍穽。奔竄 缺六字 惻。兩賢豈相厄哉。而况殺一不辜。仁 缺七字 灾樂禍。義之所不敢出也。願仁義 缺九字 令聞之。懣焉心服曰。李公 缺八字 舜之志。獨爲君子。蘧玉所恥。缺二行 俄仁義之半載。竟松茂而栢悅。缺六字 寔君子之所則。吾然後知李公之 缺七字 誨人也如此。毛子之勇遷也如此。缺七字 毛善人之脫禍。二君子之成德。後千載而沿泝。仰高風而一揖。雖然倘非張氏之仁義有以感之。二子無所成其仁義。若三子者。可謂三分仁義而各有者也。</text>
<title>衣錦尙絅賦 東堂製</title>,<text>夙有志於爲己。思妙鍵之一透。庶硏幾而極深。仰先軌而追武。缺三字 於聖孫。有尙錦之善喩。是務實之到意。知作聖之要道。原君子之爲學。必先始於治己。日慥慥而敬修。罔敢怠於造次。愼不覩與不聞。孤不參而不貳。允下學而上達。自無間於終始。雖顚沛而必於。恒顧諟而日勉。絶華飾於身外。積眞實於裏面。紛旣有此內美。不期顯而自顯。是修己之要則。古聖人之心法。故子思之垂敎。引古詩而成說。彼錦衣之陸離。燦其文之爛燁。必也尙之以絅。豈其意之無以。取實美而在己。惡文章之太著。絅掩外而藏輝。錦在裏而光絢。猶修德之務實。不向外而自衒。充厥美於吾身。藏德輝而不現。盖所貴之有在。不願表而出之。然積美之旣久。自難掩於人知。外之光兮由內。人與 此以下缺。</text>
