<title>夢作</title>,<text>長風九萬里。吹月度千門。何處一聲笛。東方欲破昬。</text>
<title>次寄鄭汝楫 弘濟</title>,<text>向余之歷宿汝楫任所也。汝楫送妓月中梅于舘所。余未之近焉。昨又過其任所。則汝楫次余詩。有時對月梅疑是君之句以戲之。又送其妓。隨到楚山客窓相對。有如見汝楫之意。遂成一絶以寄。客窓流照羅浮月。曉枕虛飛楚雲。尙愛一枝情宛轉。君疑是我我疑君。</text>
<title>歸路。尋白蓮庵。次明坦上人所次柳州韻。贈之。</title>,<text>世事月盈。人生雲起滅。獨憐蓮社僧。靜對千峯雪。</text>
<title>李持平子三 台重。次余韻見留靈巖。却和以寄。</title>,<text>南望漢挐天際浮。西臨滄海日邊留。今行壯觀無餘恨。只少逢君對月樓。</text>
<title>水原道中。追憶戊申奔問時失馬步行之事。疊去秋南行時韻。</title>,<text>戊歲玆州路。奪驂遇亂兵。傳聞無馬將。出鎭近畿城。未見軍容肅。惟令賊氣生。春風攬遊轡。能忘昔徒行。時金重器以揔戎使來鎭。而命下之日。辭以無馬故云。</text>
<title>拜尤庵墓</title>,<text>道大不容時。千年志士悲。高山入仰止。小子寫穹碑。</text>
<title>渡大津</title>,<text>潮水初回船可行。波濤不起海無聲。長風破浪平生計。此日懸颿更遠情。</text>
<title>瑞山大橋村。吟奉金台德裕 有慶。</title>,<text>肅州君謫壬寅秋。我竄同時近白頭。今夜海村成一笑。世間萬事付東流。</text>
<title>疊</title>,<text>此實存亡危急秋。相看扼腕又搔頭。吾儕敢喜淸名享。未挽狂瀾作穩流。</text>
<title>次明瑞韻。贐兪展甫 拓基。再按嶺南之行。</title>,<text>廟薦纔看京尹擢。天書遽報嶺藩遷。直緣聞命三辭固。非欲用君一道偏。棠樹陰濃新舊色。雪山輕重去來年。會須㫌節還朝日。爲誦徂徠慶曆篇。</text>
<title>金穉明 時粲 謫高原。投示其踰嶺時所次白沙韻一律及飜白沙歌一絶。要余和之。余嘗於北遷時。亦有次是韻。飜是歌之作。今得穉明之詩。諷詠再三。想像其去國之悲。戀君之愁。殆若身復當之也。遂次韻以寄。其間穉明。已宥還湖中矣。</title>,<text>由來嶺北死人關。近者明廷法網寬。去國君纔歸故里。投荒我昔反慈顔。寒雲淚灑龍樓遠。曉月魂過鳥道難。前後歌詩同愛主。古今人或有相班。孤臣淚逐歸雲下。匹馬悲歌度嶺遲。今日見詩如昨日。北風蕭瑟鬢邊絲。</text>
<title>靜觀齋李先生延謚宴。先生曾孫伯訥 敏輔。有詩索和。和之。</title>,<text>靈芝燁燁露華滋。想像村居講道時。世上浮榮都謝卻。閒中至理靜觀思。高山尙繞三間屋。活水猶涵半畞池。自愧棲棲方外客。百年徒弊一筇枝。</text>
<title>相肱墓</title>,<text>汝今土滿面。吾已雪渾頭。地下重逢否。人間一哭休。鶴歸雲影冷。麝過草香留。知有精靈在。相隨海嶽遊。</text>
<title>普德窟</title>,<text>鐵鉤銅柱勢相撑。石室雲樓坐欲傾。持比世途尙安地。老僧無累度平生。</text>
<title>三日浦。次簡易韻。</title>,<text>蘭舟宿昔載嬌娥。秋日明湖蕩碧波。三紀重來靑嶂在。四仙應笑白鬚多。</text>
<title>繼祖窟</title>,<text>天吼山繼祖。窟蘿薜被松。身雲霞生石。穴師去庵空。僧不守惟有。畫佛與金佛。</text>
<title>鏡浦臺。敬次肅廟御製韻。</title>,<text>溟波浩淼際天東。鏡水澄明十里中。倂作微臣臺畔淚。碧紗籠下泣無窮。</text>
<title>臺下船遊再疊</title>,<text>片雲將雨過湖東。一半靑山活畫中。落日輕舟思遠放。長堤之外海無窮。</text>
<title>竹西樓。敬次板上肅廟御題韻。</title>,<text>天迴雲漢掛西樓。檻外長川萬古流。莫道海濱王化逖。恩波千里及魚鷗。</text>
<title>疊</title>,<text>鏡浦宸章又竹樓。樓前湖水淚添流。洪恩未報頭先白。天地東南伴海鷗。</text>
<title>佛影寺。次板上三淵韻。</title>,<text>招提昔是潭湫圍。義釋經營樓觀飛。五佛迎來光照耀。九龍驅出事依俙。千年福地山靈護。六月高樓暑氣微。一宿禪房明發去。此心何日息塵機。</text>
<title>出山知有副學新命 乙卯北遊時。始叨是職。今又有是命。</title>,<text>北塞東關任往還。三年再忝侍臣班。聖恩旣許遊方外。更借淸銜到海山。</text>
<title>盛仲聞尹 汲，韓 翼謩 兩學士遠謫。歎而有吟見寄。卻次。</title>,<text>秋野旱痒穡。秋江風亂濤。民生危若此。吾輩罪焉逃。聖化雖如日。時憂奈似毛。還憐南海岸。棘裏兩囚牢。</text>
<title>疊</title>,<text>江漢流曾穩。如何又起濤。禍應策士首。孽豈嶺人逃。御極方龍德。鳴陽或鳳毛。庶看明義理。邦勢泰山牢。</text>
<title>遣騎要李文仲 宜炳。來留數日。相與墨戲。殊有興趣。明瑞亦來會。筆硯之暇。用農巖韻。唱酬。</title>,<text>昨日臨池興。今朝更倚床。明窓紅旭照。高樹白雲翔。隣舍送千紙。秋風勸百觴。文朋來滿座。爭覩醉毫長。</text>
<title>余於東遊。登平海之梧月樓。三陟之七分堂。見槎川李一源 秉淵 詩板。並和其韻。輒有不同賞之恨。及歸。因張君宅文樞斗之入城。錄前兩作以寄一源。近宅文來訪。袖傳一源書及疊前韻之作。披讀爽然若痾去體。遂用其韻。還以寄之。</title>,<text>文章誰道一源衰。白首猖狂不矜持。梧月樓中曾揭板。退漁堂裏又投詩。牢籠天地山川盡。模寫風神色態宜。安得一場樽酒會。黃花階上月明時。</text>
<title>安坪感舊 此是申伯曾魯聖與晳兄弟舊居。而其墓俱在此。</title>,<text>伯曾好兄弟。生死此山林。故宅藩墻缺。荒阡草樹深。昔敦僚友義。相勖歲寒心。白首西歸路。秋風悲獨吟。其二昔逢鷗渚日。繫馬老槐林。醉興南山逈。交情漢水深。吾爲畏友敢。子有古人心。落景鷹雕去。寒天鳥雀吟。伯曾。嘗目余以畏友。故云。其三峻潔追名祖。淸狂配竹林。高談四座屈。豪習百杯深。藐說王公氣。輕看爵祿心。如今何處得。末路更悲吟。其二其三。哀伯曾。</text>
<title>楸谷記北謫時。聖姪遊此見投之詩。用其韻志喜。</title>,<text>昔汝獨遊日。相思悲恨長。今來俱白髮。世事等黃粱。寒雪千重。流光十五霜。餘生追感切。先子卜斯庄。</text>
<title>豐陵 趙相文命 墓感舊</title>,<text>昔也恨君今憶君。臨危扶社有誰存。寒天獨立空山裏。點撿平時憂國言。</text>
<title>昭陽亭。次梅月堂韻。</title>,<text>昭陽亭下水。西注幾時休。知與牛川會。轉通淸漢流。雲霞城闕逈。松栢墓山幽。憑寄客心去。共隨鷗𪆽遊。</text>
<title>泛波亭。遇李元亮 亮臣 喜賦。</title>,<text>相憐白髮亂。相喜靑眸開。窮看山去。寒冬胥宇來。癡思缺天補。狂欲倒瀾迴。恐被傍人恠。冥然醉百杯。元亮此行。盖欲卜居云。其二無限商量事。何能倉卒開。幾年林下卧。今日中來。仙窟全家隱。漁舟逐水迴。明年春共至。重把野人杯。余亦有造得漁船之計。約以明春更會。故云。</text>
<title>行過新川。望白嶽懷一源。用前韻。</title>,<text>槎老休言脚氣衰。竹輿藜杖好扶持。天衢幾發堯夫興。山室方吟左氏詩。北洞花期春尙遠。東城月色夜偏宜。速須相就成文會。野客元稀入郭時。</text>
<title>君範。次曺梅溪延謚宴韻。投示遂步寄。</title>,<text>天道冥冥本至仁。人心惻惻久如新。終看甲子案昭洗。豈獨梅翁寃快伸。恩謚纔聞頒嶺郡。詩章復見出朝紳。溪邊故宅今猶在。想像華筵儼主賓。</text>
<title>申季玉 㻑 誦傳陶翁李煕卿 縡 到鄭氏庄所作。却次。</title>,<text>楓溪好鄭氏。諸子筆生花。麗代忠臣後。淸時老將家。讀書燈積燼。漁水日移沙。雨裏寒泉叟。淹留詩興多。後一作裔</text>
<title>疊前韻寄一源</title>,<text>小邦風雅世隨衰。大匠斧斤君獨持。牧老雖遙還有脉。淵翁已去不亡詩。魚龍出沒滄溟得。星斗森羅碧落宜。莫道文章一小技。古人於此見其時。</text>
<title>又寄一源</title>,<text>初月娟娟映石樓。繁星歷歷泛溪流。鳴鴻暗渡銀河水。宿𪆽時飛白雪洲。北麓故人那會面。東岡寒夜更回頭。長歌短詠難成寐。世變天灾幾日休。</text>
<title>盆梅結蘂。未開自落。</title>,<text>書閒不讀如無字。琴廢不彈如無絃。更有無花一梅樹。無心相對兩悠然。</text>
<title>次再從孫養材投示韻</title>,<text>春潮連岸白。春樹際天靑。萍水相逢地。乾坤永保亭。歌塵飛畫席。琴月亂松庭。勝境何能忘。窮廬歲暮情。</text>
<title>渡松津。與津夫問答四絶。</title>,<text>素負朝野望。胡爲不肯仕。小人未蒙德。百姓多窮悴。朝野望豈有。仕宦吾所欲。不幸爲世棄。退而處山谷。屢官終不出。屢招亦不來。乃曰爲世棄。此言欺我哉。德薄且才疎。病深而老至。欲仕不敢仕。自棄人亦棄。</text>
<title>將向栗里舟中。次韓君致叟 命輿 韻。</title>,<text>正月黃驪江色閒。白雲靑落與漫漫。携朋又上沙邊艇。岸幘耽看野外山。時覺魚遊生細浪。已聞禽哢送餘寒。最憐習習和風至。欲化衰翁鬢雪斑。</text>
<title>鳳臺歸路。將見水墮寺用杯字。</title>,<text>沂上春風起。中氷雪開。呼鷹驪水渡。射鵠鳳臺來。此去禪房宿。仍携漁艇廻。羣公滿朝著。吾醉野人杯。</text>
<title>登泛波亭。次板上三淵韻。</title>,<text>雪嶽山中老。洪溪水上亭。何年留咳唾。半世任蓬萍。波底驪龍睡。雲間綵鳳翎。無由得復覩。春日獨憑櫺。其二物外有高士。詩中得大家。乾坤歸嘯傲。山水吸精華。奇筆松挐壁。淸詞月映沙。沉吟不能去。簷日又西斜。歸一作恣</text>
<title>哭成兄箕卿 道東 殯筵。諸孤請誄。率成一絶以副之。</title>,<text>人哭夫君我欲歌。君亡持比我生多。子孫滿室家聲繼。行誼稱鄕士論譁。聞鄕士呈文于營府請狀聞㫌褒故云。</text>
<title>淸泠浦。次穉和韻。</title>,<text>浦草萋萋綠。春風古隈。沉沉山氣慘。咽咽水聲哀。淚有湘筠染。魂無楚鳥回。平生悲慨意。再度此中來。</text>
<title>莊陵。次穉和韻。</title>,<text>松栢園陵閟。荒凉異昔年。水堤增舊築。碑字有新鐫。至德昭天日。深寃洗簡編。每來尙隕涕。春草石麟前。</text>
<title>六臣祠。次穉和韻。</title>,<text>余讀豫讓傳。千載一下淚。森嚴對友言。永愧二心類。六臣則不然。其初不直遂。旣臣從而謀。無乃傷其義。惟有貫日誠。天地與不墜。欲爲所欲爲。肯顧一身棄。由來尙論人。以心不以事。允矣爲忠臣。祠近玄宮閟。滔滔階下川。波接神路邃。鬱鬱園中松。陰連陵樹翠。千春詠採薇。百世奠丹荔。噫彼徇利人。六尺受共畀。</text>
<title>奉覽莊陵誌。端廟賦杜鵑詞與詩。不覺淚下。奉賡其韻。</title>,<text>越山深。鵑聲啾。愁人聞欲白頭。莊陵復。無鵑聲。天地在有是愁。我亦悲歌慷慨者。今何忍讀鵑詞。登鵑樓。六臣祠前樓。扁以拜鵑。</text>
<title>石湖亭。感舊。偶逢吳伯玉 瑗。同次壁上三淵韻。</title>,<text>故人舊棲處。巖壑起悲風。雲樹千年在。樓臺廿載空。虛亭春草綠。遠峀夕陽紅。客至誰相語。迎門白髮僮。</text>
<title>元宅之 命揆，朴士樞 斗益，金正叔諸君在座。適琴師來至。團歡竟日。次聖姪軸中韻。</title>,<text>漢上輕舟疾。城東倦馬遲。乾坤任行止。雨露戴恩私。花樹當春日。杯盤近午時。明朝箭溪畔。手折綠楊絲。</text>
<title>入城見穉和書及疊遊字詩累篇。後數日來見。今日舟中。有懷却和。</title>,<text>靑春城市薄言遊。今日歸舟發漢洲。誰與我分山一半。所懷人在水中流。南崖老樹同憑檻。東郭高梧對倚樓。芳草落花幽鳥語。夕陽回首不勝愁。老樹。卽鷗湖望北亭。高梧。卽舍姪家軒號。</text>
<title>訪伯玉于歸川聯宿。用三淵韻同賦。</title>,<text>露氣侵牀潤。河光近戶低。主人喜留客。明月滿歸溪。笛弄遙宜聽。詩成淡忘題。明晨回棹去。蒼靄隱丹梯。</text>
<title>寄宿處。是李汝五 秉常 別業。主人遠謫。念之悽愴。疊韻。</title>,<text>地極南方濕。天窮北塞低。衰年輕遠謫。破屋寄寒溪。酒孰花間酌。詩無葉上題。空敎林下友。來踏水邊梯。</text>
<title>思穉和。疊遊字。</title>,<text>鷗湖昔日共君遊。興在槐欄與柳洲。雨雪北風人忽散。煙霞東洛水空流。今朝偶倚村邊艇。春色方深樹際樓。安得芳辰携手去。百篇相和洗塵愁。</text>
<title>夜坐拈杜韻</title>,<text>欲雨春天星斗微。溪雲散漫逐風飛。廢塘有水鳴蛙集。喬木無枝宿鳥稀。靜處時憂頻撫枕。老來人事足沾衣。新詩詠罷憑誰語。一火漁村照夜歸。</text>
<title>送春日。拈杜韻。</title>,<text>春去嫌常促。春來恐更遲。百般鳥語處。萬點花飄時。忽忽悲衰境。依依詠別詩。眞同情友送。千里隔年期。</text>
<title>相肱墓。疊前韻。</title>,<text>墓莎深沒屐。墓樹長過頭。汝死已云久。吾悲訖可休。皇天生有意。逝水去無留。况是先塋下。童時所釣遊。</text>
<title>簡洪川守安國賓 重觀</title>,<text>太守憂民只細傾。洪溪流水鴨頭靑。書來可道風情厚。不與當歸酒一甁。</text>
<title>洪良臣舊居古心亭新成。登覽感舊。次壁上李一源韻。</title>,<text>夢叟手栽樹。廿年如許長。曾分山一半。同老水之陽。嶺海風霜後。江湖雨露光。餘生今白首。獨立意蒼茫。</text>
<title>鋤櫓亭感舊吟。贈主人李汝固 益培，仲固 得培 兄弟。</title>,<text>髫齔君今長大身。靑絲我髮已如銀。亭臺樹木渾依舊。不見當時二丈人。</text>
<title>聖考諱日。疊茂山時韻。是日自鷗湖。舟發向驪。霖雨未收。江水大漲。</title>,<text>忍言庚子事。白首尙人間。又見諱辰至。何由睿化攀。驚波滿江漢。苦雨漲南山。誰識歸舟客。曾叨侍從班。</text>
<title>懷君範</title>,<text>靑林密如織。落日鳴蟬淸。颯爾動秋氣。悠然懷友生。水流如有意。雲去卻無情。倚壁古琴在。風來時自聲。</text>
<title>夜寢輾轉。起坐開窓。感舊傷今。遂成八絶。効杜八哀。</title>,<text>孝慈自有天翁報。淸愼宜無世禍侵。何事曳衰兄弟死。渠家見忤小人深。右仲行華國文章能手段。慨時言論大心胷。功存宗社終罹禍。其奈邦家運氣凶。右致仲士當爲知己者死。臣爲主用其職爾。同時人孰非忠義。公耳其心吾許子。右德雨人無主見我專誠。同閈良朋許共貞。園綺已成護儲策。臼嬰寧畏殺身刑。右啓元文章風節冠朝紳。力障狂瀾不顧身。一死於君爲細事。危時擔荷有誰人。右惠伯 洪啓廸死乃大關無怖色。孽非自作不思逃。文章藝術元餘事。末節何慚烈士高。右陽伯詞章手可持文柄。政事才堪坐廟堂。衰世此人難復得。豈徒寃死足霑裳。右安世 李器之高岑氣槩詩中見。蘇石風情醉後呈。知己幾人蓮巷裏。生安宗國死猶榮。右叔睢</text>
<title>仁宗大王諱辰感吟</title>,<text>每當聖主昇遐日。緬想忠臣痛哭情。盛德嗚呼今不忘。當時億兆欲無生。樹風庭露詩人感。躍虎騰麟石匠誠。東土何時看至治。千秋志士淚霑纓。諱辰。河西翁。每入山痛哭。蘇齋有詩曰。曉樹風聲切。荒庭露滴頻。余曾瞻孝陵。石物忒精工。問之則曰仁廟因山時。諸石工泣曰。吾王盛德。我輩賤類。無以爲報。敢不盡心殫技於此。其精工盖以此也。</text>
<title>竹背子</title>,<text>絲穿細竹製衣淸。着體能禁暑汗生。當晝卧時還警惰。也同圓枕睡頻驚。</text>
<title>贈李君恭甫 世愿</title>,<text>每遇同舟返。言歸許馬遲。池荷憐幷蔕。階竹喜交枝。氣味秋蟬潔。形容老鶴奇。溪堂疎雨響。隱几見題詩。</text>
<title>東臺</title>,<text>江濶回巖腹。臺高出樹頭。信知爲絶境。每到若初遊。遠岸依依柳。長洲歷歷舟。醉中淸嘯發。坐處半空浮。</text>
<title>將舟歸。疊韻別君範。</title>,<text>牧翁江上岸。漁子溪西頭。出處差殊路。往來常共遊。春風牛背篴。淸夜月中舟。少別猶怊悵。煙波極目浮。</text>
<title>旣望月色甚佳。約隣社諸朋。步出前溪。棹小舟。載簫篴。將出浦口。遂賦一律。</title>,<text>昨宵倚棹江亭前。今夕放舟沂岸邊。勝會賓傾隣社至。淸光月向早秋圓。開篷玉露輕霑幘。出浦金波遠接天。水上故人來有約。洞簫聲裏思悠然。</text>
<title>耐齋墓感吟</title>,<text>昔別溪亭後。詩樽不共遊。荒墳幾宿草。舊宅閴風流。老淚沄沄濕。疎林颯颯秋。徘徊魂彷彿。隨我返驪洲。</text>
<title>洗心臺 臺是趙龍門卜築逍遙處。臺下。又有洗心池。</title>,<text>人去池臺繞石巒。客來秋日坐松間。淸芬秀氣今猶在。雲際龍門數疊山。</text>
<title>李極美 最彦 來宿。翌日任擇夫，金汝仲 時筦，洪望汝 益大 俱會。</title>,<text>七月秋光高樹含。遙岑淡翠坐相參。溪翁向晩來聯席。山客經宵爲駐驂。老境漸知浮世隘。深居難得好朋談。離杯一擧前期濶。楓嶽淸霜萬葉酣。將有楓嶽之行。故末句云。</text>
<title>利川舘。次疎齋韻。</title>,<text>白露前宵降。凉風木葉鳴。行宮瞻御氣。舊板仰賢名。往者宗祊定。何時朝野淸。悲歌撫短劒。秋日倦遊情。</text>
<title>次槎川韻。奉陽智再從兄。</title>,<text>百里絃歌化。吾兄綽有爲。才由誠漸發。威與惠相隨。綠柘連千畞。黃雲覆萬陂。政成知不遠。循吏必來師。</text>
<title>次李士重 沉 投贈韻</title>,<text>已負臯夔業。敢追箕穎風。放情書史外。結友牧漁中。老病無兒子。遊觀倚僕僮。秋懷轉憀慄。匹馬又關東。</text>
<title>次題元靈二老亭詩畫軸末</title>,<text>二老亭高遠勢平。元靈畫裏見分明。流雲似觸懸崖起。激浪疑撞老石鳴。泛泛蘭舟當夕暝。微微沙渚得秋淸。不勞移杖層欄倚。靜聽江風度檜聲。</text>
<title>斷髮嶺</title>,<text>白首三登此嶺頭。欲除疎髮惜還留。平生耿耿君民志。衰晩浮遊未遽休。</text>
<title>萬川橋</title>,<text>馬首穹窿見卧橋。日斜林壑白龍高。光連玉峀相輝映。影倒澄波共蕩搖。累石工纔䂓半月。飛虹勢昔薄層霄。空門不用悲成毁。尙與山樓敵壯豪。舊有飛虹橋。在山映樓前。勢極雄奇。間因暴水圮毁。今夏重造。改名萬川。而處所稍下。䂓制亦遜前。故第六云。</text>
<title>楡岾山映樓。次板上穉和韻。</title>,<text>古寺秋容凈碧流。夕陽山翠映高樓。頻來僧面交新舊。久坐林霏遞散收。薪火空門經百變。滄桑浮世劇千愁。笑他滿壁題名客。名上加題幾日留。</text>
<title>次贈盧君休泰</title>,<text>孝恭爲子弟。忠信接鄕人。然後方無愧。褎衣與大紳。其二聖賢千萬語。無非義與仁。躬厚而薄責。不怨天尤人。</text>
<title>鶴浦泛舟</title>,<text>雍容平正中臺勝。錯落雄奇鶴浦優。等是海山淸絶境。暖風晴日泛湖舟。中臺。卽侍中臺。</text>
<title>金生必泰言君範昔年遊此。時適無月。得一聯曰。沙明疑有月。海濶若無天。仍曰。古人以一句。爲文章名後世者往往有之。吾得此聯。不能足成。置之無妨。余曰。君範哭乎。曰。何至於哭。微笑而已。曰。古有黃元者。登練光亭。得一聯而不能足成。慟哭下亭。其聯傳之至今。今君範笑而不哭。則其聯之不及古人可知也。余卽反其意而步成曰。沙邊元有月。海外豈無天。盖吾遊有月故也。仍問曰。兩聯優劣如何。曰。原聯氣像固好。而步聯氣像。尤明快濶大。余未知其評之果如何。而早晩傳示君範。未知以爲如何也。夜深後與金生。更登沙峯。月色益奇。以和君範一聯。足成一律。</title>,<text>怳惚虛明裏。飛來鶴背仙。沙邊元有月。海外豈無天。篴入秋雲遠。杯隨淥水傳。故人詩警絶。三復意泠然。遠一作杳</text>
<title>宿靑龍山隱寂庵曉發口號</title>,<text>松逕月同行。石林鳥共宿。朝來欲下山。更看雲生壁。</text>
<title>示鐵原倅趙令虎臣</title>,<text>鐵府將軍氣像豪。胡鷹㺚馬獵秋郊。客來携手遊何處。笑指雲山寶盖高。</text>
<title>次贈朗慧上人</title>,<text>向晩肩輿萬木間。禪房三宿出雲山。多情更有寒溪水。度壑穿林送客還。</text>
<title>次槎川贈雲窩韻。幷寄。具進士文湜堂名皆雲窩。</title>,<text>白雲時起不離山。有士深藏松桂間。堪笑遊人歸意遽。不看高士看山還。</text>
<title>到農巖金丈昆季舊墟。感吟。</title>,<text>白雲流水舊時同。破屋荒臺夕照中。巨室盛衰關國運。寒天獨立意無窮。</text>
<title>歸路。重過淵翁舊亭。用前韻。</title>,<text>虎驅居士出窮山。天脫高人禍網間。華洞纔移夫子築。玉樓旋促謫仙還。淵翁壬寅春下世。不見其家慘禍故云。</text>
<title>次趙和叔 明鼎 尋玉屛書院詠思庵文谷畫眞之作</title>,<text>雅望當時有孰過。巍然相業黑頭多。末音半夜承金殿。遺怨千秋咽碧波。詩見愛君心似血。畫傳憂國鬢成皤。請看俎豆同堂地。深水長山更峨。</text>
<title>己未元朝相肱墓疊前韻</title>,<text>汝墳縈蔓草。吾髮白添頭。淚自無聲落。悲應不幾休。野田飛鶴下。丘木語禽留。生意春風裏。精靈此共遊。</text>
<title>再疊</title>,<text>汝弟今成長。汝奴已冠頭。元朝山下會。萬事地中休。老樹鵑聲苦。深崖虎跡留。千年寂寥卧。生者暫來遊。平日所使童奴虎郞者。適到墓下。故首句云。</text>
<title>發酒泉之行。路過州村範友宅。悵吟。</title>,<text>宿昔同遊地。今朝獨過門。春回江上閣。人在嶺南藩。浴鴨雙雙泛。暄禽欵欵言。林風如有意。時入客衣飜。</text>
<title>秋凈上人。楓嶽僧也。再昨年夏。余入楓嶽同遊。昨年秋。又入則凈也適出遊。爲之悵然。今日相遇於此。謂方有戒心。出遊未歸。進一絶。乞和甚懇。臨別次贈。</title>,<text>不道空門有是非。高僧底事蹈危機。浮雲已向他山去。流水何曾故壑歸。</text>
<title>朔寧途中</title>,<text>江堤芳草遠萋萋。樹靑靑葉欲齊。忽覺故山歸思動。杜鵑花落杜鵑啼。其二日午村婆戴饁筐。一兒雙犬共㘅裳。老牛卧齕田夫坐。粟飯花前粟飯香。</text>
<title>禾積淵。疊前遊時韻。</title>,<text>幽詭稱三釜。雄奇數此淵。吾遊今再至。晩契託羣仙。挺壑長松列。臨流巨石連。潛蛟莫輕動。腰下有秋蓮。</text>
<title>金浦郡村。訪洪進士伯祥 有微。拈簡齋韻。</title>,<text>一壑重重樹。樹深精舍閒。客來煙外逕。人在畫中山。麥浪階花畔。湖光野柳間。悠然相忘久。落日鳥飛還。</text>
<title>甲津感古</title>,<text>江都往跡淚凝瞳。人事無臧地利空。一夜北軍飛渡水。百年東土化爲戎。宗祊社稷腥塵裏。義士忠臣烈焰中。擊劒甲津歌激烈。氣橫空外作長虹。</text>
<title>沈寢郞永叔 運煕。自英齋來訪。洞友會者亦十餘人。漁得密魚。以供永叔有詩。却和。</title>,<text>世路身如寄。江臯跡已收。百年雙蠟屐。萬事一漁舟。淥水當杯瀉。靑山入座浮。諸君不遐我。隨處有淸遊。</text>
<title>次或人</title>,<text>中庭雲日意俱遲。木榻蒲茵射會時。一士入門儀甚整。數詩聯紙語能奇。溪光嶽色晴圍筆。竹翠桐陰晩泛巵。吟罷酒闌諸客散。淸軒獨對兩心知。</text>
<title>疊</title>,<text>志學無成見事遲。散材端合謝明時。由來進退憂同切。自笑行藏跡太奇。處處尋山頻理屐。悠悠對酒細傾巵。世人看此多嗔恠。歲晩襟懷有孰知。</text>
<title>喜雨成霖。野田多被水灾。憂歎有吟。</title>,<text>此心無日得安便。悶旱憂霖每惄然。卽見高陵黃漲潦。是曾焦畞赤生煙。聖君親擧耕田禮。野老空懷擊壤年。不寐中宵頻仰屋。東民痼瘼幾時痊。</text>
<title>槎川墨庵 李九畹潔夫號 兩詞老。合席拈韻。各賦三篇。語及不佞。多有不敢當者。聯寫一幅。投來索和。遂步韻還寄。</title>,<text>雨後靑山絶點埃。小舟閒倚野溪隈。釣魚已作江湖侶。慚愧諸公望我來。</text>
<title>射會。次金穉明韻。</title>,<text>穉明新喜射。鞍馬又來東。箭破三庚雨。帿飜一麓風。體直知心正。弦鳴見膽雄。笑索村醪飮。詩成坐席中。</text>
<title>訪洪季友 益三 於寧齋歸路。與諸君乘船。至楊花渡。移上釣艇。月白風淸。興趣悠然。疊前韻。</title>,<text>已負夔臯業。虛生鰈域東。溪山元浪跡。松竹自淸風。學豈身心得。文無氣力雄。孤舟明月在。終老釣漁中。</text>
<title>旣望夜。與諸益泛舟。呼韻各賦。</title>,<text>滿座前年客。褰篷昨夜舟。雲霞微弄月。風露爽橫秋。鱠切銀絲細。杯添綠水流。淸歡不須極。來歲又玆遊。</text>
<title>一源潔夫。次余詩寄來。推重太過。有不敢當。用韻答之。</title>,<text>休退初非志占便。白頭牢落意茫然。新霑恩渥深如海。舊業詩書散若煙。弄翰彎弧銷永日。登山臨水送殘年。槎翁墨老吾知己。發藥誰敎此病痊。</text>
<title>次一源韻。奉沈而天 聖希。○幷小序</title>,<text>昔兪㵢溪以成廟朝名臣。乞郡爲居昌守。未幾得哦詩不輟之考而居下。其時人稱按使之至公。亦不以此貶㵢溪之高。今而天爲關東伯。以觴政不節。置洪川守安國賓於下考。其貶目頗近於㵢溪所得。而吾黨君子。往往病國賓之疎脫。短而天之迫切。李一源至以詩䂓而天曰。朝來咄咄不能停。篤厚風流憶漢廷。多事吾家嶺東伯。何嫌人醉泛波亭。其事相近。而譽毁不同。豈古今時世異耶。抑人有不及而然耶。遂次一源韻奉而天。兼示國賓一源。使各省勉焉。哦詩不輟飮不停。成廟名臣又明廷。按使公評雖下下。使君高致自亭亭。</text>
<title>次君範請由還鄕時舟中之作</title>,<text>浩浩長江水。遲遲短棹行。淸秋辭鳳郭。落景指驪城。歲歉憂民意。詩成戀主情。相逢篷底話。時事更心驚。</text>
<title>到君範宅拈韻</title>,<text>牧谷先生返故林。黃驪江上已秋深。自知供世無長策。且喜登山愜素心。魚峀雲霞籠壁翠。鳳臺楓菊映松陰。行看月色淸空滿。野友溪翁並馬尋。</text>
<title>示李君九成</title>,<text>之子海中秀。遠來秋已凉。眞同魚徙北。復作鴈隨陽。丹桂花新發。靑雲路更長。南珍稱橘柚。每歲貢君王。李新登島科。科題是橘柚錫貢故云。</text>
<title>範友來宿。說其亭字詩。卻次。</title>,<text>岧嶤飛鳥檻。瀟灑退漁亭。出處同心素。逢迎輒眼靑。園通雲靄氣。逕接菊梅馨。聯枕日高起。夜來雪滿庭。飛鳥。範之軒名。與吾居相隣。</text>
<title>東臺觀獵</title>,<text>寒雲乍捲日輪紅。雪峀氷江慘淡中。醉向東臺高處坐。笑看蒼隼擊華蟲。</text>
<title>遊隱庵日。聖章與我詩。卽用放翁己未冬韻也。詩曰。樂處須觀志。如君出凡曹。探奇無遠近。佐酒雜腥臊。遐遁今時少。風塵此着高。功名亦何物。適意是英豪。其奬語近戲。非拙劣所敢當。而詩格豪宕。想見其人。重披諷詠之餘。更步其韻。寄聖章。</title>,<text>我愛南川守。自非流俗曹。恢疎絶畦畛。淸瘦洗脂臊。好友樽前滿。寒山屐底高。重看贈余作。遒宕亦詩豪。</text>
