<title>丁未八月。夷山邑人來送于終浦驛。口號贈別。</title>,<text>邑子隨我來。送之終浦驛。臨分不忍分。相對淚雙滴。</text>
<title>送徐叔觀 文徵 之任寧越</title>,<text>蕭條古郡嶺湖交。危磴連雲險似崤。琴閣日長無客至。席門苔鎖有僧敲。海松崖蜜供朝饌。野鹿江魚入夕庖。會看秋來攀桂喜。一官寧肯繫瓜匏。</text>
<title>贈四美亭主人 亭主。麻田禹姓人。</title>,<text>處世身名貴兩全。參同不必更求仙。柳梅得意爭春地。松竹宜看積雪天。爽氣寒聲俱不俗。風繰雨綻自成姸。主人對此無餘事。客至惟論酒聖賢。</text>
<title>讀書。次退溪集中韻。</title>,<text>半生螢雪作書淫。黃卷靑編細討尋。每到有疑勤致意。或逢多事輒關心。只緣衰病年年甚。未得功程日日深。咀嚼熟來方覺味。絶韋宣聖夙余欽。</text>
<title>求志。次退溪集中韻。</title>,<text>勇爲恒慕問強由。中道須懲自畫求。不如大舜吾猶病。未免鄕人聖亦憂。平地風波無放楫。世途傾側早旋輈。收心養性眞儒事。身外虛名捴是浮。</text>
<title>送沈一哉 極 之任吉州</title>,<text>九重宵旰軫邊艱。妙簡時英輟從班。獨坐霜威留栢府。先驅雷令振楡關。印封鈴閣奸民息。皷卧譙樓戰卒閒。今日送君還自笑。草玄空得鬢毛斑。端州城北是雄城。白草黃雲際海平。可但懷綏威醜類。也須摩撫慰疲氓。尹公偉績先春嶺。金相宏䂓節制營。弧矢由來男子志。莫敎專美古人名。</text>
<title>寄甲山府伯趙嶷望 世煥○丁未正月二十七日。江字沒韻。</title>,<text>趙侯名世者。國士亮誰雙。勁操凌朱汲。雄才邁葛龐。學勤恒矻矻。交信豈悾悾。大業常期稷。良臣不願逄。詩成鸞鳳翥。章罷鬼神𢥠。鵬翼風斯擧。龍文筆獨扛。專城輝皁盖。半刺佐油幢。騎省才多譽。烏㙜直不降。一麾分百里。孤堞接三江。政洗當今陋。風回大古厖。圄空休犴狴。訟息寂喧哤。野有春馴雉。村無夜吠狵。劒藏塵閉匣。旗卷雪封杠。月滿看弓掛。烽消絶皷摐。琴鳴人伴鶴。珠返礫同玒。對酒開東閣。哦詩卧北窓。已知金却密。寧使寶迷邦。歎我遭遷逐。佩蘭雜𦶜茳。光陰徂荏苒。關嶺隔崆㟅。憔悴行吟澤。慚羞叩謝瀧。竆途惟短簡。虛壁只殘釭。棲棘曾非所。逃蓬卽喜跫。髭鬚驚皓白。形貌覺䏺肛。舊誼論膠㓒。新逢拔枿摏。剪燈消永夜。扶杖踏平矼。刎頸交如水。知音響應谾。决疑猶燭照。發難若鐘撞。樂事欣連袂。悲懷吐滿腔。韶華靑映陌。春釀綠盈缸。花逕期同屐。烟波擬共艭。氷開泉脉動。隨處聽淙淙。</text>
<title>挽趙判書 珩</title>,<text>光岳精英降。乾坤氣化敷。文草是餘事。經術爲時須。大度寬而栗。深藏有若無。妙年登桂籍。平步上雲衢。學裕經帷綴。才饒翰苑輸。天郞紆聖眷。地望協醇儒。運際風雲盛。身涵雨露濡。星軺馳馹馬。日域泛檣烏。陸槖嫌疑遠。張槎眺望迂。從容侍丹陛。謇諤伏靑蒲。密勿司喉舌。廵宣擁節符。下鞲驚燕雀。當道懾狸狐。京兆今穪趙。士師古有蘓。周官大宗伯。漢代執金吾。綱紀多風裁。儀章襲典謨。銓衡宜冢宰。槐棘合公孤。鴻擧猶逢繳。龜靈未克刳。飄零落霄漢。彳亍困泥塗。北關星辰隔。東郊歲月徂。竆通隨定分。鎚鍛任洪爐。險阻甞之矣。蹇屯命也夫。誠猶憂國切。身不要人扶。坦蕩看時化。沉冥與道俱。百年期永久。二竪遽纏紆。木稼高官怕。山頹喆士殂。濟川嗟失檝。支廈痛傾桴。論道班仍觖。從心壽僅踰。典刑今寂寞。天地卽榛蕪。福善元常理。貽謨信豈誣。鶴曾悲墮卵。鳳更喜將雛。坦腹東床俊。承家千里駒。葛藟綏福履。瓜瓞固根株。投迹慚微分。登門謁大巫。幈幪叨廕厚。吹奬荷恩殊。幾歲陪遊密。中年厄運拘。垂仁憐挫揠。理枉辨錙銖。朔雪關山外。炎風大海隅。始終勤餽貺。存問慰憔枯。聖澤寬猶活。高軒許更趍。承㐫悲舊蹟。感德想前撫。何處翻埋玉。無緣泣報珠。一生長景仰。萬事盡嗚呼。故宅荒蔓草。新阡慘梓梧。漬綿違一哭。題輓淚盈鬚。</text>
<title>辛丑北征時。行至永平。有山明秀。有水佳麗。頗奇絶。余謂此地。實宜古人所棲遲。恨余之失脚紅塵。未免爲名利所驅使。至有此行。尙誰咎哉。路人指其地曰蒼玉屛。故相國朴思菴之別業。余廼瞿然。自愧古人之不及。而又喜古人之先獲也。爲製四十韻排律一篇。</title>,<text>宣廟治平四十蓂。群龍濟濟滿王廷。思菴德業三朝老。宰相風儀百辟刑。天上石麟行一角。人間仙鶴整離翎。初從陶叟蘭薰室。晩友坡賢釰發硎。丹陛牽裾恢直氣。黃扉補衮用文經。四方矜式如山斗。萬古精忠貫日星。元聖曁湯恩及獸。姬公協武化空囹。庇民敎澤猶時雨。華國文章若走霆。履盛由來招斧鑕。乞休端合退郊坰。浮雲富貴黃粱枕。別界烟花綠野亭。論道廈氊方鵠立。拂衣邱壑忽鴻冥。朝嵐帶翠呈新態。時菊含黃保晩馨。白愛團沙還展席。靑憐遠峀屢開扃。盤中美味供香蔌。石上窪尊剩綠𨤍。月印淸潭金作鏡。日斜蒼壁玉爲屛。閒忙異路要須適。毁譽多端不欲聆。竹露沾身侵几案。松風灑面入窓欞。江湖廓廟先憂樂。溪老園翁共醉醒。隔岸漁樵來藥圃。近檐鷗鷺宿蘭汀。滿山景物菟裘勝。盖世功名鍾鼎銘。御札頻煩詢得失。中官絡繹問康寧。邦家倚重憑蓍蔡。活計蕭條長茯苓。龍去白水鰌鱔舞。鳳藏丹穴羽毛零。雲泉無主遺餘迹。烟月多年尙舊形。夙歲聞風歆德義。今朝訪古想英靈。行人指點回車式。騷客沉吟立馬停。老樹扶踈陰斷岸。殘花飄盡落虛廳。村墟寂寞誰憑問。澗壑潺湲豈忍聽。覽物只增興感慨。撫躬還切泣伶仃。離家幾夢池生草。戀闕空歌隰有苓。陟屺愁看烏哺母。倚門應憶鯉趨庭。掛冠早作投林鳥。受玦寧爲泛水萍。直北關山天外白。終南崧岳日邊靑。歸田宿計終何就。去國行裝任所丁。屬耳恍如聞警欬。折腰久已厭膻腥。昔人去矣悲難作。俗客徒然悔未惺。丹荔黃蕉堪薦席。桂漿椒酒僅盈甁。凄凉舊宅荒三逕。冥漠神交付百齡。酹罷風前膓欲斷。徘徊路傍日將暝。他時更擬尋芳躅。還愧撞鐘以寸筳。</text>
<title>雪夜訪趙普 丙寅八月。文臣庭試第三。</title>,<text>騰六飄蕭灑玉塵。沉沉鐘漏報重宸。政要禹甸三邊靖。捴入堯眉八彩顰。長夜不遑怡枕席。親臨要得備諮詢。異香夾馬眞人出。瑞日陳橋赫業新。千載應時天啓聖。百年名世岳生申。削平區宇憑誰力。蕩掃要荒仗是臣。運箸幄帷恒接晝。退朝風雪或當晨。彈丸已視囊中物。鼾睡寧容榻外人。耿耿宵眠方輾轉。疎踈纖屑忽紛繽。勞心正急安危計。屈己仍勤剝啄頻。門外龍顔勤竚立。庭前牛目積嶙峋。褰衣倒屣迎天步。喚婦行杯設地茵。虛佇久知皇眷注。寵臨寧憚聖躬親。訏謨密勿都兪美。樽俎雍容氣象眞。炎漢宜先綏百越。頑苗自可格三旬。披圖計秘元功禹。贊業謀奇六出陳。天地已應回運泰。雲雷終見濟時屯。延英謾自論治理。宣室徒然問鬼神。從古未聞謀則就。秪今猶想德無隣。可憐金櫃渝盟日。臣節由來未甚純。</text>
<title>次海西伯申 曅 季暉和金祉膺韻 代海牧作六十韻</title>,<text>按使風流藹若春。妙年聲譽蕩無垠。軒騰氣岸超先輩。灑落胷襟絶俗塵。翮擧靑雲鷹眼疾。汗流朱血驥蹄伸。當筵酒不論賢聖。落筆詩能泣鬼神。蓮榜題名魁甲乙。桂林通籍冠簪紳。輕裘緩帶堪方祜。投轄留賓不讓遵。翰苑草綸推地望。笋班聯璧見天倫。鳳鳴烏府趨丹陛。豹直鸞㙜控紫宸。藝苑世皆稱領袖。鼎司人共待經綸。箕裘赫業光前烈。喬木名家有世臣。夢叶商宗天賫弼。詠騰周雅岳生申。恩敷峽邑王鳧遠。化洽登州魯雉馴。佩犢令嚴追龔遂。射彪才拙笑裵旻。珮聲暫輟鴛行裏。玦泣纔收雊澤漘。可使在山資虎豹。肯敎行地困麒麟。分符正急藩維重。按闑俄看拔擢新。使者登車思激濁。將軍授鉞合穪眞。陽和惠布群情悅。宵旰憂寬聖語諄。待士志勤恒置醴。傷時誠切細傾醇。權宜借冦從民願。渥寵徵黃不日臻。列郡謳歌三月化。烝黎謠頌二天仁。軍容載色須精鍊。政瘼先除務廣詢。興學育才爲己任。勸農觀稼以時廵。預儲公帑需西价。每倚危樓望北辰。掃閤日懸徐子榻。看花時碾衛侯輪。幄中記室韜鈐肅。帳下佳人粉黛均。培植儒風敦孝悌。導齊氓俗返眞淳。神交東海揚鷹老。節慕西山叩馬人。應著懿休垂編簡。堪留芳躅記貞珉。祥輝瑞世翔千仞。健筆磨空敵萬匀。淸烈也須追後漢。高文可但壓先秦。彭彭獵騎圍狐兎。孑孑干旄訪隱淪。文憲生徒今古盛。石潭祠廟栗牛純。崇賢聳見芬芳薦。象德欣瞻道義親。賤子魯愚才轉拙。名途彳亍迹還屯。憀憀意緖無竆境。忽忽年光有限身。槐院幾隨朝士後。夏曹還與夕郞隣。完山佐幕廵湖遠。萊舘和戎並海循。松岳雲烟飛屐遍。薩江風雨叩舷頻。持身敢擬膓如鐵。憂國空嗟鬂若銀。斗米折腰長束帶。簿書堆眼却埋巾。自慚北叟能知命。何異東施謾效顰。連歲旱乾哀顑頷。是年潦水足悲呻。已聞御寢非安丙。矧見民飢實慘辛。不妨敎坊開玉齒。又停魚戶貢銀唇。庸才駑劣誠難理。弊政牛毛可重陳。始識聖君要愛育。幸敎賢使任宣旬。承流快覩觀風化。謔浪叨參入幕賓。華什唱酬眞勝事。盛筵陪賞亦良因。托交不肯論崇卑。較藝何曾闘富貧。朝宴閣鍾恒報午。夜吟街皷或傳晨。春晴月浦催漁艇。秋晩烟汀理釣緡。促膝開懷慚割席。剖肝輸膽喜傾囷。瓜期遽熟西溟外。芝盖將催東洛濱。蔽芾已留棠樹詠。璠璵合置廟廊珍。鷽鳩敢笑垂天翼。魚鱉難攀躍海鱗。祗願輔成吾主聖。可能均惠此州民。想勞䰟夢天涯月。各保心期雪裏筠。此日臨岐悲判袂。何時叩閤忝同茵。長篇寶唾猶留篋。雖恨兼將喜氣津。</text>
<title>孝宗大王遷陵挽章 代姜掌令時儆作</title>,<text>緬憶龍飛見在天。河淸泰運屬千年。高明博厚乾坤配。精一危微舜禹傳。微辭隱義春秋統。至道玄功造化權。勤政垂衣圖至理。養心開閤引羣賢。每痛齊王千里畏。還嗟漢業一隅偏。曾聞綵室神龜現。佇見岐岡瑞鳳翩。鼎水豈料遺釰遠。梧邱已報築珠堅。楚山灓齧神無佑。防墓封頹慟益纏。白虎精騰宜改卜。黃驪地吉合新遷。松杉慘惔秋風裏。仗衛凄凉曉日邊。寸祿當時承雨露。微忱未有答埃涓。攀輴更切無竆痛。直欲將身試九泉。</text>
<title>辛丑四月十七日。發向配所 甲山。作離膝下詩。</title>,<text>逐客今朝發。行邁出東門。上隔君臣義。下辭父母恩。溫凊違冬夏。定省曠晨昏。脉脉暗斷膓。黯黯潛消魂。臨岐不忍別。無意傾壺樽。嚴君執余手。丁寧垂格言。酒色戒沉湎。詩書勤討論。慈親撫余背。訓誨何其敦。飮食節飢飽。衣服適寒暄。小子拜傴僂。書紳不可諼。敢擬謝庭樹。自愧劉家豚。孝慚養志曾。罪大絶裾溫。臨行語吾弟。陪侍惟汝存。左右不離側。朝夕加盤飧。天高必聽卑。白日照覆盆。何用浪戚戚。我罪終見原。語竟忽分携。悵望聲暗呑。悲風暮慘惔。落日愁雲繁。忽聞反哺烏。林下恣飛翻。人而不如鳥。嗚咽拭淚痕。</text>
<title>別三兒 公北征錄云。膝下有三兒。長兒留置親家。次兒以痘患。送之景司果起昌家。使順婢救護。女兒送之岳丈家。處處分散。情懷不能自堪也。</title>,<text>嗟余有三兒。鍾愛固無比。虎兒十一歲。今年纔齓齒。失學任怠惰。始解讀書史。路遠不得將。親庭可依倚。豹兒始六歲。精紳烱秋水。瘡疹忽遍體。呻吟卧不起。症情不甚重。聞來頗可喜。扶將善調護。丁寧語家婢。女兒今四歲。顔色如花笑。言語澁不滑。行步動見躓。今日背將去。送之仁州地。仁州有聘君。愛恤無不至。左握吾子手。右把吾女臂。嗟爾二三子。此別三千里。父子不相保。兄弟亦分異。何日重相見。慘慘不忍視。癡女不解事。出向庭前戱。大兒頗惜別。見余時下淚。啼號挽我衣。願言同去矣。詭辭以慰之。吾今豈舍爾。明夕吾當返。待我中門裏。言訖上馬別。落日千山紫。</text>
<title>宿魯陽驛</title>,<text>午發靑門外。夕抵魯陽驛。荒村八九家。凄凉傍山麓。西挹洛陽城。北控楊州郭。籬邊牟麥黃。野外桑麻綠。主人見客至。引我中堂宿。手擷山蔬嫩。急炊黃粱熟。老翁前致辭。慇懃慰遠謫。官乎莫歎嗟。行李須努力。皇穹本無偏。寃枉終見釋。禍福固有定。窮達任所適。竆餓乃增益。不困惡能激。余乃拜以謝。汝言良可則。天明還獨去。默默三歎息。把筆記其言。日後當警惕。</text>
<title>丁未二月十三日。春寒太酷。次昌黎苦寒詩韻。投寄夷山府伯趙嶷望要和。</title>,<text>我性苦懦弱。疾病還相兼。小少學詩書。所得亦已廉。倀倀枉一生。自道言非謙。自慚席上珍。未脫囊中尖。榮辱已飽更。世味知酸甜。姻婭乏援引。朋友少鍼砭。先壠寄狐兎。旅寓送烏蟾。况此竆髮北。祝融所未覘。四時山長雪。五月天無炎。風霜日相侵。雨露無由沾。時當仲春月。朔飈利如鎌。得詩欲自寫。筆凍不可拈。開卷欲一吟。口合如有箝。縮手垂在袖。誰復整書籤。夜卧衾似鐵。背若芒刺添。晨興霜滿壁。絮破衣無縑。巨野鳥獸絶。大澤魚龍潛。麋鹿泣墮角。虎豹愁脫髯。毛寒牛馬縮。穴蟄昆蟲殲。茫茫宇宙內。不復論洪纖。羲和慘徘徊。白日爲之淹。堂中燒榾柮。解衣如就燖。噫噫大寒後。陽春吾已占。天覆而地載。於人固無嫌。大德日生成。萬物均盖苫。吾王誠至仁。瀚海鯨波恬。垂衣正南面。聲敎極東漸。前星動光彩。拭目欣共瞻。周庭獻熬雉。禹貢輸絺塩。燮理有賢良。壅蔽無邪憸。明府新下車。閉閤長乘簾。訟庭日無事。寂寂鳥舞簷。人皆樂得所。我獨如黐黏。壯志已蹉跎。有如霜摧蕪。排閽欲訴寃。攝衣前後襜。恩綸倘許歸。受凍死亦厭。</text>
<title>箕城歌 三首○箕成。平海別名。</title>,<text>大醉箕城酒。却憶漢江魚。醒時已卓然。醉後還自如。只恐轄投井。不得頻迴車。楚澤㤪獨醒。齊舘歌無魚。還醉故人酒。消渴笑相如。遠客荷深眷。相依成輔車。故人有知音。寄我雙鯉魚。詩分雅頌餘。情與管鮑如。題詩謝嘉貺。竆陰埋日車。</text>
<title>正朝自漣川歸路。宿金掘寺。贈信梅上人。</title>,<text>積雪埋山逕。白日行欲滅。閒尋寶筏界。靜聽沙門說。諸天雨花外。而無車馬轍。東來指柏意。一燈千江月。</text>
<title>擬李太白門有車馬客行 課製</title>,<text>白馬誰家子。淸晨叩我門。呼童出迎客。大車何啍啍。旣非卿相貴。亦非公侯尊。乃是舊親友。引坐掃晴軒。別來歲幾周。握手道寒暄。請君且莫飮。聽我辛苦言。少小讀書史。志氣橫乾坤。居然事大謬。漂流辭故園。荒徼禦魑魅。水國傍鼉黿。歸來萬死餘。寂寞卧荒村。風塵黑貂弊。鬂毛白雪繁。傷時似袁安。惜老同虞翻。窮巷轍迹稀。空庭鳥雀喧。落拓莫我知。欝悒與誰論。唯餘篋中筆。爲君強復援。</text>
<title>梁園授簡 課製</title>,<text>梁王所見大。父兄皆帝尊。出入稱警蹕。要以詑諸藩。秋月鴈池。春風脩竹園。三千躡珠履。長裾曳王門。是時雪壯哉。白玉堆乾坤。君王興不淺。墨客藹雲屯。末至者誰子。相如才思繁。請爲寡人賦。落筆天地掀。置酒恣懽謔。複道歌鐘喧。繁華不終朝。意氣安足論。平㙜氣蕭瑟。遺迹無復存。客來爲一吊。千載徒傷魂。</text>
<title>開宴得月 課製</title>,<text>黑雲垂地撲不開。天色慘慘風色變。入眼江山晦秋景。滿空星月藏新面。別駕詩力健於風。佳勾吹徹雲爲卷。太守得詩如得寶。命賓留客張華宴。俄項月出東山上。皓色盈空如素練。滿堂燈燭失光彩。哀絲急管促華饌。衆賓齊醉樂未央。却嫌東方曉色遍。</text>
<title>丁未春。得長篇一首。奉呈甲州府伯趙嶷望 世煥。 盖惜春事之未闌。悼流年之易暮也。</title>,<text>君莫道白髮有公道。白髮先使愁人老。君莫道東風不世情。靑春偏向侯家早。逐客頭上最先欺。玉門關外尤來遲。七年棄置關塞外。年光忽忽如風馳。祗今年才四十歲。兩鬢華髮星星垂。三年泣血眼仍昏。摩挲白黑渾可疑。十載頭風耳偏聾。聞語不應還如癡。視舌那免室人慍。撫躬空憶少年時。欲待春風強作歡。朔氣贔屭猶冬寒。閉門呼兒鑷白髮。精神寂寞堪長歎。我王一視無遠邇。借冦要使蘓疲殘。我侯爲政春有脚。黎民皷舞邊封完。况我與子舊相識。白頭靑眼欣相看。對飮令我病脚旋。同吟使我愁心寬。咽耳笙歌白髮黑。促膝談笑靑春逼。論交自是無老少。得意何曾有南北。自我不見今幾日。堂前五落堯蓂葉。累容覊縶不能出。訟庭喧呼安敢入。佇待初夏山花發。着處巖巒理步屧。雪窓吟詩詩意長。江山爲我回春色。</text>
<title>又次前韻。奉呈要和。</title>,<text>趙侯爲政有古道。淸凈要非學黃老。琴軒晝靜朱墨休。戴星誰煩勤暮早。次公神明民不欺。報政何待三年遲。况復文章逼風騷。詩成筆落風霆馳。今朝報我一篇詩。滿紙金薤琳琅垂。語高旨深讀未曉。心惟口詠猶可疑。牛鐸黃鐘自異調。寸莛撞皷寧不癡。念昔長楊獻賦日。苦樂榮枯各一時。謫居多年苦無歡。竆荒剩帶風霜寒。看雲幾度白日眠。步月空自淸宵歎。丹心一寸老未折。枕邊哀淚痕猶殘。旅舍荒凉客衣單。皮肉凍皴肌無完。擠井下石古亦然。豈免竆途白眼看。此日相逢豈偶爾。下榻偏承禮數寬。夜酌不覺殘月黑。午話還忘暮景逼。上元開筵羅衆賓。朱翠照燿堂西北。風前玉笛落梅花。月下金樽浮竹葉。竆愁已向醉後失。耳熱不怕寒威入。若使連日醉無醒。我當預具隨春屧。太常淸齋數日近。佇待芳春明月色。</text>
<title>余久病。太守爲余設饌。邀余勸之酌。醉飽歸來。偶閱老杜詩卷。得病後過王倚飮一篇讀之。乃覺其太守用心。與王倚異世相符。故次其韻。以申謝意。</title>,<text>吾聞君子之出處。用舍行藏時隱見。阸竆遺佚有不憫。千駟萬鍾何須羡。我今放逐六七年。疏食短褐窮且賤。豈無萬端愁緖亂。唯有千匀筆力健。塞外江山入詩囊。白頭靑海吟哦遍。况逢吾子迭相和。墨兵屢挑騷壇戰。邇來多病鬼爲祟。呻吟伏枕淚如綫。詩書久拋牀有塵。糲飯不進盤無膳。昨日書來邀我去。初筵秩秩羅珍饌。鳳笙龍管協簫韶。歌衫舞袖輝文練。長城客子時在席。節度褊裨亦與宴。一盃已令宿疾愈。三盃斗覺淸風旋。窮途罕逢開口笑。今日偏蒙故人眷。醉後長吟工部詩。王倚之後君始見。</text>
<title>昔杜子美寓同谷縣。作七歌。宋文信公拘於燕。踵作六歌。甞悼古人之不辰。余遭此患。遠流塞外。上念君親。下戀弟妹。又思子女。懷不能自抑。演作十歌。聊以寫懷。非敢擬古之作者耳。</title>,<text>有君有君堯舜聖。端拱九重納諫諍。柄用儒術會精神。明良一堂風雲慶。昔在銀㙜近御筵。文明聖德光輝盛。卽今棄置天一方。孤臣血淚如泉逬。嗚呼一歌兮歌始激。更願吾君無疾病。有父有父年六十。喪患兼將衰病入。庭闈早承詩禮訓。幸忝科第能成立。受玦今來曠晨昏。追愆血泣嗟何及。昨日書來訓戒嚴。覽之不覺衣衫濕。嗚呼二歌兮歌二放。悲風送雨西來急。有母有母在高堂。劬勞恩深那可忘。一日離家苦相思。况在千里遙相望。塞外風高歸鴈稀。倚門落日愁彷徨。身上弊盡手中線。寸草未答三春光。嗚呼三歌兮歌三曲。白雲漠漠天茫茫。有弟有弟字季膺。同衾夙世追姜肱。前年喪耦獨孑孑。居處冷落寒如僧。急難空詠在原鴒。變化佇見搏風鵬。書成數百遙寄余。携來案上忘寢興。嗚呼四歌兮歌四唱。論文幾日挑殘燈。有妹有妹在隋城。飢寒疾病苦相幷。憶昨啣命向湖西。路遠不得相逢迎。至今遺恨徒欝欝。天涯遠望愁庚庚。聞道春旱牟麥枯。十口何以能全生。嗚呼五歌兮歌五轉。相思不見涕縱橫。有嫂有嫂早惸嫠。膝下只有呱呱兒。獨在空閨守孤貞。生理蕭條眞可悲。依倚相期與同居。撫恤不啻弟在時。豈知今日遠別離。忽憶母女相抱持。嗚呼六歌兮歌六奏。江楓颯颯山月窺。有妻有妻糟糠妻。十五年來共提携。簞瓢屢空苦食貧。耳邊幾多聞勃磎。今來北塞三千里。首如飛蓬面黑黧。日夕相對慰寂寞。猶勝獨坐愁凄凄。嗚呼七歌兮歌七發。隴水咽咽鳴寒溪。有子有子掌上珠。五色人穪鳳凰雛。小兒六歲始經疫。大兒十歲始讀書。不見吾兒已三月。問事何時競挽鬚。夢裏猶聞喚爺音。床頭怳見牽衣趍。嗚呼八歌兮歌八闋。反哺林烏尾畢逋。有女有女吾所愛。淸揚婉孌含嬌態。良知良能自孩提。應對不待煩敎誨。兩髦垂額語琅琅。或置之膝或負背。別來三月一消息。眼中依俙戱庭內。嗚呼九歌兮歌九成。靑山一抹橫翠黛。有客有客菁川人。一生喜怒任天眞。十年燈下讀古書。立揚由來期顯親。明時負罪甘落拓。壯志欝欝安能伸。退之愁擁藍關雪。屈子悲吟湘水春。嗚呼十歌兮歌終曲。一竿斜日低蒼旻。</text>
<title>箕城八詠 上篇次徐四佳韻。下篇次成虛白堂韻。並仝。</title>,<text>海棠花開映重重。紅暈倒波驚魚龍。千年枝葉老不長。萬點腥血凝鬆。江南遊客馬連嘶。落花紅雨隨霜蹄。沙禽多意管繁華。飛去飛來盡日啼。白沙靑松滄海滸。烟濤雪浪相呑吐。海棠無數撲地開。狂風拂樹翻紅雨。客子行行楚澤邊。海山風物輸吟韉。醉來却傍花叢卧。仍與白鷗相對眠。右海棠岸長堤白沙平如罽。赤甲蒼髯分巨細。東臨滄海浩無邊。銀山玉峰撑天際。夜半時聞吹玉簫。驂鸞駕鶴皆仙曹。蓬島三千此可登。却笑方朔空偸桃。古亭臨海環蒼官。五月疑有淸秋寒。十萬釰戟森成行。平沙遠近何漫漫。黑入太陰雷雨晦。月色來照金光碎。蓬萊仙子半夜遇。金節羽衣鳴環珮。右越松亭雲梯石棧臨海隄。上山下山路高低。我自眞珠峽裏來。蒼崖萬仞愁攀躋。寸進尺退步步僵。行人安得騎成行。君看世路險於此。人間隨處皆羊膓。巉岩鳥道連高岡。十步九僵驚心膓。人間何處是坦途。平地咫尺皆太行。憑崖歷井坐垂脚。俯視滄溟如一勺。艱難險阻已備甞。得失不足爲憂樂。右鳥道棧關東勝景此爲㝡。登高遠望環海外。始信茫茫天壤間。海之爲物惟㝡大。我欲因之訪丹邱。共踏三山與十洲。復傾東海添滿盃。手折扶桑爲酒籌。東海茫茫接東極。海中三山萬古色。大魚穹龜互出沒。天空落日波濤白。須臾夜靜月吐光。灧㶑萬頃翻珠芒。時有淸風駕兩腋。飄然直欲窮扶桑。右鯨波海海上蒼巖欝嵯峨。高㙜突兀凌滄波。扶桑咫尺見出日。半天明滅蒸紅霞。雲間隱隱見蓬島。中有不死之仙草。安得長風破巨浪。百年長往竆幽討。望洋亭下臨漪㙜。何人削成磨崔嵬。漁舟出沒雜鯨鯢。波濤日夕銀山堆。赤城玄圃杳何許。瑤花琪草迷仙嶼。遙想仙人不我遐。輕帆擬向三山去。右臨漪臺三山何處有仙家。銀漢元通滄海波。年年八月十五夜。萬古來往浮仙槎。我欲乘此窮靈源。淸都紫微追羣仙。人間有累不可升。仰視只有蒼蒼天。望槎亭上乘槎客。幾年携取支機石。客星夜犯紫微垣。天上人間元不隔。人事無竆生有涯。百年飄忽如風花。望望仙槎終不來。何由得見天孫紗。右望槎亭翠壁丹崖如削鐵。中有萬古黃金刹。一道飛瀑掛玉虹。白日靑天灑晴雪。凈界何曾俗客到。白雲滿地無人掃。欲將遺世浩然去。何處三山連海嶠。崎嶇石路迷烟嵐。十里巖壑多松杉。百尺觚稜拂斗極。丹碧照耀明星龕。中有高僧友麋鹿。野蕨山蔌生事足。我欲從渠棲此間。世路近來多屈曲。右通濟庵火精排山霹靂掀。溫泉上下開靈源。帝使九龍煩呵護。銀甃玉竇無塵氛。一勺能使沉疴痊。再浴可以登神仙。我有詩癖苦未醫。便擬從今頻濯湔。陽德潛運陰火焚。瓊漿玉液通靈源。煖霧蒸霞漲巖谷。秋氣不敢侵山根。令人一浴如中酒。排寒不須煩薪槱。平生苦披烟火惱。澡雪將期洗塵垢。右湯沐井</text>
<title>戊申二月十三日。箕城偶吟。箕城。平海別號。</title>,<text>釜谷山下素農谷。依山小村連官路。東臨大海浩無邊。波濤白日喧雷雨。北林松竹欝成行。滿園蒼翠紛無數。西有山壠斷復連。丹碧煇煌開廟宇。南望馬巖壓平郊。累累峰巒如塚墓。客堂寥寥悄無人。誰爲佳辰覓濁醑。風流太守邀我去。一席東西作賓主。訟庭無事朱墨休。黃簾綠幙開朱戶。肴盤狼藉雜水陸。笙歌左右羅妓女。醉後起立拂長袖。慷慨尊前不成舞。平生已作聖朝棄。此身分甘漁樵伍。壯氣輪囷尙不死。高歌擊劒虹光吐。歸來蝸舍獨無眠。不覺譙樓傳五皷。血泣追愆竟何補。沃沃無知羡萇楚。傍人應笑苦如此。獨自欝悒誰與語。鄕關迢遞信不通。水複山重杳何許。箕城古穪形勝地。風景信美非吾土。愁來扶杖叩禪扉。時與老僧話禪祖。鵝溪題壁見遺迹。俛仰乾坤易今古。謾把幽懷繼而和。一篇題罷春日暮。</text>
<title>南丈 汲 挽</title>,<text>先人杖屨舊遊處。某水某邱渾如故。十餘年來人事變。疇昔同游幾人在。公家兄弟尙無𧏮。髭髮不衰猶骯髒。豈知㐫音一年俱。人間萬事堪嗚呼。我時來自古靺鞨。病卧長安十日雪。執紼情乖恨何極。作詩挽公涕沾臆。</text>
<title>次李白襄陽歌韻。送襄陽太守柳 椐 之任。</title>,<text>我昔行過翼峴西。羸驂倦僕歸路迷。何處千年習家池。誰家一曲白銅鞮。洛山形勝擅關東。靑莎白石凈無泥。䧺盤西北山皆骨。眼豁東南海一盃。山僧邀我飮我茗。異味不减春風醅。棃花亭畔暫徘徊。金沙細路連東臺。當時誰識長沙賈。至今尙慙南昌梅。物外悠悠魂夢勞。人間忽忽年光催。此地君今作宰去。遙賀江山傾酒罍。仙鳧飛穿碧霄雲。蠟屐踏破靑山苔。已覺仙區引興長。何須惜別令心哀。我今抹摋與世違。但將詩勾煩敲推。聒耳安用有耳鐺。風塵逐逐秪勞生。我欲隨君拂衣去。更聽半空笙鶴聲。</text>
