<title>題畫</title>,<text>寒鴉啼日夕。風浪急前灘。漁舟將早泊。何處賣魚還。</text>
<title>[次]</title>,<text>次贈默守學士歸國 金陵張可度別有神仙府。迢迢瀚海東。賢王能捧日。仙使善歌風。帆影來江綠。干旌去路紅。今朝晴雪畔。爲爾惜離鴻。漢宮春色麗。梅柳海雲東。星聚層霄上。詩留畫閣中。倚天無俗韻。報國有心紅。試看臯夔傳。應知異地同。方鼓東牟楫。旋觀樂浪濤。新鶯啼亮節。寶馬共賢勞。筆墨山陰派。文章玉局豪。言歸伊國裡。簪紱任遊遨。次邂逅張公子。相離蓬島東。暗香梅塢月。春色柳橋風。驚浪舟前白。衰顔醉後紅。鍾山如畫裡。須問海天鴻。未赴勤王會。空留地盡東。歸帆滄海外。望眼暮雲中。客鬂添愁白。官梅得雨紅。百年三尺劒。報國此心同。</text>
<title>不佞㘅機籌。徂寧風枉艤登。適際虜訌。圖會勤王。咋指隕血。不咨人之知不知。只殫吾寡君祗事皇朝之義。聞張督㙜奉檄勵義。弛懸甞膽。蘺潢孽。仗鉞蹈難。不佞心夥其爲。令弟衆庵公子矜吾骨瘁。傾盖輸心。文雄詩艶。可冠天下士。不佞懋其義。一日出示督㙜駛雪齋詩集。不佞潛究卒業。盖大家風也。淸而不易。勁而不艱。雄而不蕩。旨邃而不欝。義峻而不肆。聲協和辭迪淡。允踵唐韻。盖明世音也。詩本言志。忠者正者喜者怒者。率形於詩。如身影難逃。今揆其迹可覘憂國以忱。徵其詩可質感物得宜。不佞雖未及接風猷。可艶理性情矣。他日弁帶礪綏邦略。由玆典型。詩亦閏矣。僅和卷中韻。以復衆庵公子。以堦託義之圖云。</title>,<text>箕業詞昌衆妙門。師壇劒拂朔雲屯。憂中橫笛千山月。筆下飛濤萬里源。令肅嚴霜軍勢壯。恩融膏雨海天溫。勤王玉節何時返。驛路梅花惱客魂。右懷吳司理往迹難明處。流波不盡悲。謀身機已拙。臨事計何奇。割地爭鋒日。誇能失志時。利心終嫁禍。追念更悽其。右過韓信釣㙜縮地無奇術。何由入道林。庭空天籟近。山靜宿雲沉。月暎紅梅影。風搖翠竹陰。新詩如活畫。吟咏洗塵心。右宿姑山房次 張可度萬里鰲簪赴島門。蔚藍天色海雲屯。文章半部扶天略。組練三千踐墨源。夜月似因歌處滿。春風頻爲坐來溫。相逢正好裁春雪。又賦驪歌斷客魂。采薇圖治日。天保載賡時。已報胡塵靜。時祖大將軍捷音至。 應知帝賚私。輶軒歸去穩。櫜鞬莫嫌遅。默守航海請纓。未副其志。 珍重嚶鳴意。延津自有期。寶劒來何地。能令犀兕悲。色猶分鴨綠。光自入雲奇。報國心雖壯。酬恩知幾時。多君能脫贈。瓊玖愧悽其。默守解自佩刀相贈。賦謝。</text>
<title>[次謝]</title>,<text>朝鮮學士崔默守。以佩刀雪箋油幕紈扇見贈。各賦一詩謝之。六首知我龍泉與太阿。寒光耿耿貫銀河。涓埃報國知何在。意氣勞君贈已多。右佩刀薛濤箋上雪花香。春日㘅杯引興長。草罷淋漓尋玉枕。起看雲樹正蒼蒼。右霜箋習習凉風兩腋生。踈簾湘簟起秋聲。元䂓塵靜淸如許。但覺光華白羽輕。右紈扇謝家油幕杏花天。伴我淸狂山水邊。除却王孫芳草地。月明還上米顚船。右油筵特遣淸樽到吟壇。筆床茶竈好盤桓。今朝雪上留鴻迹。明日分飛欲見難。數回相見數回歡。字字新詩若彈丸。擬把深情託流水。漫隨帆影送君還。次謝靑萍光動泰山阿。何日雙龍會玉河。臨別贈君應有意。受降城外虜氛多。鍾山如畫百花香。斗酒新詩逸興長。一陣白雲舒更卷。筆驚風雨下穹蒼。蕭洒淸風袖裏生。晴窓時動竹林聲。未揮玉麈蒼蠅遠。掃盡浮塵世慮輕。三山縹緲落靑天。白鷺高飛二水邊。黃玉流光歌舞地。數聲長笛月明船。海鶴昂然下玉壇。白雲深處獨盤桓。一聲唳滄溟月。自是鶯音和更難。千樹梅花笑語歡。人收寶唾敵金丸。連天烟樹相思處。月色雲光夢往還。</text>
<title>喜雨</title>,<text>遠客思歸日。心蘓喜雨時。海山還有色。天地自無私。物潤春容艶。風殘雲影遅。年豐兵氣歇。同樂更相期。</text>
<title>出登州水城</title>,<text>催掛歸帆奏櫓功。水城門外卽天東。暝雲飛動滄波上。春氣熹微遠島中。夷夏同舟憑大義。鄕園隔海任長風。何時直到淸川岸。花滿香山雨後紅。</text>
<title>泊廟島</title>,<text>漂泊心焦爲國憂。樓船初發暮雲浮。蓬萊閣逈渾疑畫。渤海波澄似不流。鴨綠春晴歸路遠。鵝黃柳拂石洲幽。文章節義神交在。落月篷窓動別愁。</text>
<title>寄張衆菴</title>,<text>爲待同行客。芳洲一日留。滄波千里夢。明月五更愁。春色晴疑雨。風聲曉似秋。相思烟樹暝。悵望任東流。</text>
<title>[次]</title>,<text>叙懷呈默守案下 卞獻孤槎奉使赴軍機。萬頃滄波任所之。海若亦知天下士。華人爭誦卷中詩。雲開曉日三山路。柳拂春風二月時。早晩安戎沙浦口。會將樽酒話襟期。次袖捧絲綸天下機。腥塵滿路更何之。風霜臣節頻看劒。雪月寒宵漫賦詩。北闕歡聲聞捷日。東溟春色掛帆時。同歸苦樂難忘處。芳草離亭問後期。</text>
<title>[次]</title>,<text>皇城島阻風 卞獻檣影微微落遠波。迎神齋祭望非他。颶風吹海恒留客。蝶夢隨潮解到家。鍾動有時聞梵唄。春來何處見鶯花。可憐多少關心事。都入舟人一棹歌。次莫愁平地起風波。榮悴悠悠総任他。滄海卽今迷去路。碧山何處是吾家。一天霧解初看日。二月春寒不見花。唯有此心憂國處。獨憑危槳更悲歌。</text>
<title>悶霧 二首</title>,<text>往復皇城問幾番。舟行霧裡晝昏昏。來時白雪藏巖戶。去日靑蕪遍洞門。空外輕輕雲葉晩。簷端閃閃浪花翻。東歸倘借神通力。水府魚龍不足論。去年氷雪到黃昏。春日來遊又一番。節序多風藏畫舶。晴霞成雨濕山門。連洲芳草愁中碧。隔海浮雲望裡翻。石榻蓮燈參入定。心灰名利更何論。</text>
<title>候風</title>,<text>四涉皇城渡。神明解我愁。帆懸風勢正。霞卷日輪浮。天地如相轉。波濤似不流。終南何處是。東望更悠悠。</text>
<title>[次]</title>,<text>贈朴司果投筆亭 卞獻當代詞林翰墨塲。惟君楷法早升堂。山陰宗派尤精妙。槐院文書獨主張。不但時人多見許。還聞上國更稱揚。歸休投筆江亭卧。魚鳥無心日倘佯。次槐院黃粱夢一塲。雲水深處草爲堂。才堪華國膺超薦。志在封侯羡蹶張。玉索銀鉤眞宛轉。落花飛雪細飄揚。百年難負同行義。月笛烟波共倘佯。</text>
<title>到平島聞鄕信</title>,<text>晩泊沙洲候迅飊。滯行移晷膽將銷。山抽萬點蟠夷夏。水下三叉合海潮。來泊忽傳鄕國信。此心飛往聖明朝。遙思明月靑山路。千樹山花雨後嬌。敬次 卞獻天心元不惜鮮飊。近渚蒼蒼烟霧消。彷彿人傳鄕國事。喧呼帆逐午開潮。金華省裡偏宜夢。丹鳳門前好入朝。寒食已過三月至。會看花傍驛程嬌。</text>
<title>三月三日</title>,<text>三三佳節更懷鄕。路近東華喜欲狂。汀草雨晴纔有色。巖花風過暗生香。微茫活畫蒸春氣。蕩漾浮金送夕陽。李白桃紅應待我。滿園明月爲留光。</text>
<title>見鯨噴水</title>,<text>畫鷁飛騰春氣濃。鯨魚戱舞水雲東。長鱗乍動三山震。鉅口纔呑萬壑空。聲似驚雷翻白日。噴如飄雪洒雄風。倚天神劒將揮霍。海不揚波祝聖功。</text>
<title>泊長山島</title>,<text>汀洲鼓棹往還迴。佳節春光客裡催。雲卷東溟望日去。風連西極掛帆來。遙瞻天上黃金閣。近指仙區白玉㙜。誰識吾行神物化。長鯨前導不相猜。</text>
<title>次張都司扇上之韻</title>,<text>隻手擎天立海涯。勤王往復任孤槎。夢回北塞千峯月。帆過東溟兩岸花。仙鶴影寒華表柱。孝烏聲斷白雲家。望洋未奠靑芻禮。大呂還驚井底蛙。</text>
<title>與程參謀僖更遇於皇城島。請贈詩。因錄似。二首</title>,<text>茫茫滄海浩無津。一斗丹衷許國身。遠峀晴雲濃有色。中天明月烱相親。琪花璿閣仙居地。風浪雲帆活畫人。更會禪窓談道處。誰知蓮鉢火龍馴。戀君回睇五雲東。爲國愁懷與子同。萬里鯨波天地外。三山仙界畫圖中。登臨更覺春光艶。縹緲疑攀日轂紅。醉後狂歌腸欲斷。獨憑雄劒舞長風。</text>
<title>次石室憶邢尙書韻</title>,<text>劒戟爭光海上春。帝庭推轂屬名臣。傍霑聖澤靑丘定。凈洗兵塵紫氣新。百世香烟思節義。一天明月見精神。至今過式風聲在。厚德何時報後人。</text>
<title>望春</title>,<text>維舟徒極望。歸路杳難分。海濶陰春日。天低濕暝雲。長鯨時振鬣。沙鳥動成群。何處停帆後。花香月下聞。</text>
<title>行舟</title>,<text>遠客思歸苦。今朝動順風。鷄鳴滄海上。人語水雲中。暝指長山逈。高瞻石島雄。何時遼路靖。策馬向吾東。</text>
<title>泊長山島</title>,<text>島似神龜欲擧頭。驚波洶湧幾時休。候風八日停舟處。身世還疑鏡裏留。</text>
<title>平島 二首</title>,<text>遼山千疊帶愁容。春氣成霞晩色濃。怊悵數家烟樹裡。朝看烽火暮歸農。爲國空愁鏡裡容。夢魂飛動水雲濃。何時芳草靑山下。踈雨荷鋤伴老農。</text>
<title>回泊椵島。贈伴送崔仲鈺。</title>,<text>仗義同登海上槎。簡書懷袖仰重華。北關愁色連天雪。東路春光帶月花。尺劒行裝天下計。浮萍身世夢中家。忘形自有留情處。芳草沙洲別恨多。</text>
<title>下陸入鐵山</title>,<text>勤王仗義會中華。捷報飛騰始返槎。萬里淸光浮海日。一年春色滿林花。風生逸足還疑夢。雲點遙山不見家。親舊豈知憂國意。相逢先問鬢絲斜。</text>
<title>過定州</title>,<text>繁華一散夢還驚。四野何時永息兵。嫰柳風光人去恨。暮天春色客歸情。雲生石路疑無迹。雨打山花細有聲。撫劒長吁人不識。隔林幽鳥更悲鳴。</text>
<title>次安興板上韻</title>,<text>昨登蓬閣楹。今倚百祥樓。香岳連天秀。淸江合海流。畫中雲葉轉。鏡裡杏花浮。勝景還超絶。都忘遠客愁。</text>
<title>次肅寧板上韻</title>,<text>地似神仙界。壺中別有天。海棠圍翠幕。荷葉點靑錢。客路三千里。松聲十二絃。終南還入望。身近五雲邊。</text>
