<title>題畫簇</title>,<text>遠岫日沈霧。寒江風起波。小溪穿柳去。隔岸有人家。</text>
<title>烏銜書。可爲千古佞佛人主之戒。</title>,<text>新羅炤智王十年正月十五日。幸天泉寺。有烏銜書來鳴。得其書。書外面云。開見二人死。不見一人死。王曰。與其二人死。孰若一人死。日官奏云。一人者。王也。王開視之。書曰。射琴匣。王入宮射之。果有人。乃內殿焚修僧與王妃潛通者也。妃與僧皆伏誅。自是國俗。每歲是日。以糯飯祭烏。至今猶存云。莫黑匪烏島之惡。胡爲銜書向金屋。一死二死開未開。誰料琴匣藏禍胎。君王酷好無君敎。內宮深處焚修鬧。贏得眼前見奇效。後王猶且不知戒。尙有燒柩散骨然後快。羅朝所爲誠可怪。新羅崇佛。文武王以下燒葬者頗多。</text>
<title>知己死。烈士此事。何代無之。</title>,<text>新羅眞德女主時。百濟義慈王使義眞來侵。進攻茂山等城。羅王遣金庾信率師禦之。濟兵銳甚。庾信苦戰力竭。顧謂丕寧子曰。歲寒然後知松柏之後凋。今日事急矣。非子誰能奮勵出奇以激衆心乎。丕寧子曰。今於稠人之中。獨屬我。可謂知己。當以死報之。出語奴合節曰。今日當上爲國家。下爲知己死之。子擧眞幼有壯志。必欲與我俱死。若父子倂命。家人疇依。若與擧眞。好收吾骨。歸慰母心。卽橫槊突陣。格殺數人而死。擧眞欲赴鬪同死。合節控轡止之曰。大人有遺命。負父命棄母慈。可謂孝乎。擧眞曰。見父死而偸生。得爲孝乎。劍合節臂。突陣而死。合節曰。所天崩矣。亦交鋒死。三軍感激齊進。所向摧陷。義眞僅以身免。庾信撫三屍哭甚慟。羅王哀之。恩賞甚渥。三軍苦戰力已竭。國事安危在一決。士爲知己死無辭。不然安用丈夫爲。丁寧一語付僕夫。歸奉郞君事老母。義氣所激誰能禁。子死於孝奴死主。流芳千千萬萬古。嗚呼遺君後親更何人。有不聞者宜書紳。</text>
<title>錦裙夢</title>,<text>新羅太宗王妃文明王后金氏。庾信之妹也。初。其姊寶姬夢登西兄山頂坐旋流。遍國內。覺與文明言之。文明戲曰。願買兄夢。因與錦裙爲直。後武烈與庾信蹴踘。故踐武烈衣紐落之。庾信曰。吾家幸近。請往綴之。因與俱往置酒。從容喚寶姬來綴。寶姬辭曰。豈可輕近貴公子乎。文明乃進綴。美而艶。武烈悅之。仍請婚。遂生六男。長卽文武王。昨夜姊有夢。今朝姊始言。姊謂夢無用。妹何換錦裙。錦裙燦吉夢圓。姊無福妹有緣。身國母子王貴。嗟夢直錦裙幾。</text>
<title>落花巖。適偶然當時宮女。豈無熒惑。義慈以誤國事者乎。</title>,<text>唐高宗遣蘇定方。將兵三十萬。伐百濟。新羅亦出兵應之。進圍都城。王與太子孝。夜遁保熊津城。王宮諸姬。走大王浦巖石上。墮水死。後人名其巖爲落花巖云。諺傳定方攻都城。輒風雨晦冥。術者謂江龍護國所致。定方以白馬爲餌釣出。至今巖石上。龍迹宛然尙存。落花巖截然屹立高幾尋。君王長日此遊衍。綠鬢紅顏花滿眼。誰知樂極生哀怨。運去神龍亦不保。城門不守旌旗倒。蒼黃時事春夢亂。玉碎珠沈俱草草。江妃啼恨水仙泣。山河不改乾坤老。千年冤魂散紅白。春來依舊傷心色。君不見鮑石出遊卒遇賊。辱生節死同亡國。</text>
<title>龍齒湯。祿眞之言。乃是我國確論。</title>,<text>新羅昭聖十二年。上大等忠恭坐政事堂。注擬內外官。請托坌至。忠恭莫能擧措。感疾而退。召醫診之。曰。病在心臟。須服龍齒湯。執事侍郞祿眞請見曰。伏聞氣體不調。得非早朝晩罷。蒙犯霧露。傷榮衛之和耶。忠恭曰未也。祿眞曰。然則不須砭石。可一言理之。忠恭曰。可得聞乎。祿眞曰。彼梓人之作室也。材大者爲梁柱。小者爲椽榱。偃者植者。各安所施。然後大廈成焉。宰相之爲政也。亦然。皆得其人。然後王政成焉。今則不然。循私而滅公。爲人而擇官。愛之。雖不才必進。憎之。雖有能必斥。取舍勞其心。是非亂其志。不獨害於國。爲之者亦病矣。若其當官淸白。莅事恪恭。杜貨賂之門。絶請託之路。如衡如繩。不可枉以輕重曲直。則國家和平。身亦不勞。何必區區於服餌乎。忠恭悅。卽朝於王。仍爲陳之。太子入賀曰。君明臣直。此國家之美事也。龍齒湯能愈身上疾。不治心上痛。藥石言能除心上疾。不諧世上用。世有此人還此言。時無古今病無彼此。三復擊節歎至論。安得更生此輩。奮髥吐雄辯。持以告時宰。轉以達吾君。悅而不繹亦已焉。</text>
<title>草衣人。此王子。名字亦不傳。是何爲善者之不幸也。</title>,<text>新羅敬順王時。疆宇日蹙。不能自保。議降于高麗。王子諫曰。當與忠臣義士。同死社稷可也。奈何以千年社稷。輕與人乎。王不聽。王子棄妻子。徑入金剛山。緝草爲衣。以終其身。草衣人獨在深山裏。問伊誰乃是羅王子。宗國昔傾覆。慷慨陳大策。父王不見聽。慟哭遁林壑。草葉緝爲衣。巖阿倚爲屋。了此百年身。邈爾與世隔。山中羅日月。山外麗天地。一言扶世敎。千秋立人紀。凜焉秋霜烈。颯焉淸風起。漢家北地王。與君兩人耳。</text>
<title>崔進士。 孤雲高擧物外。乃獲從祀。萬古一人耳。</title>,<text>致遠字孤雲。十二。隨商舶入唐。一擧登進士第。爲高騈從事。爲檄黃巢。巢見地中之鬼已議陰誅之句。不覺下牀。由此名聞天下。二十八。奉使東還。時新羅女主政亂。自以北學。多有所得。而不容於時。屢倅外郡。無復仕進意。與母兄僧賢後逍遙物外。後遂携家隱伽倻山。世莫知所終。初。麗祖未貴。致遠知其受命。遂上書。有鷄林黃葉鵠嶺靑松之語。後人名其居。爲上書莊。十二別鷄林。二十遷鶯谷。觀光早破荒。入幕曾草檄。世路少知音。衣錦還故鄕。松靑葉黃時。高臥上書莊。北學無所用。物外從赤松。萬疊伽倻山。千古祕靈蹤。咳唾留人間。英風如昨日。學宮儼從祀。益見公明哲。</text>
<title>種穄田。道詵事誠奇。以此偏信。則非爲國之道矣。</title>,<text>高麗世祖初居松嶽摩訶岬。道詵來見曰。種穄之田。何以種麻。言訖而去。世祖倒屣追之。及見如舊識。遂與登鵠嶺。究山水之脈。上觀天文。下察時數曰。此地明堂。君又水命。宜從水數作字。則明年必生聖子。宜名曰王建。因作實封。題其外云。謹奉書。百拜獻于未來統合三韓之主大原君子足下云。世祖從其言。築室以居。是月有娠。生太祖。俗謂延慶宮基。爲老鼠下田形云。其後子孫。世神其術。至仁宗時。妙淸，白壽翰等。以妖術惑上。請築西京太花闕。以麻繩作法。謂之太一玉帳步法。乃道詵所傳云。竟作亂據平壤。興師三年。僅能平之。老鼠下田住。蘇岬異氣多。我欲種其穄。誰使種爾麻。五百年來王者居。神僧茲記誠不差。子孫傳受護其術。紛紛奇事何其多。太一玉帳法。畢竟亂一方。所以吾聖學。不語怪語常。方言。箕子王。訛爲穄字之解。種穄。蓋曰種王之地云爾。</text>
<title>橐駝橋。事雖近正。禍流于後。</title>,<text>高麗太祖二十五年。契丹遣使。遺橐駝五十匹。王以契丹嘗與渤海連和。忽生疑貳。背盟殄滅。此甚無道。不足遠結爲隣。遂絶交聘。流其使三十人于海島。繫橐駝萬夫橋下餓死。橐駝五十首。橋下皆餓死。契丹滅渤海。于我誠何事。後代屢被兵。基禍實在此。石梁平侹侹。遺跡宛可記。</text>
<title>八關會。可爲後日之殷鑑。</title>,<text>麗祖祖訓第六曰。朕所至願。在於燃燈入關。燃燈所以事佛。八關所以事天靈及五嶽名山大川龍神也。後世奸臣建白加減者。切宜禁止。君臣同樂。敬依行之。初太祖元年十一月。有司言每歲仲冬。大設八關會。以祈福。乞遵其制。從之。遂於毬庭。置輪燈一座。列香爐於四傍。又結二綵棚各高五丈餘。呈百戲歌舞於前。其四仙樂府，龍鳳，象馬，車船。皆新羅故事。百官袍笏行禮。觀者傾都。王御威鳳樓觀之。歲以爲常。至於麗亡。毬庭結棚呈百戲。百官袍笏肅將事。八關大會斯爲盛。麗朝開國首崇敬。歲歲仲冬十一月。一遵祖訓行勿失。五百餘年蒙佛力。國安民豐綿寶曆。妖夢一惑出僧王。明人謂辛旽爲僧王。 是何求福反招殃。始謂斯道誠可尊。終焉其禍難俱論。吾聞三代主賢聖。莫不祈天能永命。此時無佛亦長久。俗躋煕暭域仁壽。高麗所以爲高麗。未免治道雜於夷。無足觀眞可嗤。</text>
<title>避姓行。可醜醜無乃誤計乎。</title>,<text>麗祖狃於土俗。以子聘女。諱稱外姓。其子孫視爲家法而不之怪。惜哉。大抵麗祖后妃。多是宗姓。或曰。欲杜外戚之弊爲之云。愚嘗觀王弇州說部。記此事。末曰。未知今亦行之否也。可羞也已。同姓不相娶。萬古明人倫。至親尙不避。禽獸乃非人。新羅告唐有叔氏。羅娶同姓。諱稱叔氏。 麗祖相傳爲古事。公然以女嫁其男。不夷秋風那有此。聞道當初亦有意。欲防外戚立此計。資謙義方競納女。異姓何曾不擅勢。一妹爲后配三主。身姓徒勞諱皇甫。中國簡冊看可醜。</text>
<title>用南人。得失可見。</title>,<text>麗祖祖訓第八曰。車峴以南公州江外。山形地勢竝趨背逆。人心亦然。彼下州郡人。參與朝廷。與王侯國戚婚姻。得秉國政。則或變亂國家。或銜統合之怨。犯蹕生亂。弄權亂政。雖其良民。不宜在位用事云。而其後南人。多仕麗朝爲名公鉅卿勳業著稱者。車嶺南山水背走。人心豈有歸服理。必懷統三爲一怨。勿用南人敗我事。麗祖訓戒有此語。子孫遵守期勿改。南人相繼立麗代。未聞以此招禍敗。我國山川白頭祖。聖祖降生有土宇。胡然擯斥不收用。使彼之人懷恨怒。得無將來貽後悔。麗用南我棄北。得與失終當識。</text>
<title>置光軍。願爲今獻。</title>,<text>定宗二年。以契丹將侵。選軍三十萬。號光軍。置光軍司。大遼謀攻我。我亦有以待。彼衆雖牛毛。我師亦辦對。誰道吾東兵力弱。三十萬人容肅肅。虜主親征多損傷。遜寧再來終大衂。先爲不可勝。實我戒戎作。收效在目前。國勢如盤石。百姓皆兵豈無人。今誰謀國置光軍。光軍若置豈憂虜。誰將此意開吾君。</text>
<title>雙學士。文風倡始可貴。流弊則千萬世矣。</title>,<text>雙冀後周人。仕周爲武勝軍節度巡官試大理評事。光宗七年。從冊封使薛文遇出來。以病留。及愈。引對稱旨。光宗愛其才。表請爲僚屬。遂擢用。驟遷至翰林學士。未逾歲。授以文柄。始建議設科。遂知貢擧以詩賦頌策。取進士崔暹等。自後屢典貢擧。奬勸後學。文風始興。雙學士何如人。中國儒高麗臣。不有遭逢寧有此。科擧之設實倡始。文風雖興長浮誇。小中華號徒虛華。聲容漸盛武備衰。流弊到今無奈何。恨不當初倡正學。君不見人才得失不繫此。花郞取士亦爲國。新羅無科擧。以花郞取人。</text>
<title>捨宅請。有激之言。然若比今時則天淵矣。</title>,<text>光宗厚待投化漢人。擇取臣僚第宅及女與之。一日大匡徐弼奏曰。臣居第稍寬。願以獻焉。光宗問其故。對曰。今投化漢人擇官而仕。擇屋而處。世臣故家。反多失所。臣愚誠爲子孫計。宰相居第。非其有也。及臣之存。請取之。臣以祿俸之餘。更營小第。庶無後悔。光宗怒。然卒感悟。不復奪臣僚第宅。慕華得華人。擇官仍擇屋。臣願捨臣宅。宅大居不得。麗時立賢雖無方。使至於此誠殊常。我朝一切不用客。其如事理恐過當。聖帝明王若處是。雖不爲彼亦不此。惟其得中而已矣。胡可使越可使。不獨中國之來士。</text>
<title>古長城。古人勤勞如此。今人將擧天塹而棄之。可惜。</title>,<text>德宗二年。命平章事柳韶。創置北境關防。起自西海濱古國內城鴨綠江入海處。跨威遠，興化，靜州，寧海，寧德，寧朔，雲州，安水，淸塞，平虜，寧遠，定戎，孟州等十三城。抵耀德，靜邊，和州等三城。東傅于海之都連浦。延袤千餘里。以石爲城。高厚各二十五尺。古長城基尙在。尾都連首國內。二十五尺高。一千三百里。築此防胡虜。勞苦亦云至。我朝據天塹。重關仍復嶺。地理倍古勝。如何猶不競。苟能守其要。虜豈敢窺境。</text>
<title>淸平山。世寧有綺紈中出斯人乎。</title>,<text>李資玄字眞精。中書令子淵之孫。侍中頲之子。頲三妹皆配文宗。家世貴顯。資玄容貌魁偉。性聰敏。登第爲大樂署丞。忽棄官入春州淸平山。葺文殊院居之。蔬食布衣。以禪道自樂。睿宗遣內臣賜茶香金帛。累詔徵之。資玄曰。臣始出都門。誓不復踐京華。不敢奉詔。遂上表曰。以鳥養鳥。庶無鐘鼓之憂。觀魚知魚。俾遂江湖之性。王幸南京召之。未幾還山。常於洞中幽絶處。作息菴團圓如鵠卵。只得盤兩膝。默坐其中。或數月不出。卒諡眞樂。鵠卵何團圓。容膝易爲安。都門何喧喧。一出誓不還。節彼淸平山。高高不可攀。</text>
<title>朝廷沈。湖名。在松京城外十里許。蓋取名朝士之死所也。○今古一體。其可不善待此輩乎。傷哉傷哉。</title>,<text>毅宗卽位。好遊衍。築臺館園池。無歲無之。日與金敦中，林宗植，李復基，韓賴等諸文士。酣宴唱和。樂而忘返。二十一年。聞城東沙川龍淵寺南。有石壁數仞削立臨川曰虎巖。流水渟滀。樹木蓊蔚。命內侍李唐柱等。搆亭其側。名曰延福。奇花異木。列植四隅。以水淺不可舟。築堤爲湖。人甚苦之。二十四年。自延福亭。將幸普濟寺。駕近普賢院。鄭仲夫，李高，李義方等作亂。盡殺扈從諸臣及在京文臣。初。仲夫爲牽龍。除夕儺禮。王臨視交躍爲樂。內侍金敦中以燭燃仲夫鬚。仲夫辱之。敦中父富軾怒。白王欲拷仲夫。仲夫逃免。由是慊之。時王荒淫。不恤政事。遊幸無度。每至佳境。與諸學士唱和未已。諸將疲困憤惋。始有不軌之心。加以宗植，賴等。怙寵傲物。蔑視武弁。衆怒益甚。是年。王幸和平齋。又與近侍文臣觴詠。將士飢甚。仲夫曰。文臣得意醉飽。武臣皆飢困。是可忍乎。遂搆兇謀。後王自延福亭將幸普賢院。至五門前。召侍臣行酒。酒酣。顧左右曰。壯哉此地。可以隷兵。命武臣爲手搏戲。蓋知武臣缺望。欲因以厚賜慰之也。賴恐武臣見寵。遂懷猜忌。大將軍李紹膺。雖武人。力羸不勝而走。遽前批其頰。王與群臣撫掌大笑。諸將皆失色。仲夫厲聲曰。紹膺三品官。何辱之甚。王執手慰解之。駕入院門。群臣將退。高等。手殺宗植，復基。賴匿御牀。高拔刀脅。出卽殺之。大小臣僚皆遇害。積屍如山。盡投湖中。使人呼於路曰。凡戴文冠者。殺無遺種。卒伍蜂起。搜殺無遺。放王於巨濟。尋遇弑。初。鄭襲明以潛邸師傅。及王卽位。多切諫。以嚴見憚。遂仰藥而死。王嘗遊幸。酣樂曰。襲明若在。吾豈至此乎。毅王好文事遊宴。墨客詞臣相狎款。延福亭前築儲水。晝御龍舟夜未返。君王一動從扈多。醉飽者誰飢者怨。手搏見辱燭燃鬚。鋒刃奮起眞斯須。文官殺死武官呼。積屍如葦沈前湖。王身國事從此休。襲明若在有是不。由來留連多喪國。況此親兵懷憤毒。君臣酣樂不知憂。畢竟奇禍生肘腋。至今過者心神死。當時景色知何似。數頃湖水色淨淥。千秋冤血猶凝碧。言之於邑豈終極。</text>
<title>貴人死。世道至此。無乃天亦從人稱謂乎。</title>,<text>高宗六年。崔忠獻死。是月。月犯熒惑。日官奏貴人死。忠獻聞之。召集樂工數十。奏樂竟日。至夜三更樂未闋。忠獻果死。百官縞素會葬。祕器，羽葆，鼓吹，旗常擬於王者。忠獻始誅李義旼而起。代執國柄。殺戮文官。連廢二主。窮凶極惡。人無敢忤之者。身死之後。子孫四代連執國命。朱門鼓樂喧。老賊死牖下。國家失常刑。哀榮等王者皇天垂象示咎徵。逆魁便當貴人應。此理莫曉將何憑。麗朝上下五百年。悍臣相繼執國命。懲前毖後終莫改。無乃天定人難勝。嗟呼子男山。可鑿至今存。後王都松京。幸勿忽此言。子男山在松都城中。術者謂以此山之故。權臣世出云。</text>
<title>撤城怨。弱國不能自立。每每如此。</title>,<text>高宗十九年。避蒙兵移都江華。二十年。築外城。入保凡二十五年。蒙兵連歲來侵。列邑盡破。勢不能支。不得已議降。蒙主曰。汝國出陸乃罷兵。遣使者周者等。諭以壞城。始壞江都內城。蒙使督役甚急。諸領兵不堪其苦曰。若知如此。不如不城。城郭摧折。聲如疾雷。街童巷婦。皆爲之悲泣。蒙使聞外城不壞。曰外城猶在。可謂誠服乎。卽令都房。又壞外城。初設江都外城。沿江環築。浦漵植木。上置樓寨。高岸設鋪。以爲屯營。上作城廊可以走馬。表裏完固。周遭幾數百里。至今遺址尙存。蒙將初攻江都。還告其主曰。江狹積甲可渡云。故仍名甲串江。誰謂城可築。土役民搰搰。誰謂城可保。畢竟勞毀撤。麗代昔被兵。入避海島中。積甲江擬越。築城防其衝。立國不自強。還撤不旋踵。始也虜兵抗。終焉虜命用。廊摧聲如雷。城塌夷爲地。當年周仡仡。纔能認遺址。民勞迄可息。可哀亦可憐。怨氣感傷和。怨聲上撤天。築城尙可撤。不可無使後人怨則那。</text>
<title>開剃歎。非其心也。勢不得已可歎。</title>,<text>元宗爲世子。朝蒙古時。憲宗皇帝南征。駐蹕釣魚山。世子自燕赴行在。適憲宗晏駕。時。皇弟忽必烈在襄陽。世子遂南轅。及於梁楚之郊，軟角，烏紗，幞頭，廣袖，紫羅袍，犀帶，象笏奉幣。迎謁道左。周旋可則。群僚以品服。排班于後。皇弟驚喜曰。高麗萬里之國。自唐太宗親征而不能服。今其世子自來歸我。此天意也。大加褒奬。適本國以高宗薨告。江淮宣撫使趙良弼曰。高麗雖名小國。依阻山海。國家用兵數十年。尙未臣附。前歲世子倎來朝。適鑾輿西征留滯者二年。供帳疏薄。無以懷輯。一朝得歸。將不復來。宜厚館穀。待以藩王之禮。今聞其父已死。誠能立倎爲王。遣送還國。必感恩戴德。願修臣職。不勞一卒而得一國也。皇弟從之。是爲元宗。自後歸服蒙古。又遣世子諶入朝。帝遣斷事官不花。護世子還國。國人見世子辮髮胡服。皆歎息。至有泣下者。蒙古俗。剃頂至額方其形。留髮其中。世子已開剃而國人未也。後漸爲之。印公秀勸元宗。效元服色。元宗曰。吾未忍遽變祖宗之法。我死之後。卿等自爲之。達靼兵威震夷夏。少有嬰鋒無免者。依山阻海竟何救。生靈盡斃鋒鏑下。麗朝力屈始議降。玉帛萬里朝大邦。世子親將奉天王。衣冠濟濟迎路傍。謀臣獻策厚館穀。從此三韓自歸服。尙主至結舅甥親。變俗漸將夷其人。辮髮歸國仍開剃。耆老見之皆流涕。汝身尙可吾不可。王心未忍全廢禮。後來未免擧國從。百年胡服行吾東。我願君王勤修德。莫以千里爲人役。</text>
<title>別抄叛。此可爲後世至戒。</title>,<text>初。崔瑀專國。以國中多盜。聚勇士。每夜巡行禁暴。因名夜別抄。又盜起諸道。分遣捕之。其軍遂衆。因分爲左右。又以國人自蒙古逃還者。爲一部。號神義軍。是爲三別抄。權臣執柄。以爲爪牙。厚其俸祿。或施私惠。又籍罪人之財而給之。故權臣頤指氣使。爭先效力。金俊之誅崔竩。林衍之誅金俊。宋松禮之誅惟茂。皆籍其力。及王復都舊京。三別抄反懷疑貳。遣使罷之。取其名籍。三別抄恐以名籍聞於上國。益有叛心。將軍裴仲孫盧永禧等作亂。使人呼之曰。狄兵大至。殺戮人民。凡欲輔國者。皆會毬庭。須臾國人大會。別抄禁人出入。巡江大呼曰。凡在舟不下者。悉斬之。聞者皆懼而下。或欲發船。賊乘小艇。追射之。皆不敢動。城中人驚駭。散匿林藪。婦女童稚哭聲滿城。乃發庫兵。分給軍卒。賊度江華不可守。乃聚船艦。悉載公私財貨及子女南下。舳艫相接。無慮千餘艘。時百官咸出迎王。而其妻孥皆爲賊掠。哭聲震動天地。賊初據珍島。後入耽羅。元宗命金方慶。兼請蒙兵。與蒙將忻都阿海等。凡三年。始得平賊。蒙人以子女玉帛。爲其所有。悉自隨而歸。悍臣專國家兵盛。強寇壓境勢不競。入海幾年還出陸。前者避狄後歸命。殱魁莫使反側安。已亂可平將亂難。別抄兇徒分至三。養虎寧不自遺患。君王迎詔返舊京。百官濟濟皆從行。一朝倡亂據留都。子女玉帛空滿城。樓船千艘下南極。席捲公私不遺力。蒼黃聞變無奈何。原野徒轟震天哭。竟借胡兵醜凶醜。妻孥何曾爲我有。君莫說當時事。至今思之猶塞氣。我謂幾者動之微。識者深憂無不至。</text>
<title>萬卷堂。讀書何用。</title>,<text>忠宣王以前王。入宿衛于元。値成宗皇帝崩。與皇姪及右丞相答剌罕等定策。迎立武宗皇帝。遂封瀋陽王。貴寵用事。開萬卷堂於燕邸。以李齊賢充府中。迎致文儒姚燧，閻復，趙孟頫，虞集等。與之從遊。以考究書史自娛。時忠烈王淑昌院主金氏。文衍之妹。忠烈薨。王自元奔喪。到文衍家。與院主相對移時。人頗疑之。仍蒸焉。監察糾正禹綽。白衣持斧上書極諫。王有慙色。未久進封爲淑妃。瀋陽協贊定大計。萬卷堂置燕京邸。閻姚虞趙皆名儒。曳裾王門何濟濟。文采風流盛於斯。聰明稽古稱當時。講學所以明人倫。淑昌院主胡爲妃。聖經賢傳空爾爲。萬卷雖多無所用。於詩只取墻有茨。</text>
<title>阿也麻。雖無此謠。其能免乎。</title>,<text>忠惠王淫縱無道。慶華公主元女。忠肅王之妃也。一日。公主邀宴。酒罷。佯醉不出。暮入臥內。公主驚起。使人扶之。使不得動。且掩其口。遂蒸焉。公主恥之。欲還于元。且作畏吾兒書通其事。王遮路禁之不得。元托以告廟頒赦。遣使偕本國宦者高龍普來。王率百官朝服。聽詔于征東省。元使蹴王縛之。王急呼。高院使龍普叱之。拔刃執侍從。群小百官。皆走避匿。卽掖王載一馬馳去。帝以檻車。流揭陽縣。諭曰。爾王禎爲人上。而剝民已甚。雖以爾血啖天下之狗。猶爲不足。朕不嗜殺。是用流爾。爾無怨我。揭陽去燕京二萬餘里。無一人從行。王手持衣袱而去。傳車疾驅。艱楚萬狀。薨于嶽陽縣。初。宮中及道路歌曰。阿也麻古之那。從今去何時來。至是人解之曰。嶽陽亡古之難。今日去何時還云。畏吾兒書。回鶻書也。阿也麻嶽陽。此去何時還。畏吾書遮路。截留誠亦難。狗彘必不食其餘。禽犢之行言可辱。院使雖呼反見縛。行路艱辛自持袱。自取之禍何須說。阿也麻當時。宮中歌未闋。</text>
<title>三帥冤。自古如此。忠臣義士所以解體也。</title>,<text>恭愍王十一年十一月。紅巾賊沙劉，關先生，潘誠朱亢帥等十餘萬衆。渡鴨綠江。王遣李芳實等。栅岊嶺禦之。賊以鐵騎攻破栅門。我軍大潰。王及公主奉太后南奔福州。賊陷京城。留屯數月。殺牛馬。張皮爲城。灌水成氷。人不得緣上。又屠炙男女或燔孕婦乳爲食。以恣殘虐。王以鄭世雲爲摠兵官。督諸將討賊。明年正月。世雲督安祐，金得培，李芳實等二十萬兵。進圍京城。奮擊大破之。斬賊魁沙劉，關先生等十餘萬級。遂平開京。初。金鏞與鄭世雲。俱爲王所寵。及世雲破賊。恐爲王所重。乃矯旨密諭祐等。使圖世雲。祐，芳實。就得培帳。議之曰。今甫平寇賊。豈宜自相翦滅。若不獲已。執致闕下。聽上區處。不亦可乎。祐，芳實退歸。復來言曰。討世雲。君命也。我輩成功而不奉君命。其如後患何。得培堅執不可。祐等強之。使人邀世雲於座。擊殺之。鏞遂白王曰。祐等。擅殺主將。是不有殿下也。罪不可赦。祐凱還。謁行宮。使門者搥其首。祐辭色不變。三指所佩囊。大呼曰。幸少緩。願至上前。獻囊書。就戮。搥者更擊殺之。遂捕芳實，得培。幷誅之。芳實子年甫十餘。遊於市街。人爭饋以物曰。今我輩獲安寢食。皆三元帥之力也。至有泣下者。紅頭賊百萬兵。攔入塞垣蹂開京。君王蒼黃奔福州。滿城士女遭屠烹。桓桓仗鉞三元帥。許國腦中血一斗。長戈一揮二十萬。蹴彼堅城如拉朽。軍中半夜傳密旨。賊鏞計就摠兵死。眞僞未覈遽奉行。不過當時錯料事。目以無上加其罪。反覆原情寧有是。元勳未酬俱就戮。冤氣千年射天紫。韓彭菹醢岳飛誅。自古功臣多類此。君不見巿人爭先哺孤兒。魂若有知魂不悲。</text>
<title>阿只問。難易言。</title>,<text>麗史言。禑小字牟尼奴。辛旽婢妾般若之出也。恭愍王常憂無嗣。一日。微行至旽家。旽指其兒曰。願殿下爲養子立後。王睨而笑不答。然心許之。及旽流氷原。王語近臣曰。予嘗至旽家。幸其婢生子。無令驚動。善保護之。旽旣誅。王名牟尼奴。納于明德太后殿。謂侍中李仁任曰。元子在。吾無憂矣。因言有美婦在旽家。聞其宜子。遂幸之。乃有此兒。欲以爲嗣。遂名禑。封爲江寧府院大君。冒稱故宮人韓氏出。追贈韓氏三代。遂嗣爲王。般若嘗夜潛入太后宮。啼號曰。我實生主上。何母韓氏耶。太后黜之。仁任下般若獄。臺諫巡衛府雜治之。竟投于臨津。初。恭愍王嘗謂代言林樸曰。汝知阿只事矣。蓋樸出入旽家。最親故也。及旽被誅。遣林樸數其罪。焚誓書。旽初聞樸來。喜曰。王必召我矣。阿只思我矣。蓋自謂有保護之功也。阿只。方言小兒之稱。問阿只誰氏子。林代言知阿只。逆旽臨死言。阿只思我矣。阿只竟亡國。姓辛傳後史。問阿只誰氏子。</text>
<title>攻遼誤。崔瑩難免誤國之罪於千萬世之下矣。</title>,<text>麗朝自元宗事元。忠烈王遂尙主。結舅甥之好。幾百餘年。忠惠王以下。皆元外孫也。代有其國。大明初興。恭愍王雖以義主事之。一時議論多以不可輕絶北元爲言。鄭道傳，朴尙衷等諸人。主事明。李仁任，池奫等諸人。主事元。互相詆斥。至有被罪者。及崔瑩當國。天朝適有鐵嶺立衛之擧。遂倡事元之議。決計攻遼。竟至易命。愚嘗聞諸祕史於先正。當時我太祖功名日盛。且有李氏當王之說。瑩實忌之。而無辭加罪。因使攻遼。使得罪於上國。因以除之。遂生此計云。此實大誤。安有空國授之以兵。欲危人以自安。而不反中其禍者乎。豈但一身不保而已乎。無乃耄而昏乎。百年舅甥好。天下義宗主。玄陵審輕重。大計定捨取。鐵嶺置衛誠細事。新造大國爲何似。白髮侍中老益戅。焉敢容易生他意。聞道當初亦有以。畢竟錯料誤大事。他事可誤此不可。旣誤之後定難救。麗祚告終殆天數。</text>
<title>風色惡。天時人事可知。文忠忠則忠矣。非眞儒以道徇身者也。</title>,<text>麗末。圃隱鄭文忠公以眞儒王佐才。出爲世用。最爲聖祖所知。屢辟幕下。回軍之後。同升爲相。文忠與金震陽諸公。忘身徇國。欲扶社稷。時聖祖功業日盛。群下歸心。勢難終於北面。文忠協謀傾之。太宗嘗告太祖曰。鄭夢周豈負我家。太祖曰。我遭橫讒。夢周以死明我。若係干國家。有不可知。及文忠心跡倡著。太宗設宴請之。作歌侑酒曰。此亦何如。彼亦何如。城隍堂後垣。頹落亦何如。我輩若此爲。不死亦何如。文忠遂作歌。送酒曰。此身死了死了。一百番更死了。白骨爲塵土。魂魄有也無。向主一片丹心。寧有改理也歟。太宗知其不變。遂議除之。文忠一日問病於太祖邸。仍察氣色。歸路過故酒徒家。主人出外。階花盛開。遂徑入呼酒。舞於花間曰。今日風色甚惡甚惡。連嚼數大椀而出。其家人怪之。俄聞鄭侍中遇害矣。文忠之自。太祖邸歸也。有櫜鞬武夫衝其前導而過。文忠變色。顧謂隨行錄事曰。汝可落後。答曰。小人從大監。何可他往乎。再三呵止。亦不從。文忠之遇害。抱持同死。當時倉卒。無人記其姓名。遂不傳於後世。今日風色雖甚惡。階上含杯舞亦樂。全裝武夫衝馬過。愼莫詰問知。能那五百年綱常。一身都自任。白骨委塵土。未改向主心。相公一死分內事。彼錄事誰氏子。生從相公生。死從相公死。君不見聖朝開國策勳臣。盡是麗時食祿人。</text>
