<title>冬月 七歲作</title>,<text>一片團團月。高懸萬國燈。風力雖云壯。淸光滅不能。</text>
<title>無心詞</title>,<text>無心有心世上事。去年今年關外地。似官非官月再虧。欲歸未歸家千里。花落前村後村雨。鳥啼兩枝三枝樹。床前睡鄕醉鄕寬。城頭皷聲笳聲暮。</text>
<title>投壺</title>,<text>明原小女年十二。學得投壺竗入神。植立中堂兀不動。望之初疑木偶人。心隨眼目共到壺。壺外百物皆無覩。纖纖玉手忽低仰。亂矢飛作壺中雨。投壺投壺復投壺。此女投壺天下無。前身曾在玉皇前。玉皇爲之一破顔。一矢誤投胡太罪。謫下茫茫沙磧間。淸都舊習姑未除。猶擅投壺第一名。余亦前身香案吏。見汝投壺淚沾纓。</text>
<title>雨餘 漁家傲</title>,<text>日日炎旗天上擧。今朝喜見商羊舞。頃刻龍君行大雨。行無住。風吹却斂神功去。莫作邊關千里旅。人情懷土斯其所。所以鍾儀音奏楚。傷心處。陰山帶濕靑無語。</text>
<title>睡起 點絳唇</title>,<text>倦睡初回。虛堂寂歷靑山暮。斷煙踈雨。郭外迷春樹。吏散庭空。禽鳥飛無數。飛還住。睠言南路。坐誦歸來賦。</text>
<title>午睡 浣溪沙</title>,<text>木枕藤床課午眠。幽禽時語小牕前。覺來山色在詩篇。起看隰雲歸遠壑。官城南畔響鳴泉。忽然醒耳復怡然。</text>
<title>朙原詞一疊 玉樓春</title>,<text>孤城四面皆高嶺。天意分明開別境。譙樓晝靜不生塵。時有閒雲來弄影。休言撲地無鐘鼎。富貴江山粧邑井。春深煙景似佳賓。應接能敎今夕永。</text>
<title>二疊 淸平樂</title>,<text>欄亭孤倚。紫靄靑山低。四月西林木美。夕鳥相啣首尾。吾行曷月言旋。愁中一日如年。時復回頭南望。蒼茫翠色磨天。</text>
<title>三疊 南柯子</title>,<text>渺渺雲移壑。依依鳥過岑。園花飛盡綠成陰。坐見人間流序去駸駸。旗動飜飜影。笳傳咽咽音。忽然起立聽龍吟。孤釰惟知千古丈夫心。</text>
<title>島卵上疊 定風波</title>,<text>縹緲滄溟一秣高。人間羅網此堪逃。機巧由來無限伏。故遣漁兒飛步度層濤。空裡長繩如羽翰。應道天神將禍餉渠曹。</text>
<title>下疊 菩薩蠻</title>,<text>蓬萊島上靑靑卵。胡爲來作孤臣伴。毛羽異時成。行看王母迎。仙桃天上在。結子三千載。此物試同盤。也知分別難。</text>
<title>黃花詞 效虞美人</title>,<text>春風恥作嬋娟態。此意誰能會。自持孤節到秋蘭。但備湘江江上屈原餐。回頭三逕荒蕪久。亦有猶存否。他時濁醪泛寒英。政復疑君顔色在深觥。</text>
<title>幽蘭詞 效臨江仙</title>,<text>猗彼幽蘭生谷底。春來烈烈其香。世人那識此孤芳。獨彈尼父曲。悽惋不成章。學得楚臣滋九畹。吾將結佩充纕。寒天容易下嚴霜。淸芬須自保。委折亦何傷。</text>
<title>蟾光詞 效憶秦娥</title>,<text>陰雲捲。空中露出姮娥殿。姮娥殿。珠簾凝洗。玉牕如練。有繩難繫蟾輪轉。西溟易報淸光餞。淸光餞。五更凉露。一樽虛院。</text>
<title>關樹詞 三疊○效韓夫人</title>,<text>明原雪。朙原雪。着樹自成花。不必春遊遊陌上。塞城冬月亦繁華。堪唱郢中歌。城南樹。城南樹。春入去年枝。手種何人勤護惜。居然花盡子垂垂。遊蝶謾躕踟。南歸去。南歸去。迢遞路三千。谷轉山圍人不見。夕天關𡬾杳孤烟。回望政依然。</text>
<title>斛梅</title>,<text>斛梅生燠室。還能冬作花。高名與姱節。藉藉處士家。使爾去室復去斛。可耐寒風吹。寒風吹。驅雪來。請看南山松栢枝。</text>
<title>贈別李光溥之任鏡城</title>,<text>峽樹蒼蒼怪鳥鳴。一樽靑眼見深情。竆途會合悲還喜。絶塞功名辱是榮。君去且尋郊外墅。我行應過洛陽城。東門故結重逢約。肯唱陽關第四聲。</text>
<title>次鏡城新判官申 近 韻</title>,<text>送客歸來客又新。落花芳草水西津。紅塵十丈人間遠。靑眼尋常塞外頻。已把危途看坦蕩。肯於殊土浪悲辛。豪吟不學離騷㤪。却笑當年楚澤臣。</text>
<title>又用贈舊判韻。贈新判。</title>,<text>意氣相看尺釰鳴。罇前多小丈夫情。吾儕出世雖無罪。此地爲官亦有榮。百戰山河餘舊址。七言旗皷見新城。他時關北千人頰。齊播詩聲與政聲。</text>
<title>留別諸生 三首</title>,<text>爲辦諸生翰墨遊。黌堂聊復勖焚油。敢云師道能無負。只恐英才不見收。此日文風慚蜀郡。他時明月夢幷州。丁寧一語留深警。業未精時且莫休。國子遺言豈我欺。精荒終古在勤嬉。竆居縱乏薰陶地。篤志寧無進就期。半壁靑燈堪作伴。一床黃卷是爲師。佇看太史占奎宿。報道餘輝照北陲。但共諸生頌太平。腐儒堪笑管邊城。荒沙不見塵埃色。窮巷猶聞講讀聲。豹變陰山驚異彩。鵬騫滄海佇脩程。半年課學功何有。文化遙沾仰聖明。</text>
<title>次金生 晉大○二首</title>,<text>嘗聞關北多弓馬。不道詩書在此鄕。驥背負鹽還可惜。那堪虞坂泣孫陽。不數陽喬登釣易。大魚終古狀垂雲。長風會有扶搖勢。他日南溟再見君。</text>
<title>題給 斗應 母</title>,<text>瓊桃春色可憐枝。綠葉蓁蓁子欲垂。會待高秋成實後。團圓一顆掌中移。</text>
<title>回望七寶山</title>,<text>層欄曲檻望岹嶢。十二重簾隱碧霄。樹影欲隨蒼鹿駕。泉聲半雜紫鸞簫。天神窟裏孤雲杳。玉女峯頭片月嬌。莫遣羣仙揮手謝。緱山他日再招邀。</text>
<title>聞北客蒙宥感吟 三首</title>,<text>凜凜危言耿耿衷。只緣憂國匪謀躬。竆荒大漠三千里。華髮韶顔七十翁。近日嶺南無古道。幾年林下有眞工。枯蘭委葉香猶在。回笑磎桃媚艶紅。長安眞似奕棊形。覆雨飜雲也不停。天地迎來新歲月。關山拋却舊朝廷。陽和政破經冬雪。赫怒元無竟日霆。夫子生還吾已卜。昌辰寧久楚江醒。先朝逐客復冥升。痛哭斜陽望▣▣。今世擧顔增一恥。誰人開口免羣憎。春迴嶺國君回首。雪滿邊關我折肱。一語寧忘同出處。此心曾照別時燈。</text>
<title>李白古風次韻</title>,<text>長懷惜短景。此語向誰陳。徒聞海幻桑。謾詠山有榛。世路方險蜀。何裘不弊秦。近者班行間。稍稍多故人。君誠聖朙主。大恩流八垠。冠裳邃古制。乃今不全淪。隋珠尙閟彩。燕石或衒珍。滔滔眼皆肉。無人辦眞。聞昔皷刀叟。八十釣溪鱗。時來睨牧野。快鷹揚秋旻。誰能借暖律。坐令寒谷春。可憐竆廬夢。前夜入麒麟。其二厥初鴻濛判。天乃懸日月。汲汲勞四軆。東出繼西沒。容光無不照。萬古一光輝。何故造物翁。釀雲復成霏。公然事掩蔽。無計防奸非。問誰操縱此。風伯神而威。驅來且掃去。魯公衣紫衣。其三試問城南道。行者幾人哉。行行長擾擾。去去復來來。擔簦未必愚。擁盖豈皆才。世事多飜覆。天運有闔開。歌鍾忽涕淚。蓬蔂或省臺。枯蘭霜澤畔。御柳春溝隈。騰驤莫懽喜。迫阸休悲哀。涓流基浩湯。拳土階峩巍。層層六陽象。起自地中雷。終古豪傑士。其始卽草萊。終能洗衰俗。手挽治世迴。向來軒車客。埋沒成塵灰。其四文章載吾道。字字皆可珍。何幸逢周孔。何厄値狂秦。稍稍時俱下。誰與灝噩鄰。子雲退之輩。髣髴垢及塵。宋興蔚羣賢。遠溯洙泗濱。一洗千古陋。粹然得其眞。乾坤久長夜。白日倐轉輪。惜哉時命謬。素蘊未能伸。猶能繼先聖。亦足開後人。靑燈卷中對。不道隔千春。終始服遺訓。何殊薰炙親。其五吾道非暗昧。朙如日星列。今人好捷徑。大路行者絶。好是靑山中。水淸沙勝雪。蕨芽拳陽坡。魚唇沫丙穴。身邊野人服。案上眞儒訣。胸中蘊何𧗱。千乘願聞說。官名若將凂。塵念似灰滅。車馬日湊門。炙手手可熱。優孟爲叔敖。眞假誰分別。其六悲歌慷慨士。終古多稱燕。于今異所云。時運或使然。狼望長城內。瀚海易水前。衣冠幻毳氊。腥穢上薄天。草木悲戈戟。禽獸劫旌旃。小臣憶萬曆。皇威海外宣。傷心大報壇。神馭渺茫邊。其七朋黨甚兵戈。朝廷何時淸。但賭眼前榮。不顧身後名。相反似晝夜。和協愧簧笙。時來卽令譽。勢去還惡聲。陰雲自何生。倐忽蔽日星。臣愚如杞人。中夜憂天傾。其八陰魄氣方盛。桂樹多新枝。阿誰上銀橋。云是千金兒。容易擷天葩。香名四方馳。去作玉堂仙。紅藥春風時。朝回衆賓拜。不敢交一辭。東鄰老措大。何事鬂成絲。讀書無所成。兀兀還堪嗤。其九穆王好神仙。年光一百周。靑山却寥寥。白雲空悠悠。神龜與蟪蛄。畢竟同一流。赤松豈有之。人間死留侯。彭殤元有命。藥物不須求。其十佳人年二八。容色天下竗。淸揚畵新就。初日紗牕曜。烱烱一寸心。却向何人照。非無千金子。不肯回頭笑。無端彈別鶴。凄咽不成調。其十一皎皎鰲頂山。杳杳天東海。我昔薄言遊。羽客來相待。一別隔千里。年光幾度改。回頭望瓊島。碧桃還應在。無路再往從。坐惜凋光彩。其十二頑冬寒屭贔。草木無好顔。誰能巧剪裁。六出花其間。飜成律外春。造物亦未閑。入眼皆琪樹。無處不仙山。不省是濁世。太素如或攀。生憎上林烏。點點汚此間。其十三我欲削地面。一一平不平。太行失其險。瞿塘波不生。我欲去喜怒。恬然見性情。機心自消滅。誰復激之鳴。假使無貴賤。而人不爭名。吾言非弔詭。君去問蒼冥。其十四海山雄南紀。盤迴翠終古。洞府太寬恕。其中容醜虜。巖石圍似岸。樹木立如堵。寺觀排營陣。戈戟隱蓁莾。強弩不問鼷。廟謨恥揚武。河魁斂光彩。蚩尤弄天皷。邇來五六年。帝不仁南土。湯天杲杲輝。堯日淫淫雨。一境千里赤。男女泣農圃。秋至吏立門。村厖夜亦苦。臣匪盜賊性。本來非豺虎。其十五北山丈許巖。堪作望京臺。夜深試擧頭。天樞送輝來。乍喜分明睹。幸此無氛埃。敢言耿光遠。自知臣不才。未省露沾衣。佇立自徘徊。其十六李白文章在。淸水露芙蓉。光彩自不泯。終古星斗衝。飛鯨杳無跡。悵望未可從。當時若耶刃。未應敵詞鋒。我欲窺髣髴。藩籬蔽重重。鼻端徒自堊。安得郢人逢。其十七千里嶺嶠人。三年畿甸客。秘思愧草玄。虛室但守白。所幸任天放。免被世緣迫。隨遇且自適。何妨此落魄。其十八天開漢陽城。盤根仰仙李。佳氣鬱葱葱。終南與洛水。相傳贒聖君。惠化八方流。碩輔朝廷滿。贒士太學遊。中興左海國。大明東方侯。誰知山海關。胡人作譙樓。天下舊衣冠。獨此三百州。至今有志士。夜夜望旄頭。尼聖倘復生。定欲居靑邱。太王事獯鬻。此事非忘羞。猶識尊周義。豈乏思漢謳。百年無改運。天道遠而幽。區區保詩書。亦足示千秋。異時黃帝出。阪泉戮蚩尤。旌旗過燕然。快酬百王讎。東溟萬里路。再棹朝天舟。其十九願地無妖草。願天無妖星。願國無妖臣。長使朝著淸。正人在左右。然後王化行。粤昔治平世。賢喆爲公卿。奈何世級降。宵小卄乃冥。欲收天下鐵。鑄得斬佞兵。此計未可成。誰能禁沾纓。其二十思君不見君。朝上太華峯。想君顔色好。玉井嬌芙蓉。想君心內事。歲寒秀孤松。安得我成雲。而使君爲龍。來去太虛間。千古長相從。乍彈相思曲。絃語如水咽。他人雖有耳。豈解聽白雪。每覺鄙吝萌。方信憲似顔。君今何處遊。君復何時還。相去里幾許。相別年幾度。思君廢匙箸。孰非君所誤。翠鬂日以霜。亦以思君故。愁來不成眠。半夜中庭步。或冀靑鳥先。睠言西方路。靑天會快覩。庶幾披雲霧。其二十一富貴與貧賤。分劑皆關天。趍避如有𧗱。賢聖當相傳。流水日夜去。曲折盖萬千。所遇盈則進。勉君聽其然。其二十二孤燈到夜半。四面無人聲。覊人耿不眠。束帶待雞鳴。思量萬古事。磊落丈夫情。堪笑一紅紙。使我誤平生。行年餘四十。不聞有眞榮。此心無定鄕。搖亂如懸旌。寓懷無過詩。信筆寫不平。其二十三幽人無一事。睡起山雨綠。急向前池去。初非被迫促。盡日繞池行。此身誰縛束。臨池不求魚。大魚跳相續。待渠且變化。漢王豈久蜀。太公不會事。日釣磻溪曲。方長宜勿遏。此理吾已燭。其二十四爲商在道路。爲農在阡陌。衣冠爲士子。當在詩書宅。方寸起經綸。事業圖煥赫。而我何爲者。念之增惕惕。從今愼擇𧗱。毫忽分舜跖。其二十五咸陽宮裡帝。豈知桃花源。桃花有新枝。天下已蹶根。驪山項王來。金棺寂無言。當時苦起土。故向桃源奔。土崩未快覩。却恨鎖洞門。其二十六武王自岐山。箕子來朝鮮。商家舊寶玉。忍見成寒烟。六七賢聖法。獨向東方傳。一變齊爲魯。禮義數千年。所以三烈士。丙子拘北邊。其二十七自懽離別儂。儂愁一百端。或言臨邛女。與懽作新歡。儂心也不信。秋至憂懽寒。挑燈試裁衣。一縫四五歎。懽來會有日。朝起理靑鸞。其二十八飛沙走朔野。戍客㤪北風。猶勝在家人。杼柚吟大東。七月天旱甚。木綿如焦蓬。虛筐任棄置。寒女難爲功。徵布必以秋。報秋憎壁蟲。征衣未暇謀。含淚聽歸鴻。其二十九在位宣敎化。爲民出絲麻。各各事其事。事緖不紛挐。闒茸坐府省。贒豪卧雲霞。持此以求治。何異於炊沙。君王盍念玆。毋令有識嗟。其三十十一月之半。春氣冉冉還。政合厥民析。不須論閉關。消破崢嶸氷。洗濯瓦色山。句萌太早計。閃動也不閒。顓頊失其職。退避足羞顔。或疑星曆家。誤了推步間。吾欲詰之天。高高未可攀。其三十一枯葉着樹間。得風鳴不已。頓令楡關夢。未得越萬里。生爲丈夫身。且可裹革死。時淸無所試。白髮而已矣。彈釰忽起立。白日流如水。其三十二巍峩冠切雲。璀璨珮朙月。製荷以爲衣。芬芳也不歇。或恐塵泥汚。跬步不敢忽。分付搏桑日。莫向崦嵫沒。及玆未暮時。縣圃軔當發。其三十三蒼茫蓬萊島。此去三千里。中間險阻甚。高山與深水。遙遙東指車。始自今日起。行行愼行李。不至且無已。其三十四後王薄秦帝。未肎修長城。長城苟罔缺。虜甲無處鳴。監前慚水鏡。懲後失權衡。坐使塞上塵。不見百年淸。甚者瀍洛間。陸梁燕支兵。幾箇豪傑主。勞勞事北征。海內日以弊。齎送困居行。八月關山雪。肅肅天氣晶。中宵將士淚。落盡胡笳聲。誰將倚天釰。快斬橫海鯨。驅馭一失幾。天下大亂生。所以皇漢後。中國少昇平。其三十五牛山無美木。盖與大國鄰。世主無善政。比之由匪人。巧言足眩聽。令色能亂眞。朝晝所酬接。牿盡夜氣神。似忠非愛君。憑公實謀身。浸浸罔能覺。奈何不胥淪。所以禹祭酒。闕下持斧斤。其三十六故吾猶今吾。不見有新聞。居然成魯莾。只緣離別君。聞君進不已。繼晷膏仍焚。媿我處窮谷。倀倀獨無羣。相思至日夕。散步咏停雲。百金願買鄰。終老襲淸芬。其三十七憶兄愁看雲。慕先惕履霜。寥寥默齋居。杳杳向日堂。小少學遠遊。老大徒自傷。詩書是舊物。日夜在我傍。以此慰旅情。以此送年光。脫一句 弱喪不能返。念之沾我裳。其三十八伯夷生商末。獨歎虞夏沒。千秋皎皎情。寄與西山月。遂令宇宙間。淸風吹不歇。近者北去使。能無愧汗發。其三十九何處是九泉。長夜殊漫漫。由來無冬夏。豈復識饑寒。伊昔在華堂。春酒漾微瀾。飛來三足烏。忽忽西林端。畢竟同亡羊。休論梟與鸞。世人苦營營。牖惑良亦難。又一本東風二三月。大地春漫漫。紛紛百千卉。知暖不知寒。天霜乍行威。傑卓立癯巒。人生足禍福。行樂招辛酸。有來必有去。安得少盤桓。吾言如不信。看取東逝瀾。其四十君誠席上珍。滿腹▣琅玕。君飢似鳳凰。非練實不飧。君心如止水。終日不生湍。雪牕坐點易。不道牛衣寒。竆巷不宜君。胡不於朝端。問君君不答。使我徒長歎。其四十一黃帝貴無爲。帝舜垂衣裳。日月自順軏。萬古垂輝光。異哉夏禹氏。腁胝過六霜。一饋勞十起。矻矻企三皇。赤松學道眞。瓊臺吸天漿。子房妄效之。身死萬戶鄕。寄語搶楡鳥。莫學神鷹揚。其四十二樓臺夾兩岸。漢水中間流。王孫樂春酌。錦筵集朋儔。謂無靑雲念。故近白鷗洲。欵段何處客。難借片時遊。其四十三試引北海水。作我眼前尊。可將戶寬窄。且與長鯨論。堪笑醫家說。大醉損眞元。愚僑戒贒兄。碌碌不足言。我知醒狂者。不如醉死魂。其四十四願得萬丈繩。掛之搏桑枝。縛此東來日。使無西邊移。然後對萬象。雕琢以爲詩。百紙復千紙。堆毫敗絲絲。除却此一着。學字復何爲。其四十五天地寒風起。靑山黃葉落。神龍斂雨色。寂寞藏深壑。咄咄南方客。棲棲何所托。厨人無遠圖。云乏禦冬藿。其四十六遊子懷故鄕。人情乃其然。所以竹山夢。夜夜於榮川。幷州累移家。幾處好雲煙。非無會心境。不曾來枕邊。奈何尻輪轉。必向某邱天。代馬依北風。此性難棄捐。夢回步中庭。片月掛穹玄。其四十七手撚絲絲髭。坐憶童子日。五歲學文字。人言有美質。十三領經旨。移脚可踏實。十九出世路。初心漸放失。四十成濩落。秋風又蕭飋。其四十八近知周易好。頗欲竆鬼神。茫茫滄海岸。何處是眞津。此理如不悟。終當負爲人。願得仙神藥。回老作靑春。讀至千年久。也不言苦辛。其四十九昔遇一道人。謂我有仙姿。授以長生說。拳拳期奉持。烟火壞眞氣。秋霜上鬚眉。道人今不見。瞻望徒自悲。其五十戈揮退白日。虎發開頑石。匹夫立睨柱。萬乘還其璧。寸心雖云微。至誠能通眞。古來有志士。事業壽貞珉。其五十一白日走西海。天下一時昏。覊人悄無語。寂寂關柴門。安得酒如泉。滿尊不渴源。左右列琴瑟。前後羅嬋媛。新製三疊歌。心事曲中論。其五十二日月無停輪。四序自迴薄。可憐七尺軀。幾時世間托。男兒膓故大。徒然厭藜藿。默默坐深夜。孤燈花自落。其五十一高高九峯山。藹藹一道雲。請看天上合。盖從石底分。物理有感應。同氣自成羣。神龍不自神。變化也待君。其五十四天賦鵂鶹性。但令夜有目。白日無所見。斂身竄山谷。牛山不鄰齊。斧斤豈侵木。李斯不相秦。終應保其族。大蛇枉當道。老媼乃夜哭。其五十五駑無善步。鴟鴞無好音。秦俗稱士悍。鄭風穪女淫。地勢卑而湫。衆流來相尋。鐲鏤忍子胥。其初亦良金。楚江非嫉忠。乃令三閭沉。同是梧桐材。或爲舜殿琴。其五十六陰雨過西邊。白日在東隅。秦亡及漢興。一片長安都。紛紛道路間。相雜歌與呼。區區百年身。無奈寵辱紆。其五十七西林有密葉。衆鳥之所依。鳥來亦無數。而葉不呵揮。雖多足以容。請鳥無遠飛。他山縱有樹。他鳥已先歸。其五十八人君方寸地。自有黃金臺。棄捐不之修。樂毅何曾來。滔滔九層築。岌岌亦殆哉。河上將歸操。千古使人哀。其五十九逢君花爛熳。別君柳成絲。君心如砥柱。水至也不移。我心如靑松。歲寒以爲期。毋如天上月。有盈復有虧。太行亦平地。康莊或險𡾟。君有兩輪車。直驅去莫疑。男兒異兒女。不須惜分離。只恐心中約。中道便差池。君子贈以言。此詩倘替䂓。</text>
<title>待新月篇</title>,<text>金鴉西側翅。斜影看看沒。里老待月來。東向坐以兀。年少爭先覩。飛步凌峍屼。天晴豁雲霧。野曠低林樾。簇簇衆人指。齊攢東峯崒。遙遙載蟾輪。何處初整軏。滄溟倘眼前。直欲乘桴筏。新月如飮食。待者如飢渴。月如吳楚櫾。待如病憤厥。待者如逐臣。新月如丹闕。待如在閨婦。月如戍邊卒。借問待何苦。爲月是新月。稼穡此可卜。龜策不須謁。色赤招暵咎。輝白速潦罰。淡知田收小。濃識苗興勃。占地分高低。取驗懸秦越。其應若影響。玆事非怳惚。所以待月人。奔走也不歇。輿望良難塞。淸光故遟發。哀此蔀屋氓。終年常搰搰。醫瘡復剜肉。徵督甚蛇蠍。雖逢歲時至。可柰甕盎竭。夕無相舂碓。朝未黔炊堗。前年非不豊。卽今厭糠麧。尙冀秋成後。子粒流匙滑。相携忍饑坐。妄測造化窟。剛風吹倒衣。不言寒砭骨。回瞻洛城裏。赫赫好官閥。每言俸祿薄。肯恤根本蹶。謀猷但苞苴。事業惟黨伐。坐令閭井間。弊瘼多於髮。誰知邦國勢。暗裏就𦤞卼。恬然樂昇平。氣焰何浡浡。及此佳辰届。追逐聯轡钀。邀月好樓臺。良宵怕倐忽。樽醁漾波濤。盤肴羅肥腯。爭言今夜月。政爲娛紳笏。以此試較彼。枯壤與溟渤。天賦苦不齊。人事極歎咄。枯壤得春雨。乃成雞頭鶻。溟渤有時變。且見塵埃𡋯。三陽交泰漸。始自上履幭。盈虛自不竆。月圓而又朏。或言飮月樂。其身多膏鉞。不如待月苦。老死於農堨。此語莫浪傳。聞者色應艴。</text>
<title>大姑壽詞</title>,<text>人女復人婦。如妾幾人哉。舅家不可留。父家不可回。妾身如許微。天地如彼寬。至微處至寬。而難一日安。憶妾髮未燥。慈母棄幼女。養女無如母。棄之何處去。柔膓過於情。呼母日叫苦。阿爺有新婦。阿女有新母。育我同生我。天下無不是。阿女不知孝。自絶于天只。父子人難言。不才亦言子。崑山擇潤玉。光彩照門楣。阿女但聽命。童騃何所知。隨卽入舅家。時年十有奇。阿舅撫我頂。阿姑撫我背。視婦如視女。過蒙由情愛。此恩如可報。不敢辭糜粉。粗隨井臼役。每事唯諾勤。日月曾幾何。春秋遆相禪。冉冉三五歲。駸駸二八年。顧憐天賦薄。兼之疾病纏。公然悴顔䫉。怳望旺榮衛。伶俜五尺身。長似初來際。中堂會舅姑。相顧語更細。我家素鄙賤。世業在菑畬。者迎此婦。本欲助耘鋤。婦來亦云久。壯年黃口狀。三之日擧趾。何以田畯餉。吾兒不甚劣。吾家不甚貧。持此求賢婦。何處無可人。東南三十里。利川松溪濆。迴墻第幾宅。處子長成云。媒婆在鄰家。今日豈欺我。春風氷欲泮。祗恐佳期左。呼妾道所以。許妾任所之。陰雲羃四山。寒日凄無輝。東西與南北。處處足路歧。含悲出中門。涕淚但交頤。阿舅有偏母。獨居西山側。老人心故弱。見妾倍惻惻。念妾無所歸。謂妾於我卽。谷谷生人佛。俚諺良不忒。投人學竆鳥。乞憐同涸鱗。強顔入厨中。匙箸稍羅陳。還將事姑心。復事姑之姑。有時悄怳惝。逍遙步自虞。昭陽亦咫尺。長信卽天涯。聽說東鄰春。已放夭桃花。曉日新人來。香風送氤氳。鴉靑錦纏頭。茜紅羅長裙。酒澠又肴阜。綵帳高齊雲。舅姑在上頭。新人跪進幣。頎頎碩而大。允也丈夫儷。前郊百畝田。一朝可種藝。耒耕及鎛薅。何事不可爲。佇聞滌塲後。倉廂頌千斯。賓客齊獻賀。舅姑歡不極。姑歡未易得。新婦盡婦職。妾豈㤪舅姑。妾豈㤪所天。爲姑欲擇婦。人情固其然。爲子順親志。孝道孰大焉。形骸不如人。唯恨命途險。定非富易妻。不敢歌扅扊。此懷向誰說。寂寂重門掩。言念女事夫。一定無所易。如歸父母家。恐被他人迫。猶能隨大姑。揆分亦云足。他時大姑死。此身復安託。妾願彼天日。照臨妾心事。長使大姑壽。千祀更萬祀。</text>
<title>除夕五歌 五行軆</title>,<text>一更玄令猶北陸。風動虛林無靜木。雕山杳杳四百里。蕭瑟荒原草已宿。推恩有典親不待。邇班榮光身被獨。斑斑之服爲誰製。蓼蓼者莪那忍讀。嗚呼一歌歌當哭。二更寒威未可禁。坐憶昆朙鳥嗽金。屑着釵頭影煌煌。新粧恰得聖人心。蛾眉古來足薄命。謠諑今人穪善淫。燈前試拂廢箱塵。只有當年補裳針。嗚呼二歌不成音。三更欲眠復起坐。百愁燒成心曲火。春萱堂下常棣華。俯仰人間餘幾朶。兄年朙日六十五。鬢邊秋霜鏡中嚲。天寒無計撫背問。可奈逍遙初約左。嗚呼三歌淚雙墮。四更更漏鳴不已。天時駛駛如流水。歲去仍有歲繼來。我死繼我還誰是。山南長女遠父母。有行堪憐女子子。卽今少女雖在側。異日終如乃兄耳。嗚呼四歌增酸齒。五更塒雞翼頻皷。鳴和秋蓮帶赤土。男兒少小眼孔大。餘子紛紛也亦數。棲遑半世果何爲。紅紙功名悔早取。雄心飜作伏櫪驥。一夢蘭臯驕步武。嗚呼五歌聲更苦。</text>
<title>鼎排山</title>,<text>上帝手弄生生化化機。斟酌元氣之溟涬。紛紛萬品皆被其曲成。洪者纖者凡幾等。謂言主器無如震。乃命句芒鑄大鼎。始有斧牙獸齒。戮力輸金鋌。繼以長項短尾禽。吐火何熒熒。陰陽之炭造化罏。鬼施神設誰能詗。火風忽相盪。怳惚光烱烱。上圓與天比。下方與地並。兩角削成耳。三面撑作脛。經歷萬年久。盤據十里逈。奇巖位上九。玉鉉故在頂。雲氣是縷煙。仙官也煎茗。黃帝退縮顔生騂。神禹敬服色徒頩。楚子不敢問。况敢思制梃。項籍不敢扛。拔山成㱡殑。避秦沉泗水。小節太悻悻。遇漢誇瑞彩。聞之足齒冷。抑惟鼎之道。烹飪乃肯綮。鼎名雖好鼎實無有。如內衣弊縕外錦褧。又如會㴉川。虛對畵中艇。上帝辛苦鑄汝將焉用。民飢且死不知拯。忍見蔀屋眉齊攢。百憂不出熲。句芒據身長子位。無所猷爲但搢珽。縱有鹽梅不能調。遠慚傅說殷家挺。上雖盛水下無火。不如兩國使乘𨋬。癏職不受罰。帝亦醉酩酊。蟣蝨小臣粗知革物義。願向帝傍一欬謦。老婦嗜昏睡。無望績麻穎。農人拋耒耟。何以治畦町。明命苟赫布。婾懶可提醒。從今用大烹。下養聖賢上薦于帝以酌浻。然后鼎名副鼎實。曰有長子帝其肎。噫吁嘻。帝居高高未可干。帝聽如聾視如瞑。</text>
<title>應旨製進阜財解民慍。排律二十韻。</title>,<text>天道無他只在仁。自然羣品囿陶匀。德非廣運誰能測。化到潛周始覺神。四序成功歸庶尹。一團元氣在吾身。鳳儀獸舞羣和應。星出雲興百瑞新。耕鑿謠傳人自得。蠢蝡恩被物皆春。蒼生盡入雍煕域。朱夏初逢長養辰。穆穆紫宸開黼座。遅遲黃道轉陽輪。五絃乍引希音發。一曲庸歌聖意陳。按節祝融官不曠。知時風伯令應遵。徐來不學鳴條異。遍過方知尙草均。手語互宣如有導。氣機相盪自無垠。星辰日月調膏燭。黍稷稻粱足廩囷。髫白已看皆皷舞。疲癃寧使有吟呻。澤流雨露豐年累。患絶飢寒上瑞臻。和氣一人方寸地。歡容四海億兆民。天心格處知由我。聖德推來見及人。氣感乾坤交作泰。惠淪肌骨醉成醇。歸來後代光華逖。精一吾王旨訣循。良役每詢弭㤪策。首春先下勸農綸。爲君只合求如舜。詩替箴糾拜小臣。</text>
