<title>九歲作此。偶續成之。自註。上句兒時作。</title>,<text>白日落西海。化月歸東海。陰陽自循環。造化無定態。</text>
<title>補築都城不遂</title>,<text>[本文缺]</text>
<title>夜坐</title>,<text>虛明夜深後。不語豈參禪。月到天如沐。風微柳欲眠。幾硏羲易象。調古舜琴絃。一曲望洋曲。神機自黯然。</text>
<title>蜀女魂</title>,<text>物化初徵自蜀時。抑爲繭者必爲絲。渾成一疋天河錦。巧手爭稱織女奇。又用尙周文行夏時。經綸大業起於絲。良能不驗三眠後。莊夢誰知變化奇。</text>
<title>偶吟</title>,<text>乹坤恒簡易。變化有陽陰。月到天如水。日昇海化金。往來各南北。出入互升沉。一理循環處。悠悠萬古心。</text>
<title>聖道吟</title>,<text>眞知又涵養。實軆保虛靈。月到天心覺。雲收嶽面醒。自能皎白日。何必悟明星。生死雖云大。違天柰不寧。</text>
<title>蜀女魂。押前韻。</title>,<text>三眠才罷上薪時。滿腹經綸自吐絲。如何稍食山東物。舞得機心詑巧奇。又到得經綸滿腹時。精微蘊處吐成絲。虞家自有文章手。絺得山龍繡作奇。又夜深潛聽役薪時。葉間踈雨細絲絲。金梭自被蘓蘭擲。怨入回文巧織奇。</text>
<title>夜坐偶吟</title>,<text>萬事悠悠一古今。盈虗消息秪陽陰。心中悟得無窮妙。深夜無眠獨自吟。又霽月涵窓頓破陰。凈輝偏照大人襟。誰知陽復眞消息。一氣淸新子夜心。</text>
<title>夜心吟</title>,<text>夜心將月覺。山境得雲奇。已燭禪家誤。知無似是非。</text>
<title>悶俗</title>,<text>敎化久淪喪。政法亦無平。放僻與奢侈。乖悖日時生。又仁敎久無作。義法亦不張。下凌而上替。綱紀日消亡。</text>
<title>悶</title>,<text>運屬生靈大殺關。飢荒癘疫十年間。松虫熾滿山川渴。不知天意果何端。又松虫食盡京山葉。遍邑漫郊及四邊。山川枯渴乾文晦。癘疫飢荒幾十年。又流離無處訴。哀我四窮民。五十年前事。猶記惻怛仁。</text>
<title>悶</title>,<text>欺詐以爲高。詭譎以爲尙。肆然無忌憚。公行大道上。</text>
<title>七䧺</title>,<text>利害相傾奪。詭詐以成風。仁理都淪喪。秦俗㝡窮㐫。</text>
<title>說客</title>,<text>流言售奸計。行貨濟陰謀。吮癕舐痔輩。陋哉鄙鄙夫。</text>
<title>儒俠</title>,<text>外儒內任俠。聚朋濟其奸。文章爲網罟。包羅天地間。</text>
<title>哀村中老古民</title>,<text>天地中間大殺神。公然𥚁我一邦民。可憐蒿里纍纍塚。盡是村中古老人。</text>
<title>夜坐</title>,<text>園𡬾蒼蒼盡入雲。參差柯葉錯成紋。夜靜院深人不寐。卧看山月漸生輪。又夜畫天然滿地奇。分明樹影落參差。無邊光景無窮興。正是東峯月上時。</text>
<title>秋夜感懷</title>,<text>憭慄秋懷百感叢。坐看晴月上寒空。可憐貞谷歡娛地。五十年前似鏡中。</text>
<title>述懷</title>,<text>鳳瑞龍圖揔是空。宣尼不復夢周公。世事斂來家及己。漠然無事一心中。</text>
<title>憶伯舅僉正公</title>,<text>淸高寡慾槩無倫。自是當今第一人。豈似以儒爲號者。反隨流俗味風塵。</text>
<title>哭內從兄際仲甫</title>,<text>休休之德寡其倫。儘是恢弘長者人。怊悵九原難可作。杏村回首淚沾巾。又葱竹當時我少公。內從兄弟志仍同。公之葬也無由送。淚灑西天日暮凮。</text>
<title>化神吟</title>,<text>化神精妙處。惟有上天知。道業因三德。行藏與四時。傳心千聖統。垂法百王師。玉振金聲比。信乎我仲尼。</text>
<title>老子</title>,<text>嬰兒太簡率。玄玄非極深。虛無因應術。豈是聖人心。</text>
<title>佛</title>,<text>實理歸幻妄。幻妄做爲眞。養成虛假象。誤了愚迷人。又自便還忘道。惜生不顧倫。妄倡輪回說。永爲大禍根。又般若非眞智。菩提豈眞道。貪生不安命。樂爲陰鬼主。又眞如非藏密。自在非窮神。方便豈權道。慈悲豈眞仁。</text>
<title>老佛</title>,<text>佛氏不知命。老氏不知人。一是主權詐。一是魁陰神。</text>
<title>築城</title>,<text>[本文缺]</text>
<title>傷凮俗</title>,<text>上下名分亂。親踈禮樂衰。異哉蒿里葬。絃管送靈輀。</text>
<title>悼李生徵休</title>,<text>善人云忽逝。令我愴神情。禀性端而正。持心公且明。知非恥飾詐。聞善悅眞誠。仁壽天難諶。寧無憾恨生。</text>
<title>悼族孫日煥 自註。此人好學。將期大成。有志未就而夭。可惜可惜。</title>,<text>不幸吾門運。痛乎爾至斯。推誠尊所學。一意向其師。志篤眞儒術。行遵古禮儀。天胡奪之速。長作士林悲。</text>
<title>道俗</title>,<text>經術無崇奬。文華以取人。豈有文章士。能自辦經綸。</text>
<title>歎</title>,<text>無禮無以立。非樂亦不成。如何今世樂。專尙鄭衛聲。又道喪禮樂亂。巫風日以深。端本淸源意。春秋聖人心。</text>
<title>秋興</title>,<text>森羅衆象入包涵。經濟山林豈是貪。鷲𡽹風來雲影北。鳳江秋濶鴈聲南。菜成後圃香新美。稻熟前郊味欲甘。觀水有時川上在。夕陽魚躍綠莎潭。</text>
<title>謾吟</title>,<text>皇天欲雨嶽生雲。候管昏占北斗文。明月欲生天欲笑。自註。用俗語。 和風微動樹微欣。池邊蛙皷終宵聒。林外蚊雷自遠聞。霞錦滿空朝日出。檻前群鳥語慇懃。</text>
<title>天人吟</title>,<text>天人之際極深精。玩到無心與有情。日月去來燈照耀。山川高下畫分明。蛙吟孟說終宵講。燕誦論經盡日評。自註。魚得江之諧語曰蛙誦孟子獨樂樂章。燕讀論語知之謂知章。朝鮮語音。適相類故云云耳。 禽鳥尙能喩聖學。矧余靈性出群生。</text>
<title>寫志</title>,<text>經綸初志掃無餘。悵望周公一夢虗。專心五帝三王道。寓意春秋大易書。籬菊謾開靖節宅。巖扉空鎖鹿門廬。無言只合全身命。莫向人間問魯魚。</text>
<title>寫意</title>,<text>寒江空繫一虛船。悵望唐虞尙慨然。萬事卽今歸脫屣。行藏隨意信靑天。</text>
<title>秋興</title>,<text>風濶雲千里。山高月仲秋。琴書吾自樂。餘外儘悠悠。</text>
<title>秋感</title>,<text>崢嶸千嶂氣。蕭瑟萬林聲。中宵搔白首。只是爲蒼生。</text>
<title>恨</title>,<text>朱門相傾奪。赤族迭罹殃。春秋與禮記。反作陷人方。又設機爲陷阱。是乃罔人道。其生恣椎剝。白骨猶徵布。又文章與車服。本自別尊卑。下民日凌上。綱紀已無爲。自註。賤人皆乘四人六人八人轎。紀綱頹敗甚矣。又無端宮中隷。七日辱大臣。是由因何起。綱紀若是淪。又以無而爲有。以有而爲無。橫罹奇禍者。但向蒼天呼。又是者反爲非。非者反爲是。道大莫能容。不容何傷爾。又今之野乘者。顚倒非與是。所譽擧同類。所毁多異己。又私意大橫流。正道盡淪梏。禮樂久不興。民無措手足。</text>
<title>題樂琴軒</title>,<text>山留千古色。花有四時春。晩歲琴書樂。心閒隔世塵。</text>
<title>川上</title>,<text>瞻彼閒鳧自在游。夕陽魚躍興悠悠。生生接續無窮意。逝水滔滔流不流。</text>
<title>秋意</title>,<text>節序如流逐帝車。夏炎消盡已無餘。傳聞秋府多行敕。鴈字空中幾寫書。</text>
<title>石榴</title>,<text>輕蔑倫常娛寂無。丹成舍利摩泥珠。已有還生不死術。得藏仙藥汝南壺。</text>
<title>梔子</title>,<text>鮮支黃爍氣自和。簷葍吾知得香多。四德常主四時氣。六稜元因六出花。</text>
<title>祀典</title>,<text>天地與人鬼。祀典怠不行。生理神靈感。其誰事不誠。</text>
<title>無題</title>,<text>罔法設陷阱。掩取都民財。親眷眞爲樂。下民甚可哀。</text>
<title>生理</title>,<text>陰陽五行理。渾是生生仁。不是塊然物。靈應隨屈伸。屈伸變化妙。至誠不測神。</text>
<title>非事佛與淫祀</title>,<text>怠廢當祀典。專誠事淫神。其心在徼福。不知是禍因。</text>
<title>寤述夢中意思 自註。下句狀微醉氣像。</title>,<text>人間樂事此無窮。千里諸賢揔會同。三十六宮春意滿。氤氳涵在太和中。</text>
<title>斥淫</title>,<text>害正滅生理。豈可事小人。窃天亂造化。豈可事淫神。君子輕利害。雖死必成仁。</text>
<title>失題</title>,<text>如雪如霜玉作峯。萬山松檜繞丹楓。凌秋嶽色浮天秀。爽氣新生活畫中。</text>
<title>無題</title>,<text>江流浩浩去無垠。洗我胸中無點塵。日落平沙秋色遠。渺然相對畫中人。</text>
<title>無題</title>,<text>殺癘甚於劒。豺狼未足獰。山山埋白骨。道道出紅㫌。率土皆罹禍。仁天豈不靈。哀哀孤寡哭。寧欲莫聞聽。</text>
<title>途中秋興</title>,<text>山如隨馬去。水自向人來。無限秋容好。天然活畫開。又水靜兼天色。雲高自雪山。依然秋色裡。人在畫圖間。</text>
<title>挽朴參奉浩然</title>,<text>我惜學術淺。固陋寡知聞。幸蒙君子訪。許以交相親。雖無德可稱。不孤幸有鄰。一見長我智。再見輔我仁。歎君造詣高。學深窮天人。守窮老彌篤。甘爲原憲貧。將期士林間。禮儀日彬彬。陽德忽不張。哲人遽云亡。斯道日益孤。是我增悲傷。聞公卽遠近。泉路何杳茫。非無鷄與絮。躬自奠一觴。天寒道路長。衰老難自強。臨凮一長吁。涕淚空沾裳。</text>
<title>哀李老兄長源浩如</title>,<text>吾友李浩如。人中眞善人。眞誠惻怛意。質美幾乎仁。氷壺瑩無累。湛然不緇磷。忘年早相從。千里交有神。將期水石間。同老畢此身。相離幾日月。渺渺隔一津。那知好精神。今已化星辰。凶音自何至。衰淚空沾巾。聲容漸杳漠。往事如隔晨。乹坤少知己。出門將安臻。將此千行淚。灑向南溟濱。</text>
<title>挽姜仲美</title>,<text>失吾一良友。誰與說交情。雅望人無間。䧺文世有聲。久屈屠龍籍。空留司馬名。幽明違永訣。衰淚謾沾纓。</text>
<title>眞源吟</title>,<text>眞源元活潑。多是靜中明。江月隨流異。嶽雲遇感生。淵魚常浩氣。林鳥自和聲。物各因其則。自註。一云物物循其則。 方知造化情。</text>
<title>爲客廣城久</title>,<text>慣熟江都勝。摩尼日眼前。海門雷撼壑。山外鏡浮天。潮有送迎水。凮隨順逆船。月明秋色裡。歸鴈杳雲邊。</text>
<title>江夜</title>,<text>沙堤練下上。江曲鏡東西。淸點秋雲影。響流過鴈餘。依微千疊畫。彷彿幾行書。皓月生東嶺。明光發太虛。</text>
<title>潮</title>,<text>憶昔彬彬禮樂風。秪今王化在吾東。海信亦知勤事意。輪廻日日再朝宗。又憶昔渢渢大國風。至今王化在吾東。潮信亦知尊大義。往來朝暮再朝宗。又三代文明幸一觀。秪今東國齒衣冠。海潮尙解朝宗意。日日中原再往還。又憐我將危分我灾。至今遺澤入人骸。海潮尙解朝宗意。日日江南再往廻。</text>
<title>廣城</title>,<text>形勝吾東國。所多禮義才。北辰天險設。南紀捍門開。海口重重險。潮頭疊疊來。是何非洚水。胡自逆流廻。</text>
<title>潮</title>,<text>江漢朝宗海。寒潮日日廻。不知秋色裡。何處鴈聲來。</text>
<title>雨後遇風</title>,<text>夜深風欲定。波浪問如何。眼昏難看字。無事卜燈花。</text>
<title>夜坐</title>,<text>日入群動息。客懷正寥寥。夜深猶不寐。兀坐聽寒潮。</text>
<title>廣城</title>,<text>長江千里海門開。天外潮聲震地來。大氣循環元有運。屈伸朝暮去仍廻。又包括山河大。摩尼作海門。江流拱北嶽。潮信自中原。勢與風威立。聲連鴈陣喧。莫是鯨鯢怒。三山吸欲呑。自註。一云一吸呑。</text>
<title>曉潮</title>,<text>初謂獰風激。旋疑十月雷。曉起開窓見。潮頭萬里來。</text>
<title>客中閒吟</title>,<text>風定天心靜。日和鳥語溫。客中何所事。披易玩乹坤。</text>
<title>秋江吟</title>,<text>嵐氣初收朝日紅。平沙漠漠水西東。秋波淡淡澄如許。無限靑山出鏡中。</text>
<title>路中吟</title>,<text>秋光引我通州去。正値三江九月時。沙渚忽驚喧閙起。往來潮信鴈先知。又漠漠平沙渺渺洲。千行鴈點幾雙𩿨。漢江水貫海門大。三角山從天上浮。半面灝光昇嶺月。一聲淸籟滿空秋。輸將無限丹靑意。摸在有聲畫上頭。</text>
<title>動靜吟</title>,<text>當靜時安心不妄動。當動時循理不苟靜。當動靜不失其當然與本然。是乃安分是知性。寧有安分知性而不知命。</text>
<title>冬雨支離 自註。一云憫災。</title>,<text>已苦淫霖苦。又驚十月雷。率土皆癘死。緣何有是災。</text>
<title>偶吟</title>,<text>荀莊侮聖老爲宗。千古泯泯禮樂風。山嶽亦迷夷狄道。佛頭千點撒秋空。自註。山號稱佛頭靑故云耳。</text>
<title>三田浦</title>,<text>秋後乾坤氣像新。江光嶽色洗精神。平沙漠漠人如蟻。遠𡬾依依秋有痕。先後鴈聲斷又續。往來郊路會仍分。盈虗消息尋何處。萬古長空一鳥群。又平沙渺渺秋江空。無限丹靑活畫中。朝朝暮暮三江步。來復來人西復東。</text>
<title>莊佛</title>,<text>虛無與寂滅。一虛一則僞。因應與緣覺。一詐一妄耳。</text>
<title>記通津李善運</title>,<text>通津有壯士。名姓李善運。腋下有肉翅。斂勇能謹愼。遇虎折其腰。壯哉一拳殞。若使施其才。力足破戎陣。幸生太平世。朝廷置不問。年今八十餘。徒自懷壯憤。</text>
<title>曺將軍 名夏正</title>,<text>君不聞曺將軍。神勇一何壯。近有金翼虎。自註。一云李方伯。 古有李飛將。</text>
<title>冬雨久</title>,<text>冬雨支離浹月行。飢荒癘疫奈民生。朱門共享昇平樂。大德誰推惻怛誠。日月晦蒙喪神彩。山川枯渴失精英。堪嗟尼父周流日。一曲西河怨不平。</text>
<title>哀李丈保晩</title>,<text>先生好高尙。自是隱者流。質直本公平。持論和而周。超然自不覊。於世無所求。一枉長者轍。訪我皇華坊。忘年托神交。期以范與張。從容合席間。談笑見天眞。天然伯牙調。聲聲都是春。無端別離曲。泛泛張翰船。風燭一散後。倐已三十年。高風尙在心。聲容已杳然。空餘心方曲。尙記融融絃。</text>
<title>挽沈承旨直夫</title>,<text>憶昔太丘座。始吾識季方。追隨長咫尺。情誼不尋常。金牓元名譽。銀臺豈寵光。謝家雙玉樹。餘慶定無疆。又停雲莫怊悵。樑月已荒凉。如何君作劒。割盡我心腸。</text>
<title>悶旱喜雨</title>,<text>皇天悔禍特垂仁。忽吐絲雲嶽意新。一注沛然時雨下。夜來靑苗頓精神。</text>
<title>挽崔友鎭漢</title>,<text>無學自廉恥。執性固如金。窮餓能有守。死猶不改心。</text>
<title>挽許去非</title>,<text>坦性元容物。文章亦巨魁。見難能義氣。臨事自奇才。有抱人何識。無忮世還猜。可惜拯人志。終成寂寞灰。</text>
<title>弔李宜白妻元氏</title>,<text>此婦人。乃戚姪李宜白婦也。容顔絶特。性仁孝好禮。事舅姑竭力盡心。每事以養志爲主。能不有其身。眞古之賢哲也。余感其德。賦四韻一詩以頌服焉。貌有班妃秀。德兼孝婦誠。梅萼當春潔。潭心得月明。思忠能養志。力竭自妄形。假使天精降。應知織女星。</text>
<title>哀吳將軍 名伯周</title>,<text>將軍出抱州。雄武冠衆人。禀得仁厚性。藹然常若春。誠孝出於天。推之能事君。與物自無競。一見知其仁。逢人卽開口。渙若平生親。同仁好施與。大小無不均。四海視兄弟。知其本同根。善世不伐能。滿腹皆誠眞。謙恭又克儉。知公能謹身。心無害人意。白圭無碯磷。悖常越分言。一不搖其唇。懷恩不忘舊。信義溢聽聞。身貴本無附。亶是正直臣。形身自健壯。勇力儘絶倫。餘事射御技。亦能超凡群。御善王良範。射得由基神。平生報國志。懷抱不得伸。臨終一言行。有足動鄕隣。將軍今已矣。何處望容塵。臨凮一大慟。衰淚空沾巾。又量寬馮大樹。德厚郭汾陽。誰知懷義士。忠孝貫千霜。又將軍雖不文。天質本寬仁。是公侯心腹。吁嗟是乃麟。又臂有兼人力。弓能妙穿楊。善世無依附。然後是剛腸。</text>
<title>坐夜</title>,<text>靜中天理本昭昭。玩到羲文細入爻。雪月滿窓房內白。不妨無燭坐深宵。</text>
<title>懷亡友李老兄海如</title>,<text>海如不覊士。脫畧性䟽朗。外雖近遊方。內實不放浪。崇儒克好賢。厥志儘高尙。狷介實剛明。心公自周遍。待人出誠懇。雖直人不怨。逍遙天地間。不憚江海遠。平生伯牙曲。深得山水趣。淡淡更融融。天然古人意。與我本神交。自與膠㓒比。和凮與月夜。相與各言志。我愛公文雅。公許我不鄙。修短各有命。君忽先我逝。乹坤少知己。落落吾何處。光陰易變遷。倐爾數十年。猶餘心方曲。怳對故人面。</text>
<title>挽李孟元 名弘悳</title>,<text>先生志高尙。甘爲原憲貧。事親克養志。誠孝純乎純。崇聖好禮義。見識高出倫。淸高與文雅。當今第一人。博通諸家藪。慣熟九經文。談論古今事。縷析而毫分。其源貯如海。其出茂如雲。操筆爲文章。立成千萬言。千門與萬戶。自是大家門。早托金蘭契。心同交自神。中間各分離。落落如星辰。相懷未亟見。今也數十春。公胡遽至斯。割我一半身。有抱終無命。天何不輔仁。乹坤少知己。出門吾安臻。</text>
<title>哀鄭友周瑞 名文祥</title>,<text>吾友性高傑。執志有廉節。少事科擧業。晩好古人學。其識本詳明。其守自堅確。性正不喜苟。終老守丘壑。操心至謹愼。至死不改易。有抱終乹沒。人孰不嗟惜。少也各不知。只是京鄕隔。晩乃作石交。志識甚相得。或與論文學。或與論心曲。相見一何晩。幾爲泛相識。願與畢餘生。永言不相別。那知不聞頃。公已先奄忽。幽明隔長夜。千古永與闋。知心漸稀少。踽踽空老孑。將此千行淚。化作山陽血。</text>
<title>懷老尊丈李僉知公 諱壽益</title>,<text>先生有長德。德覆一鄕人。恢弘似河海。慈良若猉獜。心公克一視。孰不包其仁。愛人視如傷。如保襁褓嬰。人亦望公德。實若依父兄。待人出於誠。和風動三春。平生濟物意。只在周窮貧。誠心好施與。物物無不均。以玆至家貧。終沒無悔心。人人服公誠。孰無感公深。傷人忮人意。何曾留纖芥。但見揚人善。不聞言人過。謙恭不侮物。雖微亦不卑。雖以余之庸。亦幸受公知。中心服公德。常自鐫肝脾。光陰竟難住。嗟公八十年。千古隔長夜。儀容已杳然。九原不可作。悵望鳴臯天。</text>
<title>挽姊兄洪僉知 諱潾</title>,<text>念昔姻兄弟。深情尙保全。一家治有法。百行孝爲先。慮事明常照。急難義直前。揚名身後在。德美必流傳。</text>
<title>偶吟</title>,<text>從卷時時見帝堯。掩書恭默輒寥寥。夜心得月方能寤。天體惟星本自昭。若使眞心如許復。剩敎私意廓然消。如今已斷周公夢。琴破無聲玩易爻。</text>
<title>詠石浦</title>,<text>水澄涵樹影。魚躍見天機。默味淵淵意。因風乍露幾。又水留環恠石。波靜見天心。繞堤蒲柳密。躑躅傍楓林。</text>
<title>悶旱得雨</title>,<text>旱氣爲灾雨失期。沛然天液忽垂慈。川流渾勢魚爲地。野意含靑馬得時。千囀鸎歌縈遠柳。百群蛙皷動前池。田家好事無踰此。剩見三農喜溢眉。</text>
<title>感秋</title>,<text>天道無端自轉環。心隨節序漸淸閒。峯頭旭日初開曉。空外霜鴻忽叫酸。畫地文章元是水。際天圖畫又何山。孤陽邇剝秋將盡。楓信前頭幾處殘。又俯仰閒中一古今。幾般淸趣有誰尋。虫聲彷彿摸秋意。月色分明照夜心。婆娑菊影移時改。蕭瑟松風竟夜吟。玩到羲經無象界。寂然時聽靜中音。</text>
<title>述懷</title>,<text>世事悠悠揔不關。暮年情味百無殘。天光透入破窓曉。山鳥一聲秋意閒。又經濟蒼生計已寒。此生於世實無關。如今久結周流志。夢踏江南萬里山。</text>
<title>雨候</title>,<text>皇天欲有意。禽鳥已先知。曉日庭前樹。啾啾報雨期。</text>
<title>秋興</title>,<text>淡泊吾心境。閒中歲月悠。天空宜灝月。山瘦覺深秋。氣蟄盤龍腹。風輕去鴈頭。夜長猶不寐。經濟有新愁。</text>
<title>天地</title>,<text>天地一朝暮。光陰變態多。鴈橫書一字。楓豔畫千家。霽月光滿野。明星影動河。今宵復來日。來日又如何。</text>
<title>身閒</title>,<text>身閒無病興如何。佇立楹頭晩望遐。下日杳然秋色裡。一園圖畫是誰家。</text>
<title>自警</title>,<text>暗中獨自檢心身。虗處分明有鬼神。也使一心常主敬。庶幾三月不違仁。天光得月方如洗。山意逢秋自覺新。何限淸風吹萬里。太空寥廓本無痕。</text>
<title>晩菊</title>,<text>天地方行殺。百花共失時。可憐階上菊。猶保傲霜姿。</text>
<title>秋氷</title>,<text>昨夜秋風急。乹坤肅氣多。履霜氷已至。其奈沍寒何。</text>
<title>老夢</title>,<text>少時夢如鏡。到老不分明。欲尋無會處。畢境是無形。</text>
<title>杪秋見懸燈山有雲</title>,<text>萬事須於造化翁。推移節序自無窮。空江木落秋聲外。遠峀烟生夕照中。龍勢會同滄海遠。鶴思盤與太虛通。雲裡怳然如有覩。際天新畫是何山。</text>
<title>憫旱</title>,<text>其雨雨終終不臨。胡斯不雨久陰陰。天心愈漠將無意。雨意終慳豈有心。四野似焚眞煎沸。三農失望劇呻吟。若爲潤盡乹坤液。一注甘來沛作霖。</text>
<title>小皆骨</title>,<text>中原形勢極無涯。更訝金剛接俗離。論野無如此開豁。談山誰若彼淸奇。孤雲杳杳初歸際。遠峀蒼蒼欲暮時。最是箇中眞意味。夕淵魚躍自天機。</text>
<title>送鄭子元之耽羅</title>,<text>海外神山一點瀛。常看南極老人星。明生海底珠常潤。氣蘊山中草自靈。水國關防當一面。島夷消息有千形。須君去盡藩屛義。也使南陲獲自寧。</text>
<title>道中偶吟</title>,<text>秋聲蕭瑟滿晴空。無限靑山肅氣中。灰却世間多少事。浩然行色一閑翁。</text>
<title>淸浦雜興</title>,<text>雲幕蔽山山更深。萬壑千岑幾片陰。微風乍動雲移去。依舊靑天萬古心。又白雲無心起。隨風自去來。幽人亦何事。荒野獨徘徊。</text>
<title>偶懷</title>,<text>麟經元始隱。何意首春王。萬事皆深慮。千秋有暗傷。遙遙雲出抱。杳杳鳥歸楊。悵望一長嘯。靑山已夕陽。</text>
<title>途中偶吟</title>,<text>消息盈虛苦未休。亘今亘古只悠悠。平蕪杳杳無窮去。逝水洋洋不盡流。𥳽地恠風何日定。塞天霿霧幾時收。少陵野老傷懷抱。馬上幽吟搔白頭。</text>
<title>贈吳友之商山</title>,<text>斯文久寂寞。世道日沉淪。何幸吾君子。講學東湖濱。東湖之水淸如鏡。月波淡淡森星辰。我欲將之比吾君。天命有通塞。至道亦屈伸。堯夫自艱難。君實係慼欣。嗟君重遭風樹不盡痛。又値延平劒化津。况復床前失所嬌。痛在心頭如刀分。靡室靡家足酸辛。孤鳳失巢居。屳鶴厭風塵。遅遅去魯行。去作商山隱者倫。商山自是別乹坤。武陵藏得花春。欲往從之嗟無因。德不孤必有隣。君子憂道不憂貧。於焉可以養德性。好氣像時好心神。好心神自潤身。行恕與居敬。體而誠之日日新。從容揖讓禮樂塲。鄒魯餘風尙彬彬。君今告我遠別離。索我一言勤咨詢。行者必有贐。敢不竭我中心眞。蒭蕘之言亦可取。君子可以輔其仁。煩君珍重好行邁。歸對天雲堂上人。天雲主人如我問。爲說淸溪有蟄鱗。又莫道榮生善慰琴。窮途身世重知音。可憐孤鳳南飛去。雲鎖商山萬疊心。</text>
<title>寄贈商山李處士仲舒</title>,<text>我有太和三尺琴。峩洋何處是知音。神交千里元相照。明月長空一片心。又方塘水活靜淵淵。雲影天光共自然。誰識天雲堂上月。夜來偏照玉琴川。自註。天雲堂仲舒堂揭。玉琴溪我所居洞。</text>
<title>貞衕舊宅</title>,<text>四十年前舞彩時。一塲春夢尙依俙。重來今日傷心地。隨處摩挲淚滿衣。</text>
<title>挽許參奉宜</title>,<text>三世通家誼。交從竹馬時。直性元無苟。眞心自不欺。永言生終始。誰知死別離。有時見令胤。相對涕交頤。</text>
<title>失題</title>,<text>靑莎白石淸溪深。百折千回晝夜心。明月淸凮無盡趣。是公當日好胸襟。</text>
<title>朴淵</title>,<text>天磨千萬疊。載之方寸間。一曲銀河水。飛瀑落雲端。</text>
<title>挽權持平斗紀</title>,<text>一識荊州面。常存懷抱中。深知宰相器。眞有諫臣風。神騎箕星遠。名齊泰岳崇。齎心終未展。千古恨無窮。</text>
<title>漫興</title>,<text>四野稻新熟。人人顔色欣。悠悠雲出峀。杳杳鶴歸雲。寓意神堯傳。玩心大易文。閒中無雜事。餘外更何云。</text>
<title>漫興</title>,<text>山月滿平野。乹坤氣浩然。欲識無窮意。雲生遠峀邊。</text>
<title>溪邊漫興</title>,<text>水虗涵天影。魚躍見天機。最是難言處。長空一鳥歸。</text>
<title>挽權參判 珪</title>,<text>天姿恬靜有廉操。厚德朝中宿望勞。性好古書常樂志。藝工新篆更揮毫。心存國計誠忠懇。䟽抗天門事業高。年位莫嗟猶未滿。美名他日定崇褒。</text>
<title>送南原公子之慈城</title>,<text>峩洋無限意。告我西關行。此行元多好。珍重莫任情。</text>
<title>挽李萬戶河濟</title>,<text>少也好俠風。晩有慕道志。誰知鳳雛心。轉作仲由氣。</text>
<title>夜宿蜀中山家。聞姑婦手談。</title>,<text>玉宇如枰夜如海。星象森森分列舍。屳家姑婦不勝閒。手裡暗弄龍圖化。神方偶入客子知。驚破塵蒙心怳訝。風流文彩王學士。早年藝苑馳聲價。他事能通奕秋術。半局未甞他人下。蒼黃一夕國事誤。蜀棧迢遞隨龍駕。間關行色白日暮。何處柴扉雲外榭。塵蹤幸入造化界。一宿偶向屳娘借。神機誰運手中談。驚殺風雲生半夜。無中含有萬象備。混元未判誰窺罅。從知能事貴用神。指點何勞形局籍。縱橫布置掌上訣。妙思迅如凮霆乍。經緯星辰入斡旋。役使神明歸叱咜。推時本自始唐堯。畫州分明從夏禹。堪如孔孟主諸王。豈比管晏爭乎覇。尋來始覺有眞法。向者吾術都爲假。樞要纔得一二手。歸向人間猶膾炙。當其板局目無全。快法周通如水瀉。眞如登泰小天下。昔之強敵今皆亞。終敎美名擅不朽。爲向屳嫗心暗謝。</text>
<title>兵仙</title>,<text>一元混沌感而通。體用先天與後天。鉛擒汞處殺氣發。北斗驅運天河旋。屳家作用本好兵。逆天善盜神明權。元陽將臣禀絳宮。終始三年軍制專。腹心元有九鍊兵。更集四方歸丹田。平臨湯池習火戰。甲光搖月金星堅。風雲變合進退間。妙筭若神神機圓。乹坤反覆八陣裡。龍蛇起陸星移躔。靑龍在左白虎右。玄武居後朱雀前。招搖之下建句陳。暖凮回處黃光鮮。元央四象六戊陣。參錯方圓天造全。能文能武術自備。攻守才高賢且賢。其中自有不測變。妙處難與凡人傳。當其靜時鎭如山。萬軍無聲皆肅然。當其動時戒不殺。義聲天下威靈宣。轉楚回漢默運間。山河萬里如璣璇。陳倉一夕試神術。百二凾谷歸吾鞭。离炎烹煉趙壘壁。巽風呼吸齊山川。囊沙曾用沐浴術。法輪又轉滎陽邊。終敎垓下混元成。火旗運處生風烟。蒼黃一馬勢顚倒。哀彼困虎迷龍淵。楚聲誰唱鼎器歌。赤松小子來參玄。玉簫聲當無孔笛。九疑峰作崐崙顚。金丹終入猛烹中。吐出黃芽名眞鉛。時乘六龍上朝帝。劒解自是兵中屳。名高天上備星員。夢覺人間眞蛻蟬。逍遙常參大造化。壽與日月天齊年。</text>
