<title>春帖 甲午</title>,<text>羲經著復卦。曾傳說湯銘。莫使今如舊。工夫在喚惺。</text>
<title>孫順 孫順新羅時牟梁人。父沒家貧。與妻傭作養母。有小兒每奪母食。順謂妻曰。兒可得。母難再求。乃負兒欲掘地埋之。忽得石鍾。其聲舂容然。順將兒與鍾還家。懸於樑而撞之。王聞西郊有鍾聲。卽令尋得之曰。昔郭巨埋兒。天錫金釜。今孫順埋兒。地出石鍾。前後同符。賜家一區。歲給五十石。</title>,<text>金釜石鍾異物同。兩人誠孝與天通。西郊一夕舂容響。直徹羅王九闕中。</text>
<title>汲水吟</title>,<text>樵靑瓦瓮勝蝦盃。山下淸泉汲月來。得似飮河猶滿腹。何須吸海起黃埃。</text>
<title>採薪吟</title>,<text>山家樵役付漁童。常患瓦松月桂同。未有黃香溫席事。敢祈南北鄭公風。</text>
<title>春草吟</title>,<text>庭前春草漸看新。始覺東君長養均。要路閒門無所擇。野人邨巷便如茵。</text>
<title>答或人 甲午</title>,<text>近或因嘉善而圖出同知實職。仍成三代追榮。此欺天也欺君也。又欺祖先也。聊述己志。以答或人之問。一歲三遷二品資。追榮陳乞敢遲遲。須看雨露濡春樹。自葉流根正有時。欺君欺祖又欺天。末世澆風劇慨然。千古紫陽垂至訓。聖祖恩典法伊川。伊川不爲父母乞官爵。朱子韙之。</text>
<title>輓淸臺權公</title>,<text>中祖咸山死節男。派流兩世濯纓潭。道川又泛眞源筏。商嶺重光北斗南。天與人間淸福五。人稱天下達尊三。位高廊廟身巖穴。君子行藏世莫諳。春風杖屨好盤桓。襟佩爭趨嶽麓間。湖上芙蓉樓上月。先生胷次後生看。琴絃三斷庭蘭折。顔色愈腴道體胖。師友一時零落盡。息山文集有誰刊。</text>
<title>輓柳丈 泳</title>,<text>豐山赫閥冠吾東。河上幽居十里同。㝡是大宗賢胄子。四先生後有遺風。天爲名家啓白眉。看於器宇識襟期。萬松亭下人虛老。七十年來嶺運衰。齊年存歿更堪悲。白馬靑山素計違。回首蒹葭秋色裏。一雙征鴈斷行悲。</text>
<title>追輓李丈 溟○幷序</title>,<text>武夷李公英爽。有志操無爵祿。心好遊山水間。余甚敬重之。於其卒也。無一誄辭。蓋其淸標高節。不能以數句荒詞形容故也。今冬。公之胤子汝重。相遇於嵒院之齋。時一燈淸瑩。雪竹蕭蕭。語到疇昔。相與悽然。汝重嗚咽而言曰。三年之喪雖畢。得君一言以揚先事。亦未晩也。余遂不敢辭。武夷山水毓精神。蕭灑琴書有主人。關外靑雲嘉隱遯。牕前黃菊豔氳氤。幾多名勝聯簪笏。復有先生絶等倫。齊國新生滄海月。蝸牕高卧葛天民。憂深藥院陪三朔。念切萱堂隔九旬。辭爵與人眞意氣。見忠知孝特絲綸。斂容歎服王懷祖。載酒來尋賀季眞。四海身微難濟衆。千金手散不憂貧。鶴書不換煙霞夢。白髮寧饒放浪身。如許湖山人寂寞。卽今天地日荒陳。惟餘舊客情長在。且爲賢郞句少伸。宇宙百年空悵望。山靑水綠等閒春。</text>
<title>輓城東李丈 遇聖</title>,<text>詞林有大匠。屳李老金枝。閒趣同南郭。高風仰紫芝。靑雲孤夢遠。白髮壯心馳。頂玉來年是。榜花姓字誰。何傷原憲病。可敬德公耆。峽裏孤猿慟。雲間斷鴈悲。兩竆兒置膝。八耋案齊眉。几席神屳迥。江湖歲月遲。有時黌舍會。敢後丈人期。遐筭中心祝。藏舟半夜移。慇懃携茗約。寂寞抻花時。莫唱將雛曲。湖翁亦淚垂。</text>
<title>輓芝圃權丈</title>,<text>商山落落皓。自號採芝翁。歲月圍棊上。煙花覓句中。塵寰屳鶴立。今世古人同。妙歲題橋志。晴牕炳燭功。幽人雖泣玉。中子已登龍。卿月同堂出。淸臺學海洪。不知老將至。相講理無竆。壽筭同夫子。工程學武公。小車臨陋巷。終日坐春風。休戚今三世。江山昔一筇。山陽聽長笛。𤃡水憶高蹤。舊句吟何處。梅花一夕空。</text>
<title>輓半畝堂呂丈</title>,<text>半畝堂中好主人。靈臺一片絶纖塵。源頭活水來無盡。磨鏡工夫日日新。半畝堂中豪傑人。軒然爽氣豁秋旻。晩生箕域三千里。虛老男兒八尺身。半畝堂中耆德人。處於鄕黨法恂恂。秋風老驥昂昂志。長在天山瀚海濱。半畝堂中好義人。吾家內外結爲婣。嗚呼高士今難見。誰與靑山戴白綸。</text>
<title>輓鄭參奉 致欽</title>,<text>東方日月鄭先生。四世歸來尙典刑。臯比席存蒼檜院。羹墻誠切白雲亭。㫌前謾揭齋郞字。山外空悲處士星。世祿家聲不寂寞。執金吾在舊門庭。吾祖當年學大爺。文公遺法九峯家。鹿門牀下初來拜。寶樹枝頭好施蘿。幾惜晨星常阻面。庶看喬木復生花。西風長笛空回首。萬事如今若鏤沙。憶昨屳山逸興牽。丁寧一約暮燈前。百家武屹牙籤軸。三月雙溪玉洞天。我欲籃輿雙眼遍。君須春服一鑣聯。他時花鳥立巖下。杖屨重尋何處邊。</text>
<title>輓族姪持平景顔 錫愚</title>,<text>皇天無慧神無良。嗚呼哲人之云亡。始也賦與何其豐。終焉奪去何其忙。殘年人哭盛年人。欲百其身嗟無因。恭惟乃祖疎軒公。仁風善氣如噓春。德量大邱長高名。家風萬石君躳行。翩翩五鳳在門庭。天啓白眉爲長兄。三千弟子欣慕之。曰愚曰魯名其兒。憶爾年纔十四五。大人之學能學而。彩服長趨誠藹然。聽於無聲而周旋。秋宿淸齋客枕安。見君居室知君賢。連城白璧瑩無疵。夏瑚商璉無不宜。果然世世積德家。生出年年丹桂枝。山南淸選久寂寥。縹緲瀛洲高逍遙。搢紳先生擬崇斑。縫掖諸儒仰高標。勿論大小人京鄕。誦君名姓咳唾香。男兒事業從此大。國可治安家可昌。往者吾觀公車篇。滄溟渤潏呑百川。更願努力文章境。去作淸都識字屳。秋風馹路指日邊。筆下波濤生木天。天顔不豫近臣立。日夜遑遑雙足穿。蒼蒼者天臨小海。騎曹郞官亦恩拜。到今宗人有遺恨。侍從之臣親不待。君身忽如漢腫危。世上誰識秦扁醫。老夫乘興適遠遊。頭流萬疊飄雲旗。寒牕暮雨北風呼。故鄕消息堪長吁。白玉樓成長吉歸。黃花宅空淵明殂。堪憐三日作羹手。血灑瀟湘斑竹藪。人言景顔死不死。知有明珠二雙富。瑤池侍臣已寂寞。柏府除書誰敢坼。歸來慟哭擧眼看。白葦蕭蕭吾上洛。齊飛雲路昔年言。回首淸橋俱九原。傷心二十六誄後。獨立招招江上魂。嗟君素性聖上知。純實二字殊恩私。同堂雖有惠連秀。國士柰無慈明推。風前長笛數行淚。不忍重過西門路。嗚呼一歌兮歌正悲。悵望西山殘日暮。</text>
<title>輓鄭僉知 龜禎</title>,<text>江山沙伐國。碑碣鄭公鄕。舊客揩靑眼。新阡有白楊。天資眞孝悌。先蹟幾揄揚。世有梅軒集。人知永慕堂。往年聞頂玉。今日見焚黃。特地携三友。華筵擧十觴。鳩筇將屢訪。鶴馭忽高翔。臨訣丁寧語。兩家豈可忘。</text>
<title>輓金丈 胄嶷</title>,<text>袞袞名家尙典刑。尊兼齒德復康寧。寒暄路阻悲風樹。瓜葛情深泣鶺鴒。未展鹿門牀下拜。先題馬監墓前銘。餘生天地偏多感。叵耐今朝晦德星。</text>
<title>輓姜丈 碩遇</title>,<text>素履亭中偃蹇松。不爲桃李媚春風。百年江岸培根厚。枝榦蒼蒼一化龍。素履亭中常棣華。聯芳枝上晩香多。忽然半夜淸霜灑。零落東風滿樹花。</text>
<title>輓盧天章 斗文</title>,<text>我愛玉川子。生涯屋數間。詞林鸞鳳翥。試苑雪霜斑。志士多奇氣。幽人有好顔。忽然乘化去。使我淚潸潸。</text>
<title>輓李稷山 萬宏</title>,<text>芹谷家聲振海東。息山門下見夫公。鯉庭學禮無雙譽。偃室鳴琴太古風。五十年來星落落。三千界外鶴悤悤。可憐卜宅南邨計。長使商人恨滿腔。</text>
<title>輓洪上舍國章</title>,<text>缶林有喬木。桑海茁高枝。無住中興祖。木齋百世師。幾人能秉禮。仲氏亦吹篪。學問循階級。文章出等夷。昂霄松柏性。支廈棟樑資。氣岸金天豁。談叢玉露垂。名登司馬選。跡斷貢車馳。佇見丹山鳳。來儀白玉墀。江齋講道日。蘭室薰香時。世誼龍門忝。交情鮑子知。江南俱旅食。洛北伴鄕思。巨室賢哥女。寒門伯從兒。蓁蓁桃葉興。汎汎柏舟悲。白首棲棲汝。靑雲得得誰。山中豹隱久。天上鶴書遲。古塞無歸鴈。他山怨子規。荒庭書帶草。虛室墨煤帷。玉樹埋何處。星霜近一朞。慇懃書在篋。感激淚交頤。栗里黃花發。歸魂倘以嬉。</text>
<title>輓河雲山淵淵 大淵</title>,<text>昔我遊師門。師門多執贄。晉陽凡二子。公是瑚璉器。天然去雕餙。古道照胷次。潛心閱綱目。一日卷十二。何以哂狂簡。大言又大志。果然弱冠年。能摶大鵬翅。靑衫舞春風。壽爵南山翠。卻思廬江檄。未遑桼雕意。芙蓉集成裳。恐染風塵裏。君王許眞實。牛刀復西試。屳鳧再歸日。琴鶴獨隨至。蕭然一角巾。與我故人醉。春遊早晩約。魯塾琴歌地。更升天雲堂。興感西林寺。君今不相待。長笛揮吾淚。全資及勤學。今世豈容易。靑靑一束芻。爲君墓前置。</text>
<title>輓李子純 幷序</title>,<text>昔者子純之入山也。余以三疊歌送之。今者子純之入地也。又以一闋詞誄之。嗚呼。生別爲死別。招隱爲招魂。哀哉。有美賢良士。生玆閥閱家。掉頭謝軒冕。盡室隨煙霞。燁燁商顔草。英英栗里花。屳官今忽去。悵然一悲歌。歌曰。嘉南州之薌草。麗芙蓉兮中塘。華斐斐兮玉立。風徘徊兮流光。高人兮瓊佩。欻遠擧兮屳鄕。思一見兮何時。使我有淚兮霑裳。次漢武帝思車子侯歌。</text>
<title>輓金繼仲 夢河</title>,<text>赫閥吾黨秀。袞袞鶴老裔。承宗業詩書。分天篤孝悌。符彩高無敵。淸如秋月霽。君騎竹馬來。顧我初托契。知君北學日。丈夫多雄計。旅食多苦顔。天寒黑貂弊。終軍空棄繻。馮招竟逢癘。客亭鞍馬絶。誰訊死生際。堂上天地恩。閨裏山海誓。離心裊千里。泉臺目未閉。孰護元賓歸。行路亦掩袂。丹㫌泛淸漢。層冰不可濟。凄凉雙鶴髮。朝暮雪悲涕。孤鸞叫虛帷。白日爲之曀。鴒原有宿草。嗟君鮮兄弟。仁者未必壽。此理吾未諦。山陽送長笛。舊客懷難制。可憐一片玉。長埋洛之汭。</text>
<title>輓洪永同 道達</title>,<text>有美生人傑。南陽積德門。徐兒聯璧譽。孟母擇居恩。豈但文章老。能先行義敦。聯翩觀國試。浩蕩放詞源。璧水雙飛鴈。天池一化鯤。宮枝烏不借。海棘鳳孤鶱。仙籙懸星極。天和滿棣軒。草蔬甘契活。霜髮着田園。揮涕喬山暮。傷心宦海翻。煙霞銀嶺宅。松竹魯塘邨。二仲來三逕。淸宵倒濁罇。同餘蒼鬢弟。俱哭白眉昆。迹近情相恤。齡頹涕易捫。哲人今又逝。衰世更堪論。滄海魚龍遠。叢林鳥雀喧。荒詞當野史。奚但送歸魂。</text>
<title>輓金新昌 㙫</title>,<text>竹馬逢君季父家。仍將瓜葛托蓬麻。風波世上休官早。詩禮家中述事多。一點無瑕淸氣質。三公不換好生涯。庭前且有螟蛉子。喬木風聲尙不磨。人間無復拭靑眸。老去尋常憶舊遊。細雨論文江院夜。高歌把酒漢城秋。藥泉久灑餘生淚。草閣今添舊客愁。栗里幽人南郭叟。他鄕流落與誰儔。</text>
<title>輓吳汝楫 濟運</title>,<text>木落乾坤野菊馨。人間屳鶴倏靑冥。家聲晉代諸王氏。身世遼東一管寧。城市場中安履素。詩書牕下守氊靑。平生積善看何處。兩箇明珠尙典刑。</text>
<title>輓黃潤甫 𣾠○五首</title>,<text>自古求良士。名家儘有之。吾於黃潤甫。爲誦草堂詩。世人重科第。能事此而已。得失君任之。工夫勤向裏。母敎曾三遷。掌珠今六顆。昭昭報應天。已向君家大。差池弱冠年。吾與爾相好。山水無知音。王孫去後草。臺高難得月。花發又多風。卽事平生事。詩魂泣空濛。</text>
<title>輓洪錫彝 起疇</title>,<text>公是忠貞主鬯人。古家風致見天眞。桃花洞裏詩翁去。一善江山寂寞濱。君子其人孝子心。薄雲高義貯冰襟。乾坤獨立誰相許。宗黨惟知服義深。早承庭訓業三餘。自恨劬勞報末如。除卻世間千萬事。十年功在課兒書。人家書種似弓箕。忠也高才等子奇。早晩功名君不待。白頭相對淚垂垂。木落天寒白屋貧。風沙撩亂大江濱。卽看敗局難容手。哀彼欒欒一棘人。自托婚姻有一朞。百年休戚與君期。少年先逝殘年在。萬事人間未可知。</text>
<title>輓鄭仲擧 翰弼○六言</title>,<text>有問南州高士。吾言仲擧其人。生涯數畝環堵。心事一團陽春。絶意浮雲富貴。留心向上工夫。發揮四七師說。規正東南士趨。君擇新居泗水。人仍舊號鄭鄕。荷衫豈惜渡灞。玉麈每嘆望洋。四載晨星落落。五更樑月依依。峩洋舊曲誰和。梅石主人已非。</text>
<title>輓金翊章</title>,<text>一朵寒梅樹。亭亭洛水濱。淸香人不識。獨保百年春。琴心三疊響。屛洛水雲間。故人今不在。此曲好誰彈。一園桐月好。萬壑松風寒。詩魂招未得。應在此中間。</text>
<title>輓李文仲 世郁</title>,<text>忠信曾聞十室居。今君贏得一鄕譽。若敎萬里能鳴釰。何必男兒盡讀書。古道蕭條猶有汝。羇懷寥慄獨憐余。空山落木銘㫌擧。萬事于今恨末如。</text>
<title>輓河晉叔 大晉</title>,<text>山海亭邊路。慕寒齋下廬。春風陪丈席。少日謝公車。孝子生前淚。黃麻死後書。江雲亦怊悵。楚些恨何如。</text>
<title>輓李思仲</title>,<text>壯元峯之下。斯文李思仲。婀娜屳李枝。髣髴長庚夢。蕭蕭汗血馬。宛轉靑絲鞚。君家昔全盛。時人稱四鳳。雖有百元凱。柰無人歲貢。文似靑銅錢。萬選卽萬中。禮部空泣玉。還山明月弄。執耳騷壇盟。閉戶鄕人鬨。江山佳可賞。春來杖屨動。黌堂六言詩。精舍九子糉。緇巾與鶴氅。古制是折衷。泡沫付浩歌。臨簀神不懵。吾鄕失一耆。乃屋去高棟。人無脫驂義。我乏束帛賵。雲鴻去無迹。悵望天地霿。早晩飄桂旗。去去隨韓衆。</text>
<title>輓河汝晉</title>,<text>江南去歲菊花天。商嶺丹邱兩箇屳。明月淸風成四友。詩爲日課酒爲年。離亭相對夕陽天。人說風流李郭屳。竹葉虛拋梅自落。與君醒醉更何年。</text>
<title>輓權同樞 </title>,<text>落落長松下。飄飄地上屳。邨名諸葛宅。人飮菊花泉。身致天人爵。堂同大小年。風流今寂寞。孤客意悽然。</text>
<title>輓申上舍文源 濬</title>,<text>秋風訪石老。繫馬庭前柯。一豁登龍願。三煩啜粥訶。此翁非謫客。何事老漁簑。可惜題橋馬。今成換扇坡。名從吳市隱。鬢向越吟皤。身世多竆鬼。年光劇擲梭。楊經心竊笑。賈壘氣能摩。自是萬言手。非徒七字哦。</text>
<title>輓曺希文</title>,<text>君年七十八而終。吾亦今春壽筭同。薤露悲歌何必唱。蓬萊頂上會相逢。太白先歸子建隨。江山風月主人誰。空餘點也沂雩興。一貫堂中六字詩。嘗以希文比曺植。思仲比李白。故首句及之。</text>
<title>輓全汝實 始亨</title>,<text>魯東得一士。沙西有來孫。早吟蓼莪篇。而無鶺鴒原。服膺慈母訓。應對大賢門。素性本孤直。濁世不危言。身世縱零丁。名聲肆騰鶱。屢空顔巷瓢。晩扣莊園盆。一子非爲少。波瀾動詞源。結契六十載。金弟與玉昆。時來林下逕。笑語作春溫。年光玄鳥至。人事白駒奔。看君生與歸。倏若朝又昏。平生一老友。獨立雙涕捫。何處更傷心。城西有旅魂。</text>
