<title>春吟</title>,<text>春來百鳥鳴。曉窓聲相至。幽人夢江南。未盡三湘水。</text>
<title>返魂時祭文</title>,<text>維萬曆三十四年歲次丙午正月丁酉。舍弟孝思亡于昌化。葬于花谷。越三日二月庚子。返哭于京國。去從西門。來從東郭。其兄念山川之敻邈。虞魂氣之方洋。具壺酒榼果之奠。迎于上東門外。招之以文曰。不見者形。可迎者魂。魂兮毋東。東圍滄海。蛟鱷如山。魂兮毋西。西有魑魅。絶命之鄕。魂兮毋南。南多瘴癘。地非淸凉。魂兮毋北。玄氷硩陊。䝟貐如羊。魂兮歸來。銅之峴兮。君家在是。父母之邦。兄娣攸處。孟光擧案。童烏攤書。魂之居兮。罔間幽明。其樂只且。矧吾之血氣一體。我存則君何可之。顧吾體其猶君。思君則展吾四肢。觴平生之𨤍淥兮。折階上之芳薇。及吾生之未死兮。了未了之心期。嗚呼哀哉。尙饗。</text>
<title>昌城小祥祭文</title>,<text>維萬曆三十四年歲次丙午十月丙申朔十四日己酉。第四兄謹具餅果時羞之奠。祭于亡弟孝思之靈。嗚呼。自君之逝。已届一朞。神道日遠。身已釋衰。先人制禮。不敢過之。百年友于。其止斯耶。此生人間。尙復何爲。所慰吾衰。能復幾時。重泉含菽。可了前期。祥琴在堂。切切而悲。酒不成醉。文不成詞。心香徹幽。庶歆蕉葵。嗚呼哀哉。尙饗。</text>
<title>祭李僉知台徵文</title>,<text>維萬曆三十五年歲次丁未五月癸亥朔初七日己巳。延安李某。謹具酒果時羞之奠。敬祭于近故志范李君之靈而告之曰。少偕師承。長同司馬。娵竝西隣。晩結姻婭。世稱石交。無待四者。况交之深。全四者寡。細數交際。惟君也雅。生歡死痛。此情非假。昔行詩送。今還哭迓。人事如何。無往來暇。歷殯舊館。視同傳舍。池荷之茁。案香之灺。適値先忌。阻送郊野。增余之慟。雨淚之灑。蕉黃伊薄。自此長謝。嗚呼哀哉。尙饗。</text>
<title>廣寧祭李提督祠堂文</title>,<text>公之得志於東方者。卽天所以昭公功也。公之捐身於虜中者。卽天所以昭公忠也。豈前勇而後怯也。公之生也爲東。生旣爲東。而再造三韓。則東之人。宜德於公也。今經祠下。涕豈無從。嗚呼哀哉。星精盪地兮。山嶽崢嶸。劍氣游空兮。日月淸明。男兒曠世。相感者情。豚肩雖薄。不昧者誠。嗚呼哀哉。尙饗。</text>
<title>祭亡女申室文</title>,<text>維萬曆三十七年歲次己酉九月己卯朔初一日己卯。白頭未死翁。與爾母略具菲奠。祭于亡女林川室內之靈而哭之曰。自爾之逝。寒暑易轉。九月已盡。制禮當變。余之待爾。自此長休。所遲吾生。能幾春秋。融融泉下。倘了後因。提挈明珠。永保千春。所怪冥冥。夢亦難見。意外他魂。亦敍繾綣。爾豈少情。慮增余悲。爾産四兒。玉炯蘭猗。精神面目。昭昭在玆。亦阻同居。愉歡幾時。存者居室。骨肉在傍。念爾雖切。哀猶可忘。了爾韶魂。敻彼海曲。波濤之汹。風雨之惡。爾泣誰知。一日百刻。爾母及余。具來爾側。靈如不昧。可遲今日。飫此菲羞。歆此泂酌。解余長悲。母俾余毒。尙復何冀。尙復何說。嗚呼哀哉。尙饗。</text>
<title>祭西厓柳相公文</title>,<text>先生卒後二載。得過壽洞之原。古人云宿草不哭。某之生已過半百。僅見一人而今不留矣。以見一之幸。懷不再見之悲。安得不哭。而哭且慟也。門䦨爪葛之好。童稚聯衾之情。特吾私耳。禮樂經綸之學。文章典雅之才。百世在前。其可更生。而生且不大施。崎嶇積弱險難之餘。處古人難處之地。冒今人易猜之勢。丹心苦而白髮長。布衾靑山。蕭然而逝。大虛寥廓。其必爲慶雲爲景星。亡能釀泰和於斯世耶。嗚呼痛哉。天能生一代之才。生必有爲。而不竝畀其時。又慳其壽。是其光岳之氣。不得無所鍾。而大道之行。至治之澤。雖天有不得自由者耶。嗚呼痛哉。人之可誣者言。而不可誣者心。罷市巷哭。是誰使之。而旣令巷哭。而又不使加額。何耶。洛波之淸。迨十有餘年。而書疏猶不隔千里。今經墓下。獨不蒙一言見敎。嗚呼痛哉。離京之夜。夢見甚明。贈之瓊瑤。是必知我之來而志其喜耳。是知其葬也。亦有挽柩不進之事。益恨范巨卿之晩來耳。昔子文令葬不弊民。今壽洞之民。願捐山以奉。是則公有子文之心。而民不以子文視公。斯非奇耶。昨過酉谷。荒草離離獨樂之園。今拜大隧。谷風凄凄下馬之陵。一哭相過。萬歲伊阻。嗚呼痛哉。</text>
<title>知禮高祖墓祭文</title>,<text>伏以小子無狀。繫官遠遊。京鄕敻邈。莫護松楸。豈無魂夢。長懸某丘。乞假無制。世故悠悠。官躋崇秩。年已白頭。今此南歸。實借官郵。有孫如此。罪寒九幽。幸承恩錫。牲酒思柔。感徹幽明。亦荷先庥。時移事遷。神道不留。親盡娥林。權安是謀。宗兄又亡。靈必夷猶。不肖在世。宜奉蘋羞。靈車已具。吉日是諏。念惟玆鄕。經二百秋。且近墓道。靈應是休。猝隨不肖。遠勞征輈。不但殘生。朝夕蜉蝣。世道崎嶇。西北有憂。倘逢不虞。旋增悔尤。此情耿耿。願借神籌。仍安宗室。經理舊疇。終孫之世。香火是修。爲神求安。曷勝綢繆。庶諒微悰。寧妥無猶。一出山門。川路阻脩。餘生有幾。百年且休。十步九顧。淚落如流。靈其不遐。永垂寛優。尙饗。</text>
<title>祭金昌遠文</title>,<text>君亡五載。我造君家。閴其無人。我心之嗟。水丘之存。有馨蘭蓀。靈應在此。怳接春溫。君未大施。我尙素餐。我爲君悲。君謂我頑。難駐者形。不昧者精。君歆我酌。有懽平生。</text>
<title>唐津赴任時家廟祭文 庚戌冬</title>,<text>伏以家緖零替。宗事荒涼。舊祠丘墟。寓主靡常。香火式微。惄焉心傷。幸蒙先祐。宗子專城。吉日癸未。親導將行。五馬啓路。道途輝光。百里之享。蘋藻斯芳。庶幾六朞。列位攸寧。伏念某等。宗庶業分。居不同坊。猶從歲臘。列覲恰康。今將遠離。榮亦傷情。顧念蒲柳。早凋秋霜。省無例假。官守有方。六載半什。人事蒼茫。可容留待。重拜靈光。願垂神庥。惟樂無失。遵彼大道。不盡衷膓。瞻雲無極。百神護將。謹以淸酌菲羞。明薦告辭謹告。</text>
<title>祭蘇掌令子實文 辛亥冬</title>,<text>君生七歲。從吾問學。卽以隣故。敢善解惑。入山而山。適野而野。鳥鳴春朝。挑燈冬夜。吾伊講誦。情同骨肉。嘉君業就。冠首有室。丰姿玉裕。議論英確。握蓮引桂。官聦有奕。呵喝來訪。喜動眉黃。恨我兒單。倚慰衷膓。如何不淑。先我而亡。君宜葬我。我先君傷。嗚呼哀哉。今年之夏。君在玉堂。稊稗敗禾。異論斯張。君乃持正。詤詤其言。及禾見偃。不欲同塵。拜官輒辭。我虞明白。時勸勉出。其志逾確。及君有疾。我問茅堂。病中奄奄。耿耿一節。是知所性。不改死直。嗚呼哀哉。壬辰之冬。亂離斯瘼。遇君肅寧。相持痛哭。我方草奏。導我酒厨。甕間論心。且酌且書。唯其在世。是獲相見。今其已矣。當何爲面。嗚呼哀哉。金馬之郡。是君世鄕。今其返葬。家室隨征。車過君門。響異平生。蕭條新宅。野鳥之墟。是我西州。欲過停車。英塵何覓。敻然其閭。嗚呼哀哉。君維三娵。子女晩弱。門闌衰薄。亦無近屬。南歸孑孑。誰護誰將。長路逶遲。雪暗丹㫌。我生世間。六旬少一。林林人物。善少於惡。球琳易缺。嘉禾易偃。天道如何。好惡人遠。長谷久殀。君又先亡。此心付託。嘗措何方。嗚呼哀哉。我寧忉怛。只我私情。脩短有數。此理君明。信步周道。怛然而歸。九泉無愧。抑又何悲。吾今衰謝。大夢幾時。死如有知。後期不遲。千秋書帙。倘了前因。我哭君前。蕉荔之陳。萬歲在後。世事亡羊。君能顧憐。歆我心香。嗚呼哀哉。尙饗。</text>
<title>祭山前許相公筬文 壬子</title>,<text>維年月曰。延安李某遣男景嚴。略奉酒果。敬奠于山前許判書令公靈筵而告之曰。居跬步之近兮。生不得源源相見。歿不得躬薦薄奠。伊泉塗之邂逅兮。倘可必其繾綣耶。寢門之淚。欲洒盈盈。張君之柩。容待巨卿耶。土堂在南。貂亭在北。夜月扁舟。戛然而長鳴者。其使人徘徊掩泣而不能發矣。嗚呼哀哉。尙饗。</text>
<title>祭漢陰李相國文 甲寅正月</title>,<text>維年月日。迎安李某。謹包脯醢炙果之具。遣男景嚴。代奠于近故領議政漢陰李相公靈筵而哭之曰。自公之卒于莎阜也。哭欲盡哀而迹有阻。誄欲盡意而情有隘。夫哭與誄。皆出於我者。而猶不得盡焉。則時與命。是在天者也。公之不盡設施於時。而且不盡台龜之壽者。庸何道焉。然公之去國而東也。能盡己之所當爲者。而成己之忠焉。則公之所未盡於在天者。吁何恨焉。以公之先一日亡爲可哀。而以僕之後一日死爲可榮。欲哭之盡哀。誄之盡意。則使逹人大土觀之。未知其謂誰爲哀。而謂誰爲榮也。僕亦早晩歸骨於龍門之墟。以水以陸。當過公之墓道矣。洎過之而能盡僕之所當爲者。以無愧於公焉。則爲能盡公之交矣。又何用哭與誄耶。古人云。九重泉路盡交期。噫。其有盡耶。其無盡耶。嗚呼哀哉。尙饗。</text>
<title>許夫人小祥祭文</title>,<text>君逝隔晨。已及初朞。神道日遠。服制日微。此生人間。長止於斯。我懷綴綴。愈久愈彌。壬辰首夏。聘君以儀。結䄜八日。賊迫漢湄。先送君去止于西圻。君念吾家。匹馬東隨。我扈聖駕。雨中分岐。以勉以决。眞宰爲悲。浿水書回。聞達行闈。兩地杳邈。百草秋腓。我送長鬚。及天雲師。尋問加楊。幸遇葛藟。骨肉同林。梅導龍推。君請西歸。載暴載飢。風霜邂逅。沸流之涯。相持夢寐。以哺以衣。杜老征懷。始驗伊時。君僑凌漢。我還行司。翌年正月。始復西都。同隨鑾輿。定永之逵。我時承命。來候松畿。回歷信州。鶴髮戾玆。數日懽愉。永辭春暉。君髽自永。渡海相追。徂夏與秋。始奉靈輀。乘船金谷。載遡寒澌。葬畢何歸。赤城之基。我又承復。莫遂牢辭。同携及京。薄廩是資。面嶽之墟。蕫荼如飴。古聖有訓。同喪莫離。喪非他擬。生死以之。歲及壬子。我入闤扉。門戶薄祐。家變相維。君難處變。隱憂成羸。積傷致病。病固難醫。然在區區。用藥慮差。山家又忌。權瘞別支。涓吉選良。安厝尙遲。此則我在。亦有我兒。保諧心願。神罔他疑。顧念吾衰。能復幾時。如同日葬。亦所心夷。長女于歸。逢此百罹。季女婉孌。獨我爲依。我在無虞。我去奚歸。君嘗有言。我願先萎。朝夕固護。百祿是綏。願垂靈佑。幽明莫違。舊堂春回。庭樹芳菲。人歸不復。我懷之悲。庶亮此情。歆此蕉葵。嗚呼哀哉。尙饗。</text>
<title>祭晉興君文</title>,<text>維萬曆四十四年歲次丙辰二月壬寅朔初日某甲。延安李某謹具淸酌時羞之奠。祭于近故晉興君靈筵而哭之曰。某之從公遊也。始承敎。中相益。晩先後。而盡平生之道焉。從公居也。始而近。中而遠。終復近。而窮聚散之地焉。盡平生之道。而不見有邪枉。窮聚散之地。而不見有畦畛。則宜某之服於公者深。而生而好。歿而傷者也。顧某以生之後於公。先傷其所傷於公者。而亦公之前不愧後不怍。爲公慰焉。則以某之崎嶇狼狽於世。終亦不愧不怍。能使公慰某於泉下否也。此某之勉焉孜孜。冀及公於餘日者也。蕉稰之奠。聊以敍平生之舊。而結良歡之不可再者。嗚呼哀哉。尙饗。</text>
<title>祭吳晩翠文</title>,<text>生偏荒年又迫稀兮。求友四方者不可曰不多。生同時齒同班而得如公兮。其爲幸也如何。南金之貞。美玉之溫。蓋百年而不再見兮。痛今亡之何言。況燕山奉便之失悞兮。孼實由吾。同待罪南郊者四年于玆兮。亦咫尺之相阻。早知人事之短期兮。又何拘拘於物色。墻頭醪兮園中韮。宜日夜之歡洽。病三秋亦云偶然兮。胡一朝之不起。丹㫌東邁。盡室同指。京國英塵。破宅荒凉。朝暮嶺海。後死之當。百歲在前兮。萬歲在後。此心之香。敬爇一瓣。庶歆蕉芳。嗚呼哀哉。尙饗。</text>
<title>屛山書院奉安西厓先生祭文</title>,<text>伏以粤惟嶺南。鄒魯之鄕。世有碩士。絃誦之洋。天挺陶山。允集大成。一言受授。繼有先生。資禀英粹。見識高明。推原闡微。所造彌精。擺脫翳膜。超詣室堂。學得其宗。道德紹芳。祥鸞彩鳳。爲世文章。餘風所暨。矜式四方。矧惟狂簡。薫炙最深。樑摧旣遽。羹墻可欽。睠玆屛原。杖屨攸因。儻闕寓慕。責在吾人。凡屬同邦。不勸而營。山回水繞。有儼戶庭。涓吉妥靈。忝稷維馨。靑衿興感。群佩鏘鏗。靡陶誰倡。靡厓誰傳。廬江與近。發揮後先。光前啓來。惠我愚蒙。永世依歸。精白其衷。尙饗。</text>
<title>白沙相公祭文</title>,<text>萬曆四十六年戊午五月十三日庚子。白沙相公。卒于三撤之謫所。越七月十二日己巳。返遷于抱州之故山。同月二十日。地上友延安李某。以隻鷄壺酒。遣男景嚴。酻以侑之曰。嗟嗟相公。而至斯耶。言禁不盡。身老莫馳。先逝者待巨卿之至。後死者無子龍之推。附奠一盃。萬古長辭。嗚呼哀哉。尙饗。</text>
<title>己未三月。靑蓮兄孫李有吉以求柔縣令。署左營千總。隨劉都督綎征建夷。初四日。爲賊鏖戰。都督死之。有吉與營將宣川郡守金應河。倚樹射賊。賊不敢近。矢盡逢箭而死。其家小招魂江邊。作魂帛而歸。將虛葬其鄕康津。過京城。余以文哭之曰。</title>,<text>戰陣無勇。聖稱非孝。汝於親孝。敵愾死綏。世謂之忠。汝於國忠。旣孝於親。又忠於國。汝之死也何惜。若余者。旣老且病。遭時不淑。念經溝瀆。非惟哭汝之死。實乃慕汝之死。稱爲吾兄之孫子。所可恨者。當赴咸城。汝不我聽。由我不強。餧身豺虎。死若我故。死固有所。各有常處。我何奈汝。白首待罪。國門且阻。遣酹壺醑。</text>
<title>祭朴全義文</title>,<text>僕與君纔議親也。姜晉興嘗稱君曰。是朴門有司也。所謂有司。擧一門憂喜切迫事。而以身擔當。經營而布置之也。非慈祥惻怛者。不爲也。是眞仁者之用心也。及余已結親。所睦於一門者。移於親家。則若僕之孤露踽踽。家無强近之親者。所倚於君者宜如何。而其亡也。其慟之也又如何歟。僕一生少親執。今年六十有七。猶未至稀有之年。而友朋中與僕親者。皆先淪落焉。君年少於吾又七年。而又無疾而康寧焉。則固非當死之年。而亡又如是其急也。則君之亡。抑無乃要使我獨行而益無所伴耶。僕之懷其無窮也。限跡城闉。殞未哭而葬不親。其何以洩此哀於秋天也。謹以丹荔庶羞。遣男代薦。庶紆一歆。百歲心香。</text>
<title>負暄相公大祥祭文</title>,<text>萬曆四十六年戊午十月。負暄相公。卒于原城謫所。明年己未二月。喪船由漢江龍山之流。歸葬于長湍之故山。反哭于竹里寓居。庚申十月。是公再朞也。地上友延安李某以酒果之奠。酹而哭之曰。始公之亡于原也。遠不赴寢門之哭。及沿于漢也。猝未及停舟而奠。其葬于湍也。又未諧素車之會。其反于竹里也。病有待於三年之內。而今三年已滿矣。神道益遠。而吾病未痊。則僕之哭公。欲待何日耶。古人云。朋友之墓。宿草不哭。是指已弔已哭。其遇之也。其心之變。如常而不再擧也。今僕始哭而始奠。則是如在寢門之外。停舟之日也。豈以禮而不哭也。所可慰者。僕之老如此。僕之病如此。又幾日。歸奉笑語於重泉之下。而其日長耶。其可惜者。百年不再。世道滔滔。如公魁梧之度。忠信之風。篤厚之行。未死前不再見。則寧不重爲公哭也。短籬蓽門。故里依然。霜草離披。獨鳥歸空。則指點裵絗。又何爲懷耶。嗚呼哀哉。尙饗。</text>
<title>祭韓參議嗚吉文</title>,<text>今年首夏。訪君西湖。二難聯床。鼎坐霜鬚。庭梅初謝。籜龍承隅。道舊興懷。命樽細㪺。太傳之歌。迭唱鳴嗚。日暮還歸。十顧一驅。六月之望。君又訪吾。君辭有事。我留椒酤。曰吾儕耄。佳期易徂。酌君有餘。宜及君奴。誰謂此會。永訣冥途。醞藉之學。愷悌之模。今其有誰。吾道長吁。矧余孤陋。憤悱心麤。啓蒙之書。擬資詢諏。餘年麗澤。探賾書圖。風塵荏苒。妄恃白駒。一日二日。伊隔黃壚。君奚不䘏。終我歸愚。七月承訃。將哭雉憮。六氣所傷。代奠薄壺。一哭猶難。他尙何輸。翹首長郊。只增長呼。所慰此心。九死不渝。癃羸後死。亦知須臾。大江秋晴。原城世區。君歸如復。是妥是愉。懸知泉下。往來無拘。道義相磋。庶彈歡娛。</text>
<title>祭李淸風公造文</title>,<text>維天啓三年歲次壬戌十月某日某甲。地上友延安李某。以餈餌酒果之羞。敬酹于亡友李公造靈筵而哭之曰。伏以賞公如氷玉兮。懷不覺凉。愛公如精金兮。砭莫知剛。蓋百年不再出兮。伊一生難再見。則其亡也。吾安得不哭之慟而思之緬也。遇禮則問。有疑則質。聞之心的。若燭照而龜卜焉。則西湖訪梅之行。草堂隨柳之遊。豈但偸閑而夷猶乎哉。見屬先碣。衰病稽成。臨訣之託。不暝之情。吾存幾日。不負平生。嗚呼哀哉。尙饗。</text>
<title>有明朝鮮國忠勤貞亮效節協策扈聖功臣。輔國崇祿大夫延陵府院君兼判義禁府事，禮曹判書，弘文館大提學，藝文館大提學，知經筵春秋館，成均館事，五衛都總府都總管李公諡狀。[李敏求]</title>,<text>公諱好閔。字孝彦。姓李氏。始祖茂。唐中郞將。隷蘇定方伐百濟。遂留爲延安人。其後裔班班可譜。工曹典書係孫。典醫監正亮。寔公八世七世。曾祖諱淑琦。再策勳延安君。卒戶曹判書。祖諱世範。弘文修撰。贈左贊成。考諱國柱。伊川縣監。贈領議政。咸以公貴故。妣比安朴氏。司直旅之女。公生四歲而孤。夙性闓悟。七歲知讀書。占句奇警。甞一覽二百人榜目。闇記不錯一人。時年十二。見以爲神童矣。己卯。魁進士。聲譽騫欝。李文成公迓詔使。盛揀幕屬。公布衣預選。辭不赴。癸未。宣廟試多士。又擧第一。直赴殿試。遂以翌年甲申。釋褐探花。初補成均館。蘇齋盧相國衡一世文士。知公才任辭命。爲言於上。尋拜注書。一日。上偶問苯字何義。左右默然。上謂公。聞爾富文學。爲我言之。公辭謝曰。是出西京賦苯䔿蓬茸。茂盛之貌。又對巢車舊制甚悉。上甚悅之。轉內翰。賜讀書暇。上曰。此人奇才。培養不可拘常規。命脫禁直。專意學業。上庭試儒臣。公再居魁陞資。及前後應製。輒爲冠。荐蒙藩錫。丙戌。弘文著作。戊子以後。屢授修撰，正言，持平，校理。至壬辰。拜吏曹佐郞。而寇警猝急。扈駕西出。泣與大夫人訣。觀者哽咽。到博川。賊鋒踵後。倉卒不知所往。西厓相請幸龍灣。爲歸依父母計。公力贊其决。旣至賊益迫。則有渡遼之議。上簡願從者。公哭曰。臣旣忍絶裾。願以死從衛。秋。遷應敎，典翰，執羲。以搶攘中宣達辭令。必資於公。常帶承文院職。又以負秇苑重望。兼藝文應敎。其冬。李提督檄偏師甞敵。公匹馬晝夜馳詣遼陽。籲請濟師。提督見公血誠。許以正月進兵。於是。有箕城之捷。初平壤賊騰謾書。要以助逆犯順。公勸上聲大義。逆折奸謀。中朝人覘國者。歸報大司馬。我情益白。天討乃行。時事變錯出。咨奏旁午。公副急應卒。不躓不竭。天將黃應暘招募遺民。臨行索諭檄甚遽。上以命公立草成文。甞撰罪已敎書。書有曰。龍灣一隅。天步艱難。地維已盡。予將何歸。瞻彼長江。亦流于東。思歸一念。如水滔滔。遐邇雪涕。義旅扼腕感奮。世以比興元詔云。李提督旣破賊。宋經略尸兵柄。各欲僝功。將觀我國報捷。爲之形勢。公兩俱推功。不左右其手。語極揚厲。二人者意皆滿甚得。謂東國有人矣。於是。擢同副承旨。侍上左右。隨事贊益。上常以職呼而不名。兵部尙書石星以亂久不解。計欲許倭欵。雖我邦人。亦思覊縻。公曰。不共戴天之讐。一朝許講。何以歸謁宣，靖兩陵。言未已。上厲聲曰。終始不懾於賊。唯我與爾。奉朝命候李提督于開城。過省大夫人病。已遭喪。奉柩歸葬。公旣去。牋牘紛委。無管理者。命奪情起服。公十上䟽。懇乞終喪。上以辭命得失。實關存亡不准辭。至曰條達事情。敷陳明白。拯濟艱危。表裡戰功。詞鋒豈下於兵鋒耶。慰諭備至。乙未。服闋。拜承旨，參知，大司諫者再。副提學者四。丙申冬。特授嘉善大夫大司憲。擧正王子臨海君容庇姦究之罪。上曰。父子之間。卿能盡言。風彩可尙。丁酉。由大司憲，都承旨。兼弘文館提學。八月。超資憲。判禮曹。己亥。監軍御史陳劾卒于軍。公爲儐使。操文以祭。有曰。伯玉過宮。不是舊車之音。王孫不歸。長爲暮出之兒。一軍掩泣。旣還。再䟽乞退。盖時議齮齕西崖相甚力。流謗波及。上察其狀。優旨不許曰。卿忠孝貫日月。何忍棄予以去。辛丑。學士顧天峻奉詔東來。上命擇義州迎慰使才任主文者。公膺是選。翌年春。果代李廷龜爲遠接使。使還。拜兩館大提學。癸卯。陞崇政階左參贊。甲辰。策忠勤貞亮効節協策扈聖功臣，延陵君。俄進府院君。位正一品。迺控解宗伯及文衡兼局。杜門却掃。擺落世務。超然如未甞在事。申文貞公常稱知命之後。謝事就間。達識高邁。人自不及。戊申。宣廟陟遐。公如京師告訃。且請繼襲。朝廷以光海未正世嫡。位號不卽准封。纖人之醜正效諂者。組織爲使臣罪。擬律慘礉。光海初不從。竟用鄭仁弘讒訐罷公職。未幾復叙。光海在位數年。愎諫滋甚。斥逐言官相繼。公因鄭蘊外補。上䟽保留。且言金玏先王朝舊臣。七十之年。流離嶺南。李埈論事不容。片舸南歸。沈諿，金致遠連貶遠惡。臣知所惡於言官者。非暫而久也。䟽入不省。壬子。姪壻金直哉被死囚。鉤引家覆。公亦逮繫得釋。而仁弘嗛前憾不已。又發戊申使事。三司承頤下氣。連章請竄。光海重違仁弘意。又愍公無罪。不卽枇下。自是待命郊外者七年。公始立朝。用文雅受知人主。迪簡騰踔。致位極品。及是而遭罹否運。天地霠曀。連蹇挫閼。動扞於文罔。其亦天也。僦地南郭。結宇棲止。蕭條屛散。絶耳目之營。雖頹然處順乎見。倫彝喪敗。諸名賢一時流逬。而白沙相得關北。就別途次。相與賦詩悲慨。聞者傷之。及今上卽位。以公先朝耆宿。常見優禮。公時登大耊。蹈履已愆。約諸老爲雅會。肩輿還往。風流可賞。公始號五峯。晩迺居閒息念。闔眼終日。又號爲睡窩。甲戌閏八月。感疾卒于寢。距其生癸丑。爲八十二歲。官庀襄葬。禮官致弔。祭具視例。窆于楊根郡北馬游山之麓。兩夫人祔。先夫人坡平尹氏。考司直文老。生男景嚴。文科富平府使。女適及第申慄。後夫人陽川許氏。考學生昊。生二女。適進士宋民古，學生姜瓛。側出景陸，景湖。公資稟特達。體氣朗爽。平居盥濯修潔。整飭衣冠。穆然若不可干。孝友敦睦。天性篤至。每遇先忌。三日白服齊素。未甞見齒。常語子弟曰。早失嚴顔。奉侍偏慈。治經生業。覬幸發身者。初爲奉一檄便養之計。文翰華膴。實非始望。而中更板蕩。至叨勳封。尤非夢寐所及。父喪以幼。母喪以亂。俱不得守制。是余平生至痛。少事伯兄參判公。愛敬備隆。悼其弟昌城公早殞。撫視諸孤。恩均已出。親屬之居貧不給者。與之同飢飽。無難色。苟有以戚懿至者。不問內外親踈。待之如一。鄕士之旅食于京師。必以爲歸。舍館致餼。存問有無。爲之成就願欲。遠近慕其義焉。積膴仕五十年。未甞商量尺寸。濡益家私。百口唯仰給俸祿。及其屛廢。殆不具朝夕。處之晏如。人或勸以經紀先業則曰。五生無幾。至此足矣。何用枉費心力。朝政穢濁。多行金結奧援以除罪。有一人餂公曰。親老欲事蹊徑。幸公勿爲苟異。公曰。老浡受恩過厚。垂死之日。奚所復望。公素尙儉約。不喜服美。宣廟嘗謂公曰。今日筵臣衣俱文綺。卿獨不然。深用嘉尙。因擧示御衣。乃綿布襖也。左右大慙。執義金順命論臨海君橫恣。語甚讜。上面斥之。公涕泣救解。上遽曰。卿言之是也。予亦悔恨。然旣退家居。不問朝政得失。不言人品高下。羣居而不亂。獨處而愈莊。不肯數數權要造請進取。而當世數淸名者。必以公先之。公詩文以氣爲主。翩翩豪逸。作新杼柚。寧瑕而璧。寧蹶而千里也。有非筆墨摸儗所可到。然旣脫稿。不許子弟藏收曰。古人書具在。不得更爾。以是見集。僅若干卷。敏求出入門下二十年所。雖不敢擧其全而槪之。文章標致。令聞令望。發揮宣猷於中興之辰。衆許以陸敬輿其人。而處險居貞。終始完名。詎非大雅君子者哉。謹採家狀所載行蹟功最。請易名之典。崇禎八年四月日。嘉善大夫行承政院都承旨兼經筵參贊官，春秋館修撰官，藝文館直提學，尙瑞院正，同知成均館事李敏求。謹狀。太常議曰。文僖公。學勤好問曰文。小心畏忌曰僖。</text>
