<title>咸安大寺洞口</title>,<text>石路雲深處。苔留宿雨痕。靑驢慵不去。山色已黃昏。</text>
<title>次林上舍 薰 韻</title>,<text>第一西湖士。南來郢雪高。誰憐㞐木石。惟幸屈劉曹。飄轉經夷險。沉吟費冶陶。暮雲多楚峀。新月滿吳臯。竆欲含張舌。寒無贈范袍。傷心今夕別。何以送勞勞。</text>
<title>憶亡兄</title>,<text>靜念平生感淚凝。只敎顔面夢相承。心中別有依然事。雪壑風窓共一燈。</text>
<title>過黃柳津</title>,<text>烟波萬頃濶。一葉孤舟遅。鴈陣斜斜外。千峯落照時。</text>
<title>次吳思湖送鄭桐溪謫濟州韻</title>,<text>欲浪迷茫苦海津。綱常廢絶國無臣。三韓萬古餘元氣。血諫當年不顧身。</text>
<title>次許滄海 格 送金息庵錫胄使燕京韻</title>,<text>微物蔡花猶冋日。自然江漢亦宗朝。可憐將幤淸城老。何面西行鶴野遙。</text>
<title>遊義谷寺</title>,<text>無語靑山無語吾。相看不厭更踟躕。自來自去心自樂。世上何人泣暮途。</text>
<title>河澤漸 潤碩 草堂咏花</title>,<text>當軒梅與碧桃隣。淡白深紅次第新。姸態雖均香自別。莫言同作一般春。</text>
<title>次河聖休 應明 壁上韻</title>,<text>人能居敬又明誠。道可由行德可成。然後方爲大事業。莫營浮世一時榮。</text>
<title>與姜甥 趾殷 遊義谷寺</title>,<text>春殘花落僧吟苦。地僻林深鳥夢牽。對坐禪樓談笑穩。世間風雨隔茫然。</text>
<title>次金三淵 昌翕 屛山韻</title>,<text>寄跡金剛避官津。凄然星月耀千春。堪憐水穴風巖裏。寂寞三韓第一人。</text>
<title>次三淵長安寺韻</title>,<text>三淵金處士。霞氣染容顔。用力文章境。存心義理關。千巖雙屐弊。萬壑一筇閑。景仰平生夢。長懸雪嶽山。</text>
<title>義谷寺。贈妙香僧聖一。三首</title>,<text>一杖單瓢無定㞐。萬山松露濕雲裾。人間富貴功名事。果見秋毫不與渠。我亦馳情物外天。百年心月靜中圓。人間憂惱猶難脫。羡彼禪家頓絶緣。未見金剛與妙香。妙香何似彼金剛。他年欲訪三花節。何水何山是去程。</text>
<title>偶吟</title>,<text>非惟一氣始成形。知此何難辨色聲。願莫離心天命外。花甁便是底花甁。秪憂富貴不如人。竭力經營日苦辛。余謂平生宜自㓗。寧求外物却忘身。</text>
<title>觀水樓。贈別愼黃臯 守彜。</title>,<text>觀水樓中兩白頭。一尊離合意悠悠。汀花泣露波嗚咽。不獨山愁雲復愁。</text>
<title>自警</title>,<text>戒之在隱微。可畏天人際。雖欲欺吾心。其能欺上帝。</text>
<title>看易</title>,<text>披得羲文詠括囊。更從奇耦察消長。柴扉獨掩秋山雨。終日齋心默炷香。</text>
<title>白馬江</title>,<text>宮虛草碧雨聲愁。半月城空白馬流。舟子傷心停棹語。繁華無過義慈侯。</text>
<title>偶吟 三首</title>,<text>挈家遯迹水雲傍。夕釣歸來睡草堂。看取百年天下事。此心惟欲保綱常。飽喫黃粱讀古書。一竿烟月釣前湖。默然點檢人間事。至樂分明此外無。神州北望涕潸潸。百載深讐痛未刪。萬古綱常宜自保。淸風何必讓西山。</text>
<title>幽懷</title>,<text>食有山田飮有泉。百年丘壑樂夫天。淸風萬古吾無讓。欲挽菁川作穎川。平生樂處僻而幽。江上荒田好自耰。牛下何人歌白石。不堪回首笑千秋。</text>
<title>追次趙一峯顯期。贈別吾先人韻。</title>,<text>忽見峰翁句。不禁感愴情。追思坐長夜。風雨滿孤城。</text>
<title>道興江亭</title>,<text>堯舜君民我未能。百年東洛伴漁燈。病中相問來舟子。老去同懷見嶽僧。烟浪倒流江十里。釣磯橫立石三層。此間亦有無窮樂。月滿虛窓卧枕肱。</text>
<title>仙遊洞。流觴曲水。</title>,<text>笑坐流觴曲水濱。此間閒事最仙眞。淸波白石桃花上。物▣依然癸丑春。</text>
<title>三壯寺</title>,<text>探眞重向法天行。默數光陰十載傾。入洞不知前去路。上樓依舊暮鍾聲。</text>
<title>獐項洞</title>,<text>疊巘叢巒勢未齊。雲梯石棧少攀躋。林深谷靜經千劫。鼯不驚人鳥不啼。</text>
<title>三壯寺。贈運上人。</title>,<text>窺得天慳忽破眞。削巖懸瀑詠中新。山僧莫問何如客。半世江湖放浪人。</text>
<title>吾師露頂翁見臨。顔髮衰白。已非吾挾書之日。感懷賦此。</title>,<text>水石依然目尙存。舊遊何處不留痕。當窓梅樹臨軒竹。已閱風霜作老根。</text>
<title>詠懷</title>,<text>變夏爲夷近百秋。如何豪傑苦無謀。相逢莫說中華事。纔說中華淚不休。風雨中原事可憐。百年被髮足潸然。報仇雪恥平生志。莫謂無心對卷眠。</text>
<title>燈下感吟</title>,<text>獨掩柴扉山夜時。北風蕭索動庭枝。燈前抱膝仍流涕。大丈夫心誰得知。</text>
<title>贈朴美叔 亨彦 鄭仲雲 相夏</title>,<text>襟懷相許百年間。一榻同盃笑語閑。漏盡江村鷄欲唱。小窓燈暗月窺山。</text>
<title>白雲庵</title>,<text>步上白雲天不尺。白雲庵鎖白雲間。白雲長在僧常靜。僧與白雲一槎閑。</text>
<title>幽㞐</title>,<text>生涯自足一簞飄。至樂無如處寂寥。天下猶爲身外物。巢翁曾不受於堯。</text>
<title>洗心亭</title>,<text>來醉古亭紅葉秋。一源寒玉洗心流。依然回首塵鬟外。堪笑當年有底愁。</text>
<title>讀周易</title>,<text>一理消長往復還。月盈如鏡又如彎。千秋絶學無人繼。自愧優遊影響間。</text>
<title>贈別文瑞 龜年 還鎭岑</title>,<text>佳節三三歲甲辰。對床何事倍傷神。雲雨防山今夜後。一天孤月兩鄕人。</text>
<title>效遊仙謠</title>,<text>鶴駕朝眞歸太虛。瑤壇夜靜森星月。碧簫聲歇天風吹。玉珮響寒雲海濶。</text>
<title>示諸子</title>,<text>相在家中何所藏。獨留風月滿林塘。寧無憐爾飢寒意。只恐經營反有殃。</text>
<title>雨後獨坐</title>,<text>幽眠晩罷竹窓間。披卷微吟覺自閑。夕照滿簾簷有溜。不知雲雨過何山。</text>
<title>戒言</title>,<text>鸚鵡能言禍自臻。桑龜有語亦戕身。良圖可戒金緘口。寧學當年示舌人。</text>
<title>佛日菴</title>,<text>瀑落鄰蛟窟。巖高近鶴巢。雲深僧閉戶。秋老桂花梢。</text>
<title>適意</title>,<text>天高身可立。地大足可舒。兩間生日月。光明亦有餘。</text>
<title>詠鸎夢中作</title>,<text>得意翩翩谷裏鸎。暖風晴日有餘情。幽林深樹宜藏體。何事遷喬自喚名。</text>
<title>道心</title>,<text>濶水無風波不生。滿源秋月十分明。方知鏡面淸虛裏。過鳥浮雲揔外形。</text>
<title>庭梅</title>,<text>江城春雨夜霏微。忽見寒梅雪滿枝。物性不隨時態薄。草堂重返舊年娑。</text>
<title>弊袍</title>,<text>裁新晩舊亦無由。弊袍單衫近十秋。千載子陵猶勝我。釣㙜風雪有羊裘。</text>
<title>大報壇</title>,<text>八路咸寧賴聖靈。至今仁愛浹遺氓。仰看大報皇壇屹。萬古昭昭日月明。</text>
<title>次梅月堂平海越松亭韻</title>,<text>僧言名勝越松亭。十里𩿨沙與鶴汀。西望碧海薇茫外。天接滄波一色靑。</text>
<title>春晝</title>,<text>白日柴扉掩小坡。一床書外室無他。簷前忽過何山雨。睡起梅香便覺多。</text>
<title>理氣詠</title>,<text>一理初爲萬化原。氣隨那裏始形存。世間無物無斯理。斯理應從靜處看。</text>
<title>聞杜宇</title>,<text>四海寧無一義士。百年長作會稽捿。東風杜宇知吾恨。明月靑山竟夜啼。</text>
<title>仙巖寺千佛殿。贈等遠上人。</title>,<text>閒談三夜伴燈輝。南北今朝愴別歸。莫謂相忘消息絶。百年松月夢依依。</text>
<title>錦山</title>,<text>一杖南來錦嶽陲。千年仙躅見無疑。兩虹門對天留勝。九鼎峯高地護奇。日月巖邊香霧濕。蓮花臺上瑞雲遅。世尊何處行舟去。碧海雙巒杳似眉。</text>
<title>兜卛庵</title>,<text>靜聽踈鍾坐法筵。人間回首政茫然。身遊萬古神仙窟。眼濶東南日月邊。琪樹香飄三島霧。蓬山靑隔十洲烟。更探石舸流傳事。僧亦依俙不記年。伽倻方丈昔投筇。異跡今探錦岳東。日月浮沉波浪上。蓬瀛隱見海雲中。當時往來乘槎客。底處躕躇採藥童。塵土百年悲失所。此間肆意挾天風。</text>
<title>菩提菴</title>,<text>越海尋眞步屐忙。秋入瓊岑桂葉黃。日出桑枝知地盡。雲收鰲背覺天長。蓬萊方丈今何處。越界吳疆兩杳茫。頓忘人間風雨事。翛然今夕睡藤床。</text>
<title>九井峰</title>,<text>玆巖從古號仙區。爲擲吟筇趁仲秋。海碧三千紅日出。雲收九萬太虛浮。橫眉玄圃瀛洲嶼。泛葉吳商楚客舟。宇宙東南看盡後。更聽仙語卧仙樓。</text>
<title>兜率庵。贈孟宗上人。</title>,<text>萬丈孤庵大海邊。白雲深裏與僧還。世間未有神仙已。如有神仙我卽仙。千年庵在白雲隈。巖作蒼屛石作㙜。南望大洋三點碧。問僧何處是蓬菜。</text>
<title>碧海菴</title>,<text>禪菴高壓曲灣幽。萬里天晴碧海秋。窓外三更無限月。卧聽漁子語孤舟。</text>
<title>天子庵。牛頭梅檀香木。</title>,<text>移來雙樹問何時。細葉孫根有異姿。三島祥雲蒸玉甲。九天香露浥瓊枝。當年偸得生成妙。此地偏留造化奇。千載長爲人愛惜。摩挲宛若對珠師。</text>
<title>天冠寺</title>,<text>月出東山冠嶽橫。祥光佛日耀千齡。丹禽麓靜留靈跡。白馬經來悟衆生。恠彼老巖疑是虎。屹然蒼石落何星。薰香古殿隨僧坐。萬籟無聲慧月明。</text>
<title>入白雲山黃龍寺</title>,<text>前程專賴兩師行。物外仙區一杖輕。欲訪黃龍須側耳。白雲何處暮鍾鳴。</text>
<title>仙巖寺。贈冠雲上人。</title>,<text>我師知我何如者。風雨人間事不關。看他寂默元同體。非學禪心對佛閒。</text>
<title>玉泉寺。贈脫遠大師。</title>,<text>認到眞空十地閒。烟霞古色秀眉間。心同逝水渾無累。身學浮雲本不關。一夜懸燈參法席。百年分手憶何山。前期可待三生得。莫把離愁上爾顔。</text>
<title>幽㞐</title>,<text>與世無爭物。吾生孰是非。江湖頭欲白。烟雨一簑衣。</text>
<title>月牙山土窟。贈月明首座。</title>,<text>道體宜求性命初。吾心曾豈墮空虛。丁寧彼我淸明事。不在槁枯寂滅餘。</text>
<title>餘航山義相臺</title>,<text>義相仙㙜鎖碧岑。一筇花雨客重尋。閑排月戶僧同話。靜步星壇鶴共吟。萬劫灰忙悲得失。滄溟粟杳笑昇沈。此心已在無形外。耳聽長松太古音。一片層巖萬古蒼。義仙遺跡小㙜荒。山深古壑禽心靜。月滿踈松鶴夢凉。玉局聲中驚浩劫。金鰲背上感滄桑。坐來無語靈機寂。風雨人寰隔杳茫。義相靈師去莫還。古菴空在白雲端。靑囊秘𧗱曾餐玉。法竈餘香舊鍊丹。鬼護烟霞留勝地。客憐松月上仙壇。閑隨雪衲同眠處。風露凄凄不勝寒。千尋鐵壁一仙亭。万疊雲巒作翠屛。眞境宛然前物色。此間應有舊精靈。松含霽月依巖角。客伴孤僧掩石扃。世外風塵何與我。整襟終夕對黃庭。昔時仙錫此倘佯。一鉢生涯但玉漿。惠鑑眞空登十地。法言香海泛慈航。千年異跡雙松在。萬古仙居老石蒼。羽盖鸞驂今不返。壁間空照一燈光。孤庵隱映碧蘿邊。仙鶴何時去上天。幻學空傳談栢日。多生誰記拈花年。烟霞客拾靑囊詠。松月僧揮白拂眠。坐掩石門雲影裏。此身應似一高禪。道氣仙風說兩翁。今來寂寞古琳宮。靈筇已解巖邊虎。淸範應聞壑底龍。陳迹尙留松月白。生涯還與水雲空。百年竟負傳燈願。淚滴三花一朶紅。千年庵古小泉淙。中有孤僧禮磬撞。山近嵐光時上榻。月明松韻夜侵窓。人間勝賞仙區一。天下興亡客淚雙。閒掩石門無語坐。白雲深處睡靈狵。松月巖雲皆可樂。我今何事一唏噓。深嗟薄薄淆風末。不見煕煕太素初。天地已非堯舜物。山河未免犬羊居。平生一掬男兒淚。獨對龕燈盡濕裾。怊悵靈師去不還。星霜已閱二千年。金華異術誰能得。玉塵餘風尙宛然。松月瑤壇鄰鶴警。石門花雨對僧眠。人間一片南柯夢。忽破龍堂說法筵。雖存蒼髮迹如禪。寧欲凌風學羽仙。頭戴大明前日月。眼窮神禹舊山川。能迢苦海千層浪。獨老烟霞自在天。到處名區如許好。桂風蘿月喜周旋。</text>
<title>道興江上</title>,<text>漁磯上下壁層陰。喜得仙區更整襟。𤃡水何年人已去。桐江今日客重尋。天留風月寧無主。地秘烟霞自有心。與爾同成終老約。非徒沙鳥夙盟深。</text>
<title>買漁父車滿所居道興鱸魚坮</title>,<text>道興山水冠南陲。半世探眞得勝區。七里形容層石屹。武陵消息泛花流。魚侵磯月宜投釣。人伴沙𩿨懶棹舟。已厭風塵曾掩耳。笑而無語對汀洲。</text>
<title>靑松寺</title>,<text>琳宮咫尺水舂撞。人愛烟霞不掩窓。動壁寒光雲擁樹。滿空淸影月沉江。紛飛渚鴈難知數。亂點沙𩿨未計雙。惱殺仙區無限景。吟毫安得天如杠。</text>
<title>再遊道興。贈封若。</title>,<text>晩歲幽期結白鷗。道興江上更淹留。依然采石靑蓮月。泛彼東坡赤壁舟。塵世百年今勝日。山河萬古此仙區。有人欲問烟霞事。一笑無言卧碧洲。</text>
<title>偶吟</title>,<text>萬事曾無分外求。一瓢身世正悠悠。春花秋葉隨僧翫。默數名山跡遍留。</text>
<title>憶舊遊</title>,<text>曾遊眞境更難尋。人事如期足歎吟。月出山遊踈雨夕。伽倻洞坐碧松陰。逢僧每說仙區夢。對月空勞物外心。別有未忘何處是。白雲溪上亂波音。</text>
<title>幽居偶吟</title>,<text>詩書終老百年間。風雨奔忙揔不關。分外功名雲共去。靜中身世鳥同閑。床頭月白羲皇色。屋上山靑太古顔。渴飮淸泉飢食木。自然生契亦無難。</text>
<title>曉渡蟾江</title>,<text>漁村寂寂曉光闌。霜重沙洲鷺夢殘。咿戛棹聲穿浪去。白雲山月滿江寒。</text>
<title>再入白雲山有懷</title>,<text>雪鬚霜髮老山河。蘿月松雲幾詠過。莫道夷齊無㤪意。首陽薇曲本悲歌。</text>
<title>喚仙亭</title>,<text>物外名山任往還。百年踪跡十分閉。張良未早從松計。柱費精神漢楚間。</text>
<title>武夷恠石</title>,<text>天皇應擲地皇來。尙帶千年混沌苔。無乃神翁偸鍊石。不然仙子失蓬萊。雲猴縛立飢形瘠。風虎䧺蹲怒眼開。白首山簷何事笑。分明相對小天台。</text>
<title>武夷精舍花石雜咏</title>,<text>白首山翁獨掩扉。海棠抽葉雨霏霏。梅兄竟日開相笑。石友窮年坐不歸。蘭菊惟君家所有。竹松靡爾我疇依。紫荊對立梧桐處。月鶴眠簷桂襲衣。</text>
<title>次李子大 鼎祿 韻</title>,<text>身與高僧共往還。世間何者得吾閒。逍遙不盡仙區興。悔擲吟筇却出山。</text>
<title>贈洪 錫玉 林 祥彦 二賢友</title>,<text>信宿茅齋得二贒。眼前存沒更依然。風生澗竹聲侵戶。雪壓林扉冷透筵。千古䧺心三尺烱。百年情話一燈懸。休辭滿酌十分醉。明日山河隔暮天。</text>
<title>贈許友學應 濂 君則 榘</title>,<text>晩歲襟懷托二公。逢塲談笑喜由衷。同遊宇宙狂歌裏。俱老山河氣槩中。好事曾期恩寺月。淸遊恨阻剡溪風。他年倘有追蹤意。幸趁汾江錦葉楓。</text>
<title>贈別李希善 增淑</title>,<text>相逢心月一般明。也是新情似舊情。莫負探眞方丈約。白雲何處不宜行。</text>
<title>餘航山。與李汝三同遊。</title>,<text>二老俱忘世外愁。携僧來坐碧峯頭。浮雲未散層㙜石。應想神仙共我遊。</text>
<title>先君子嘗得一雙海鶴養之。敎以舞戱。每花朝月夕。叩扇勸舞。則兩鶴對立。開翮蹁躚。余爲八九歲時。得及見之。至今老白首追思之。宛然在目。愴涕賦此。</title>,<text>先人愛鶴養多年。白羽玄裳列案前。叩作靑田飛舞戱。月明梅塢雪翩翩。</text>
<title>精舍後山曰武夷山。有九曲水。其東曰首陽山。皆載州誌。</title>,<text>首陽山對武夷峰。中有茅廬膝可容。天地已成長夜久。悲歌欲訪墨胎蹤。</text>
<title>憶封若</title>,<text>賢郞遙在洛江涯。竹樹烟霞第一家。與爾當年沽酒處。景陽明月武陵花。</text>
<title>許君則輓</title>,<text>柴扉每擬爲君開。豈意今朝忽報哀。楚璞難呈悲世道。齊竿未售惜賢才。鑑湖共泝桃花浪。梅嶽曾酬石榻盃。白首不知樑月落。虛將雲水待君來。</text>
<title>敬次晦庵先生武夷九曲櫂歌詩</title>,<text>先生昔愛武夷靈。又得眞源一樣淸。千載遺音留九曲。何如金玉發爲聲。一曲虹橋繫小船。靈岑千疊發長川。源頭有路無人過。空使溪山入暮烟。右垂虹橋二曲嬋姸玉女峯。一溪流處蘸花容。都消世慮探眞境。無恙雲蘿鎖萬重。右玉女峯三曲誰移壑底船。松枯壁老不知年。雙流亂瀑何時斷。白首遊人實可憐。右弄月潭四曲屛圍十丈巖。落花隨浪泛𣰦毶。坐來休歇忘辛苦。惟見蟾光射碧潭。右落花潭五曲雲山去去深。閒來無語倚楓林。千秋一局爛柯處。移得箕山洗耳心。右大隱屛六曲蒼巖枕曲灣。雲扉無客晝常關。光風灝氣盈襟夜。任得人間分外閑。右光風灝七曲沉吟霽月灘。分流層瀑獨耽看。蘧然睡裏羲皇近。松韻泉聲入夢寒。右霽月臺八曲身安眼豁開。皷樓巖上笑忘回。人間樂處無如此。未見高朋自遠來。右皷樓巖九曲龍巖勢屹然。瀑流千丈落成川。探源莫道藏蹤僻。獨閉明窓作一天。右卧龍瀑</text>
<title>武夷精舍偶吟</title>,<text>獨保皇明日月輝。首陽山裏閉柴扉。富貴功名人世事。付之流水白雲歸。</text>
<title>簡贈朴尙叟 台望</title>,<text>德裕淸遊與爾同。鳴筇何處不探窮。連溪白石分明玉。滿壑靑楓一半紅。巖月待人如掛鏡。仙庵留客欲飛空。至今猶有尋眞興。猿鶴寒聲落夢中。</text>
<title>柳經甫 鳳儀 求造陶鶴</title>,<text>千載陱河法在今。爲翁何害造仙禽。恨無雪羽靑田侶。愛有雲霄萬里心。穩睡可成三島夢。驚呼應送九臯音。丁寧分付休飛去。明月蘆花恐不尋。</text>
<title>贈崔潤叔 致德 勉學</title>,<text>賦爾英才不偶然。莫將漫浪過靑年。吾家千載傳心法。指點光風霽月天。</text>
<title>辛酉五月二十四日。携三兒上白雲洞明翁㙜。</title>,<text>靑雲得失實無端。辛苦奔忙足一歎。何似淸寒吾父子。頭流烟月考阿槃。</text>
<title>謝人譏余買鱸魚㙜</title>,<text>買取鱸坮計不非。世人何事笑相譏。千秋依舊嚴陵物。只是桐江一釣磯。</text>
<title>讀林將軍 慶業 傳</title>,<text>將軍憤起把金戈。鞱晦䧺心越海波。隻手當年扶日月。孤蹤萬里泣山河。人離事去嗟無及。運訖天亡可奈何。空使男兒肝膽裂。一回吟罷一悲歌。不幸身當板蕩秋。將軍非但爲東憂。圖恢宇宙皇明業。欲洗山河老父羞。壯志百年裝一釰。滄波萬里棹孤舟。奇謀竟作奸僧誤。天下何人淚不流。獨見將軍泣海陬。南朝豪傑豈無羞。爲將社稷重恢策。直掛雲帆萬里舟。天地忘恩肝膽怒。山河有誓日星愁。如何一誤英䧺事。未梟當年北虜頭。</text>
<title>白雲洞</title>,<text>玆山素有卜居盟。白首今來晩計成。何幸水雲松月裏。樂天隨分送平生。</text>
<title>白雲洞明翁臺</title>,<text>層㙜人卧白雲間。万瀑成雷吼碧巒。深鎖石門山影裏。小橋斜日一僧還。</text>
<title>漫吟</title>,<text>東遊皆骨訪仙眞。歸卧頭流白髮新。又有首陽山萬丈。古今薇蕨一般春。</text>
<title>有感</title>,<text>瞿塘水急太行險。易覆其舟必折車。若比人心皆坦道。莫如閑卧老蓬廬。</text>
<title>宿武夷精舍。夜半獨坐。萬籟俱寂。山月滿窓。感舊遊賦之。</title>,<text>獨坐中宵憶舊遊。水雲何處思悠悠。曾爲落日孤筇客。經過秋風漢水頭。</text>
<title>觀箕雅。容齋李相公有悼我旁祖虛庵公詩。詩曰虛菴居士去尋眞。不見悠悠世事新。湘水有魂應共吊。人間無地可藏身云云。不勝追感。次其韻以志之。</title>,<text>虗菴當日幻仙眞。歲月人間幾換新。獨有雲仍千載慟。水雲何處未歸身。</text>
<title>武夷精舍漫吟</title>,<text>與世無爭萬慮刪。逢人誰不笑開顔。身遊宇宙塵埃外。夢落山河水月間。千載甘同孤竹餓。一生何似赤松閒。如非羽化驂鸞去。竟欲乘桴入海灣。</text>
<title>恠石</title>,<text>盡日晴窓坐不吟。人無心對石無心。如何此老偏憐汝。太古形容尙在今。</text>
<title>宿武夷精舍</title>,<text>搜得烟霞第一區。數椽新結白雲隅。人能位至三公易。識得此間眞樂無。月落鷄鳴夜欲終。夢驚人在水聲中。追思出入名山事。往跡昭然感雪鴻。水石烟霞可隱身。百年爭奪復何人。英䧺自古無眞樂。風雨山河得失頻。</text>
<title>題斷俗寺政堂梅</title>,<text>政梅堂在小池濱。相國遺蹤久亦新。花事不隨人事誤。東風依舊一般春。</text>
<title>寓懷</title>,<text>皇明禮樂逐烟空。舊物惟餘此老翁。山外不知何事有。百年閑卧水雲中。</text>
<title>上寒泉李先生</title>,<text>寒泉源自晦翁家。恨彼雲林隔地涯。遺棄人間忘爵祿。浮遊塵外得烟霞。溪邊霽月猶無恙。河上春風幸不遐。身在頭流空有夢。石門深鎖老芝花。</text>
<title>幽居卽事</title>,<text>萬事無心逐日踈。浮雲流水興如何。庵僧有約花開後。釣伴相期月出初。兒質經疑披案卷。妻移亂石養園蔬。山禽喚起晴窓睡。滿砌梅香自襲裾。架揷諸經與百家。讀餘耕釣是生涯。晴窓睡起因無事。分付山童掃落花。</text>
<title>憶雪嶽山繼祖庵</title>,<text>雪岳山中繼祖寺。何年尋入越千巒。懸空石室雕成戶。穿壁巖門琢作欄。咫尺鳴雷鯨海怒。嵯峨列戟雪峯寒。常思對話顔師夜。風雨蕭蕭一夢殘。</text>
<title>壬戌三月十日。命名武夷九曲。刻之各曲石面。垂虹橋，玉女峰，弄月潭。季子相華筆。大隱屛，落花潭，光風瀨。中子相文筆。霽月㙜，皷樓巖，臥龍瀑。長子相協筆。明庵鄭栻四字。余自筆也。石工金仁發。</title>,<text>萬丈武夷一髮橫。此間誰不慕先生。嗟吾小子千年感。獨有淸泉九曲鳴。靈境深深九曲奇。幾回興感想當時。閑中霽月能無恙。今古淸光照武夷。崢嶸壁立武夷巒。九曲縈回万瀑寒。物色何曾無彼此。依俙如對典形看。</text>
<title>換鵝亭</title>,<text>綠岸明沙點數𩿨。客來春暮渚烟收。停盃一笑當斜日。風送飛花鏡面流。</text>
<title>贈別呂濟萬 匡周</title>,<text>後約丁寧寄此間。送君何必作愁顔。百年可共耕雲事。分與頭流一半山。</text>
<title>出大源洞</title>,<text>如對仙娥惜別離。洞天朝日去遅遲。丁寧寄語林間鳥。不負秋風錦葉時。</text>
<title>和贈郭仁卿 榮之</title>,<text>吾居欲訪武夷西。第一峰前九曲溪。入洞須聞漁子語。白雲流水路依迷。</text>
<title>壬戌七月旣望。與客泛舟南江赤壁下。</title>,<text>呼朋沽酒泛舟遊。赤壁名區壬戌秋。無限詩仙今古興。一般明月滿江流。</text>
<title>壬戌八月十四日。刻明翁臺三字於巖上。巖在白雲洞溪中。上平可坐三十人。下有澄潭。名曰萬花潭。</title>,<text>仙㙜深秘白雲存。幾度携兒入石門。爾看萬花潭上月。月波留我舊遊痕。</text>
<title>南冥集中有許荷谷 篈 少微星之說。出於陳栢谷 克敬 所記。余見荷潭金時讓破寂錄曰。此說眞是孟浪。許篈取第於南冥已歿三年之後。則冥翁下世之年。豈有入中原。聞少微無光之說乎云云。余固亦疑其事而無可質。漫賦一絶。</title>,<text>柏谷當年何所聽。躗言無乃近偸鈴。徵諸直史斯爲信。千古桐江一客星。</text>
<title>明翁㙜</title>,<text>山靑水碧兩無塵。開闢從來不失眞。博陸當年知此樂。悔將形像畫麒麟。</text>
<title>宿九龍山高嵒精舍。贈曺龍汝 應翼。</title>,<text>幽居雲石最淸眞。一逕遙回曲澗濱。風雪柴門今寂寞。九龍虛老卧龍人。</text>
<title>贈萬能 在全</title>,<text>一別星霜已屢更。白頭悲昔不平鳴。山河握手期難再。雲樹離愁夢未成。晩節菊香花有信。百年書阻鴈無情。石門方丈應相訪。流水仙源可濯纓。</text>
<title>癸亥除夕</title>,<text>中宵默坐忽興嗟。不但愁懷感逝波。世事應同桑海變。功名何似雪鴻過。溪山寂寞人誰樂。蘿月分明我獨多。千古知心孤竹在。首陽今有詠薇歌。方丈閑居數十秋。此間身世劇悠悠。烟霞夢裏三淸近。仙景人間九曲流。旣卜雲泉能得所。更將松月却忘愁。諸君莫話紅塵說。纔入耳來便棹頭。</text>
<title>偶吟</title>,<text>靜無塵事亂心魂。蘿月松風獨掩門。此樂猶存人樂外。欲言其樂未能言。</text>
<title>次人除夕韻</title>,<text>六十明朝又一秋。這中何事是深憂。絲毫所學無成就。虛送光陰已白頭。</text>
<title>謝呈地主李侯 齊聃</title>,<text>東關皆骨萬千巒。踏盡歸來髮已班。太守何須消息問。武夷雲月古今閑。</text>
<title>癸卯三月二十八日。與四無翁。嘉谷齋唱酬。</title>,<text>二日差夕三十日。惜春愁緖兩相如。山齋物色重來暮。爲問殘紅幾許餘。</text>
<title>贈曺台老 元齡</title>,<text>仙湖昔日暫徘徊。喜見春風席上回。別路迢迢忙擲屐。離愁脉脉懶傾盃。蓬萊海月閒收拾。首露山河盡踏來。歸卧頭流多感舊。岸花汀柳夢中開。</text>
<title>癸亥歲除日雷鳴</title>,<text>歲値擒胡運始回。天從新舊怒成雷。一陽已向陰中動。亨泰元隨否極來。千載休徵當聖作。万年佳氣見氛開。庶吾不死重興日。烟月南薰獻賀杯。</text>
<title>寫懷</title>,<text>一月何曾飽一旬。十年猶着弊衣巾。雖然點檢平生事。不愧于天不怍人。</text>
<title>贈襪宗悅上人</title>,<text>爾曾隨我訪烟霞。萬二金剛碧海遐。一襪今朝相贈意。憐君繭足踏鳴沙。</text>
<title>偶吟</title>,<text>人置田園遍數州。繁華皆欲擬公侯。胡爲此老平生物。獨有武夷九曲流。</text>
<title>題統營制勝樓</title>,<text>高樓縹緲極神工。下壓滄溟上逼空。地利便居專勝勢。軍容要作蔽遮䧺。天連桑海微茫外。日出鮫宮蕩漾中。南望斗邊鯨浪息。只將蠻月掛如弓。</text>
<title>武夷幽㞐</title>,<text>天寒谷多風。氷合水不流。雪峯松靑靑。有時雲自浮。日晩坐欲眠。寂寞山家幽。巖下有我田。嵓上松欝鬱。疇橫靑藤中。牛耕頻蹶膝。犂罷喚犢來。林外微月出。山深木與居。客來山日落。石門雲冥冥。路絶黃葉積。竹枝掃嵒坐。問婦新酒熟。溪行日已夕。偶與山僧語。欲坐還不坐。南去又西去。有鳥鳴嚶嚶。斜逕遶石渚。</text>
<title>題武夷精舍壁</title>,<text>居士愛山。登彼西山。一間茅屋。萬重雲巒。</text>
