<title>讀書 乙丑</title>,<text>月是太古月。書是太古書。太古明月下。人讀太古書。</text>
<title>[詠東史]其三百六十九</title>,<text>操雞搏鴨命由天。靑木黑金理頗玄。亂世姦雄渾不識。強將智力欲爭先。</text>
<title>[詠東史]其三百七十</title>,<text>弓裔虐猜恣毒痡。日殲數百信讒誣。獨也不能害王建。天應送爾作先驅。</text>
<title>[詠東史]其三百七十一</title>,<text>位冠百僚績屢新。每求外鎭爲全身。古來亂世多賢俊。懼禍畏讒幾箇人。建畏讒不樂居位。每求出鎭。</text>
<title>[詠東史]其三百七十二</title>,<text>泰封凶虐日層滋。撞殺其妻並兩兒。笑他彌勒觀心法。不識人心屬建時。裔常云我得彌勒觀心法。能知人奸謀。動以叛逆構人。日殺數百。其妻康氏正色諫。裔怒。以烈火燒鐵杵。撞其陰殺之。幷殺其兩兒。</text>
<title>[詠東史]其三百七十三</title>,<text>申卜洪裴夜共尋。夫人亦自帳中深。提甲一呼爭鼓譟。人心所在卽天心。泰封將洪儒，裴玄慶，申崇謙，卜智謙等。夜詣建第。密謀推戴。建拒之。夫人柳氏從帳中出曰。聞諸公議。妾猶奮發。况大丈夫乎。提甲以被之。諸將扶擁而出。國人先至宮門。鼓譟以待者萬餘人。</text>
<title>[詠東史]其三百七十四</title>,<text>驚出北門隻影逋。可憐弓裔安歸乎。豪時鐵國曾無敵。窮處斧民亦足誅。裔聞變驚曰。王公得之。吾事已矣。出北門亡走。爲斧壤民所害。</text>
<title>[詠東史]其三百七十五</title>,<text>三韓統合整乾坤。國號高麗天授元。弘濟蒼生非不美。貽謨只恨未澄源。建卽位。國號高麗。改元天授。</text>
<title>[詠東史]其三百七十六</title>,<text>移都松嶽壯王居。奉佛惟先發政初。十寺糜財標俗尙。八關設會化州閭。高麗移都松岳。陞爲開州。改鐵圓爲東州。以平壤爲西京。創法王王輪等十寺于都內。兩京塔廟之肖像廢缺者。並令修葺。設八關會。</text>
<title>[詠東史]其三百七十七</title>,<text>名騘絶影有何徵。旣獻復還苦不恒。徒古此流惟信讖。一聞某讖便依憑。萱獻絶影島騘馬一匹。後聞讖云絶影名馬至。百濟亡。乃悔之使人請還。麗王笑而許之。</text>
<title>[詠東史]其三百七十八</title>,<text>景哀淫縱更堪嗟。鮑石亭高樂事多。一曲繁華長夜飮。何如昔日後庭花。王淫縱無道。與宮人左右出遊鮑石亭。令美人奏繁華之曲。時人比之後庭花。</text>
<title>[詠東史]其三百七十九</title>,<text>甄萱猝入可如何。驚罷繁華一曲歌。城南自有離宮邃。不患竄身忍頃俄。萱兵猝至。王與夫人走匿城南離宮。</text>
<title>[詠東史]其三百八十</title>,<text>逼王自殺辱王妃。子女寶珍盡取歸。縱兵更亂諸嬪妾。自古國亡似此稀。萱縱兵大掠。索王逼令自盡。強辱王妃。縱其下亂諸嬪妾。乃立金傅爲王。盡取子女百工兵仗珍寶以歸。</text>
<title>[詠東史]其三百八十一</title>,<text>金傅生丁國運頹。爲萱所立亦哀哉。英主此時難再復。况如敬順自庸才。</text>
<title>[詠東史]其三百八十二</title>,<text>討萱當日義旗揮。邀戰公山暫失機。賴有崇謙追紀信。麗王幸得脫重圍。麗王聞變。率精兵五千。邀萱於公山大戰不利。萱兵圍王急。大將申崇謙容貌酷似王。使王隱於礙藪。代乘王車。力戰死之。王遂得脫。追謚壯節。</text>
<title>[詠東史]其三百八十三</title>,<text>臨海殿頭宴兩王。泫然泣下語堪傷。興亡摠是天監德。羅運訖時麗自昌。羅王遣使麗王請相見。麗王以五十騎往。宴于臨海殿。羅王曰小國不天。爲甄萱椓喪。何痛如之。泫然泣下。</text>
<title>[詠東史]其三百八十四</title>,<text>豺虎視甄父母王。民情可見判興亡。古今此理昭昭驗。怪彼一時詑暴強。麗王會羅王留數旬而還。都人士女相慶曰。昔甄氏之來。如逢豺虎。今王公之至。如見父母。</text>
<title>[詠東史]其三百八十五</title>,<text>古昌郡下卽甁山。擊走甄萱拓地寬。金爲城主權張次。好取大匡大相官。麗王次古昌郡之甁山。與萱戰。萱敗走。東方州郡二十餘城皆降。以古昌城主金宣平爲大匡。權章張吉爲大相。陞其郡爲安東府。後三人並祀郡社。之後稱爲三太師廟。</text>
<title>[詠東史]其三百八十六</title>,<text>不傳神劒傳金剛。溺愛甄萱自取亡。古來捨長多生變。何况渠家事奪攘。萱有子十餘人。第四子金剛。身長多智。萱愛之欲傳位。伊飡能興與萱子良劒，龍劒等。勸其兄神劒作亂。立神劒爲王。幽萱於金山佛宇。殺金剛。以巴達等三十人守萱。童謠曰可憐完山兒。失父涕漣洏。萱在金山三月。飮醉守卒。與季男及嬖妾等奔羅州。麗王以海路迎之。待以厚禮。稱爲尙父。</text>
<title>[詠東史]其三百八十七</title>,<text>甄家三劒揔豺狼。更有能興鼓禍殃。金山佛寺幽其父。殺弟不饜簒位忙。</text>
<title>[詠東史]其三百八十八</title>,<text>可憐失父完山兒。果驗童謠板蕩時。飮醉守兵仍脫走。投降只是在高麗。</text>
<title>[詠東史]其三百八十九</title>,<text>海路迎萱已曲施。尊稱尙父又胡爲。若法先王聲討義。弑君大罪合誅夷。</text>
<title>[詠東史]其三百九十</title>,<text>羅王决意入開京。庭見稱臣禮具成。國君死社堂堂義。忍作降俘受寵榮。羅王以四方土地盡爲他有。不能自立。謀降高麗。王子諫曰。當與忠臣義士死守。力盡則同死社稷。豈宜以千年社稷。一朝輕與人乎。王曰不忍使無辜之民肝腦塗地。賫書請降。王子哭泣辭王。入皆骨山。倚巖爲屋。麻衣草食以終身。史失其名。麗王御天德殿。受庭見之禮。館于柳花宮。妻以長女樂浪公主。拜金傅爲政丞。封樂浪王。除新羅國爲慶州。新羅朴氏十王。昔氏八王。金氏三十七王。合五十五世。女主三人。共九百九十二年。</text>
<title>[詠東史]其三百九十一</title>,<text>千年宗社忽成丘。國除新羅是慶州。三立女君三易姓。䂓模秪足使人羞。</text>
<title>[詠東史]其三百九十二</title>,<text>新羅王子炳然心。史失其名義獨森。淸風千古誰能比。惟有漢家北地諶。</text>
<title>[詠東史]其三百九十三</title>,<text>父王不聽大經綸。慟哭拜辭矢隱淪。麻衣草食巖爲屋。皆骨山中了此身。</text>
<title>[詠東史]其三百九十四</title>,<text>樂浪主妻柳花宮。麗祖立妃敬順宗。曁孫又娶羅王女。羅祀雖亡外裔豐。金傅來降。麗祖甚喜曰。願結婚於宗室。以永舅甥之好。王曰我伯父福廉有女。德容雙美。可備內政。太祖娶之。是爲神聖王后。太祖孫景宗伷聘政丞公之女爲妃。是爲憲承王后。仍封政丞爲尙父。謚敬順。</text>
<title>[詠東史]其三百九十五</title>,<text>甄萱諸子窮降初。討罪賞功固不疎。三劒未能斬一劒。謾敎老賊憤生疽。萱旣投高麗。其壻朴英䂓致書於萱曰。若擧義兵。請爲內應。萱請兵於麗王曰。願仗威靈。以誅賊子。王討之。神劒等降。王責能興曰。始與良劒等謀。囚君父者汝也。誅之。流良劒龍劒。尋殺之。以神劒爲人所脅。且以歸命乞罪。特原之。授英䂓官。萱憤懣發疽死。</text>
<title>[詠東史]其三百九十六</title>,<text>天竺僧來有甚裨。躬迎法駕備威儀。殷鑑元知在夏世。麗謨胡更襲羅爲。</text>
<title>[詠東史]其三百九十七</title>,<text>橋下尙傳死槖駞。契丹無道恥連和。善辭不受斯猶可。結怨其如後患何。二十五年。契丹遺橐駞五十匹。王以爲無道之國。不足遠結爲鄰。流其使三十人于海島。繫橐駞萬夫橋下。皆餓死。因名其橋曰橐駞橋。無道云者。以契丹與渤海敗盟殄滅也。</text>
<title>[詠東史]其三百九十八</title>,<text>麗祖訓要著十條。詒謀垂裕一篇昭。如何反復丁寧語。只在燃燈創寺寮。</text>
<title>[詠東史]其三百九十九</title>,<text>祖訓永垂萬世綱。子孫不忘率由章。惠宗以後成家法。佛禍日新遂至亡。</text>
<title>[詠東史]其四百</title>,<text>麗祖詒謀十訓明。子孫惟意鮮能行。只是一條崇佛語。傳之世世揔由誠。</text>
<title>[詠東史]其四百一</title>,<text>謀立廣君譖堯昭。若明厥罪可誅梟。妻弟何須長公主。用強其勢使難搖。初太祖納大匡王䂓女。生一子曰廣州院君。䂓謀欲爲嗣。數譖王弟堯及昭。王知其誣。恩遇愈篤。䂓夜遣其黨。潛入卧內將弑之。王覺之一拳卽斃。不復問。後䂓又夜帶人。穴壁而入。王已知幾。潛徙他殿得免。亦不罪。以長公主妻昭。用強其勢。公主從母姓稱皇甫氏。長公主太祖女也。</text>
<title>[詠東史]其四百二</title>,<text>羅朝不避朞功親。以女配男麗滅倫。猶欲強追吳孟子。諱稱外姓倘欺人。自新羅多娶同姓。至犯朞功之親。至麗不改。後凡娶同姓。皆諱稱外氏。</text>
<title>[詠東史]其四百三</title>,<text>再謀弑逆是王䂓。頗怪惠宗任所爲。若道恢弘仍不問。如何成疾祟危疑。惠宗自有王䂓之變。危疑成疾而薨。史云多所疑忌。喜怒無常。羣小並進。內外嗟怨。</text>
<title>[詠東史]其四百四</title>,<text>王䂓謀弑太凶狂。未售前王又後王。一仗式廉誅得快。勝如疑忌政無常。規又欲弑新王堯。大匡王式廉謀竄䂓甲串。追斬之。</text>
<title>[詠東史]其四百五</title>,<text>尊崇舍利步人君。開國寺中敬奉勤。發丁更作西京闕。圖讖奇文有所云。王奉佛舍利。步至開國寺安焉。又以穀七萬石納諸寺院。信圖讖。將移都西京。發丁夫營宮闕。及薨。役夫喜躍。</text>
<title>[詠東史]其四百六</title>,<text>禳灾修德司天云。貞觀政要講讀勤。大風拔木眞爲警。能問能行可謂君。光宗昭立。大風拔木。王問禳灾之術。司天奏莫如修德。自是常讀貞觀政要。</text>
<title>[詠東史]其四百七</title>,<text>雙冀設科刱我東。賦詩頌策試才公。莫道文風從此盛。後來流弊轉無窮。後周人雙冀隨冊使來。以病留。王表請爲僚屬。授以文柄。因命知貢擧。試以詩賦頌及時務策。賜進士及第。文風乃興。科擧始此。</text>
<title>[詠東史]其四百八</title>,<text>創寺禁屠作治䂓。惠居爲傅坦文師。猜疑信譖偏多殺。佛法如何乃有斯。光宗十九年。創弘化遊巖三歸寺。以僧惠居爲國師。坦文爲王師。列置放生所。禁斷屠殺。而猜忌日甚。信譖多殺。讒佞得志。奴訴其主。子訴父母。一子伷亦自疑阻。人人疑惧。莫敢偶語。</text>
<title>[詠東史]其四百九</title>,<text>成宗下令直言求。承老上書爲國謀。二十八條無諱隱。當時能有採行不。上柱國崔承老上書陳五朝政化得失及時務二十八條。極言無諱。</text>
<title>[詠東史]其四百十</title>,<text>叔妃皇甫姪妃劉。外姓諱稱不識羞。弘德君妻何必取。絶其後嗣彼天由。光宗妃皇甫氏太祖女。成宗妃劉氏光宗女。史稱所謂劉后卽從姊妹。其失一也。嘗適弘德院君。今納爲妃。其失二也。尊崇失身者爲宗祀主。其失三也。雖致小康。後嗣遂絶。良有以也。</text>
<title>[詠東史]其四百十一</title>,<text>成宗美政史班班。廟社初新罷八關。創學求賢崇節義。置倉祈糓恤孤鰥。王祈糓于圜丘。配以太祖。耕籍田祀神農。配以后稷。立五廟社稷。以八關會雜技。不經罷之。創國子監。崇節義。求賢䘏民。京城及諸州府。各置義倉。咨十二牧曰。無滯獄訟。懋實倉廩。賑恤窮民。勸課農桑。輕繇薄賦。處事公平。</text>
<title>[詠東史]其四百十二</title>,<text>皇甫淫荒人盡夫。郁烝亦是自家謨。初旣不能嚴內外。薄施流竄又何迂。郁太祖第八子。景宗薨。妃皇甫氏出居私第。郁烝之有娠。王知之。流郁于泗水縣。妃生子詢。後爲顯宗。妃戴宗女。嘗夢登鵠嶺旋流入國中。盡成銀海。卜之。曰生子則王有一國。戴宗。成宗考。</text>
<title>[詠東史]其四百十三</title>,<text>莫禦遜寧只自𢥠。或言割地或言降。最是中間奇議在。欲投倉米大同江。契丹遣蕭遜寧侵高麗。聲言欲復高勾麗舊地。王議羣臣。或言乞降。或言割平壤以北與之。議開西京倉米。任百姓取之。餘者投大同江。侍郞徐煕曰。食足城可守。且食者民之命。寧爲敵所資。何可虛棄江中。</text>
<title>[詠東史]其四百十四</title>,<text>盈廷羣議謾爭奇。欲送丹營摠似癡。若非當日徐煕往。納地拜庭無不爲。王欲送大臣詣丹營議和。羣臣無應者。煕請自往。遜寧欲令拜於庭。煕曰兩國大臣相見。何得如是。遜寧許升堂行禮。又索還勾麗舊地。煕曰我國卽高勾麗之舊也。故號高麗都平壤。何以謂還。辭氣慷慨。遜寧知不可屈。遂許和而退。</text>
<title>[詠東史]其四百十五</title>,<text>陽賊私通郁亦烝。一兒何愛一何憎。大良君奉東朝命。神穴寺中勒作僧。詢旣長。封爲大良院君。太后皇甫氏與外族金致陽通。生子謀爲王。後忌大良君。逼令爲僧。出居三角山神穴寺。</text>
<title>[詠東史]其四百十六</title>,<text>太后致陽欲害詢。陰謀凶計及重宸。由來一女傾人國。幾致王金亂僞眞。太后數遣人謀害大良君。有老僧穴地匿詢。上置卧榻。以防不虞。及穆宗疾篤。致陽謀殺詢。仍欲作亂。王召蔡忠順曰。太祖之孫。惟大良君在。卿與崔沆盡心匡扶。勿使社稷屬異姓。</text>
<title>[詠東史]其四百十七</title>,<text>急召大良欲正名。乘時康兆又稱兵。將相無人渾可歎。任他廢立自橫行。穆宗送人迎大良君於神穴寺。仍徵西北面廵檢使康兆入衛。兆因先迎立大良君。逼王幷太后移忠州。遣人弑王於積城。又殺致陽父子。放太后于黃州。流太后親屬于海島。</text>
<title>[詠東史]其四百十八</title>,<text>兆行弑逆爲身謀。自謂立王功莫儔。快殺致陽父子後。却將太后放黃州。</text>
<title>[詠東史]其四百十九</title>,<text>麗朝家法欲無譏。姊妹至親每翟褘。顯宗旣納成宗女。又納敬章女作妃。顯宗納成宗女爲妃。後又納敬章太子女爲妃。敬章。戴宗第二子。</text>
<title>[詠東史]其四百二十</title>,<text>兆禦契丹問罪師。如何對敵却彈碁。穆宗靈魄猶能叱。只恨虜兵縛斬遲。契丹主遣使問前王之故。仍自將步騎四十萬。渡鴨綠江。王使康兆出鎭通州禦之。丹兵猝至。兆方與人彈碁。驚起怳惚。若見穆宗立其後。叱曰汝奴休矣。天伐詎可逃耶。兆卽脫鍪長跪曰死罪死罪。言未訖。丹兵縛兆去。丹主斬之。</text>
<title>[詠東史]其四百二十一</title>,<text>麗臣見敵但言降。賴有姜公克保邦。試看宸章告身後。偉勳殊寵世無雙。契丹進陷西京。羣臣議降。姜邯贊獨曰。當避其鋒。徐圖興復。勸王南幸。契丹陷京城。王遣使乞和。丹兵歸。王還都後。以邯贊爲西京留守。王手書告身後曰。庚戌年中有虜變。干戈深入漢江濱。當時不用姜公策。擧國皆爲左袵人。</text>
<title>[詠東史]其四百二十二</title>,<text>兪義奪田固未當。武臣作亂太凶狂。馴致後來仲夫變。世人可不戒氷霜。時百官祿俸不足。文臣皇甫兪義等建議奪京軍永業田。以充祿俸。武官頗不平。金訓，崔質等激衆怒。鼓譟闌入禁中。縛兪義，張延祐等捶撻垂死。請罷御史臺。三司文官。皆以武臣兼之。王重違衆志從之。流延祐兪義等。</text>
<title>[詠東史]其四百二十三</title>,<text>稱兵訓質勢如雷。遂罷文臣御史臺。顯宗應㥘前王事。一任凶鋒亦可哀。</text>
<title>[詠東史]其四百二十四</title>,<text>雲夢千秋好作柯。西京盃酒代干戈。王家自有誅兇劒。何必詭謀設網羅。時武臣用事。布列臺閣。朝綱紊亂。李子琳說王以雲夢之遊。王僞遊西京。宴羣臣。乘訓質等醉。執殺之。</text>
<title>[詠東史]其四百二十五</title>,<text>偉功邯贊龜州城。殲盡契丹十萬兵。迎凱綵棚顔有喜。金花親揷八枝明。契丹蕭遜寧率十萬兵來攻。王以姜邯贊爲上元帥。姜民瞻副之。屢戰大破丹軍。又戰於龜州。僵尸蔽野。生還者僅數千人。契丹前後出師。敗䘐之慘。未有甚於此時。邯贊凱還。王親逆於迎波驛。結綵棚宴將士。以金花八枝。親插邯贊頭。左執手右執酒。慰歎不已。進爵開國侯。食邑千戶。</text>
<title>[詠東史]其四百二十六</title>,<text>契丹大䘐已裭魂。千里烟塵靜塞垣。威讋德懷元上策。如何奉表願稱藩。龜州破丹之明年。遣使奉表如契丹。請稱藩。契丹遣使冊王。賜車服儀物。自是復行契丹年號。</text>
<title>[詠東史]其四百二十七</title>,<text>正學吾東溯以求。文昌侯又弘儒侯。瞻彼泮林夫子廟。兩賢從祀永千秋。</text>
<title>[詠東史]其四百二十八</title>,<text>文曲星來用濟艱。桑林雨禱澤霑寰。如何不守先王憲。三十年間復八關。姜邯贊衿州人。始生有大星隕于其家。及爲相。宋使來見。不覺下床拜曰。不見文曲星久矣。今在此。十五年旱甚。王齋沐立殿庭。仰天祝曰。寡人有過。請卽降罰。萬民有過。寡人亦當之。乞垂膏澤。以救元元。遂大雨。成宗罷八關會幾三十年。復之。</text>
<title>[詠東史]其四百二十九</title>,<text>雙冀刱行科擧䂓。又名監試德宗時。弊俗至今那可救。儒生奔競考官私。德宗時設國子監試。試以賦及六韻十韻詩。監試之法始此。</text>
<title>[詠東史]其四百三十</title>,<text>姜公事業築京城。二十二年始乃成。更有柳韶防北界。一千餘里石崢嶸。姜邯贊以京都無城郭。請築之。凡二十二年而畢役。德宗命柳韶創置北界關城。起自西海濱。東傅于海。延袤千餘里。以石爲城。</text>
<title>[詠東史]其四百三十一</title>,<text>史叙德宗行頗良。去讒任舊孝居喪。如何家法甘禽獸。以妹爲妃視作常。納金氏爲妃。顯宗之女。</text>
<title>[詠東史]其四百三十二</title>,<text>寺塔創增命自尊。勞民興怨謾爭論。試看當時門下省。有言不用可無言。文宗令曰。聖祖以來。代創佛寺。以資福慶。其令有司擇地加創。門下省奏曰。自古聖帝明王。無有創起寺塔以致太平者。聖祖創寺。一以壓山川之違背。一以酬統合之志願耳。今增創新寺。勞民興怨。非所以致太平也。不從。</text>
<title>[詠東史]其四百三十三</title>,<text>守令及民欲細知。遣人詢察儘便宜。未審當時按驗使。果能一一不虛欺。文宗分遣撫問使於十三道。按驗守令勤慢百姓苦樂。</text>
<title>[詠東史]其四百三十四</title>,<text>欲矯抗之試用情。封𦇯卽是古糊名。法愈密時奸愈長。恐敎巧詐轉縱橫。國子司業黃抗之考試甚濫。鄭惟産請行封𦇯法。貢闈封𦇯自此始。</text>
<title>[詠東史]其四百三十五</title>,<text>文宗善繼也非他。崇佛聚麀最則柯。莫言倭貊爭來貢。其柰大綱不正何。文宗又納金氏爲妃。顯宗女也。日本來聘。女眞請內附。史稱東倭北貊獻琛叩關。時號治平。獨其佛宇之侈。侔於蕭梁。塔廟之盛。擬諸新羅。</text>
<title>[詠東史]其四百三十六</title>,<text>王子出家身以先。名門大族競同然。百座道塲會慶殿。毬庭廣設飯僧筵。文宗令王子煦及竀爲僧。自此子孫視爲家法。一時名門大族。爭慕效之。設百座道塲於會慶殿三日。飯僧一萬於毬庭。二萬於外山名寺。</text>
<title>[詠東史]其四百三十七</title>,<text>興王寺創三千間。十二年來竭巧般。法駕行香宵作晝。彩棚火樹又燈山。興王寺凡二千八百間。十二年而功畢。王欲設齋以落之。設燃燈大會五晝夜。自闕庭至寺門。結彩棚連亘相屬。輦路左右。又作燈山火樹。光照如晝。王備法駕。卛百官行香。佛事之盛。曠古未有。</text>
<title>[詠東史]其四百三十八</title>,<text>曠古初聞奉佛勤。更成金塔入靑雲。黃金爲表銀爲裏。空費金銀六百斤。又造金塔。以銀四百二十七斤爲裏。以金一百四十四斤爲表。</text>
<title>[詠東史]其四百三十九</title>,<text>賴有崔冲學校興。九齋爭集遠方朋。海東孔子當時號。何似關西夫子稱。冲海州人。歷事四朝。出入將相。至老致仕。收召後進。設九齋。敎誨不倦。時稱海東孔子。</text>
<title>[詠東史]其四百四十</title>,<text>妹適弟時烝輩爭。遵經據禮一言明。宣宗不聽君休怪。家法相傳未忍更。宣宗妹積慶宮主。適王弟扶餘侯遂。王弟金官侯烝等諫不可娶同姓。不從。</text>
<title>[詠東史]其四百四十一</title>,<text>度外天灾民怨興。江樓名寺遍遊登。黃金鑄塔猶嫌薄。會慶殿中十二層。宣宗幸西京。江樓名寺。遍歷遊賞。置新鑄十二層塔黃金塔于會慶殿。史稱遊幸無度。多創寺塔。天怒民怨。灾異屢興。</text>
<title>[詠東史]其四百四十二</title>,<text>三角山前面嶽南。道詵秘記已先談。宴吟遊幸無人諫。只請建都進說甘。道詵秘記云高麗有三京。松岳爲中京。木覔爲南京。平壤爲西京。又云開國後百六十餘年。都木覔壤。金謂磾因此請遷都南京。以時廵住。崔思諏奏三角山面岳之南。山形水勢。符合古文。請於主幹中心壬坐丙向建都。從之。肅宗時也。</text>
<title>[詠東史]其四百四十三</title>,<text>西京遊幸復東池。設宴泛舟更賦詩。惟有一條差可取。尋求箕墓立箕祠。肅宗泛舟東池。宴飮賦詩。幸西京。遍遊寺刹。泛舟賞宴。賦詩唱和。七年。禮部求覔箕子墓。立祠以祭。</text>
<title>[詠東史]其四百四十四</title>,<text>侍中兵出女眞平。六鎭拓開築九城。從古難容功不世。公然弘嗣反相傾。睿宗時。女眞旣平。畫定地界。東至火串嶺。北至弓漢伊嶺。西至蒙羅骨嶺。又相地於蒙羅骨嶺下。築城廊六百五十間。號英州。火串嶺下。築九百九十二間。號雄州。吳林金村。築七百七十四間。號福州。弓漢伊村。築六百七十間。號吉州。明年又城咸州及公嶮鎭。立牌于公嶮爲界。又築宜州，通泰，平戎三鎭。爲北界九城。皆徙南界民以實之。後女眞請還舊地。廷議以爲還之便。遂還九城。崔弘嗣等。論敗軍之罪。收其鈇鉞。免官削功。尋拜太保上柱國。配享睿廟。</text>
<title>[詠東史]其四百四十五</title>,<text>身都將相一書床。樂善好賢史表章。後世只論功業盛。先春片石獨流芳。史稱尹侍中少登科。手不釋卷。及爲將相。好賢樂善。謚文肅。初平女眞。築九城。作記勒功。立碑於先春嶺爲界。</text>
<title>[詠東史]其四百四十六</title>,<text>學宮酌獻講經仍。庫立養賢文敎興。何事一心分兩術。禮迎佛骨又齋僧。睿宗詣國學。酌獻于先聖先師。命翰林學士朴昇中講說。百官及生員七百餘人。立庭聽講。各進歌頌。又立養賢庫於國學。以供多士。選名儒爲學官以敎導之。又迎佛骨于禁中。以僧曇眞爲王師。重修安和寺。窮極奢侈。王親設齋五日。落成。求書扁額于宋帝。御書佛殿扁曰能仁之殿。命蔡京書額賜之。</text>
<title>[詠東史]其四百四十七</title>,<text>睿宗行事苦無常。外欲要名內實荒。佞佛崇儒耽唱和。舞歌粉黛與優倡。酌獻時王製詩。令左右和進。又設八關會。自毬庭還至閣門前。駐蹕唱和。命倡優歌舞仗內至三鼓。又好樂妓。玲瓏，遏雲以善歌。屢承恩賚。</text>
<title>[詠東史]其四百四十八</title>,<text>藻華遊宴害治平。崔瀹諫書義理明。如何反悅詞臣譖。怒貶朝陽一鳳鳴。睿宗如西京。泛舟大同江。與侍臣唱和。知制誥崔瀹上書曰。帝王當與經術之士。討論經史。咨諏政理。安可與輕薄詞臣。吟風弄月。以喪天衷乎。有一詞臣愬曰。瀹短於詩。故有此言。王怒左遷瀹。是後日與詞臣遊宴。哦詩唱和。</text>
<title>[詠東史]其四百四十九</title>,<text>淸平居士李資玄。鵠卵庵中且樂禪。主上莫詢養性要。苟非寡慾亦徒然。睿宗如南京。召淸平居士李資玄。問養性之要。對曰莫善於寡慾。資玄侍中頲之子。頲三妹皆配文宗。資玄登第。爲大樂丞。以戚里避權勢。棄官入春州淸平山。作息菴團圓如鵠卵。又得盤兩滕。默坐其中。蔬食布衣。耽禪忘世。累徵不赴曰。臣始出都門。誓不復踐京華。上表曰以鳥養鳥。庶無鍾鼓之憂。觀魚知魚俾遂江湖之性。</text>
<title>[詠東史]其四百五十</title>,<text>處士郭輿善盜名。烏巾鶴氅赴干旌。唱和談論王左右。金門羽客好流聲。睿宗時。郭輿棄官隱居金州。詭行欺世。王召致之。輿以烏巾鶴氅。常侍左右。談論唱和。時人謂之金門羽客。</text>
<title>[詠東史]其四百五十一</title>,<text>歌妓玲壠與遏雲。諷詩被黜制科羣。若有朝臣能諫者。也應流配遠州軍。睿宗寵歌妓玲瓏，遏雲。國學生高孝冲作感二女詩以諷之。王不悅。命黜赴制科。</text>
<title>[詠東史]其四百五十二</title>,<text>資謙受冊釋喪衰。示警皇天大雨雷。更納第三第四女。獰風拔木每彰灾。睿宗納李資謙女爲妃。賜資謙功臣號。仁宗立。資謙居母哀。詔釋衰赴朝。冊功臣朝鮮國公。百官進賀資謙第。資謙釋衰赴中書。百官又庭賀。是日大雷電以雨。資謙又納第三女。是日大風雨拔木。明年又納第四女。又大風雨。</text>
<title>[詠東史]其四百五十三</title>,<text>拜王答拜不稱臣。仁壽節名初度辰。賴有朝廷金富軾。守經引古義方伸。朝議以資謙仁宗之外祖。上書表不稱臣。拜王。王當答拜。又欲以資謙生日爲仁壽節。金富軾引漢晉雜儀以爲不可。乃止。</text>
<title>[詠東史]其四百五十四</title>,<text>同惡資謙與俊京。謀誅元自未分明。凶黨滿朝機不密。古來促禍致危傾。資謙與拓俊京同惡樹黨。王惡之。金粲，安甫鱗，智祿延等揣知王意。謀誅之。資謙等踰城入。焚王宮。殺甫鱗，祿延。逼移王于南宮。又劫王移御其第。</text>
<title>[詠東史]其四百五十五</title>,<text>人臣專擅豈終臣。遲速雖殊叛逆均。縱令早用仁存計。畢竟難逃禍及身。王嘗欲除資謙。金仁存言資謙黨與滿朝。不可輕去。王不聽。至是逼移重興宅。王步至山呼亭。歎曰恨不用金仁存之言。</text>
<title>[詠東史]其四百五十六</title>,<text>李拓擧兵殺祿麟。遷王西院火宮闉。更移其第恣威劫。定是卓操托後身。</text>
<title>[詠東史]其四百五十七</title>,<text>請禪資謙亦可憐。仁宗此日似俘然。若非李壽一言折。王氏烝嘗幾不延。仁宗恐被害。請禪位於資謙。資謙未敢發言。平章事李壽颺言曰。上雖有詔。李公豈敢如是。資謙意遂沮。</text>
<title>[詠東史]其四百五十八</title>,<text>資謙因女逆謀行。進餠更將進藥名。與烏烏斃還陽蹶。天命難容勢力營。資謙圖不軌。進毒餠中。李妃資謙第四女也。密白王。以餠投烏。烏斃。又送毒藥令進。妃陽蹶而覆之。</text>
<title>[詠東史]其四百五十九</title>,<text>十八子文解誤人。寢門兵入起烟塵。當時幸用思全策。一賊臣誅一賊臣。資謙因十八子之讖。潛遣兵將入王寢門。王嘗與內醫崔思全謀去資謙。思全曰資謙所以跋扈者。惟是俊京。若得俊京則資謙特一夫耳。王使思全諭意於俊京。授判兵部事。至是王密付書於俊京。俊京擐甲入宮。執囚資謙。流靈光郡道死。奉王還宮。悉誅其黨。賜俊京等功臣號。</text>
<title>[詠東史]其四百六十</title>,<text>蠻以攻蠻因隙嫌。俊京承命執資謙。縶囚竄死雖云快。猶恨當時法不嚴。時俊京與資謙有隙。故命俊京討之。</text>
<title>[詠東史]其四百六十一</title>,<text>恃功跋扈古來然。况彼俊京何責焉。知常論罪分前後。去歲元勳海島遷。俊京恃功跋扈。左正言鄭知常曰。丙午五月之事。一時之功。二月之事。萬世之罪也。乃流俊京于嵒墮島。五月之事。謂討資謙。二月之事。謂與資謙逼遷王也。</text>
<title>[詠東史]其四百六十二</title>,<text>灾異層生不畏修。屢經逆變亦無憂。爰及后妃兩公主。大同江上共龍舟。仁宗與妃及兩公主幸興福寺。遂共御龍舟。宴樂于大同江。召侍臣侍宴。時黃霧四塞。日色如血。灾異不可勝紀。</text>
<title>[詠東史]其四百六十三</title>,<text>新經李拓不思危。又惑妙淸左道欺。日者壽翰同惡濟。導王詭誕欲何爲。妖僧妙淸。以陰陽不經之說說王。上京基業已衰。西京有王氣。宜移都。日者白壽翰及鄭知常等贊其議。</text>
