<title>次陶靖節四時吟</title>,<text>春花堆萬壑。夏樹蔭千峯。秋光黃入菊。冬色翠留松。</text>
<title>挽族祖 師愚</title>,<text>聾隱英聲範一門。吾宗何事運常屯。已嗟賢仲蘭委谷。更惜阿咸木晦根。南國衣冠還末路。西軒詩禮尙餘源。同衰最病頗貽阻。懷仰時時役夢魂。</text>
<title>輓權士用 洛度</title>,<text>科目如何榷晉塗。政成孝友未時需。襟期灑脫人間世。言議森嚴士大夫。樂有先公佳水石。閒從親友引觴壺。前秋一診明長訣。㗳爾相看兩喪吾。溪齋新繡近思編。此事文林不偶然。紅帕便蕃光奧契。縹緗藏弆作單傳。將看旨訣家摹本。重歎華宗世濟賢。衿佩他辰開講地。還應百歲感通泉。</text>
<title>輓權汝厚 載德</title>,<text>長德酉溪似曉星。如何三老一時零。疎通器局宜盤錯。篤厚風流尙典刑。叵耐中年多逆境。偏憐新宇近先亭。孫枝子榦移栽訖。謂借餘生晩享亨。巖齋聯宿記前秋。晬爵非心少婦羞。山外雌黃寧閉耳。世間憂戚已皤頭。一朝漳卧遐籌跌。雙劒泉途宿願酬。醉竹想應同我臆。春風孤立送靈輈。</text>
<title>輓族叔伯用 漢籌</title>,<text>我猶及見滄厓翁。靑山白牛羾仙風。先公一生守淸眞。口似不言言由衷。兩世俱謝明時幣。茹蔬飮水嵌巖中。方知忠簡遺徽遠。在我旣重外慕空。過庭詩禮煒有光。早歲翩翩志桑蓬。遠遊旣倦從吾好。求齊其奈瑟未工。天若不忘兒郞做。四棣芳聯玉樹叢。伯也陞庠嗇其壽。人間益歎此道窮。年來生事轉濩落。携家來寓竹溪東。夜不解衣日再食。節度不與凡人同。陋巷簞瓢心無累。浮世雌黃耳欲聾。有時自鞚到漳濱。㗳然相對襟期通。最是身敎成家政。一室孝謹勤緹躬。人言此老貧非病。遺安豈獨鹿門公。前冬病卧先亭裏。聞來怳嘆烝無戎。宗中長德凋零盡。此日那堪云亡恫。歸成一理在後人。休將面前論嗇豊。尸居亦復悲幾時。白頭霑灑望蒼穹。</text>
<title>挽金斐仲 是瓚</title>,<text>抆涕同登壬子筵。宸心特簡故家賢。何由仰答闡揮托。一肅南歸四十年。氣質由來變化難。狂言曾荷雅量寬。同衰久病成離索。謾恨人間橘太酸。</text>
<title>次族祖 孝甲 霞巖亭韻</title>,<text>可愛嶠南處士廬。奇巖涵水水涵虛。風來自谷蘭香遠。月出尋人樹影踈。八景好賡愚叟詠。半山分占子眞居。肯將泉石誇靈異。天上仙無不讀書。</text>
<title>輓金聖玉 斗煥</title>,<text>勿翁詩禮逮龍坪。儒雅南州濟世聲。兄弟英名聯兩解。兒郞妙歲荷殊榮。人間未享專城養。泉下謾催含劒盟。貞疾冬春違執紼。隣居空負故交情。</text>
<title>挽金養正</title>,<text>文學徽音自勿翁。鄰居七世慣家風。十年管榻工曾篤。三刖荊門命奈窮。勤養孤孫璋旣抱。晩喪賢配劒重逢。寄歸有定應無憾。獨立人間後死恫。</text>
<title>輓金逸少 永羲</title>,<text>名亭賢主在。末路少知音。詩禮家聲舊。模楷士望深。荊門空抱璞。謝樹自成林。久阻成長訣。那堪歲暮心。</text>
<title>挽徐幼祥 榦發</title>,<text>法門搖落甚。若士抱奇珍。遯老風猷遠。梧翁路脉眞。不知山外事。長對卷中人。近裏方鞭辟。竚看大業新。</text>
<title>壬辰立春。敬次陶山集立春韻。</title>,<text>春回故苑日猶寒。冰合前溪水自潺。動靜慘舒元一理。任他推轉蟻磨盤。半世神交卷裏賢。每添新齒意茫然。梅牎消息今何似。千古瑤琴未絶絃。</text>
<title>挽金參判公穆</title>,<text>英英挺出鄧林材。沾得湖齋敎雨來。五福箕疇都嚮用。面前田地儘恢恢。彤庭三策詠嘉賓。除拜頻蒙御筆親。玉署銀臺敭歷遍。猶將糟粕試昌辰。晩來歸卧舊林泉。閒夢時時到葛天。北望梧雲空掩涕。闡揮遺旨定何年。</text>
<title>挽鄭明應 必奎</title>,<text>江山詩禮宅。隱約好天資。性靜仍劬學。襟虛自得師。七旬安素履。一命謝明時。貞疾神交久。那堪寫誄辭。</text>
<title>輓權士善 思浹</title>,<text>最愛平生氣味眞。休休文雅大家人。弱冠已負吾林望。華器纔成太學賓。有口不談人得失。將身頻閱世悲辛。八旬光景渾如夢。未見阿孫長立辰。寒泉編輯粤山經。輪翼斯文煥月星。近日儒宮無好事。百年先院有儀刑。巖齋靜界携村秀。塵刹餘生報聖明。炳燭新工知不少。逢塲常歎一心亨。日稱竹醉人猶惜。醉竹名齋正自傷。舜殿鳴簫誠有命。衛公如簀竚無疆。新春尙喜平安報。遲暮翻吟殄瘁章。從此酉陽無耉德。一樽何處酹幽篁。</text>
<title>輓權周甫</title>,<text>蚤年三舍負詞華。射策虛歸奈命何。低首寒牕劬晩業。不知楡景且無多。先廬重繕感成章。托意丁寧在構堂。敎得兒孫敦行藝。佇看門戶煥生光。錯落前冬復後吟。秪緣慵和砭詩淫。解嘲一語頗淸健。恨未重撏光霽襟。意內親知日以零。靑山何處擧雲輧。支離一疾終同盡。獨立寒汀數曉星。</text>
<title>輓金伯逵 龍漢</title>,<text>先公福力世爭稱。六棣交輝雙劒騰。哭盡周親仙馭繼。其如物理有除乘。雌黃不到風波世。朴素能全天得衷。留付阿孫門戶責。應追遺志倍前功。</text>
<title>姜君在衡。錄示其先人旌孝實蹟。構拙却寄。</title>,<text>至行曾吾感。華貤幸子賢。喪餘悲手線。生晩味心編。一別成千里。重逢近卅年。病昏無可贈。勤謹乃家傳。</text>
<title>金大以 在讓 字詞</title>,<text>蓋聞允其恭克其讓。大堯所以不可尙已。有若無實若虛。顔氏所以未見其止。是皆謙而光。卑而不可踰。美在其中而文華外被。使汝而欲爲君子儒。亦惟曰有爲若是。小而徐行後長者。以至取友而不敢有挾。親師而時敏遜志。近自檢身若不及。以至舍己從人。取人爲善之事。罔不由吾禮之端充廣之。讓之德顧不大矣乎。其爲讓將奈何。行之自一敬字始。知及之而仁以守焉。美且大可以馴致。乃若吾人所不讓則有之。當仁而讓與人第一等。是爲可恥。若昔大猷之盛。進而觀其朝。則濟濟乎虞九官相讓之美。退而問其野。則皡皡乎有周民讓路遜畔之懿。亦粤端木氏之贊聖德光輝也。厥目惟五而終之以讓以得云耳。嗟今之人。夸毗以爲大。輕儇以爲能。曾莫知其輕若彼。其重若此。肆尊公誨汝以式糓是似。期汝以先民所履。是之謂人樂有賢。其敢不蚤夜孜孜。惟義與比。謹綴易大象君子以之旨。申以諗乎大以。</text>
<title>徐元直 在愚 字詞</title>,<text>維人受中。生也本直。濟溫德全。養浩義集。質異昏明。歸同性復。卓彼顔氏。如愚不愚。是惟上智。後學攸睎。古有民疾。聖師奚取。愚則全天。直乃近道。如彼狂狷。可與取裁。中行之次。其不在玆。英妙徐君。文藝夙就。承詩禮敎。有遠大志。載冠爾首。載垂義方。錫嘉以愚。思闇而章。直諒之義。敢忘輔德。萬善之長。三德之一。昔漢元直。孔明畏友。孺子淸風。惟愚用晦。亦有仲車。頭直心喩。猗此三徐。百代師表。余愚不揆。更誦徽言。衛甯虞奚。時義則然。柴愚曾魯。幸得聖門。吾人力富。豈宜小安。乾元行健。靜專動直。坤二德方。敬立義夾。內外交養。直達天德。雖柔必剛。自反斯縮。嗟哉徐生。有爲亦若。守之以愚。謙謙卑牧。行之以直。剛健篤實。家庭之望。友朋攸期。苟或自癡。終於不移。豈質不美。是惟暴棄。其弊而愚。又每下者。不直不見。敢此申戒。</text>
