<title>興庵卽事 庚申</title>,<text>頑雲收遠嶂。紅日度前川。寒山鳴夕磬。餘韻上靑天。</text>
<title>次李氏慕隱亭韻</title>,<text>碧磵蒼崖無古今。李家亭子此登臨。傳來退祖勤王績。曠感圃翁去國心。勝地先占分華嶽。良朋相會一苔岑。請君更篤先公志。谷葛萋萋墜緖尋。</text>
<title>次崔氏潄玉亭韻</title>,<text>泮水芹靑采采回。陶翁高躅有亭臺。川聲繞枕鬚眉冷。嶽氣橫霄掌蹠開。茅嶺閒雲堪自悅。淮山叢桂托幽懷。三淸世界應如此。不省人間歲月催。</text>
<title>次金氏觀逝亭韻</title>,<text>南方山氣此儲精。觀水今傳鐵步名。道體無窮如彼逝。鴻濛將判最初生。嘉亭不是耽遊賞。學海元來有法程。百世遺雲追遠孝。勉修先業敢忘情。</text>
<title>和寄李子彥 永基</title>,<text>有客自南至。靈犀照兩襟。請君更努力。無負歲寒心。</text>
<title>挽李聖謹 相慤</title>,<text>未翁豎士拂。負笈誰先之。孜孜向善做。娖娖謹身持。草車窮不送。齏甕命胡奇。嗚乎千古別。又是亂離時。</text>
<title>挽李姬八 相洛 二絶</title>,<text>謹拙存儒範。精明守本衷。推吾幹蠱志。努力保全宗。藐少曾相識。追隨六十年。嗟君先脫屣。後死諒堪憐。</text>
<title>挽郡守再從兄 敎駿 二絶</title>,<text>威鳳山中一老人。明時曾是佩符臣。君亡國破將安適。百死窮荒不顧身。叱却秦金掛阜亭。一聲䨓吼衆蠻驚。世間誰是廬山筆。野史應傳赫赫名。</text>
<title>和朴周範 尙烈 寄示韻 癸亥</title>,<text>梅鶴山人志有爲。逢君遂與歲寒期。沙蟲盡化今何世。瑞鳳嗟衰不復儀。吾輩已違酬壯志。此生只可晦明夷。行尋正路寧無勉。事我天君自有師。</text>
<title>觀術亭講席。與趙應章 昺奎 共賦。</title>,<text>千里神交一面新。靑襟白髮意中人。楚囚相對湖亭夕。魯俗猶傳講樹春。風雨連天雞報曉。淆泥滿地玉無塵。采采瑤華寄所思。勉終令德不孤隣。</text>
<title>挽金國卿 觀埴 二絶</title>,<text>赫赫名祖裔。休休古人心。非君深愛我。劒吷孰知音。善人天介福。安樂孰如君。如何謝此樂。歸臥碧山雲。</text>
<title>安衡允 商正 以詩請益。和韻却寄。</title>,<text>律己天及往。持心括如張。欲知吾家路。初不在詞章。我聞鄒夫子。博學說欲詳。爲君贈此意。努力共楡光。</text>
<title>羅君永弼 甲淳 請一言以勉。步其韻以贈。</title>,<text>吾人行路正悠悠。一息存時未便休。千般日用無非學。莫把身心理外求。</text>
<title>挽徐玉汝 章杰</title>,<text>南遊傾蓋已心通。又向名山契事同。一別遂成千古面。玉人何處更相逢。</text>
<title>回昏日。憶故室有感。十月二十八日</title>,<text>六十年前舞勺時。玉人今夜父天移。身爲寒士令君餒。家有良妻補我癡。華燭同歡渾似夢。靑山一別更無期。終宵耿耿無窮意。佗日泉臺說與知。</text>
<title>次寄鄭文仲 世煥 請益韻</title>,<text>吾輩同遊道德林。幾人努力向前尋。憑君欲度䲶鴦繡。千聖相傳只一心。</text>
<title>挽張順正 珽遠</title>,<text>山南春色早。華萼何韡韡。芳馨易消歇。秋霜次第萎。孝友根天性。文華有家氈。先堂賴誰肯。先文正烏焉。悠悠江上別。千載諒堪憐。</text>
<title>挽李聚五</title>,<text>出門遙遙望。靑山冢累累。歷數平生友。遽遽盡在此。惟君不棄我。相守共沒齒。牟𡇼居相近。蚿夔勢相倚。汕天風雨惡。有生亦堪恥。歲月如飛轡。今君又脫屣。嗟嗟我何人。踽踽塵寰裏。無人更直諒。誰與爲知己。後屬無相遠。永世式糓似。</text>
<title>挽黃夢汝 煕壽 三絶 甲子</title>,<text>南洋佳會杳如天。芳草凄凄丙午年。翰墨風流曾與子。武陵山水夢長懸。世事參差不可期。貂裘敝敝久棲遲。歸來收拾圖書架。付與庭中克幹兒。東天風雨夜遲遲。吾輩堪嗟遇此時。今日送君先脫屣。有生何似死無知。</text>
<title>孫君錫汝 晉蕃 寄一律詩。示意甚勤。步其韻。作古意一篇。</title>,<text>娟娟天上月。夜夜窺簾幃。裊裊庭中花。開落自天機。中有一老翁。悄坐奮不飛。世事嗟桑變。人情苦衆誹。我有同心子。遙遙寄瑤徽。一唱復三歎。西山頹楡暉。吾人今安適。山中且遯肥。勉修周孔敎。天下與同歸。</text>
<title>挽李敬文 明均</title>,<text>猗嗟湖上老。當谷有佳兒。念我平生契。此行寧不悲。</text>
<title>次遯齋河公文集告成韻</title>,<text>烏絲新刊奏功成。襟佩秋秋拜獻觥。雲谷藁焚觀世變。天山尾厲協幽情。鳥啼晴晝圖書靜。雞唱淸晨善利明。千古紅流溪上水。至今鳴送洗衣聲。</text>
<title>挽崔大圭 性奎</title>,<text>尺書珍重許心交。已識君非末俗高。歎息此生違此面。玉京佗日儻相遭。</text>
<title>挽徐仲蘊 錫華</title>,<text>有生生此世。天地夜何其。我有同心子。此心歲寒知。亹亹名理說。大原不參差。有書筍如束。磋切共餘曦。此別今胡遽。人間我獨悲。</text>
<title>挽孫孝三 晉弼</title>,<text>海門傾蓋許心同。帖送佳兒愧伯恭。一面遂成千古別。歲寒何處更相從。</text>
<title>挽李明可三絶 乙丑</title>,<text>落落丈夫志。休休古老儀。胷中一寸鐵。非我更誰知。巴洋朝發書。蠻卒夕臨戶。大義明天下。鬼關如樂土。昔公生誄我。謂我後公死。今公死無知。知否我有誄。</text>
<title>挽柳景深 淵博</title>,<text>宣福堪嗟異古今。定翁家裏典型尋。湖樓一別今千古。何日重逢更說心。</text>
<title>挽徐德雲 相晙 三絶</title>,<text>孝友溫良展也人。六根淸淨不留塵。世間多少廬山筆。誰敎長杠寫爾眞。孺子文章人所仰。由吾梳洗敢言勞。寧飢不欲先徽泯。力竭誠窮兩世稿。龍興洞裏身將隱。金鳳山中廟未成。人世營爲勘不盡。九原遺恨也難瞑。</text>
<title>爲許聖昭 宣 次其大人竹史韻</title>,<text>章山有一老。此地此君宜。不使蘇家俗。難諼衛澳詩。衆芳春後盡。高操歲寒知。人亡餘古竹。三歎復何爲。</text>
<title>挽周殷翊 時敏</title>,<text>沂水悠悠沂峀碧。巫陽何事夕招招。老夫不死滄桑世。送我平生直諒交。</text>
<title>盧誠之 普鉉 以詩贄見。步其韻以寄二絶。</title>,<text>出門一騁目。畏道何巉巖。壯志嗟無及。吾生筮遯庵。故人自遠至。何幸照同明。共期寒歲後。此意諒非輕。</text>
<title>次郭氏追遠堂韻</title>,<text>驗得人情遠莫追。哀墟欽廟豈無時。俎豆家家民德厚。箕裘世世祖謨垂。江分異渚推源本。木有深根茂末枝。吾行久作峨嵋客。樽酒名樓一陟遲。</text>
<title>次李氏敬慕齋韻</title>,<text>空山春草碧年年。遙憶前塵縹渺邊。萬里干戈沉白日。一區猿鶴鎖蒼煙。過客幽懷逢醉石。孱孫遺業戒袽船。桂樹招招君不見。賢人薖軸至今傳。</text>
<title>病中見晩棲亭成。感吟一律。丙寅</title>,<text>墨突居然六十春。故山深處晩棲身。童遊歷歷前塵渺。先躅悠悠舊感新。無復可言天下事。有時相與卷中人。此間幸得龜藏屋。講道餘生報佛恩。</text>
